#2018

-Vicechairs
K2jKdVMAAAAJ*Tiziana Catarci
tNmIw4MAAAAJ*Amr El Abbadi
DuLgpaQAAAAJ*Meihui Zhang
cSfl_CoAAAAJ*Tirthankar Lahiri
GAlAgGsAAAAJ*Eric Lo
89WvmaAAAAAJ*Adam Lee
G1Iux80AAAAJ*Timos Sellis
FI1rYesAAAAJ*Yannis Velegrakis
B_GQDXMAAAAJ*Rachel Pottinger
j6KFCRAAAAAJ*Evimaria Terzi
SKVnHakAAAAJ*H.V. Jagadish
clR6jhIAAAAJ*Jonathan Goldstein
KHjLaWAAAAAJ*Mohamed Sharaf
47sihrsAAAAJ*Ashraf Aboulnaga
4_1z8yEAAAAJ*Spyros Blanas
YERhuN8AAAAJ*Angela Bonifati
mGPuiasAAAAJ*Shimin Chen
IJAU8KoAAAAJ*Bin Cui
3r_xVvkAAAAJ*Evaggelia Pitoura
WFFamJkAAAAJ*Gao Cong
HCxwGIkAAAAJ*Demetris Zeinalipour-Yatzi
wo20cPYAAAAJ*Christian S. Jensen

-Program Committee
ifU81ikAAAAJ*Karl Aberer
W9ddrU8AAAAJ*Nipun Agarwal
*Divy Agrawal
YdrkeNwAAAAJ*Anastasia Ailamaki
*Periklis Andritsos
RyXHY68AAAAJ*Manos Athanassoulis
ck-yNM0AAAAJ*Zhifeng Bao
4MDT20wAAAAJ*Klaus Berberich
zpBeoc8AAAAJ*Sonia Bergamaschi
pHwxwjwAAAAJ*Laure Berti
EfuT9RoAAAAJ*Elisa Bertino
*Arnab Bhattacharya
*Sourav S Bhowmick
R1Jt75cAAAAJ*Francesco Bonchi
mQMC3aYAAAAJ*Rajesh Bordawekar
w5bvD40AAAAJ*Yingyi Bu
xiSS1ZIAAAAJ*Lei Cao
QXyj0hkAAAAJ*Zhao Cao
kJIkUagAAAAJ*Xin Cao
sHXqNl4AAAAJ*Adriane Chapman
*Surajit Chaudhuri
chWbG70AAAAJ*Muhammad Aamir Cheema
2YD5wcEAAAAJ*Lisi Chen
*Qun Chen
gtglwgYAAAAJ*Lei Chen
o-I3jsgAAAAJ*James Cheng
S6L1eOMAAAAJ*Byron Choi
KolmTncAAAAJ*Vassilis Christophides
*Philippe Cudre-Mauroux
*Khuzaima Daudjee
srFoN_4AAAAJ*Antonios Deligiannakis
diEa5x0AAAAJ*Alex Delis
2lZr6WsAAAAJ*Alin Deutsch
*Xiaoyong Du
bshz1DEAAAAJ*Ahmed Eldawy
KBiBATkAAAAJ*Mohamed Eltabakh
*Alvaro Fernandes
gsE1VKUAAAAJ*Peter Fischer
87TyXPcAAAAJ*George Fletcher
JxiXHvcAAAAJ*Irini Foundoulaki
*Marco Gaboardi
ww87pkcAAAAJ*Esther Galbrun
fYPVRLgAAAAJ*Jun Gao
g0c3rmQAAAAJ*Jinyang Gao
ocfGYhcAAAAJ*Yunjun Gao
WemX9rAAAAAJ*Minos Garofalakis
9mIBxkMAAAAJ*Wolfgang Gatterbauer
HEFGlx8AAAAJ*Dimitrios Georgakopoulos
F4eflRgAAAAJ*Michael Gertz
lCdBR8cAAAAJ*Boris Glavic
Fz-M2tkAAAAJ*Behzad Golshan
XG6dlLAAAAAJ*Weiwei Gong
8AiPiU0AAAAJ*Paolo Guagliardo
s3L_fj0AAAAJ*Francesco Guerra
*Shenoda Guirguis
wx6jA30AAAAJ*Shenoda Guirguis
*Krishna Gummadi
rDULxmwAAAAJ*Heli Helskyaho
jyykiFIAAAAJ*Herodotos Herodotou
IBZL3aQAAAAJ*Allison Holloway
dQ-x9NQAAAAJ*Bill Howe
nKR2tGvMLFMC*Vagelis Hristidis
xOEd-Z8AAAAJ*Meichun Hsu
MvGKdLoAAAAJ*Zhenjiang Hu
*Sam Idicula
fjAgFSkAAAAJ*Ioana Ileana
jCJDleAAAAAJ*Yoshiharu Ishikawa
D2P2B0MAAAAJ*Chris Jermaine
-NdSrrYAAAAJ*Panos Kalnis
2lpWTDYAAAAJ*Vana Kalogeraki
qXb4xQMAAAAJ*Murat Kantarcioglu
GSQaeoQAAAAJ*Zoi Kaoudi
*Asterios Katsifodimos
RLChs4QAAAAJ*Tasos Kementsietsidis
-18k9ocAAAAJ*Alfons Kemper
*Florian Kerschbaum
7PQN6r4AAAAJ*Dan Kifer
DbusQz8AAAAJ*Birgitta König-Ries
f0Wc8tkAAAAJ*Nick Koudas
-QycpNcAAAAJ*Vasudha Krishnaswamy
h9mbv9MAAAAJ*Jae-Gil Lee
9OdHL5wAAAAJ*Wang-Chien Lee
qFOwPNQAAAAJ*Viktor Leis
s-pXApcAAAAJ*Hong Va Leong
jfdT_HIAAAAJ*Justin Levandoski
*Guoliang Li
j6rglkYAAAAJ*Xuemin Lin
VIwtdckAAAAJ*Ling Liu
BaChLEEAAAAJ*Alex X. Liu
MT_DWa4AAAAJ*Xuan Liu
h1mExmcAAAAJ*Hua Lu
SqAsppUAAAAJ*Qiong Luo
vJUjFpQAAAAJ*Shuai Ma
A0hv6xwAAAAJ*Ashwin Machanavajjhala
a1ngrCIAAAAJ*Samuel Madden
jOvUDjYAAAAJ*Nikos Mamoulis
MVbJ9wQAAAAJ*Rui Mao
PH96F4oAAAAJ*Michalis Mathioudakis
ZPczFBAAAAAJ*Marta Mattoso
dq6GHFwAAAAJ*Charalampos Mavroforakis
njKmu5cAAAAJ*Paolo Merialdo
zRbR5b8AAAAJ*Bernhard Mitschang
*Yang-Sae Moon
evZ9Q9EAAAAJ*Davide Mottin
gg0HkEsAAAAJ*Emmanuel Muller
*Mario Nascimento
reYJaYMAAAAJ*Raymong Ng
mADR4AYAAAAJ*Kjetil Nørvåg
1poKDLsAAAAJ*Werner Nutt
*Esther Pacitti
JaAonb0AAAAJ*Olga Papaemmanouil
YwoezYX7JVgJ*Paolo Papotti
zV_MbA4AAAAJ*Abdul Quamar
*Jignesh Patel
XGzPuKEAAAAJ*Torben Pedersen
mVj8o7gAAAAJ*Konstantinos Pelechrinis
uwwHfssAAAAJ*Antonella Poggi
2ps8xkcAAAAJ*Giuseppe Polese
7yQLkCMAAAAJ*Danica Porobic
*Jorge-Arnulfo Quiane-Ruiz
LFLG5pcAAAAJ*Krithi Ramamritham
K4w5qYUAAAAJ*Sayan Ranu
ZUzG5igAAAAJ*Theodoros Rekatsinas
47gh3JkAAAAJ*Matthias Renz
WHug6IAAAAAJ*Juan Reutter
qz6YaN4AAAAJ*Mirek Riedewald
5okzSN0AAAAJ*Matteo Riondatto
Lx9fbJoAAAAJ*Mohammad Sadoghi
t7z2V78AAAAJ*Ken Salem
XxQq8nsAAAAJ*Semih Salihoglu
nAGXeFkAAAAJ*Pierangela Samarati
M7whMe0AAAAJ*Prasenjit Sarkar
*Thibault Sellam
IJECSdkAAAAJ*Marco Serafini
OFlBSEEAAAAJ*J. Shane Culpepper
*Shuo Shang
-Nw_vTIAAAAJ*Yanyan Shen
*Hengtao Shen
