Linkage analysis of IL4 and other chromosome 5q31. 1 markers and total serum immunoglobulin E concentrations,David G Marsh; John D Neely; Daniel R Breazeale; Balaram Ghosh; Linda R Freidhoff; Eva Ehrlich-Kautzky; Carsten Schou; Guha Krishnaswamy; Terri H Beaty,Sib-pair analysis of 170 individuals from 11 Amish families revealed evidence for linkage offive markers in chromosome 5q31. 1 with a gene controlling total serum immunoglobulin E(IgE) concentration. No linkage was found between these markers and specific IgE antibodyconcentrations. Analysis of total IgE within a subset of 128 IgE antibody-negative sib pairsconfirmed evidence for linkage to 5q31. 1; especially to the interleukin-4 gene (IL4). Acombination of segregation and maximum likelihood analyses provided further evidence forthis linkage. These analyses suggest that IL4 or a nearby gene in 5q31. 1 regulates IgEproduction in a nonantigen-specific (noncognate) fashion.,Science,1994,1203
Long-term exercise and atherogenic activity of blood mononuclear cells in persons at risk of developing ischemic heart disease,J Kelly Smith; Rhesa Dykes; John E Douglas; Guha Krishnaswamy; Steven Berk,ContextIncreasing evidence demonstrates that atherosclerosis is an immunologicallymediated disease in which the secretion of atherogenic and atheroprotective cytokines; byinfiltrating blood mononuclear cells; plays an important role. It is not known whether long-term exercise alters this atherogenic and atheroprotective activity directly. ObjectiveTodetermine the effect of long-term exercise on the atherogenic activity of blood mononuclearcells in persons at risk of developing ischemic heart disease. DesignBefore-after trial using a6-month individualized; supervised exercise program; with an enrollment period fromDecember 1996 to October 1997. SettingHospital-based community wellness center.ParticipantsOf 110 persons who responded to a public request for volunteers; 52 met theinclusion criteria (risk ratio for myocardial infarction≥ 1.7 based on serum complement …,Jama,1999,493
Human endothelium as a source of multifunctional cytokines: molecular regulation and possible role in human disease,Guha Krishnaswamy; Jim Kelley; Lakshminarayan Yerra; J Kelly Smith; David S Chi,Endothelial cells; by virtue of their capacity to express adhesion molecules and cytokines;are intricately involved in inflammatory processes. Endothelial cells have been shown toexpress interleukin-1 (IL-1); IL-5; IL-6; IL-8; IL-11; IL-15; several colony-stimulating factors(CSF); granulocyte-CSF (G-CSF); macrophage CSF (M-CSF) and granulocyte-macrophageCSF (GM-CSF); and the chemokines; monocyte chemotactic protein-1 (MCP-1); RANTES;and growth-related oncogene protein-alpha (GRO-alpha). IL-1 and tumor necrosis factor-alpha (TNF-alpha) produced by infiltrating inflammatory cells can induce endothelial cells toexpress several of these cytokines as well as adhesion molecules. Induction of thesecytokines in endothelial cells has been demonstrated by such diverse processes as hypoxiaand bacterial infection. Recent studies have demonstrated that adhesive interactions …,Journal of interferon & cytokine research,1999,399
The human mast cell: functions in physiology and disease.,G Krishnaswamy; J Kelley; D Johnson; G Youngberg; W Stone; SK Huang; J Bieber; DS Chi,Abstract Mast cells are multifunctional; tissue-dwelling cells capable of secreting a widevariety of mediators. They develop from bone marrow-derived progenitor cells; primed withstem cell factor (SCF); which mediates its actions by interacting with the SCF receptor or c-kiton the cell surface. Mast cells continue their maturation and differentiation in peripheraltissue; developing into two well described subsets of cells; MCT and MCTC cells; varying incontent of tryptase and chymase as well as in immunobiology. Mast cells are activated bynumerous stimuli; including antigen (acting via the high affinity IgE receptor; Fc? RI);superoxides; complement proteins; neuropeptides and lipoproteins resulting in activationand degranulation. Following activation; these cells express mediators such as histamine;leukotrienes and prostanoids; as well as proteases; and many cytokines and chemokines …,*,2001,252
The role of human mast cell-derived cytokines in eosinophil biology,Bita Shakoory; S Matthew Fitzgerald; Steven A Lee; David S Chi; Guha Krishnaswamy,Eosinophil-mediated diseases; such as allergic asthma; eosinophilic fasciitis; and certainhypersensitivity pulmonary disorders; are characterized by eosinophil infiltration and tissueinjury. Mast cells and T cells often colocalize to these areas. Recent data suggest that mastcells can contribute to eosinophil-mediated inflammatory responses. Activation of mast cellscan occur by antigen and immunoglobulin E (IgE) via the highaffinity receptor (FcεRI) for IgE.The liberation of proteases; leukotrienes; lipid mediators; and histamine can contribute totissue inflammation and allow recruitment of eosinophils to tissue. In addition; the synthesisand expression of a plethora of cytokines and chemokines (such as granulocyte-macrophage colony-stimulating factor [GM-CSF]; interleukin-1 [IL-1]; IL-3; IL-5; tumornecrosis factor-α [TNF-α]; and the chemokines IL-8; regulated upon activation normal T …,Journal of interferon & cytokine research,2004,233
A newly developed PCR assay ofH. pylori in gastric biopsy; saliva; and feces,Chuanfu Li; Tuanzhu Ha; Donald A Ferguson; David S Chi; Rongguo Zhao; Nikihil R Patel; Guha Krishnaswamy; Eapen Thomas,Abstract We have recently developed a new PCR assay for the detection of H. pylori. In thisstudy; the polymerase chain reaction (PCR) assay was used to detect H. pylori in 88 gastricbiopsy; 85 saliva; and 71 fecal specimens from 88 patients. H. pylori infection was confirmedin 71 of 88 patients by culture and/or histological stain of gastric biopsies. Serum IgGantibody to H. pylori was also measured and resulted in 97% sensitivity and 94% specificity.H. pylori DNA was detected by the PCR assay in gastric biopsy specimens from all 71patients (100% sensitivity) with proven gastric H. pylori infection but not from 17 noninfectedpatients (100% specificity). In saliva specimens; H. pylori DNA was identified in 57 of the 68patients (84%) with proven gastric H. pylori infection and in three of the 17 patients withoutgastric H. pylori infection. However; the PCR assay was only able to detect H. pylori DNA …,Digestive diseases and sciences,1996,210
The human mast cell,Guha Krishnaswamy; Omar Ajitawi; David S Chi,Abstract Mast cells are fascinating; multifunctional; tissue-dwelling cells that have beentraditionally associated with the allergic response. However; recent studies suggest thesecells may be capable of regulating inflammation; host defense; and innate immunity. Thepurpose of this review is to present salient aspects of mast cell biology in the context of mastcell function in physiology and disease. After their development from bone marrow-derivedprogenitor cells that are primed with stem cell factor; mast cells continue their maturation anddifferentiation in peripheral tissue; developing into two well-described subsets of cells; MC Tand MC TC cells. These cells can be distinguished on the basis of their tissue location;dependence on T lymphocytes; and their granule contents. Mast cells can undergoactivation by antigens/allergens (acting via the high-affinity receptor for immunoglobulin E …,*,2006,200
Intestinal strongyloidiasis and hyperinfection syndrome,Raja S Vadlamudi; David S Chi; Guha Krishnaswamy,In spite of recent advances with experiments on animal models; strongyloidiasis; an infectioncaused by the nematode parasite Strongyloides stercoralis; has still been an elusivedisease. Though endemic in some developing countries; strongyloidiasis still poses a threatto the developed world. Due to the peculiar but characteristic features of autoinfection;hyperinfection syndrome involving only pulmonary and gastrointestinal systems; anddisseminated infection with involvement of other organs; strongyloidiasis needs specialattention by the physician; especially one serving patients in areas endemic forstrongyloidiasis. Strongyloidiasis can occur without any symptoms; or as a potentially fatalhyperinfection or disseminated infection. Th2 cell-mediated immunity; humoral immunity andmucosal immunity have been shown to have protective effects against this parasitic …,*,2006,189
Identification of a novel cytokine; ML-1; and its expression in subjects with asthma,Mio Kawaguchi; Luiz F Onuchic; Xiao-Dong Li; David M Essayan; John Schroeder; Hui-Qing Xiao; Mark C Liu; Guha Krishnaswamy; Gregory Germino; Shau-Ku Huang,A novel gene; designated ML-1; was identified from a human genomic DNA clone andhuman T cell cDNA sequences. The second exon of ML-1 gene shares significant sequenceidentity with the gene encoding IL-17 (IL-17). ML-1 gene expression was up-regulated inactivated PBMCs; CD4+ T cells; allergen-specific Th0; Th1; and Th2 clones; activatedbasophils; and mast cells. Increased expression of the ML-1 gene; but not IL-17; was seenfollowing allergen challenge in four asthmatic subjects; suggesting its role in allergicinflammatory responses. ML-1 from transiently transfected COS-7 cells was able to inducegene expression and protein production for IL-6 and IL-8 (at 10 ng/ml of ML-1: for IL-6;599.6±19.1 pg/ml; for IL-8; 1724.2±132.9 pg/ml; and at 100 ng/ml of ML-1: for IL-6;1005.3±55.6 pg/ml; for IL-8; 4371.4±280.5 pg/ml; p< 0.05 for both doses vs baseline) in …,The Journal of Immunology,2001,181
Insulin: a novel factor in carcinogenesis,K Gupta; G Krishnaswamy; A Karnad; AN Peiris,ABSTRACT Cancer is a leading cause of mortality in the United States. Despite muchresearch on specific carcinogens; the cause of many cancers remains unclear. Theidentification of novel causative agents offers the potential for cancer prevention. Diseasessuch as obesity and diabetes mellitus; characterized by hyperinsulinemia; are associatedwith increased risk of endometrial; colorectal; and breast carcinomas. There is increasingevidence that insulin is a growth factor for tumor formation. The mechanisms underlyinginsulin-mediated neoplasia may include enhanced DNA synthesis with resultant tumor cellgrowth; inhibition of apoptosis; and altered sex hormone milieu. The reduced insulin levelsseen with physical activity; weight loss; and a high fiber diet may account for decreasedcancer risk. The role of newer drugs that restore sensitivity to insulin; thereby reducing …,The American journal of the medical sciences,2002,153
The effects of HIV infection on endothelial function,David Chi; Jason Henry; Jim Kelley; Rebecca Thorpe; John Kelly Smith; Guha Krishnaswamy,Endothelial dysfunction and/or injury is pivotal to the development of cardiovascular andinflammatory pathology. Endothelial dysfunction and/or injury has been described in HumanImmunodeficiency Virus (HIV) infection. Elaboration of circulating markers of endothelialactivation; such as soluble adhesion molecules and procoagulant proteins; occurs in HIVinfection. Certain endothelial cells; such as those lining liver sinusoids; human umbilicalvein endothelial cells; bone marrow stromal endothelial cells or brain microvascularendothelial cells; have been shown to be variably permissive for HIV infection. Entry of virusinto endothelial cells may occur via CD4 antigen or galactosyl-ceramide receptors. Othermechanisms of entry including chemokine receptors have been proposed. Nevertheless;endothelial activation may also occur in HIV infection either by cytokines secreted in …,Endothelium,2000,152
