A stemming algorithm for the portuguese language,Viviane Moreira Orengo; Christian Huyck,*,String Processing and Information Retrieval; 2001. SPIRE 2001. Proceedings. Eighth International Symposium on,2001,180
Measuring quality of similarity functions in approximate data matching,Roberto Da Silva; Raquel Stasiu; Viviane Moreira Orengo; Carlos A Heuser,Abstract This paper presents a method for assessing the quality of similarity functions. Thescenario taken into account is that of approximate data matching; in which it is necessary todetermine whether two data instances represent the same real world object. Our method isbased on the semi-automatic estimation of optimal threshold values. We propose twomethods for performing such estimation. The first method is an algorithm based on a rewardfunction; and the second is a statistical method. Experiments were carried out to validate thetechniques proposed. The results show that both methods for threshold estimation producesimilar results. The output of such methods was used to design a grading function forsimilarity functions. This grading function; called discernability; was used to compare anumber of similarity functions applied to an experimental data set.,Journal of Informetrics,2007,47
Multilingual schema matching for Wikipedia infoboxes,Thanh Nguyen; Viviane Moreira; Huong Nguyen; Hoa Nguyen; Juliana Freire,Abstract Recent research has taken advantage of Wikipedia's multi-lingualism as a resourcefor cross-language information retrieval and machine translation; as well as proposedtechniques for enriching its cross-language structure. The availability of documents inmultiple languages also opens up new opportunities for querying structured Wikipediacontent; and in particular; to enable answers that straddle different languages. As a steptowards supporting such queries; in this paper; we propose a method for identifyingmappings between attributes from infoboxes that come from pages in different languages.Our approach finds mappings in a completely automated fashion. Because it does notrequire training data; it is scalable: not only can it be used to find mappings between manylanguage pairs; but it is also effective for languages that are under-represented and lack …,Proceedings of the VLDB Endowment,2011,40
Identification and treatment of multiword expressions applied to information retrieval,Otavio Costa Acosta; Aline Villavicencio; Viviane P Moreira,Abstract The extensive use of Multiword Expressions (MWE) in natural language textsprompts more detailed studies that aim for a more adequate treatment of these expressions.A MWE typically expresses concepts and ideas that usually cannot be expressed by a singleword. Intuitively; with the appropriate treatment of MWEs; the results of an InformationRetrieval (IR) system could be improved. The aim of this paper is to apply techniques for theautomatic extraction of MWEs from corpora to index them as a single unit. Experimentalresults show improvements on the retrieval of relevant documents when identifying MWEsand treating them as a single indexing unit.,Proceedings of the Workshop on Multiword Expressions: from Parsing and Generation to the Real World,2011,36
A new approach for cross-language plagiarism analysis,Rafael Corezola Pereira; Viviane P Moreira; Renata Galante,Abstract This paper presents a new method for Cross-Language Plagiarism Analysis. Ourtask is to detect the plagiarized passages in the suspicious documents and theircorresponding fragments in the source documents. We propose a plagiarism detectionmethod composed by five main phases: language normalization; retrieval of candidatedocuments; classifier training; plagiarism analysis; and post-processing. To evaluate ourmethod; we created a corpus containing artificial plagiarism offenses. Two differentexperiments were conducted; the first one considers only monolingual plagiarism cases;while the second one considers only cross-language plagiarism cases. The results showedthat the cross-language experiment achieved 86% of the performance of the monolingualbaseline. We also analyzed how the plagiarized text length affects the overall …,International Conference of the Cross-Language Evaluation Forum for European Languages,2010,33
Examining multiple features for author profiling,Edson RD Weren; Anderson U Kauer; Lucas Mizusaki; Viviane P Moreira; J Palazzo M de Oliveira; Leandro K Wives,*,Journal of information and data management,2014,25
Automatic threshold estimation for data matching applications,Juliana B dos Santos; Carlos A Heuser; Viviane P Moreira; Leandro K Wives,Abstract Several advanced data management applications; such as data integration; datadeduplication; and similarity querying rely on the application of similarity functions. Asimilarity function requires the definition of a threshold value in order to decide whether twodifferent data instances match; ie; if they represent the same real world object. In this context;threshold definition is a central problem. This paper proposes a method for estimating thequality of a similarity function. Quality is measured in terms of recall and precision calculatedat several different thresholds. Based on the results of the proposed estimation process andthe requirements of a specific application; a user is able to choose a suitable thresholdvalue. The estimation process is based on a clustering phase performed over a datacollection (or a sample thereof) and requires no human intervention since the choice of …,Information Sciences,2011,21
Information retrieval and categorisation using a cell assembly network,Christian R Huyck; Viviane Orengo,Abstract Simulated networks of spiking leaky integrators are used to categorise and forInformation Retrieval (IR). Neurons in the network are sparsely connected; learn usingHebbian learning rules; and are simulated in discrete time steps. Our earlier work has usedthese models to simulate human concept formation and usage; but we were interested in themodel's applicability to real world problems; so we have done experiments on categorisationand IR. The results of the system show that congresspeople are correctly categorised 89% ofthe time. The IR systems have 40% average precision on the Time collection; and 28% onthe Cranfield 1;400. All scores are comparable to the state of the art results on these tasks.,Neural computing & applications,2005,18
Relevance feedback and cross-language information retrieval,Viviane Moreira Orengo; Christian Huyck,Abstract This paper presents a study of relevance feedback in a cross-language informationretrieval environment. We have performed an experiment in which Portuguese speakers areasked to judge the relevance of English documents; documents hand-translated toPortuguese and documents automatically translated to Portuguese. The goals of theexperiment were to answer two questions (i) how well can native Portuguese searchersrecognise relevant documents written in English; compared to documents that are handtranslated and automatically translated to Portuguese; and (ii) what is the impact ofmisjudged documents on the performance improvement that can be achieved by relevancefeedback. Surprisingly; the results show that machine translation is as effective as handtranslation in aiding users to assess relevance in the experiment. In addition; the impact …,Information processing & management,2006,17
A strategy for allowing meaningful and comparable scores in approximate matching,Carina F Dorneles; Marcos Freitas Nunes; Carlos A Heuser; Viviane P Moreira; Altigran S da Silva; Edleno S de Moura,Abstract Approximate data matching aims at assessing whether two distinct instances ofdata represent the same real-world object. The comparison between data values is usuallydone by applying a similarity function which returns a similarity score. If this score surpassesa given threshold; both data instances are considered as representing the same real-worldobject. These score values depend on the algorithm that implements the function and haveno meaning to the user. In addition; score values generated by different functions are notcomparable. This will potentially lead to problems when the scores returned by differentsimilarity functions need to be combined for computing the similarity between records. In thisarticle; we propose that thresholds should be defined in terms of the precision that isexpected from the matching process rather than in terms of the raw scores returned by the …,Information Systems,2009,16
A study on the use of stemming for monolingual ad-hoc Portuguese information retrieval,Viviane Moreira Orengo; Luciana S Buriol; Alexandre Ramos Coelho,Abstract For UFRGS's first participation in CLEF our goal was to compare the performance ofheavier and lighter stemming strategies using the Portuguese data collections formonolingual Ad-hoc retrieval. The results show that the safest strategy was to use the lighteralternative (reducing plural forms only). On a query-by-query analysis; full stemmingachieved the highest improvement but also the biggest decrease in performance whencompared to no stemming. In addition; statistical tests showed that the only significantimprovement in terms of mean average precision; precision at ten and number of relevantretrieved was achieved by our lighter stemmer.,Workshop of the Cross-Language Evaluation Forum for European Languages,2006,16
Prequery discovery of domain-specific query forms: A survey,Mauricio C Moraes; Carlos A Heuser; Viviane P Moreira; Denilson Barbosa,The discovery of HTML query forms is one of the main challenges in Deep Web crawling.Automatic solutions for this problem perform two main tasks. The first is locating HTML formson the Web; which is done through the use of traditional/focused crawlers. The second isidentifying which of these forms are indeed meant for querying; which also typically involvesdetermining a domain for the underlying data source (and thus for the form as well). Thisproblem has attracted a great deal of interest; resulting in a long list of algorithms andtechniques. Some methods submit requests through the forms and then analyze the dataretrieved in response; typically requiring a great deal of knowledge about the domain as wellas semantic processing. Others do not employ form submission; to avoid such difficulties;although some techniques rely to some extent on semantics and domain knowledge. This …,IEEE Transactions on Knowledge and Data Engineering,2013,12
SimEval: a tool for evaluating the quality of similarity functions,Carlos A Heuser; Francisco NA Krieser; Viviane Moreira Orengo,Abstract Approximate data matching applications typically use similarity functions to quantifythe degree of likeness between two data instances. There are several similarity functionsavailable; thus; it is often necessary to evaluate a number of them aiming at choosing thefunction that is more adequate to a specific application. This paper presents a tool that usesaverage precision and discernability to evaluate the quality of similarity functions over a dataset.,Tutorials; posters; panels and industrial contributions at the 26th international conference on Conceptual modeling-Volume 83,2007,12
Schema versioning: queries to the generalized temporal database system,V Pereira Moreira; Nina Edelweiss,Raw data and database structures are evolving entities that require adequate support forpast; present and even future versions. Temporal databases supporting schema versioningwere developed with the aim of satisfying this requirement. This paper considers ageneralized temporal database system; which provides support for time at both intensionaland extensional levels. The support for schema versioning raises two complex subjects: thestorage of the several schema versions and their associate data; and the processing ofqueries involving more than one schema version. The main goal of this paper is to analysethe second aspect in order to propose a strategy to answer multi-schema queries.,Database and Expert Systems Applications; 1999. Proceedings. Tenth International Workshop on,1999,12
