Comparative analysis of five XML query languages,Angela Bonifati; Stefano Ceri,Abstract XML is becoming the most relevant new standard for data representation andexchange on the WWW. Novel languages for extracting and restructuring the XML contenthave been proposed; some in the tradition of database query languages (ie SQL; OQL);others more closely inspired by XML. No standard for XML query language has yet beendecided; but the discussion is ongoing within the World Wide Web Consortium and withinmany academic institutions and Internet-related major companies. We present a comparisonof five; representative query languages for XML; highlighting their common features anddifferences.,ACM Sigmod Record,2000,353
On evaluating schema matching and mapping,Zohra Bellahsene; Angela Bonifati; Fabien Duchateau; Yannis Velegrakis,Abstract The increasing demand of matching and mapping tasks in modern integrationscenarios has led to a plethora of tools for facilitating these tasks. While the plethora madethese tools available to a broader audience; it led to some form of confusion regarding theexact nature; goals; core functionalities; expected features; and basic capabilities of thesetools. Above all; it made performance measurements of these systems and their distinction adifficult task. The need for design and development of comparison standards that will allowthe evaluation of these tools is becoming apparent. These standards are particularlyimportant to mapping and matching system users; since they allow them to evaluate therelative merits of the systems and take the right business decisions. They are also importantto mapping system developers; since they offer a way of comparing the system against …,*,2011,335
Designing data marts for data warehouses,Angela Bonifati; Fabiano Cattaneo; Stefano Ceri; Alfonso Fuggetta; Stefano Paraboschi,Abstract Data warehouses are databases devoted to analytical processing. They are used tosupport decision-making activities in most modern business settings; when complex datasets have to be studied and analyzed. The technology for analytical processing assumesthat data are presented in the form of simple data marts; consisting of a well-identifiedcollection of facts and data analysis dimensions (star schema). Despite the wide diffusion ofdata warehouse technology and concepts; we still miss methods that help and guide thedesigner in identifying and extracting such data marts out of an enterprisewide informationsystem; covering the upstream; requirement-driven stages of the design process. Manyexisting methods and tools support the activities related to the efficient implementation ofdata marts on top of specialized technology (such as the ROLAP or MOLAP data servers) …,ACM transactions on software engineering and methodology,2001,268
Dynamic XML documents with distribution and replication,Serge Abiteboul; Angela Bonifati; Grégory Cobéna; Ioana Manolescu; Tova Milo,Abstract The advent of XML as a universal exchange format; and of Web services as a basisfor distributed computing; has fostered the apparition of a new class of documents: dynamicXML documents. These are XML documents where some data is given explicitly while otherparts are given only intensionally by means of embedded calls to web services that can becalled to generate the required information. By the sole presence of Web services; dynamicdocuments already include inherently some form of distributed computation. A higher levelof distribution that also allows (fragments of) dynamic documents to be distributed and/orreplicated over several sites is highly desirable in today's Web architecture; and in fact isalso relevant for regular (non dynamic) documents. The goal of this paper is to study newissues raised by the distribution and replication of dynamic XML data. Our study has …,Proceedings of the 2003 ACM SIGMOD international conference on Management of data,2003,213
Active rules for XML: A new paradigm for E-services,Angela Bonifati; Stefano Ceri; Stefano Paraboschi,Abstract. XML is rapidly becoming one of the most widely adopted technologies forinformation exchange and representation. As the use of XML becomes more widespread;we foresee the development of active XML rules; ie; rules explicitly designed for themanagement of XML information. In particular; we argue that active rules for XML offer anatural paradigm for the rapid development of innovative e-services. In the paper; we showhow active rules can be specified in the context of XSLT; a pattern-based language forpublishing XML documents (promoted by the W3C) which is receiving strong commercialsupport; and Lorel; a query language for XML documents that is quite popular in theresearch world. We demonstrate; through simple examples of active rules for XSLT andLorel; that active rules can be effective for the implementation of e-commerce services …,The VLDB Journal,2001,116
XPath lookup queries in P2P networks,Angela Bonifati; Ugo Matrangolo; Alfredo Cuzzocrea; Mayank Jain,Abstract We address the problem of querying XML data over a P2P network. In P2Pnetworks; the allowed kinds of queries are usually exact-match queries over file names. Wediscuss the extensions needed to deal with XML data and XPath queries. A single peer canhold a whole document or a partial/complete fragment of the latter. Each XMLfragment/document is identified by a distinct path expression; which is encoded in adistributed hash table. Our framework differs from content-based routing mechanisms;biased towards finding the most relevant peers holding the data. We perform fragmentsplacement and enable fragments lookup by solely exploiting few path expressions stored oneach peer. By taking advantage of quasi-zero replication of global catalogs; our systemsupports fast full and partial XPath querying. To this purpose; we have extended the …,Proceedings of the 6th annual ACM international workshop on Web information and data management,2004,99
Active xquery,Angela Bonifati; Stefano Paraboschi,Summary We analyze some of the issues arising when an event-condition-action (ECA) rulemechanism is introduced within an XML management system. Apart from the presentation ofa specific solution; the focus of the chapter is on two aspects. First; we analyze the couplingmodes (immediate and deferred) that can be adopted to integrate the event application partand the rule evaluation part. Then; we illustrate how the component responsible of updatingXML data and the rule processing engine can be integrated in a loose or tight way;producing two distinct rule execution semantics.,*,2004,97
HePToX: marrying XML and heterogeneity in your P2P databases,Angela Bonifati; Elaine Qing Chang; Aks VS Lakshmanan; Terence Ho; Rachel Pottinger,Abstract We present HePToX; a full-fledged peer-to-peer database system that efficientlyhandles XML data heterogeneity. In a highly dynamic P2P network; it is unrealistic for a peerentering the network to be forced to agree on a global mediated schema; or to performheavy-weight operations for mapping its schema to neighboring schemas. In our demo; weshow that to enter the HePToX network a peer user is only asked to draw a simple set ofvisual annotations to a few other schemas. We show how the mapping rules are thenautomatically generated and how efficient query translation is performed on top of thesemappings.,Proceedings of the 31st international conference on Very large data bases,2005,92
Pushing reactive services to XML repositories using active rules,Angela Bonifati; Stefano Ceri; Stefano Paraboschi,Abstract Push technology; ie; the ability of sending relevant information to clients in reactionto new events; is a fundamental aspect of modern information systems; XML is rapidlyemerging as the widely adopted standard for information exchange and representation andhence; several XML-based protocols have been defined and are the object of investigationat W3C and throughout commercial organizations. In this paper; we propose the newconcept of active XML rules for “pushing” reactive services to XML-enabled repositories.Rules operate on XML documents and deliver information to interested remote users inreaction to update events occurring at the repository site. The proposed mechanismassumes the availability of XML repositories supporting a standard XML query language;such as XQuery that is being developed by the W3C; for the implementation of the …,Computer Networks,2002,89
Schema mapping verification: the spicy way,Angela Bonifati; Giansalvatore Mecca; Alessandro Pappalardo; Salvatore Raunich; Gianvito Summa,Abstract Schema mapping algorithms rely on value correspondences-ie; correspondencesamong semantically related attributes-to produce complex transformations among datasources. These correspondences are either manually specified or suggested by separatemodules called schema matchers. The quality of mappings produced by a mappinggeneration tool strongly depends on the quality of the input correspondences. In this paper;we introduce the Spicy system; a novel approach to the problem of verifying the quality ofmappings. Spicy is based on a three-layer architecture; in which a schema matching moduleis used to provide input to a mapping generation module. Then; a third module; the mappingverification module; is used to check candidate mappings and choose the ones thatrepresent better transformations of the source into the target. At the core of the system …,Proceedings of the 11th international conference on Extending database technology: Advances in database technology,2008,86
