Discovering similar multidimensional trajectories,Michail Vlachos; George Kollios; Dimitrios Gunopulos,We investigate techniques for analysis and retrieval of object trajectories in two or threedimensional space. Such data usually contain a large amount of noise; that has madepreviously used metrics fail. Therefore; we formalize non-metric similarity functions based onthe longest common subsequence (LCSS); which are very robust to noise and furthermoreprovide an intuitive notion of similarity between trajectories by giving more weight to similarportions of the sequences. Stretching of sequences in time is allowed; as well as globaltranslation of the sequences in space. Efficient approximate algorithms that compute thesesimilarity measures are also provided. We compare these new methods to the widely usedEuclidean and time warping distance functions (for real and synthetic data) and show thesuperiority of our approach; especially in the strong presence of noise. We prove a …,Data Engineering; 2002. Proceedings. 18th International Conference on,2002,1231
Approximate aggregation techniques for sensor databases,Jeffrey Considine; Feifei Li; George Kollios; John Byers,In the emerging area of sensor-based systems; a significant challenge is to developscalable; fault-tolerant methods to extract useful information from the data the sensorscollect. An approach to this data management problem is the use of sensor databasesystems; exemplified by TinyDB and Cougar; which allow users to perform aggregationqueries such as MIN; COUNT and AVG on a sensor network. Due to power and rangeconstraints; centralized approaches are generally impractical; so most systems use in-network aggregation to reduce network traffic. However; these aggregation strategiesbecome bandwidth-intensive when combined with the fault-tolerant; multipath routingmethods often used in these environments. For example; duplicate-sensitive aggregatessuch as SUM cannot be computed exactly using substantially less bandwidth than explicit …,Data Engineering; 2004. Proceedings. 20th International Conference on,2004,704
On indexing mobile objects,George Kollios; Dimitrios Gunopulos; Vassilis J Tsotras,Abstract We show how to index mobile objects in one and two dimensions using efficientdynamic external memory data structures. The problem is motivated by real life applicationsin traffic monitoring; intelligent navigation and mobile communications domains. For the l-dimensional case; we give (i) a dynamic; external memory algorithm with guaranteed worstcase performance and linear space and (ii) a practical approximation algorithm also in thedynamic; external memory setting; which has linear space and expected logarithmic querytime. We also give an algorithm with guaranteed logarithmic query time for a restrictedversion of the problem. We present extensions of our techniques to two dimensions. Inaddition we give a lower bound on the number of I/O's needed to answer the d-dimensionalproblem. Initial experimental results and comparisons to traditional indexing approaches …,Proceedings of the eighteenth ACM SIGMOD-SIGACT-SIGART symposium on Principles of database systems,1999,485
Dynamic authenticated index structures for outsourced databases,Feifei Li; Marios Hadjieleftheriou; George Kollios; Leonid Reyzin,Abstract In outsourced database (ODB) systems the database owner publishes its datathrough a number of remote servers; with the goal of enabling clients at the edge of thenetwork to access and query the data more efficiently. As servers might be untrusted or canbe compromised; query authentication becomes an essential component of ODB systems.Existing solutions for this problem concentrate mostly on static scenarios and are based onidealistic properties for certain cryptographic primitives. In this work; first we define a varietyof essential and practical cost metrics associated with ODB systems. Then; we analyticallyevaluate a number of different approaches; in search for a solution that best leverages allmetrics. Most importantly; we look at solutions that can handle dynamic scenarios; whereowners periodically update the data residing at the servers. Finally; we discuss query …,Proceedings of the 2006 ACM SIGMOD international conference on Management of data,2006,375
Mining; indexing; and querying historical spatiotemporal data,Nikos Mamoulis; Huiping Cao; George Kollios; Marios Hadjieleftheriou; Yufei Tao; David W Cheung,Abstract In many applications that track and analyze spatiotemporal data; movements obeyperiodic patterns; the objects follow the same routes (approximately) over regular timeintervals. For example; people wake up at the same time and follow more or less the sameroute to their work everyday. The discovery of hidden periodic patterns in spatiotemporaldata; apart from unveiling important information to the data analyst; can facilitate datamanagement substantially. Based on this observation; we propose a framework thatanalyzes; manages; and queries object movements that follow such patterns. We define thespatiotemporal periodic pattern mining problem and propose an effective and fast miningalgorithm for retrieving maximal periodic patterns. We also devise a novel; specialized indexstructure that can benefit from the discovered patterns to support more efficient execution …,Proceedings of the tenth ACM SIGKDD international conference on Knowledge discovery and data mining,2004,318
On trip planning queries in spatial databases,Feifei Li; Dihan Cheng; Marios Hadjieleftheriou; George Kollios; Shang-Hua Teng,Abstract In this paper we discuss a new type of query in Spatial Databases; called the TripPlanning Query (TPQ). Given a set of points of interest P in space; where each point belongsto a specific category; a starting point S and a destination E; TPQ retrieves the best trip thatstarts at S; passes through at least one point from each category; and ends at E. Forexample; a driver traveling from Boston to Providence might want to stop to a gas station; abank and a post office on his way; and the goal is to provide him with the best possible route(in terms of distance; traffic; road conditions; etc.). The difficulty of this query lies in theexistence of multiple choices per category. In this paper; we study fast approximationalgorithms for TPQ in a metric space. We provide a number of approximation algorithms withapproximation ratios that depend on either the number of categories; the maximum …,International Symposium on Spatial and Temporal Databases,2005,267
MRShare: sharing across multiple queries in MapReduce,Tomasz Nykiel; Michalis Potamias; Chaitanya Mishra; George Kollios; Nick Koudas,Abstract Large-scale data analysis lies in the core of modern enterprises and scientificresearch. With the emergence of cloud computing; the use of an analytical query processinginfrastructure (eg; Amazon EC2) can be directly mapped to monetary value. MapReduce hasbeen a popular framework in the context of cloud computing; designed to serve long runningqueries (jobs) which can be processed in batch mode. Taking into account that different jobsoften perform similar work; there are many opportunities for sharing. In principle; sharingsimilar work reduces the overall amount of work; which can lead to reducing monetarycharges incurred while utilizing the processing infrastructure. In this paper we propose asharing framework tailored to MapReduce. Our framework; MRShare; transforms a batch ofqueries into a new batch that will be executed more efficiently; by merging jobs into …,Proceedings of the VLDB Endowment,2010,261
Approximating multi-dimensional aggregate range queries over real attributes,Dimitrios Gunopulos; George Kollios; Vassilis J Tsotras; Carlotta Domeniconi,Abstract Finding approximate answers to multi-dimensional range queries over real valuedattributes has significant applications in data exploration and database query optimization.In this paper we consider the following problem: given a table of d attributes whose domainis the real numbers; and a query that specifies a range in each dimension; find a goodapproximation of the number of records in the table that satisfy the query. We present a newhistogram technique that is designed to approximate the density of multi-dimensionaldatasets with real attributes. Our technique finds buckets of variable size; and allows thebuckets to overlap. Overlapping buckets allow more efficient approximation of the density.The size of the cells is based on the local density of the data. This technique leads to a fasterand more compact approximation of the data distribution. We also show how to …,Acm Sigmod Record,2000,226
Discovering clusters in motion time-series data,Jonathan Alon; Stan Sclaroff; George Kollios; Vladimir Pavlovic,An approach is proposed for clustering time-series data. The approach can be used todiscover groupings of similar object motions that were observed in a video collection. A finitemixture of hidden Markov models (HMMs) is fitted to the motion data using the expectationmaximization (EM) framework. Previous approaches for HMM-based clustering employ a k-means formulation; where each sequence is assigned to only a single HMM. In contrast; theformulation presented in this paper allows each sequence to belong to more than a singleHMM with some probability; and the hard decision about the sequence class membershipcan be deferred until a later time when such a decision is required. Experiments withsimulated data demonstrate the benefit of using this EM-based approach when there ismore" overlap" in the processes generating the data. Experiments with real data show the …,Computer Vision and Pattern Recognition; 2003. Proceedings. 2003 IEEE Computer Society Conference on,2003,212
Boostmap: A method for efficient approximate similarity rankings,Vassilis Athitsos; Jonathan Alon; Stan Sclaroff; George Kollios,This paper introduces BoostMap; a method that can significantly reduce retrieval time inimage and video database systems that employ computationally expensive distancemeasures; metric or non-metric. Database and query objects are embedded into aEuclidean space; in which similarities can be rapidly measured using a weighted Manhattandistance. Embedding construction is formulated as a machine learning task; whereAdaBoost is used to combine many simple; ID embeddings into a multidimensionalembedding that preserves a significant amount of the proximity structure in the originalspace. Performance is evaluated in a hand pose estimation system; and a dynamic gesturerecognition system; where the proposed method is used to retrieve approximate nearestneighbors under expensive image and video similarity measures: In both systems; in …,Computer Vision and Pattern Recognition; 2004. CVPR 2004. Proceedings of the 2004 IEEE Computer Society Conference on,2004,204
Efficient biased sampling for approximate clustering and outlier detection in large data sets,George Kollios; Dimitrios Gunopulos; Nick Koudas; Stefan Berchtold,We investigate the use of biased sampling according to the density of the data set to speedup the operation of general data mining tasks; such as clustering and outlier detection inlarge multidimensional data sets. In density-biased sampling; the probability that a givenpoint will be included in the sample depends on the local density of the data set. Wepropose a general technique for density-biased sampling that can factor in userrequirements to sample for properties of interest and can be tuned for specific data miningtasks. This allows great flexibility and improved accuracy of the results over simple randomsampling. We describe our approach in detail; we analytically evaluate it; and show how itcan be optimized for approximate clustering and outlier detection. Finally; we present athorough experimental evaluation of the proposed method; applying density-biased …,IEEE Transactions on Knowledge and Data Engineering,2003,197
