Similarity search in high dimensions via hashing,Aristides Gionis; Piotr Indyk; Rajeev Motwani,Abstract The nearest-or near-neighbor query problems arise in a large variety of databaseapplications; usually in the context of similarity searching. Of late; there has been increasinginterest in building search index structures for performing similarity search over high-dimensional data; eg; image databases; document collections; time-series databases; andgenome databases. Unfortunately; all known techniques for solving this problem fall prey tothe curse of dimensionality." That is; the data structures scale poorly with datadimensionality; in fact; if the number of dimensions exceeds 10 to 20; searching in kd treesand related structures involves the inspection of a large fraction of the database; therebydoing no better than brute-force linear search. It has been suggested that since the selectionof features and the choice of a distance metric in typical applications is rather heuristic …,Vldb,1999,2831
Finding high-quality content in social media,Eugene Agichtein; Carlos Castillo; Debora Donato; Aristides Gionis; Gilad Mishne,Abstract The quality of user-generated content varies drastically from excellent to abuse andspam. As the availability of such content increases; the task of identifying high-qualitycontent sites based on user contributions--social media sites--becomes increasinglyimportant. Social media in general exhibit a rich variety of information sources: in addition tothe content itself; there is a wide array of non-content information available; such as linksbetween items and explicit quality ratings from members of the community. In this paper weinvestigate methods for exploiting such community feedback to automatically identify highquality content. As a test case; we focus on Yahoo! Answers; a large communityquestion/answering portal that is particularly rich in the amount and types of content andsocial interactions available in it. We introduce a general classification framework for …,Proceedings of the 2008 international conference on web search and data mining,2008,1249
Maintaining stream statistics over sliding windows,Mayur Datar; Aristides Gionis; Piotr Indyk; Rajeev Motwani,We consider the problem of maintaining aggregates and statistics over data streams; withrespect to the last N data elements seen so far. We refer to this model as the sliding windowmodel. We consider the following basic problem: Given a stream of bits; maintain a count ofthe number of 1's in the last N elements seen from the stream. We show that; usingO(1ϵ\log^2N) bits of memory; we can estimate the number of 1's to within a factor of 1+ϵ.We also give a matching lower bound of Ω(1ϵ\log^2N) memory bits for any deterministic orrandomized algorithms. We extend our scheme to maintain the sum of the last N positiveintegers and provide matching upper and lower bounds for this more general problem aswell. We also show how to efficiently compute the Lp norms (p∈1;2) of vectors in the slidingwindow model using our techniques. Using our algorithm; one can adapt many other …,SIAM journal on computing,2002,887
Clustering aggregation,Aristides Gionis; Heikki Mannila; Panayiotis Tsaparas,Abstract We consider the following problem: given a set of clusterings; find a singleclustering that agrees as much as possible with the input clusterings. This problem;clustering aggregation; appears naturally in various contexts. For example; clusteringcategorical data is an instance of the clustering aggregation problem; each categoricalattribute can be viewed as a clustering of the input rows where rows are grouped together ifthey take the same value on that attribute. Clustering aggregation can also be used as ametaclustering method to improve the robustness of clustering by combining the output ofmultiple algorithms. Furthermore; the problem formulation does not require a prioriinformation about the number of clusters; it is naturally determined by the optimizationfunction. In this article; we give a formal statement of the clustering aggregation problem …,ACM Transactions on Knowledge Discovery from Data (TKDD),2007,606
Finding interesting associations without support pruning,Edith Cohen; Mayur Datar; Shinji Fujiwara; Aristides Gionis; Piotr Indyk; Rajeev Motwani; Jeffrey D Ullman; Cheng Yang,Association-rule mining has heretofore relied on the condition of high support to do its workefficiently. In particular; the well-known a priori algorithm is only effective when the only rulesof interest are relationships that occur very frequently. However; there are a number ofapplications; such as data mining; identification of similar Web documents; clustering; andcollaborative filtering; where the rules of interest have comparatively few instances in thedata. In these cases; we must look for highly correlated items; or possibly even causalrelationships between infrequent items. We develop a family of algorithms for solving thisproblem; employing a combination of random sampling and hashing techniques. Weprovide analysis of the algorithms developed and conduct experiments on real and syntheticdata to obtain a comparative performance analysis.,IEEE Transactions on Knowledge and Data Engineering,2001,523
Know your neighbors: Web spam detection using the web topology,Carlos Castillo; Debora Donato; Aristides Gionis; Vanessa Murdock; Fabrizio Silvestri,Abstract Web spam can significantly deteriorate the quality of search engine results. Thusthere is a large incentive for commercial search engines to detect spam pages efficiently andaccurately. In this paper we present a spam detection system that combines link-based andcontent-based features; and uses the topology of the Web graph by exploiting the linkdependencies among the Web pages. We find that linked hosts tend to belong to the sameclass: either both are spam or both are non-spam. We demonstrate three methods ofincorporating the Web graph topology into the predictions obtained by our base classifier:(i)clustering the host graph; and assigning the label of all hosts in the cluster by majorityvote;(ii) propagating the predicted labels to neighboring hosts; and (iii) using the predictedlabels of neighboring hosts as new features and retraining the classifier. The result is an …,Proceedings of the 30th annual international ACM SIGIR conference on Research and development in information retrieval,2007,366
The query-flow graph: model and applications,Paolo Boldi; Francesco Bonchi; Carlos Castillo; Debora Donato; Aristides Gionis; Sebastiano Vigna,Abstract Query logs record the queries and the actions of the users of search engines; andas such they contain valuable information about the interests; the preferences; and thebehavior of the users; as well as their implicit feedback to search engine results. Mining thewealth of information available in the query logs has many important applications includingquery-log analysis; user profiling and personalization; advertising; query recommendation;and more. In this paper we introduce the query-flow graph; a graph representation of theinteresting knowledge about latent querying behavior. Intuitively; in the query-flow graph adirected edge from query qi to query qj means that the two queries are likely to be part of thesame" search mission". Any path over the query-flow graph may be seen as a searchingbehavior; whose likelihood is given by the strength of the edges along the path.,Proceedings of the 17th ACM conference on Information and knowledge management,2008,334
XTRACT: a system for extracting document type descriptors from XML documents,Minos Garofalakis; Aristides Gionis; Rajeev Rastogi; Sridhar Seshadri; Kyuseok Shim,Abstract XML is rapidly emerging as the new standard for data representation and exchangeon the Web. An XML document can be accompanied by a Document Type Descriptor (DTD)which plays the role of a schema for an XML data collection. DTDs contain valuableinformation on the structure of documents and thus have a crucial role in the efficient storageof XML data; as well as the effective formulation and optimization of XML queries. In thispaper; we propose XTRACT; a novel system for inferring a DTD schema for a database ofXML documents. Since the DTD syntax incorporates the full expressive power of regularexpressions; naive approaches typically fail to produce concise and intuitive DTDs. Instead;the XTRACT inference algorithms employ a sequence of sophisticated steps that involve:(1)finding patterns in the input sequences and replacing them with regular expressions to …,ACM SIGMOD Record,2000,321
The community-search problem and how to plan a successful cocktail party,Mauro Sozio; Aristides Gionis,Abstract A lot of research in graph mining has been devoted in the discovery of communities.Most of the work has focused in the scenario where communities need to be discovered withonly reference to the input graph. However; for many interesting applications one isinterested in finding the community formed by a given set of nodes. In this paper we study aquery-dependent variant of the community-detection problem; which we call the community-search problem: given a graph G; and a set of query nodes in the graph; we seek to find asubgraph of G that contains the query nodes and it is densely connected. We motivate ameasure of density based on minimum degree and distance constraints; and we develop anoptimum greedy algorithm for this measure. We proceed by characterizing a class ofmonotone constraints and we generalize our algorithm to compute optimum solutions …,Proceedings of the 16th ACM SIGKDD international conference on Knowledge discovery and data mining,2010,262
Evaluating strategies for similarity search on the web,Taher H Haveliwala; Aristides Gionis; Dan Klein; Piotr Indyk,Abstract Finding pages on the Web that are similar to a query page (Related Pages) is animportant component of modern search engines. A variety of strategies have been proposedfor answering Related Pages queries; but comparative evaluation by user studies isexpensive; especially when large strategy spaces must be searched (eg; when tuningparameters). We present a technique for automatically evaluating strategies using Webhierarchies; such as Open Directory; in place of user feedback. We apply this evaluationmethodology to a mix of document representation strategies; including the use of text;anchor-text; and links. We discuss the relative advantages and disadvantages of the variousapproaches examined. Finally; we describe how to efficiently construct a similarity index outof our chosen strategies; and provide sample results from our index.,Proceedings of the 11th international conference on World Wide Web,2002,254
Assessing data mining results via swap randomization,Aristides Gionis; Heikki Mannila; Taneli Mielikäinen; Panayiotis Tsaparas,Abstract The problem of assessing the significance of data mining results on high-dimensional 0--1 datasets has been studied extensively in the literature. For problems suchas mining frequent sets and finding correlations; significance testing can be done bystandard statistical tests such as chi-square; or other methods. However; the results of suchtests depend only on the specific attributes and not on the dataset as a whole. Moreover; thetests are difficult to apply to sets of patterns or other complex results of data miningalgorithms. In this article; we consider a simple randomization technique that deals with thisshortcoming. The approach consists of producing random datasets that have the same rowand column margins as the given dataset; computing the results of interest on therandomized instances and comparing them to the results on the actual data. This …,ACM Transactions on Knowledge Discovery from Data (TKDD),2007,245
Social network analysis and mining for business applications,Francesco Bonchi; Carlos Castillo; Aristides Gionis; Alejandro Jaimes,Abstract Social network analysis has gained significant attention in recent years; largely dueto the success of online social networking and media-sharing sites; and the consequentavailability of a wealth of social network data. In spite of the growing interest; however; thereis little understanding of the potential business applications of mining social networks. Whilethere is a large body of research on different problems and methods for social networkmining; there is a gap between the techniques developed by the research community andtheir deployment in real-world applications. Therefore the potential business impact of thesetechniques is still largely unexplored. In this article we use a business process classificationframework to put the research topics in a business context and provide an overview of whatwe consider key problems and techniques in social network analysis and mining from the …,ACM Transactions on Intelligent Systems and Technology (TIST),2011,240
Correlating financial time series with micro-blogging activity,Eduardo J Ruiz; Vagelis Hristidis; Carlos Castillo; Aristides Gionis; Alejandro Jaimes,Abstract We study the problem of correlating micro-blogging activity with stock-marketevents; defined as changes in the price and traded volume of stocks. Specifically; we collectmessages related to a number of companies; and we search for correlations between stock-market events for those companies and features extracted from the micro-bloggingmessages. The features we extract can be categorized in two groups. Features in the firstgroup measure the overall activity in the micro-blogging platform; such as number of posts;number of re-posts; and so on. Features in the second group measure properties of aninduced interaction graph; for instance; the number of connected components; statistics onthe degree distribution; and other graph-based properties. We present detailed experimentalresults measuring the correlation of the stock market events with these features; using …,Proceedings of the fifth ACM international conference on Web search and data mining,2012,229
