Efficient similarity joins for near-duplicate detection,Chuan Xiao; Wei Wang; Xuemin Lin; Jeffrey Xu Yu; Guoren Wang,Abstract With the increasing amount of data and the need to integrate data from multipledata sources; one of the challenging issues is to identify near-duplicate records efficiently. Inthis article; we focus on efficient algorithms to find a pair of records such that their similaritiesare no less than a given threshold. Several existing algorithms rely on the prefix filteringprinciple to avoid computing similarity values for all possible pairs of records. We proposenew filtering techniques by exploiting the token ordering information; they are integrated intothe existing methods and drastically reduce the candidate sizes and hence improve theefficiency. We have also studied the implementation of our proposed algorithm in stand-alone and RDBMS-based settings. Experimental results show our proposed algorithms canoutperform previous algorithms on several real datasets.,ACM Transactions on Database Systems (TODS),2011,562
Efficient similarity joins for near duplicate detection,Chuan Xiao; Wei Wang; Xuemin Lin; Jeffrey Xu Yu,Abstract With the increasing amount of data and the need to integrate data from multipledata sources; one of the challenging issues is to identify near-duplicate records efficiently. Inthis article; we focus on efficient algorithms to find a pair of records such that their similaritiesare no less than a given threshold. Several existing algorithms rely on the prefix filteringprinciple to avoid computing similarity values for all possible pairs of records. We proposenew filtering techniques by exploiting the token ordering information; they are integrated intothe existing methods and drastically reduce the candidate sizes and hence improve theefficiency. We have also studied the implementation of our proposed algorithm in stand-alone and RDBMS-based settings. Experimental results show our proposed algorithms canoutperform previous algorithms on several real datasets.,Proceeding of the 17th international conference on World Wide Web,2008,562
Ed-join: an efficient algorithm for similarity joins with edit distance constraints,Chuan Xiao; Wei Wang; Xuemin Lin,Abstract There has been considerable interest in similarity join in the research communityrecently. Similarity join is a fundamental operation in many application areas; such as dataintegration and cleaning; bioinformatics; and pattern recognition. We focus on efficientalgorithms for similarity join with edit distance constraints. Existing approaches are mainlybased on converting the edit distance constraint to a weaker constraint on the number ofmatching q-grams between pair of strings. In this paper; we propose the novel perspective ofinvestigating mismatching q-grams. Technically; we derive two new edit distance lowerbounds by analyzing the locations and contents of mismatching q-grams. A new algorithm;Ed-Join; is proposed that exploits the new mismatch-based filtering methods; it achievessubstantial reduction of the candidate sizes and hence saves computation time. We …,Proceedings of the VLDB Endowment,2008,211
Top-k set similarity joins,Chuan Xiao; Wei Wang; Xuemin Lin; Haichuan Shang,Similarity join is a useful primitive operation underlying many applications; such as nearduplicate Web page detection; data integration; and pattern recognition. Traditional similarityjoins require a user to specify a similarity threshold. In this paper; we study a variant of thesimilarity join; termed top-k set similarity join. It returns the top-k pairs of records ranked bytheir similarities; thus eliminating the guess work users have to perform when the similaritythreshold is unknown before hand. An algorithm; topk-join; is proposed to answer top-ksimilarity join efficiently. It is based on the prefix filtering principle and employs tight upperbounding of similarity values of unseen pairs. Experimental results demonstrate theefficiency of the proposed algorithm on large-scale real datasets.,Data Engineering; 2009. ICDE'09. IEEE 25th International Conference on,2009,162
Efficient approximate entity extraction with edit distance constraints,Wei Wang; Chuan Xiao; Xuemin Lin; Chengqi Zhang,Abstract Named entity recognition aims at extracting named entities from unstructured text. Arecent trend of named entity recognition is finding approximate matches in the text withrespect to a large dictionary of known entities; as the domain knowledge encoded in thedictionary helps to improve the extraction performance. In this paper; we study the problemof approximate dictionary matching with edit distance constraints. Compared to existingstudies using token-based similarity constraints; our problem definition enables us tocapture typographical or orthographical errors; both of which are common in entity extractiontasks yet may be missed by token-based similarity constraints. Our problem is technicallychallenging as existing approaches based on q-gram filtering have poor performance due tothe existence of many short entities in the dictionary. Our proposed solution is based on …,Proceedings of the 2009 ACM SIGMOD International Conference on Management of data,2009,118
Efficient exact edit similarity query processing with the asymmetric signature scheme,Jianbin Qin; Wei Wang; Yifei Lu; Chuan Xiao; Xuemin Lin,Abstract Given a query string Q; an edit similarity search finds all strings in a databasewhose edit distance with Q is no more than a given threshold t. Most existing methodanswering edit similarity queries rely on a signature scheme to generate candidates giventhe query string. We observe that the number of signatures generated by existing methods isfar greater than the lower bound; and this results in high query time and index spacecomplexities. In this paper; we show that the minimum signature size lower bound is t+ 1. Wethen propose asymmetric signature schemes that achieve this lower bound. We developefficient query processing algorithms based on the new scheme. Several dynamicprogramming-based candidate pruning methods are also developed to further speed up theperformance. We have conducted a comprehensive experimental study involving nine …,Proceedings of the 2011 ACM SIGMOD International Conference on Management of data,2011,72
Efficient graph similarity joins with edit distance constraints,Xiang Zhao; Chuan Xiao; Xuemin Lin; Wei Wang,Graphs are widely used to model complicated data semantics in many applications inbioinformatics; chemistry; social networks; pattern recognition; etc. A recent trend is totolerate noise arising from various sources; such as erroneous data entry; and find similaritymatches. In this paper; we study the graph similarity join problem that returns pairs of graphssuch that their edit distances are no larger than a threshold. Inspired by the q-gram idea forstring similarity problem; our solution extracts paths from graphs as features for indexing. Weestablish a lower bound of common features to generate candidates. An efficient algorithm isproposed to exploit both matching and mismatching features to improve the filtering andverification on candidates. We demonstrate the proposed algorithm significantly outperformsexisting approaches with extensive experiments on publicly available datasets.,Data Engineering (ICDE); 2012 IEEE 28th International Conference on,2012,46
Vchunkjoin: An efficient algorithm for edit similarity joins,Wei Wang; Jianbin Qin; Chuan Xiao; Xuemin Lin; Heng Tao Shen,Similarity joins play an important role in many application areas; such as data integrationand cleaning; record linkage; and pattern recognition. In this paper; we study efficientalgorithms for similarity joins with an edit distance constraint. Currently; the most prevalentapproach is based on extracting overlapping grams from strings and considering onlystrings that share a certain number of grams as candidates. Unlike these existingapproaches; we propose a novel approach to edit similarity join based on extractingnonoverlapping substrings; or chunks; from strings. We propose a class of chunkingschemes based on the notion of tail-restricted chunk boundary dictionary. A new algorithm;VChunkJoin; is designed by integrating existing filtering methods and several new filtersunique to our chunk-based method. We also design a greedy algorithm to automatically …,IEEE Transactions on Knowledge and Data Engineering,2013,36
Efficient error-tolerant query autocompletion,Chuan Xiao; Jianbin Qin; Wei Wang; Yoshiharu Ishikawa; Koji Tsuda; Kunihiko Sadakane,Abstract Query autocompletion is an important feature saving users many keystrokes fromtyping the entire query. In this paper we study the problem of query autocompletion thattolerates errors in users' input using edit distance constraints. Previous approaches indexdata strings in a trie; and continuously maintain all the prefixes of data strings whose editdistance from the query are within the threshold. The major inherent problem is that thenumber of such prefixes is huge for the first few characters of the query and is exponential inthe alphabet size. This results in slow query response even if the entire query approximatelymatches only few prefixes. In this paper; we propose a novel neighborhood generation-based algorithm; IncNGTrie; which can achieve up to two orders of magnitude speedup overexisting methods for the error-tolerant query autocompletion problem. Our proposed …,Proceedings of the VLDB Endowment,2013,34
Efficient query processing for streamed XML fragments,Huan Huo; Guoren Wang; Xiaoyun Hui; Rui Zhou; Bo Ning; Chuan Xiao,Abstract Unlike in traditional databases; queries on XML streams are bounded not only bymemory but also by real time processing. Recently proposed Hole-Filler model is promisingfor information transmission and publication; by slicing XML data into low consuming; easysynchronized fragments. However; XPath queries evaluate the elements in streamed XMLdata; not the XML fragments; and operation dependence caused by fragments deceleratesprocessing efficiency. By taking advantage of schema information for XML; this paperproposes a model of tid tree to optimize queries over XML fragments by removing“redundant” operations. It then proposes XFPro for processing XPath queries on XMLfragments to achieve processing and memory efficiency. Our performance study shows thatXFPro performs well both on execution time and memory metrics.,International Conference on Database Systems for Advanced Applications,2006,30
Efficient processing of graph similarity queries with edit distance constraints,Xiang Zhao; Chuan Xiao; Xuemin Lin; Wei Wang; Yoshiharu Ishikawa,Abstract Graphs are widely used to model complicated data semantics in many applicationsin bioinformatics; chemistry; social networks; pattern recognition; etc. A recent trend is totolerate noise arising from various sources such as erroneous data entries and find similaritymatches. In this paper; we study graph similarity queries with edit distance constraints.Inspired by the q-gram idea for string similarity problems; our solution extracts paths fromgraphs as features for indexing. We establish a lower bound of common features to generatecandidates. Efficient algorithms are proposed to handle three types of graph similarityqueries by exploiting both matching and mismatching features as well as degree informationto improve the filtering and verification on candidates. We demonstrate the proposedalgorithms significantly outperform existing approaches with extensive experiments on …,The VLDB Journal,2013,26
A partition-based approach to structure similarity search,Xiang Zhao; Chuan Xiao; Xuemin Lin; Qing Liu; Wenjie Zhang,Abstract Graphs are widely used to model complex data in many applications; such asbioinformatics; chemistry; social networks; pattern recognition; etc. A fundamental andcritical query primitive is to efficiently search similar structures in a large collection of graphs.This paper studies the graph similarity queries with edit distance constraints. Existingsolutions to the problem utilize fixed-size overlapping substructures to generate candidates;and thus become susceptible to large vertex degrees or large distance thresholds. In thispaper; we present a partition-based approach to tackle the problem. By dividing data graphsinto variable-size non-overlapping partitions; the edit distance constraint is converted to agraph containment constraint for candidate generation. We develop efficient queryprocessing algorithms based on the new paradigm. A candidate pruning technique and …,Proceedings of the VLDB Endowment,2013,23
Load shedding for window joins over streams,Donghong Han; Chuan Xiao; Rui Zhou; Guoren Wang; Huan Huo; Xiaoyun Hui,Abstract We present a novel load shedding technique over sliding window joins. We firstconstruct a dual window architectural model including join-windows and aux-windows. Withthe statistics built on aux-windows; an effective load shedding strategy is developed toproduce maximum subset join outputs. For the streams with high arrival rates; we proposean approach incorporating front-shedding and rear-shedding; and then address the problemof how to cooperate these two shedding processes through a series of calculations. Basedon extensive experimentation with synthetic data and real life data; we show that our loadshedding strategy delivers superb join output performance; and dominates the existingstrategies.,International Conference on Web-Age Information Management,2006,14
Asymmetric signature schemes for efficient exact edit similarity query processing,Jianbin Qin; Wei Wang; Chuan Xiao; Yifei Lu; Xuemin Lin; Haixun Wang,Abstract Given a query string Q; an edit similarity search finds all strings in a databasewhose edit distance with Q is no more than a given threshold τ. Most existing methodsanswering edit similarity queries employ schemes to generate string subsequences assignatures and generate candidates by set overlap queries on query and data signatures. Inthis article; we show that for any such signature scheme; the lower bound of the minimumnumber of signatures is τ &plus; 1; which is lower than what is achieved by existing methods.We then propose several asymmetric signature schemes; that is; extracting differentnumbers of signatures for the data and query strings; which achieve this lower bound. Abasic asymmetric scheme is first established on the basis of matching q-chunks and q-gramsbetween two strings. Two efficient query processing algorithms (IndexGram and …,ACM Transactions on Database Systems (TODS),2013,7
