Learning linear regression models over factorized joins,Maximilian Schleich; Dan Olteanu; Radu Ciucanu,Abstract We investigate the problem of building least squares regression models overtraining datasets defined by arbitrary join queries on database tables. Our key observation isthat joins entail a high degree of redundancy in both computation and data representation;which is not required for the end-to-end solution to learning over joins. We propose a newparadigm for computing batch gradient descent that exploits the factorized computation andrepresentation of the training datasets; a rewriting of the regression objective function thatdecouples the computation of cofactors of model parameters from their convergence; andthe commutativity of cofactor computation with relational union and projection. We introducethree flavors of this approach: F/FDB computes the cofactors in one pass over thematerialized factorized join; Favoids this materialization and intermixes cofactor and join …,Proceedings of the 2016 International Conference on Management of Data,2016,34
gMark: schema-driven generation of graphs and queries,Guillaume Bagan; Angela Bonifati; Radu Ciucanu; George HL Fletcher; Aurélien Lemay; Nicky Advokaat,Massive graph data sets are pervasive in contemporary application domains. Hence; graphdatabase systems are becoming increasingly important. In the experimental study of thesesystems; it is vital that the research community has shared solutions for the generation ofdatabase instances and query workloads having predictable and controllable properties. Inthis paper; we present the design and engineering principles of gMark; a domainand querylanguage-independent graph instance and query workload generator. A core contribution ofgMark is its ability to target and control the diversity of properties of both the generatedinstances and the generated workloads coupled to these instances. Further noveltiesinclude support for regular path queries; a fundamental graph query paradigm; and schema-driven selectivity estimation of queries; a key feature in controlling workload chokepoints …,IEEE transactions on knowledge and data engineering,2017,28
Learning path queries on graph databases,Angela Bonifati; Radu Ciucanu; Aurélien Lemay,We investigate the problem of learning graph queries by exploiting user examples. The inputconsists of a graph database in which the user has labeled a few nodes as positive ornegative examples; depending on whether or not she would like the nodes as part of thequery result. Our goal is to handle such examples to find a query whose output is what theuser expects. This kind of scenario is pivotal in several application settings where unfamiliarusers need to be assisted to specify their queries. In this paper; we focus on path queriesdefined by regular expressions; we identify fundamental difficulties of our problem setting;we formalize what it means to be learnable; and we prove that the class of queries understudy enjoys this property. We additionally investigate an interactive scenario where we startwith an empty set of examples and we identify the informative nodes ie; those that …,EDBT 2015,2015,22
Interactive join query inference with JIM,Angela Bonifati; Radu Ciucanu; Slawomir Staworko,Abstract Specifying join predicates may become a cumbersome task in many situations eg;when the relations to be joined come from disparate data sources; when the values of theattributes carry little or no knowledge of metadata; or simply when the user is unfamiliar withquerying formalisms. Such task is recurrent in many traditional data managementapplications; such as data integration; constraint inference; and database denormalization;but it is also becoming pivotal in novel crowdsourcing applications. We present Jim (JoinInference Machine); a system for interactive join specification tasks; where the user infers ann-ary join predicate by selecting tuples that are part of the join result via Booleanmembership queries. The user can label tuples as positive or negative; while the systemallows to identify and gray out the uninformative tuples ie; those that do not add any …,PVLDB,2014,20
Interactive inference of join queries,Angela Bonifati; Radu Ciucanu; Slawomir Staworko,We investigate the problem of inferring join queries from user interactions. The user ispresented with a set of candidate tuples and is asked to label them as positive or negativedepending on whether or not she would like the tuples as part of the join result. The goal isto quickly infer an arbitrary n-ary join predicate across two relations by keeping the numberof user interactions as minimal as possible. We assume no prior knowledge of the integrityconstraints between the involved relations. This kind of scenario occurs in severalapplication settings; such as data integration; reverse engineering of database queries; andconstraint inference. In such scenarios; the database instances may be too big to beskimmed. We explore the search space by using a set of strategies that let us prune what wecall" uninformative" tuples; and directly present to the user the informative ones ie; those …,EDBT 2014,2014,20
Learning Join Queries from User Examples,Angela Bonifati; Radu Ciucanu; Slawek Staworko,Abstract We investigate the problem of learning join queries from user examples. The user ispresented with a set of candidate tuples and is asked to label them as positive or negativeexamples; depending on whether or not she would like the tuples as part of the join result.The goal is to quickly infer an arbitrary n-ary join predicate across an arbitrary number m ofrelations while keeping the number of user interactions as minimal as possible. We assumeno prior knowledge of the integrity constraints across the involved relations. Inferring the joinpredicate across multiple relations when the referential constraints are unknown may occurin several applications; such as data integration; reverse engineering of database queries;and schema inference. In such scenarios; the number of tuples involved in the join istypically large. We introduce a set of strategies that let us inspect the search space and …,ACM Transactions on Database Systems,2015,16
The iBench Integration Metadata Generator,Patricia C Arocena; Boris Glavic; Radu Ciucanu; Renée J Miller,Abstract Given the maturity of the data integration field it is surprising that rigorous empiricalevaluations of research ideas are so scarce. We identify a major roadblock for empiricalwork-the lack of comprehensive metadata generators that can be used to createbenchmarks for different integration tasks. This makes it difficult to compare integrationsolutions; understand their generality; and understand their performance. We presentiBench; the first metadata generator that can be used to evaluate a wide-range of integrationtasks (data exchange; mapping creation; mapping composition; schema evolution; amongmany others). iBench permits control over the size and characteristics of the metadata itgenerates (schemas; constraints; and mappings). Our evaluation demonstrates that iBenchcan efficiently generate very large; complex; yet realistic scenarios with different …,PVLDB,2015,15
Generating flexible workloads for graph databases,Guillaume Bagan; Angela Bonifati; Radu Ciucanu; George HL Fletcher; Aurélien Lemay; Nicky Advokaat,Abstract Graph data management tools are nowadays evolving at a great pace. Key driversof progress in the design and study of data intensive systems are solutions for syntheticgeneration of data and workloads; for use in empirical studies. Current graph generators;however; provide limited or no support for workload generation or are limited to fixed use-cases. Towards addressing these limitations; we demonstrate gMark; the first domain-andquery language-independent framework for synthetic graph and query workload generation.Its novel features are:(i) fine-grained control of graph instance and query workloadgeneration via expressive user-defined schemas;(ii) the support of expressive graph querylanguages; including recursion among other features; and;(iii) selectivity estimation of thegenerated queries. During the demonstration; we will showcase the highly tunable …,Proceedings of the VLDB Endowment,2016,12
Simple schemas for unordered XML,Iovka Boneva; Radu Ciucanu; Slawek Staworko,Abstract: We consider unordered XML; where the relative order among siblings is ignored;and propose two simple yet practical schema formalisms: disjunctive multiplicity schemas(DMS); and its restriction; disjunction-free multiplicity schemas (MS). We investigate theircomputational properties and characterize the complexity of the following static analysisproblems: schema satisfiability; membership of a tree to the language of a schema; schemacontainment; twig query satisfiability; implication; and containment in the presence ofschema. Our research indicates that the proposed formalisms retain much of theexpressiveness of DTDs without an increase in computational complexity.,WebDB 2013,2013,12
A paradigm for learning queries on big data,Angela Bonifati; Radu Ciucanu; Aurélien Lemay; Sławek Staworko,Abstract Specifying a database query using a formal query language is typically achallenging task for non-expert users. In the context of big data; this problem becomes evenharder as it requires the users to deal with database instances of big sizes and hencedifficult to visualize. Such instances usually lack a schema to help the users specify theirqueries; or have an incomplete schema as they come from disparate data sources. In thispaper; we propose a novel paradigm for interactive learning of queries on big data; withoutassuming any knowledge of the database schema. The paradigm can be applied to differentdatabase models and a class of queries adequate to the database model. In particular; inthis paper we present two instantiations that validated the proposed paradigm for learningrelational join queries and for learning path queries on graph databases. Finally; we …,Data4U 2014,2014,10
