Putting lipstick on pig: Enabling database-style workflow provenance,Yael Amsterdamer; Susan B Davidson; Daniel Deutch; Tova Milo; Julia Stoyanovich; Val Tannen,Abstract Workflow provenance typically assumes that each module is a" black-box"; so thateach output depends on all inputs (coarse-grained dependencies). Furthermore; it does notmodel the internal state of a module; which can change between repeated executions. Inpractice; however; an output may depend on only a small subset of the inputs (fine-graineddependencies) as well as on the internal state of the module. We present a novelprovenance framework that marries database-style and workflow-style provenance; by usingPig Latin to expose the functionality of modules; thus capturing internal state and fine-grained dependencies. A critical ingredient in our solution is the use of a novel form ofprovenance graph that models module invocations and yields a compact representation offine-grained workflow provenance. It also enables a number of novel graph …,Proceedings of the VLDB Endowment,2011,115
Provenance for aggregate queries,Yael Amsterdamer; Daniel Deutch; Val Tannen,Abstract We study in this paper provenance information for queries with aggregation.Provenance information was studied in the context of various query languages that do notallow for aggregation; and recent work has suggested to capture provenance by annotatingthe different database tuples with elements of a commutative semiring and propagating theannotations through query evaluation. We show that aggregate queries pose novelchallenges rendering this approach inapplicable. Consequently; we propose a newapproach; where we annotate with provenance information not just tuples but also theindividual values within tuples; using provenance to describe the values computation. Werealize this approach in a concrete construction; first for" simple" queries where theaggregation operator is the last one applied; and then for arbitrary (positive) relational …,Proceedings of the thirtieth ACM SIGMOD-SIGACT-SIGART symposium on Principles of database systems,2011,90
Circuits for Datalog Provenance.,Daniel Deutch; Tova Milo; Sudeepa Roy; Val Tannen,ABSTRACT The annotation of the results of database queries with provenance informationhas many applications. This paper studies provenance for datalog queries. We start byconsidering provenance representation by (positive) Boolean expressions; as pioneered inthe theories of incomplete and probabilistic databases. We show that even for linear datalogprograms the representation of provenance using Boolean expressions incurs a super-polynomial size blowup in data complexity. We address this with an approach that is novel inprovenance studies; showing that we can construct in PTIME poly-size (data complexity)provenance representations as Boolean circuits. Then we present optimization techniquesthat embed the construction of circuits into seminaive datalog evaluation; and further reducethe size of the circuits. We also illustrate the usefulness of our approach in multiple …,ICDT,2014,32
On provenance minimization,Yael Amsterdamer; Daniel Deutch; Tova Milo; Val Tannen,Abstract Provenance information has been proved to be very effective in capturing thecomputational process performed by queries; and has been used extensively as the input tomany advanced data management tools (eg; view maintenance; trust assessment; or queryanswering in probabilistic databases). We observe here that while different (set-) equivalentqueries may admit different provenance expressions when evaluated on the samedatabase; there is always some part of these expressions that is common to all. We refer tothis part as the core provenance. In addition to being informative; the core provenance isalso useful as a compact input to the aforementioned data management tools. We formallydefine the notion of core provenance. We study algorithms that; given a query; compute anequivalent (called p-minimal) query that for every input database; the provenance of …,ACM Transactions on Database Systems (TODS),2012,32
On the Limitations of Provenance for Queries with Difference.,Yael Amsterdamer; Daniel Deutch; Val Tannen,Abstract The annotation of the results of database transformations was shown to be veryeffective for various applications. Until recently; most works in this context focused onpositive query languages. The provenance semirings is a particular approach that wasproven effective for these languages; and it was shown that when propagating provenancewith semirings; the expected equivalence axioms of the corresponding query languages aresatisfied. There have been several attempts to extend the framework to account for relationalalgebra queries with difference. We show here that these suggestions fail to satisfy someexpected equivalence axioms (that in particular hold for queries on “standard” set and bagdatabases). Interestingly; we show that this is not a pitfall of these particular attempts; butrather every such attempt is bound to fail in satisfying these axioms; for some semirings …,TaPP,2011,29
Querying structural and behavioral properties of business processes,Daniel Deutch; Tova Milo,Abstract BPQL is a novel query language for querying business process specifications;introduced recently in [5; 6]. It is based on an intuitive model of business processes asrewriting systems; an abstraction of the emerging BPEL (Business Process ExecutionLanguage) standard [7]. BPQL allows users to query business processes visually; in amanner very analogous to the language used to specify the processes. The goal of thepresent paper is to study the formal model underlying BPQL and investigate its properties aswell as the complexity of query evaluation. We also study its relationship to previouslysuggested formalisms for process modeling and querying. In particular we propose a queryevaluation algorithm of polynomial data complexity that can be applied uniformly to querieson the structure of the process specification as well as on the potential behavior of the …,International Symposium on Database Programming Languages,2007,28
Caravan: Provisioning for What-If Analysis.,Daniel Deutch; Zachary G Ives; Tova Milo; Val Tannen,ABSTRACT Problems of what-if analysis (such as hypothetical deletions; insertions; andmodifications) over complex analysis queries are increasingly commonplace; eg; in forminga business strategy or looking for causal relationships in science. Here; data analysts aretypically interested only in task-specific views of the data; and they expect to be able tointeractively manipulate the data in a natural and seamless way—possibly on a phone ortablet; and possibly via a spreadsheet or similar interface without having to carry the fullmachinery of a DBMS. The Caravan system enables what-if analysis: fast; lightweight;interactive exploration of alternative answers; within views computed over large-scaledistributed data sources. Our novel approach is based on creating dedicated provisionedautonomous representations; or PARs. PARs are compiled out of the data; initial analysis …,CIDR,2013,24
On probabilistic fixpoint and markov chain query languages,Daniel Deutch; Christoph Koch; Tova Milo,Abstract We study highly expressive query languages such as datalog; fixpoint; and while-languages on probabilistic databases. We generalize these languages such thatcomputation steps (eg datalog rules) can fire probabilistically. We define two possiblesemantics for such query languages; namely inflationary semantics where the results ofeach computation step are added to the current database and noninflationary queries thatinduce a random walk in-between database instances. We then study the complexity ofexact and approximate query evaluation under these semantics.,Proceedings of the twenty-ninth ACM SIGMOD-SIGACT-SIGART symposium on Principles of database systems,2010,23
Type inference and type checking for queries on execution traces,Daniel Deutch; Tova Milo,Abstract This paper studies; for the first time; the management of type information for animportant class of semi-structured data: nested DAGs (Directed Acyclic Graphs) thatdescribe execution traces of business processes (BPs for short). Specifically; we considerhere type inference and type checking for queries over BP execution traces. The queries thatwe consider select portions of the traces that are of interest to the user; the types describethe possible shape of the execution traces in the input/output of the query. We formallydefine and characterize here three common classes of BP execution traces and theirrespective notions of type inference and type checking. We study the complexity of the twoproblems for query languages of varying expressive power and present efficient typeinference/checking algorithms whenever possible. Our analysis offers a nearly complete …,Proceedings of the VLDB Endowment,2008,22
Evaluating top-k queries over business processes,Daniel Deutch; Tova Milo,A Business Process (BP) consists of some business activities undertaken by one or moreorganizations in pursuit of some business goal. Tools for querying and analyzing BPspecifications are extremely valuable for companies as they allow to optimize the BP;identify potential problems; and reduce operational costs. In particular; given a BPspecification; identifying the top-k execution flows that are most likely to occur in practice outof those satisfying the query criteria; is crucial for various applications. To address this need;we introduce in this paper the notion of {\em likelihood} for BP execution flows; and study top-k query evaluation (finding the $ k $ most likely matches) for queries over BP specifications.We analyze the complexity of query evaluation in this context and present novel algorithmsfor computing top-k query results. To our knowledge; this is the first paper that studies …,Data Engineering; 2009. ICDE'09. IEEE 25th International Conference on,2009,19
Top-k projection queries for probabilistic business processes,Daniel Deutch; Tova Milo,Abstract A Business Process (BP) consists of some business activities undertaken by one ormore organizations in pursuit of some business goal. Tools for querying and analyzing BPspecifications are extremely valuable for companies. In particular; given a BP specification;identifying the top-k flows that are most likely to occur in practice; out of those satisfying agiven query criteria; is crucial for various applications such as personalized advertizementand BP web-site design. This paper studies; for the first time; top-k query evaluation forqueries with projection in this context. We analyze the complexity of the problem for differentclasses of distribution functions for the flows likelihood; and provide efficient (PTIME)algorithms whenever possible. Furthermore; we show an interesting application of ouralgorithms to the analysis of BP execution traces (logs); for recovering missing …,Proceedings of the 12th International Conference on Database Theory,2009,18
Declarative platform for data sourcing games,Daniel Deutch; Ohad Greenshpan; Boris Kostenko; Tova Milo,Abstract Harnessing a crowd of users for the collection of mass data (data sourcing) hasrecently become a wide-spread practice. One effective technique is based on games as atool that attracts the crowd to contribute useful facts. We focus here on the data managementlayer of such games; and observe that the development of this layer involves challengessuch as dealing with probabilistic data; combined with recursive manipulation of this data.These challenges are difficult to address using current declarative data managementframework works; and we thus propose here a novel such framework; and demonstrate itsusefulness in expressing different aspects in the data management of Trivia-like games. Wehave implemented a system prototype with our novel data management framework at itscore; and we highlight key issues in the system design; as well as our experimentations …,Proceedings of the 21st international conference on World Wide Web,2012,16
A quest for beauty and wealth (or; business processes for database researchers),Daniel Deutch; Tova Milo,Abstract While classic data management focuses on the data itself; research on BusinessProcesses considers also the context in which this data is generated and manipulated;namely the processes; the users; and the goals that this data serves. This allows theanalysts a better perspective of the organizational needs centered around the data. As such;this research is of fundamental importance. Much of the success of database systems in thelast decade is due to the beauty and elegance of the relational model and its declarativequery languages; combined with a rich spectrum of underlying evaluation and optimizationtechniques; and efficient implementations. This; in turn; has lead to an economic wealth forboth the users and vendors of database systems. Similar beauty and wealth are sought for inthe context of Business Processes. Much like the case for traditional database research …,Proceedings of the thirtieth ACM SIGMOD-SIGACT-SIGART symposium on Principles of database systems,2011,16
Using markov chain monte carlo to play trivia,Daniel Deutch; Ohad Greenshpan; Boris Kostenko; Tova Milo,We introduce in this Demonstration a system called Trivia Masster that generates a verylarge Database of facts in a variety of topics; and uses it for question answering. The factsare collected from human users (the “crowd”); the system motivates users to contribute to theDatabase by using a Trivia Game; where users gain points based on their contribution. Akey challenge here is to provide a suitable Data Cleaning mechanism that allows to identifywhich of the facts (answers to Trivia questions) submitted by users are indeedcorrect/reliable; and consequently how many points to grant users; how to answer questionsbased on the collected data; and which questions to present to the Trivia players; in order toimprove the data quality. As no existing single Data Cleaning technique provides asatisfactory solution to this challenge; we propose here a novel approach; based on a …,Data Engineering (ICDE); 2011 IEEE 27th International Conference on,2011,13
A Model for Fine-Grained Data Citation.,Susan B Davidson; Daniel Deutch; Tova Milo; Gianmaria Silvello,ABSTRACT An increasing amount of information is being collected in structured; evolving;curated databases; driving the question of how information extracted from such datasets viaqueries should be cited. Unlike traditional research products; such books and journals;which have a fixed granularity; data citation is a challenge because the granularity varies.Different portions of the database; with varying granularity; may have different citations.Furthermore; there are an infinite number of queries over a database; each accessing andgenerating different subsets of the database; so we cannot hope to explicitly attach a citationto every possible result set and/or query. We present the novel problem of automaticallygenerating citations for general queries over a relational database; and explore a solutionbased on a set of citation views; each of which attaches a citation to a view of the …,CIDR,2017,11
Deduction with contradictions in datalog,Serge Abiteboul; Daniel Deutch; Victor Vianu,We study deduction in the presence of inconsistencies. Following previous works; wecapture deduction via datalog programs and inconsistencies through violations of functionaldependencies (FDs). We study and compare two semantics for datalog with FDs: the first; ofa logical nature; is based on inferring facts one at a time; while never violating the FDs; thesecond; of an operational nature; consists in a fixpoint computation in which maximal sets offacts consistent with the FDs are inferred at each stage. Both semantics arenondeterministic; yielding sets of possible worlds. We introduce a PTIME (in the size of theextensional data) algorithm; that given a datalog program; a set of FDs and an inputinstance; produces a c-table representation of the set of possible worlds. Then; we proposeto quantify nondeterminism with probabilities; by means of a probabilistic semantics. We …,International Conference on Database Theory,2014,11
Optimal top-k query evaluation for weighted business processes,Daniel Deutch; Tova Milo; Neoklis Polyzotis; Tom Yam,Abstract A Business Process (BP for short) consists of a set of activities that achieve somebusiness goal when combined in a flow. Among all the (maybe infinitely many) possibleexecution flows of a BP; analysts are often interested in identifying flows that are" mostimportant"; according to some weight metric. This paper studies the following problem: givena specification of such a BP; a weighting function over BP execution flows; a query; and anumber k; identify the k flows with the highest weight among those satisfying the query. Weprovide here; for the first time; a provably optimal algorithm for identifying the top-k weightedflows of a given BP; and use it for efficient top-k query evaluation.,Proceedings of the VLDB Endowment,2010,11
A provenance framework for data-dependent process analysis,Daniel Deutch; Yuval Moskovitch; Val Tannen,Abstract A data-dependent process (DDP) models an application whose control flow isguided by a finite state machine; as well as by the state of an underlying database. DDPsare commonly found eg; in e-commerce. In this paper we develop a framework supportingthe use of provenance in static (temporal) analysis of possible DDP executions. Usingprovenance support; analysts can interactively test and explore the effect of hypotheticalmodifications to a DDP's state machine and/or to the underlying database. They can alsoextend the analysis to incorporate the propagation of annotations from meta-domains ofinterest; eg; cost or access privileges. Toward this goal we note that the framework ofsemiring-based provenance was proven highly effective in fulfilling similar needs in thecontext of database queries. In this paper we consider novel constructions that generalize …,Proceedings of the VLDB Endowment,2014,10
Approximated summarization of data provenance,Eleanor Ainy; Pierre Bourhis; Susan B Davidson; Daniel Deutch; Tova Milo,Abstract Many modern applications involve collecting large amounts of data from multiplesources; and then aggregating and manipulating it in intricate ways. The complexity of suchapplications; combined with the size of the collected data; makes it difficult to understandhow the resulting information was derived. Data provenance has proven helpful in thisrespect; however; maintaining and presenting the full and exact provenance informationmay be infeasible due to its size and complexity. We therefore introduce the notion ofapproximated summarized provenance; which provides a compact representation of theprovenance at the possible cost of information loss. Based on this notion; we present a novelprovenance summarization algorithm which; based on the semantics of the underlying dataand the intended use of provenance; outputs a summary of the input provenance …,Proceedings of the 24th ACM International on Conference on Information and Knowledge Management,2015,9
Finding optimal probabilistic generators for XML collections,Serge Abiteboul; Yael Amsterdamer; Daniel Deutch; Tova Milo; Pierre Senellart,Abstract We study the problem of; given a corpus of XML documents and its schema; findingan optimal (generative) probabilistic model; where optimality here means maximizing thelikelihood of the particular corpus to be generated. Focusing first on the structure ofdocuments; we present an efficient algorithm for finding the best generative probabilisticmodel; in the absence of constraints. We further study the problem in the presence ofintegrity constraints; namely key; inclusion; and domain constraints. We study in this casetwo different kinds of generators. First; we consider a continuation-test generator thatperforms; while generating documents; tests of schema satisfiability; these tests prevent fromgenerating a document violating the constraints but; as we will see; they are computationallyexpensive. We also study a restart generator that may generate an invalid document and …,Proceedings of the 15th International Conference on Database Theory,2012,9
Navigating in complex mashed-up applications,Daniel Deutch; Ohad Greenshpan; Tova Milo,Abstract Mashups integrate a set of Web-services and data sources; often referred to asmashlets. We study in this paper a common scenario where these mashlets are componentsof larger Web-Applications. In this case; integration of mash-lets yields a set of inter-connected applications; referred to as Mashed-up Applications (abbr. MashAPP). Whileinteractions between the mashlets enrich the individual applications; they also rendernavigation within them more intricate for the user; as actions in one application may affectothers. To assist users in their navigation through MashAPPs we provide a solution basedon a simple; generic model for MashAPPs and navigation flows within them. Queries overthe model allow users to describe navigation flows of interest; and an effective queryevaluation algorithm provides users with recommendations on how to navigate within the …,Proceedings of the VLDB Endowment,2010,9
Goal-oriented web-site navigation for on-line shoppers,Daniel Deutch; Tova Milo; Tom Yam,Abstract Web-sites for on-line shopping typically offer a vast number of product options andcombinations thereof. While this is very useful; it often makes the navigation in the site andthe identification of the" ideal" purchase (where the notion of ideal differs among users) aconfusing; non-trivial experience. This demonstration presents ShopIT (ShoppIng assitanT);a system that assists on-line shoppers by suggesting the most effective navigation paths fortheir specified criteria and preferences. The suggestions are continually adapted tochoices/decisions taken by the users while navigating. ShopITis based on a set of novel;adaptive; provably optimal algorithms for TOP-K query evaluation.,Proceedings of the VLDB Endowment,2009,9
Selective provenance for datalog programs using top-k queries,Daniel Deutch; Amir Gilad; Yuval Moskovitch,Abstract Highly expressive declarative languages; such as datalog; are now commonly usedto model the operational logic of data-intensive applications. The typical complexity of suchdatalog programs; and the large volume of data that they process; call for result explanation.Results may be explained through the tracking and presentation of data provenance; andhere we focus on a detailed form of provenance (how-provenance); defining it as the set ofderivation trees of a given fact. While informative; the size of such full provenanceinformation is typically too large and complex (even when compactly represented) to allowdisplaying it to the user. To this end; we propose a novel top-k query language for queryingdatalog provenance; supporting selection criteria based on tree patterns and ranking basedon the rules and database facts used in derivation. We propose an efficient novel …,Proceedings of the VLDB Endowment,2015,8
A structural/temporal query language for business processes,Daniel Deutch; Tova Milo,Abstract A Business Process consists of multiple business activities; which; when combinedin a flow; achieve some particular goal. These processes usually operate in a distributedenvironment and the software implementing them is fairly complex. Thus; effective tools foranalysis of the possible executions of such processes are extremely important forcompanies (Beeri et al.; 2006; 2007 [4; 5]);(Deutch and Milo; 2008 [13]); these tools canallow to debug and optimize the processes; and to make an optimal use of them. The goal ofthe present paper is to consider a formal model underlying Business Processes and studyquery languages over such processes. We study in details the relationship of the proposedmodel with previously suggested formalisms for processes modeling and querying. Inparticular we propose a query evaluation algorithm of polynomial data complexity that …,Journal of Computer and System Sciences,2012,8
Provenance-based analysis of data-centric processes,Daniel Deutch; Yuval Moskovitch; Val Tannen,Abstract We consider in this paper static analysis of the possible executions of data-dependent applications; namely applications whose control flow is guided by a finite-statemachine; as well as by the state of an underlying database. We note that previous work inthis context has not addressed two important features of such analysis; namely analysisunder hypothetical scenarios; such as changes to the application's state machine and/or tothe underlying database; and the consideration of meta-data; such as cost or accessprivileges. Observing that semiring-based provenance has been proven highly effective insupporting these two features for database queries; we develop in this paper a semiring-based provenance framework for the analysis of data-dependent processes; accounting forhypothetical reasoning and meta-data. The development addresses two interacting new …,The VLDB Journal,2015,7
Business Processes: A Database Perspective,Daniel Deutch; Tova Milo,Abstract While classic data management focuses on the data itself; research on BusinessProcesses also considers the context in which this data is generated and manipulated;namely the processes; users; and goals that this data serves. This provides the analysts abetter perspective of the organizational needs centered around the data. As such; thisresearch is of fundamental importance. Much of the success of database systems in the lastdecade is due to the beauty and elegance of the relational model and its declarative querylanguages; combined with a rich spectrum of underlying evaluation and optimizationtechniques; and efficient implementations. Much like the case for traditional databaseresearch; elegant modeling and rich underlying technology are likely to be highlybeneficiary for the Business Process owners and their users; both can benefit from easy …,Synthesis Lectures on Data Management,2012,5
Mob data sourcing,Daniel Deutch; Tova Milo,Abstract Crowdsourcing is an emerging paradigm that harnesses a mass of users to performvarious types of tasks. We focus in this tutorial on a particular form of crowdsourcing; namelycrowd (or mob) datasourcing whose goal is to obtain; aggregate or process data. Weoverview crowd datasourcing solutions in various contexts; explain the need for a principledsolution; describe advances towards achieving such a solution; and highlight remaininggaps.,Proceedings of the 2012 ACM SIGMOD International Conference on Management of Data,2012,5
Navigating through mashed-up applications with compass,Daniel Deutch; Ohad Greenshpan; Tova Milo,Mashups integrate a set of complementary Web-services and data sources; often referred toas mashlets. We consider here a common scenario where the integrated mashlets are partof larger Web-applications; and their integration yields a set of inter-connected applications.We refer to them as Mashed-up Applications (abbr. MashAPP). The inter-connectionsbetween the mashlets enrich the individual Web-applications; but at the same time make theuser navigation within them more intricate as actions in one application may affect others. Toaddress this difficulty; we present COMPASS; a system that assists users in their navigationthrough MashAPPs. The system employs a novel top-k algorithm to propose users the mosteffective navigation paths for their specified goals. The suggestions are continually adaptedto choices taken by the users while navigating.,Data Engineering (ICDE); 2010 IEEE 26th International Conference on,2010,5
Querying and monitoring distributed business processes,Tova Milo; Daniel Deutch,Abstract A business process (BP for short) consists of a group of business activitiesundertaken by one or more organizations in pursuit of some particular goal. It usuallyoperates in a cross-organization; distributed environment and the software implementing it isfairly complex. Standards facilitate the design; deployment; and execution of BPs. Inparticular; the recent BPEL standard (Business Process Execution Language); provides anXML-based language to describe the interface between the participants in a process; as wellas the full operational logic of the process and its execution flow. BPEL specifications areautomatically compiled into executable code that implements the described BP and runs ona BPEL application server. Processes execution is traced; and their run-time behavior canbe recorded in standard XML formats.,Proceedings of the VLDB Endowment,2008,5
Possible and certain answers for queries over order-incomplete data,Antoine Amarilli; Mouhamadou Lamine Ba; Daniel Deutch; Pierre Senellart,Abstract: To combine and query ordered data from multiple sources; one needs to handleuncertainty about the possible orderings. Examples of such" order-incomplete" data includeintegrated event sequences such as log entries; lists of properties (eg; hotels andrestaurants) ranked by an unknown function reflecting relevance or customer ratings; anddocuments edited concurrently with an uncertain order on edits. This paper introduces aquery language for order-incomplete data; based on the positive relational algebra withorder-aware accumulation. We use partial orders to represent order-incomplete data; andstudy possible and certain answers for queries in this context. We show that these problemsare respectively NP-complete and coNP-complete; but identify many tractable casesdepending on the query operators or input partial orders. Comments: 55 pages; 5 figures …,arXiv preprint arXiv:1707.07222,2017,4
Qplain: Query by explanation,Daniel Deutch; Amir Gilad,To assist non-specialists in formulating database queries; multiple frameworks thatautomatically infer queries from a set of input and output examples have been proposed.While highly useful; a shortcoming of the approach is that if users can only provide a smallset of examples; many inherently different queries may qualify. We observe that additionalinformation about the examples; in the form of their explanations; is useful in significantlyfocusing the set of qualifying queries. We propose to demonstrate QPlain; a system thatlearns conjunctive queries from examples and their explanations. We capture explanationsof different levels of granularity and detail; by leveraging recently developed models for dataprovenance. Explanations are fed through an intuitive interface; are compiled to theappropriate provenance model; and are then used to derive proposed queries. We will …,Data Engineering (ICDE); 2016 IEEE 32nd International Conference on,2016,4
selp: Selective tracking and presentation of data provenance,Daniel Deutch; Amir Gilad; Yuval Moskovitch,Highly expressive declarative languages; such as Datalog; are now commonly used tomodel the operational logic of data-intensive applications. The typical complexity of suchDatalog programs; and the large volume of data that they process; call for the tracking andpresentation of data provenance. Provenance information is crucial for explaining andjustifying the Datalog program results. However; the size of full provenance information is inmany cases too large (and its concise representations are too complex) to allow itspresentation to the user. To this end; we propose a demonstration of selP; a system thatallows the selective presentation of provenance; based on user-specified top-k queries. Wewill demonstrate the usefulness of selP using a real-life program and data; in the context ofInformation Extraction.,Data Engineering (ICDE); 2015 IEEE 31st International Conference on,2015,4
Querying probabilistic business processes for sub-flows,Daniel Deutch,Abstract A Business Process (BP for short) consists of a set of activities which; combined in aflow; achieve some business goal. A given BP may have a large; possibly infinite; number ofpossible execution flows (EX-flows for short); each having some probability to occur at runtime. This paper studies query evaluation over such probabilistic BPs. We focus on twoimportant classes of queries; namely boolean queries that compute the probability that arandom EX-flow of a BP satisfies a given property; and projection queries focusing onportions of EX-flows that are of interest to the user. For the latter queries the answer consistsof the top-k instances of these portions that are most likely to occur at run-time. We study thecomplexity of query evaluation for both kinds of queries; showing in particular that projectionqueries may be harder to evaluate than boolean queries. We present a picture of which …,Theory of Computing Systems,2013,4
