Symdiff: A language-agnostic semantic diff tool for imperative programs,Shuvendu K Lahiri; Chris Hawblitzel; Ming Kawaguchi; Henrique Rebêlo,Abstract In this paper; we describe SymDiff; a language-agnostic tool for equivalencechecking and displaying semantic (behavioral) differences over imperative programs. Thetool operates on an intermediate verification language Boogie; for which translations existfrom various source languages such as C; C# and x86. We discuss the tool and the front-end interface to target various source languages. Finally; we provide a brief description ofthe front-end for C programs.,International Conference on Computer Aided Verification,2012,110
Towards modularly comparing programs using automated theorem provers,Chris Hawblitzel; Ming Kawaguchi; Shuvendu K Lahiri; Henrique Rebêlo,Abstract In this paper; we present a general framework for modularly comparing two(imperative) programs that can leverage single-program verifiers based on automatedtheorem provers. We formalize (i) mutual summaries for comparing the summaries of twoprograms; and (ii) relative termination to describe conditions under which two programsrelatively terminate. The two rules together allow for checking correctness of interproceduraltransformations. We also provide a general framework for dealing with unstructured controlflow (including loops) in this framework. We demonstrate the usefulness and limitations ofthe framework for verifying equivalence; compiler optimizations; and interproceduraltransformations.,International Conference on Automated Deduction,2013,37
Implementing Java modeling language contracts with AspectJ,Henrique Rebêlo; Sérgio Soares; Ricardo Lima; Leopoldo Ferreira; Márcio Cornélio,Abstract The Java Modeling Language (JML) is a behavioral interface specificationlanguage (BISL) designed for Java. It was developed to improve functional softwarecorrectness of Java applications. However; instrumented object program generated by theJML compiler use the Java reflection mechanism and data structures not supported by JavaME applications. To deal with this limitation; we propose the use of AspectJ to implement anew JML compiler; which generates an instrumented bytecode compliant with both Java SEand Java ME applications. The paper includes a comparative study to demonstrate thequality of the final code generated by our compiler. The size of the code is compared againstthe code generated by an existent JML compiler. Moreover; we evaluate the amount ofadditional code required to implement the JML assertions in Java applications. Results …,Proceedings of the 2008 ACM symposium on Applied computing,2008,34
Conditional equivalence,Ming Kawaguchi; Shuvendu K Lahiri; Henrique Rebelo,A typical software module evolves through many versions over the course of itsdevelopment. Each version can be the result of various factors; including feature addition;performance optimizations; refactoring; or specific bug fixes. It is desirable that a module'sinterface behavior does not change in an undesirable manner across these versions.Currently; software developers attempt to ensure this by a combination of (a) syntacticprogram differencing and manual code inspection; and (b) observed behavior on a set ofregression tests. However; for large pieces of software; syntactic differencing provides littleinsight into the effect of a syntactic change on program behavior; and provides little help incode reviews. Hence; regression testing remains the primary safeguard against theintroduction of undesirable changes in a software module. These regression tests,Microsoft; MSR-TR-2010-119; Tech. Rep,2010,33
Optimizing JML features compilation in ajmlc using aspect-oriented refactorings,Henrique Rebêlo; Ricardo Lima; Márcio Cornélio; Gary T Leavens; Alexandre Mota; César Oliveira,Abstract. In previous work we presented a new JML compiler; ajmlc; which generatesaspects that enforce preconditions; postconditions; and invariants. Although this compilerprovides benefits of source-code modularity and small bytecode size and running time; thereis still a need for optimization of bytecode size and running time. To do this optimizationwhile preserving the semantics of the resulting code; we optimize using refactorings basedon AspectJ programming laws. To this end we present optimization refactorings and anempirical analysis showing the resulting improvements.,SBLP,2009,16
Modular contracts with procedures; annotations; pointcuts and advice,Henrique Rebêlo; Ricardo Lima; Gary T Leavens,Abstract. There are numerous mechanisms for modularizing design by contract at the sourcecode level. Three mechanisms have been the main focus of attention; metadata annotations;pointcuts and advice. The latter two are well-known aspect-oriented programmingmechanisms; and according to the literature; fare better in achieving contract modularization.However; previous efforts aimed at supporting contract modularity actually hindered it. In thispaper we report an enhanced use of pointcuts and advice; and show how crosscutprogramming interfaces (XPIs) can significantly improve contract modularity. In addition; wealso discuss how these XPIs can be used together with annotations to tackle the pointcutfragility problem and minimize the limited enforcement of XPI interface rules. We compareour approach with the literature's in terms of code locality; well-defined interfaces …,SBLP’11: Proceedings of the 2011 Brazilian Symposium on Programming Languages,2011,13
AspectJML: modular specification and runtime checking for crosscutting contracts,Henrique Rebêlo; Gary T Leavens; Mehdi Bagherzadeh; Hridesh Rajan; Ricardo Lima; Daniel M Zimmerman; Márcio Cornélio; Thomas Thüm,Abstract Aspect-oriented programming (AOP) is a popular technique for modularizingcrosscutting concerns. In this context; researchers have found that the realization of designby contract (DbC) is crosscutting and fares better when modularized by AOP. However;previous efforts aimed at supporting crosscutting contract modularity might actuallycompromise the main DbC principles. For example; in AspectJ-style; reasoning about thecorrectness of a method call may require a whole-program analysis to determine whatadvice applies and what that advice does relative to DbC implementation and checking.Also; when contracts are separated from classes a programmer may not know about themand may break them inadvertently. In this paper we solve these problems with AspectJML; anew specification language that supports crosscutting contracts for Java code. We also …,Proceedings of the 13th international conference on Modularity,2014,11
Modular aspect-oriented design rule enforcement with XPIDRs,Henrique Rebelo; Gary T Leavens; Ricardo Massa Ferreira Lima; Paulo Borba; Márcio Ribeiro,Abstract Aspect-oriented programming (AOP) is a popular technique for modularizingcrosscutting concerns. However; constructs aimed at supporting crosscutting modularity maybreak class modularity. For example; to understand a method call may require a whole-program analysis to determine what advice applies and what that advice does. Moreover; inAspectJ; advice is coupled to the parts of the program advised; the base code; so themeaning of advice may change when the base code changes. Such coupling also hindersparallel development between base code and aspects. We propose some simplemodifications to the design of crosscut programming interfaces (XPIs) to include expressivedesign rule specifications. We call our form of XPIs crosscutting programming interfaces withdesign rules (XPIDRs). The XPIDR-based approach; by design; supports modular runtime …,Proceedings of the 12th workshop on Foundations of aspect-oriented languages,2013,11
A JML compiler based on AspectJ,Henrique Rebêlo; Ricardo Lima; Márcio Cornélio; Sérgio Soares,The Java Modeling Language (JML) is a behavioral interface specification language (BISL)designed for Java. It was developed with the aim of improving the functional softwarecorrectness of Java applications. The JML compiler (jmlc) generates bytecodes that use theJava reflection mechanism and data structures not supported by Java ME applications. Inorder to overcome this limitation; we proposethe use of AspectJ to implement a new JMLcompiler; which generates an instrumented byte code compliant with both Java SE and JavaME applications. The paper also includes a comparative study to demonstrate the quality ofthe final code generated by our compiler. Results indicate that the overhead in code sizeproduced by our compiler is very small; which is essential for Java ME applications.,Software Testing; Verification; and Validation; 2008 1st International Conference on,2008,10
Modularizing crosscutting contracts with AspectJML,Henrique Rebêlo; Gary T Leavens; Mehdi Bagherzadeh; Hridesh Rajan; Ricardo Lima; Daniel M Zimmerman; Márcio Cornélio; Thomas Thüm,Abstract It is claimed in the literature that the contracts of a system present crosscuttingstructure during its realization. In this context; there has been attempts to improve separationof crosscutting contracts; eg by aspect-oriented programming and design by contractlanguages; but none give programmers textual separation of contracts/specifications andmodular reasoning at the same time. In this demonstration we show how our language;AspectJML; a simple and practical aspect-oriented extension to JML; allows the separationof crosscutting contracts while maintaining the key benefits of a design by contract language;like documentation and modular reasoning. AspectJML's quantified statements; written interms of AspectJ pointcut language; allow one to select join points in which the contracts arewritten in a modular and convenient way. Also; all the crosscutting contracts are well …,Proceedings of the companion publication of the 13th international conference on Modularity,2014,9
Mutual summaries: Unifying program comparison techniques,Chris Hawblitzel; Ming Kawaguchi; Shuvendu K Lahiri; Henrique Rebêlo,Abstract. In this paper; we formalize mutual summaries as a contract mechanism forcomparing two programs; and provide a method for checking such contracts modularly. Weshow that mutual summary checking generalizes equivalence checking; conditionalequivalence checking and translation validation. More interestingly; it enables comparingprograms where the changes are interprocedural. We have prototyped the ideas in SymDiff;a Boogie based language-independent infrastructure for comparing programs.,This page intentionally left (not quite) empty,2011,9
