Spatial keyword query processing: an experimental evaluation,Lisi Chen; Gao Cong; Christian S Jensen; Dingming Wu,Abstract Geo-textual indices play an important role in spatial keyword querying. The existinggeo-textual indices have not been compared systematically under the same experimentalframework. This makes it difficult to determine which indexing technique best supportsspecific functionality. We provide an all-around survey of 12 state-of-the-art geo-textualindices. We propose a benchmark that enables the comparison of the spatial keyword queryperformance. We also report on the findings obtained when applying the benchmark to theindices; thus uncovering new insights that may guide index selection as well as furtherresearch.,Proceedings of the VLDB Endowment,2013,179
Spatial Keyword Querying,Xin Cao; Lisi Chen; Gao Cong; Christian Jensen; Qiang Qu; Anders Skovsgaard; Dingming Wu; Man Yiu,Abstract The web is increasingly being used by mobile users. In addition; it is increasinglybecoming possible to accurately geo-position mobile users and web content. Thisdevelopment gives prominence to spatial web data management. Specifically; a spatialkeyword query takes a user location and user-supplied keywords as arguments and returnsweb objects that are spatially and textually relevant to these arguments. This paper reviewsrecent results by the authors that aim to achieve spatial keyword querying functionality that iseasy to use; relevant to users; and can be supported efficiently. The paper covers differentkinds of functionality as well as the ideas underlying their definition.,Conceptual Modeling,2012,130
Keyword-aware optimal route search,Xin Cao; Lisi Chen; Gao Cong; Xiaokui Xiao,Abstract Identifying a preferable route is an important problem that finds applications in mapservices. When a user plans a trip within a city; the user may want to find" a most popularroute such that it passes by shopping mall; restaurant; and pub; and the travel time to andfrom his hotel is within 4 hours." However; none of the algorithms in the existing work onroute planning can be used to answer such queries. Motivated by this; we define theproblem of keyword-aware optimal route query; denoted by KOR; which is to find an optimalroute such that it covers a set of user-specified keywords; a specified budget constraint issatisfied; and an objective score of the route is optimal. The problem of answering KORqueries is NP-hard. We devise an approximation algorithm OSScaling with provableapproximation bounds. Based on this algorithm; another more efficient approximation …,Proceedings of the VLDB Endowment,2012,55
Temporal spatial-keyword top-k publish/subscribe,Lisi Chen; Gao Cong; Xin Cao; Kian-Lee Tan,Massive amount of data that are geo-tagged and associated with text information are beinggenerated at an unprecedented scale. These geo-textual data cover a wide range of topics.Users are interested in receiving up-to-date tweets such that their locations are close to auser specified location and their texts are interesting to users. For example; a user may wantto be updated with tweets near her home on the topic “food poisoning vomiting.” Weconsider the Temporal Spatial-Keyword Top-k Subscription (TaSK) query. Given a TaSKquery; we continuously maintain up-to-date top-k most relevant results over a stream of geo-textual objects (eg; geo-tagged Tweets) for the query. The TaSK query takes into accounttext relevance; spatial proximity; and recency of geo-textual objects in evaluating itsrelevance with a geo-textual object. We propose a novel solution to efficiently process a …,Data Engineering (ICDE); 2015 IEEE 31st International Conference on,2015,54
An efficient query indexing mechanism for filtering geo-textual data,Lisi Chen; Gao Cong; Xin Cao,Abstract Massive amount of data that are geo-tagged and associated with text informationare being generated at an unprecedented scale. Users may want to be notified of interestinggeo-textual objects during a period of time. For example; a user may want to be informedwhen tweets containing term" garage sale" are posted within 5 km of the user's home in thenext 72 hours. In this paper; for the first time we study the problem of matching a stream ofincoming Boolean Range Continuous queries over a stream of incoming geo-textual objectsin real time. We develop a new system for addressing the problem. In particular; we proposea hybrid index; called IQ-tree; and novel cost models for managing a stream of incomingBoolean Range Continuous queries. We also propose algorithms for matching the querieswith incoming geo-textual objects based on the index. Results of empirical studies with …,Proceedings of the 2013 ACM SIGMOD International Conference on Management of Data,2013,39
Diversity-aware top-k publish/subscribe for text stream,Lisi Chen; Gao Cong,Abstract Massive amount of text data are being generated by a huge number of web users atan unprecedented scale. These data cover a wide range of topics. Users are interested inreceiving a few up-to-date representative documents (eg; tweets) that can provide them witha wide coverage of different aspects of their query topics. To address the problem; weconsider the Diversity-Aware Top-k Subscription (DAS) query. Given a DAS query; wecontinuously maintain an up-to-date result set that contains k most recently returneddocuments over a text stream for the query. The DAS query takes into account textrelevance; document recency; and result diversity. We propose a novel solution to efficientlyprocessing a large number of DAS queries over a stream of documents. We demonstrate theefficiency of our approach on real-world dataset and the experimental results show that …,Proceedings of the 2015 ACM SIGMOD International Conference on Management of Data,2015,23
Collective travel planning in spatial networks,Shuo Shang; Lisi Chen; Zhewei Wei; Christian S Jensen; Ji-Rong Wen; Panos Kalnis,Travel planning and recommendation are important aspects of transportation. We proposeand investigate a novel Collective Travel Planning (CTP) query that finds the lowest-costroute connecting multiple sources and a destination; via at most $ k $ meeting points. Whenmultiple travelers target the same destination (eg; a stadium or a theater); they may want toassemble at meeting points and then go together to the destination by public transport toreduce their global travel cost (eg; energy; money; or greenhouse-gas emissions). This typeof functionality holds the potential to bring significant benefits to society and theenvironment; such as reducing energy consumption and greenhouse-gas emissions;enabling smarter and greener transportation; and reducing traffic congestions. The CTPquery is Max SNP-hard. To compute the query efficiently; we develop two algorithms …,IEEE Transactions on Knowledge and Data Engineering,2016,19
KORS: Keyword-aware optimal route search system,Xin Cao; Lisi Chen; Gao Cong; Jihong Guan; Nhan-Tue Phan; Xiaokui Xiao,We present the Keyword-aware Optimal Route Search System (KORS); which efficientlyanswers the KOR queries. A KOR query is to find a route such that it covers a set of user-specified keywords; a specified budget constraint is satisfied; and an objective score of theroute is optimized. Consider a tourist who wants to spend a day exploring a city. The usermay issue the following KOR query:“find the most popular route such that it passes byshopping mall; restaurant; and pub; and the travel time to and from her hotel is within 4hours.” KORS provides browser-based interfaces for desktop and laptop computers andprovides a client application for mobile devices as well. The interfaces and the client enableusers to formulate queries and view the query results on a map. Queries are then sent to theserver for processing by the HTTP post operation. Since answering a KOR query is NP …,Data Engineering (ICDE); 2013 IEEE 29th International Conference on,2013,13
Searching trajectories by regions of interest,Shuo Shang; Lisi Chen; Christian S Jensen; Ji-Rong Wen; Panos Kalnis,With the increasing availability of moving-object tracking data; trajectory search isincreasingly important. We propose and investigate a novel query type named trajectorysearch by regions of interest (TSR query). Given an argument set of trajectories; a TSRquery takes a set of regions of interest as a parameter and returns the trajectory in theargument set with the highest spatial-density correlation to the query regions. This type ofquery is useful in many popular applications such as trip planning and recommendation;and location based services in general. TSR query processing faces three challenges: howto model the spatial-density correlation between query regions and data trajectories; how toeffectively prune the search space; and how to effectively schedule multiple so-called querysources. To tackle these challenges; a series of new metrics are defined to model spatial …,IEEE Transactions on Knowledge and Data Engineering,2017,8
Sops: A system for efficient processing of spatial-keyword publish/subscribe,Lisi Chen; Yan Cui; Gao Cong; Xin Cao,Abstract Massive amount of data that are geo-tagged and associated with text informationare being generated at an unprecedented scale. These geo-textual data cover a wide rangeof topics. Users are interested in receiving up-to-date geo-textual objects (eg; geo-taggedTweets) such that their locations meet users' need and their texts are interesting to users. Forexample; a user may want to be updated with tweets near her home on the topic" denguefever headache". AB@ In this demonstration; we present SOPS; the< u> S</u> patial-Keyw<u> o</u> rd< u> P</u> ublish/< u> S</u> ubscribe System; that is capable of efficientlyprocessing spatial keyword continuous queries. SOPS supports two types of queries:(1)< u>B</u> oolean< u> R</u> ange< u> C</u> ontinuous (BRC) query that can be used tosubscribe the geo-textual objects satisfying a boolean keyword expression and falling in …,Proceedings of the VLDB Endowment,2014,7
