DBpedia: A nucleus for a web of open data,Sören Auer; Christian Bizer; Georgi Kobilarov; Jens Lehmann; Richard Cyganiak; Zachary Ives,Abstract DBpedia is a community effort to extract structured information from Wikipedia andto make this information available on the Web. DBpedia allows you to ask sophisticatedqueries against datasets derived from Wikipedia and to link other datasets on the Web toWikipedia data. We describe the extraction of the DBpedia datasets; and how the resultinginformation is published on the Web for human-and machine-consumption. We describesome emerging applications from the DBpedia community and show how website authorscan facilitate DBpedia content within their sites. Finally; we present the current status ofinterlinking DBpedia with other open datasets on the Web and outline how DBpedia couldserve as a nucleus for an emerging Web of open data.,6th International Semantic Web Conference (ISWC),2007,2940
DBpedia-a crystallization point for the web of data,Jens Lehmann; Chris Bizer; Georgi Kobilarov; Sören Auer; Christian Becker; Richard Cyganiak; Sebastian Hellmann,*,Journal of Web Semantics,2009,1931
DBpedia–a large-scale; multilingual knowledge base extracted from Wikipedia,Jens Lehmann; Robert Isele; Max Jakob; Anja Jentzsch; Dimitris Kontokostas; Pablo N Mendes; Sebastian Hellmann; Mohamed Morsey; Patrick Van Kleef; Sören Auer; Christian Bizer,Abstract The DBpedia community project extracts structured; multilingual knowledge fromWikipedia and makes it freely available on the Web using Semantic Web and Linked Datatechnologies. The project extracts knowledge from 111 different language editions ofWikipedia. The largest DBpedia knowledge base which is extracted from the English editionof Wikipedia consists of over 400 million facts that describe 3.7 million things. The DBpediaknowledge bases that are extracted from the other 110 Wikipedia editions together consist of1.46 billion facts and describe 10 million additional things. The DBpedia project mapsWikipedia infoboxes from 27 different language editions to a single shared ontologyconsisting of 320 classes and 1;650 properties. The mappings are created via a world-widecrowd-sourcing effort and enable knowledge from the different Wikipedia editions to be …,Semantic Web,2015,968
OntoWiki–A tool for social; semantic collaboration,Sören Auer; Sebastian Dietzold; Thomas Riechert,Abstract We present OntoWiki; a tool providing support for agile; distributed knowledgeengineering scenarios. OntoWiki facilitates the visual presentation of a knowledge base asan information map; with different views on instance data. It enables intuitive authoring ofsemantic content; with an inline editing mode for editing RDF content; similar to WYSIWYGfor text documents. It fosters social collaboration aspects by keeping track of changes;allowing to comment and discuss every single part of a knowledge base; enabling to rateand measure the popularity of content and honoring the activity of users. Ontowiki enhancesthe browsing and retrieval by offering semantic enhanced search strategies. All thesetechniques are applied with the ultimate goal of decreasing the entrance barrier for projectsand domain experts to collaborate using semantic technologies. In the spirit of the Web …,International Semantic Web Conference (ISWC),2006,478
Triplify: light-weight linked data publication from relational databases,Sören Auer; Sebastian Dietzold; Jens Lehmann; Sebastian Hellmann; David Aumueller,Abstract In this paper we present Triplify-a simplistic but effective approach to publish LinkedData from relational databases. Triplify is based on mapping HTTP-URI requests ontorelational database queries. Triplify transforms the resulting relations into RDF statementsand publishes the data on the Web in various RDF serializations; in particular as LinkedData. The rationale for developing Triplify is that the largest part of information on the Web isalready stored in structured form; often as data contained in relational databases; but usuallypublished by Web applications only as HTML mixing structure; layout and content. In orderto reveal the pure structured information behind the current Web; we have implementedTriplify as a light-weight software component; which can be easily integrated into anddeployed by the numerous; widely installed Web applications. Our approach includes a …,18th International Conference on World Wide Web (WWW),2009,370
What have innsbruck and leipzig in common? extracting semantics from wiki content,Sören Auer; Jens Lehmann,Abstract Wikis are established means for the collaborative authoring; versioning andpublishing of textual articles. The Wikipedia project; for example; succeeded in creating theby far largest encyclopedia just on the basis of a wiki. Recently; several approaches havebeen proposed on how to extend wikis to allow the creation of structured and semanticallyenriched content. However; the means for creating semantically enriched structured contentare already available and are; although unconsciously; even used by Wikipedia authors. Inthis article; we present a method for revealing this structured content by extractinginformation from template instances. We suggest ways to efficiently query the vast amount ofextracted information (eg more than 8 million RDF statements for the English Wikipediaversion alone); leading to astonishing query answering possibilities (such as for the title …,Extended Semantic Web Conference (ESWC),2007,291
Limes-a time-efficient approach for large-scale link discovery on the web of data,Axel-Cyrille Ngonga Ngomo; Sören Auer,Abstract The Linked Data paradigm has evolved into a powerful enabler for the transitionfrom the documentoriented Web into the Semantic Web. While the amount of data publishedas Linked Data grows steadily and has surpassed 25 billion triples; less than 5% of thesetriples are links between knowledge bases. Link discovery frameworks provide thefunctionality necessary to discover missing links between knowledge bases. Yet; this taskrequires a significant amount of time; especially when it is carried out on large data sets.This paper presents and evaluates LIMES; a novel time-efficient approach for link discoveryin metric spaces. Our approach utilizes the mathematical characteristics of metric spacesduring the mapping process to filter out a large number of those instance pairs that do notsuffice the mapping conditions. We present the mathematical foundation and the core …,integration,2011,290
Quality assessment for linked data: A survey,Amrapali Zaveri; Anisa Rula; Andrea Maurino; Ricardo Pietrobon; Jens Lehmann; Sören Auer,Abstract The development and standardization of Semantic Web technologies has resultedin an unprecedented volume of data being published on the Web as Linked Data (LD).However; we observe widely varying data quality ranging from extensively curated datasetsto crowdsourced and extracted data of relatively low quality. In this article; we present theresults of a systematic review of approaches for assessing the quality of LD. We gatherexisting approaches and analyze them qualitatively. In particular; we unify and formalizecommonly used terminologies across papers related to data quality and provide acomprehensive list of 18 quality dimensions and 69 metrics. Additionally; we qualitativelyanalyze the 30 core approaches and 12 tools using a set of attributes. The aim of this articleis to provide researchers and data curators a comprehensive understanding of existing …,Semantic Web,2016,262
Linkedgeodata: Adding a spatial dimension to the web of data,Sören Auer; Jens Lehmann; Sebastian Hellmann,Abstract In order to employ the Web as a medium for data and information integration;comprehensive datasets and vocabularies are required as they enable the disambiguationand alignment of other data and information. Many real-life information integration andaggregation tasks are impossible without comprehensive background knowledge related tospatial features of the ways; structures and landscapes surrounding us. In this paper wecontribute to the generation of a spatial dimension for the Data Web by elaborating on howthe collaboratively collected OpenStreetMap data can be transformed and representedadhering to the RDF data model. We describe how this data can be interlinked with otherspatial data sets; how it can be made accessible for machines according to the linked dataparadigm and for humans by means of a faceted geo-data browser.,*,2009,262
LinkedGeoData: A Core for a Web of Spatial Open Data,Claus Stadler; Jens Lehmann; Konrad Höffner; Sören Auer,Abstract The Semantic Web eases data and information integration tasks by providing aninfrastructure based on RDF and ontologies. In this paper; we contribute to the developmentof a spatial Data Web by elaborating on how the collaboratively collected OpenStreetMapdata can be interactively transformed and represented adhering to the RDF data model. Thistransformation will simplify information integration and aggregation tasks that requirecomprehensive background knowledge related to spatial features such as ways; structures;and landscapes. We describe how this data is interlinked with other spatial data sets; how itcan be made accessible for machines according to the Linked Data paradigm and forhumans by means of several applications; including a faceted geo-browser. The spatialdata; vocabularies; interlinks and some of the applications are openly available in the …,Semantic Web Journal,2012,240
