Peer-to-peer computing,Dejan S Milojicic; Vana Kalogeraki; Rajan Lukose; Kiran Nagaraja; Jim Pruyne; Bruno Richard; Sami Rollins; Zhichen Xu,Abstract The term “peer-to-peer”(P2P) refers to a class of systems and applications thatemploy distributed resources to perform a function in a decentralized manner. With thepervasive deployment of computers; P2P is increasingly receiving attention in research;product development; and investment circles. Some of the benefits of a P2P approachinclude: improving scalability by avoiding dependency on centralized points; eliminating theneed for costly infrastructure by enabling direct communication among clients; and enablingresource aggregation. This survey reviews the field of P2P systems and applications bysummarizing the key concepts and giving an overview of the most important systems.Design and implementation issues of P2P systems are analyzed in general; and thenrevisited for eight case studies. This survey will help people in the research community …,*,2002,1262
A local search mechanism for peer-to-peer networks,Vana Kalogeraki; Dimitrios Gunopulos; Demetrios Zeinalipour-Yazti,Abstract One important problem in peer-to-peer (P2P) networks is searching and retrievingthe correct information. However; existing searching mechanisms in pure peer-to-peernetworks are inefficient due to the decentralized nature of such networks. We propose twomechanisms for information retrieval in pure peer-to-peer networks. The first; the modifiedBreadth-First Search (BFS) mechanism; is an extension of the current Gnuttela protocol;allows searching with keywords; and is designed to minimize the number of messages thatare needed to search the network. The second; the Intelligent Search mechanism; uses thepast behavior of the P2P network to further improve the scalability of the search procedure.In this algorithm; each peer autonomously decides which of its peers are most likely toanswer a given query. The algorithm is entirely distributed; and therefore scales well with …,Proceedings of the eleventh international conference on Information and knowledge management,2002,559
Online outlier detection in sensor data using non-parametric models,Sharmila Subramaniam; Themis Palpanas; Dimitris Papadopoulos; Vana Kalogeraki; Dimitrios Gunopulos,Abstract Sensor networks have recently found many popular applications in a number ofdifferent settings. Sensors at different locations can generate streaming data; which can beanalyzed in real-time to identify events of interest. In this paper; we propose a framework thatcomputes in a distributed fashion an approximation of multi-dimensional data distributions inorder to enable complex applications in resource-constrained sensor networks. We motivateour technique in the context of the problem of outlier detection. We demonstrate how ourframework can be extended in order to identify either distance-or density-based outliers in asingle pass over the data; and with limited memory requirements. Experiments with syntheticand real data show that our method is efficient and accurate; and compares favorably toother proposed techniques. We also demonstrate the applicability of our technique to …,Proceedings of the 32nd international conference on Very large data bases,2006,428
Interest-based connections in peer-to-peer networks,*,Peers (p) monitor responses received from other peers (s; q) to requests for information andrate the responding peers on their ability to provide information of interest. When aresponding peer (s) is discovered to frequently provide good results; the requesting peer (p)attempts to move closer to the responding peer (s) by creating a direct connection (ps) withthat peer and thereby promote the “good” peer to an “immediate” peer. If such a promotionwould result in too many direct connections; the least important immediate peer is demotedto an “indirect” peer. The criteria (Imp) used for evaluating the relative importance of at leastthe immediate peers is preferably a time weighted average (Imp*(t)= α· Imp (t)+ β· Imp*(t− 1))that also measures consistency and reliability and preferably includes factors not onlyrepresentative of the peer's ability to provide requested information (Hits); but also of its …,*,2007,224
Distributed deviation detection in sensor networks,Themistoklis Palpanas; Dimitris Papadopoulos; Vana Kalogeraki; Dimitrios Gunopulos,Abstract Sensor networks have recently attracted much attention; because of their potentialapplications in a number of different settings. The sensors can be deployed in largenumbers in wide geographical areas; and can be used to monitor physical phenomena; or todetect certain events. An interesting problem which has not been adequately addressed sofar is that of distributed online deviation detection in streaming data. The identification ofdeviating values provides an efficient way to focus on the interesting events in the sensornetwork. In this work; we propose a technique for online deviation detection in streamingdata. We discuss how these techniques can operate efficiently in the distributed environmentof a sensor network; and discuss the tradeoffs that arise in this setting. Our techniquesprocess as much of the data as possible in a decentralized fashion; so as to avoid …,ACM SIGMOD Record,2003,190
MicroHash: An Efficient Index Structure for Flash-Based Sensor Devices.,Demetrios Zeinalipour-Yazti; Song Lin; Vana Kalogeraki; Dimitrios Gunopulos; Walid A Najjar,Abstract In this paper we propose the MicroHash index; which is an efficient externalmemory structure for Wireless Sensor Devices (WSDs). The most prevalent storage mediumfor WSDs is flash memory. Our index structure exploits the asymmetric read/write and wearcharacteristics of flash memory in order to offer high performance indexing and searchingcapabilities in the presence of a low energy budget which is typical for the devices underdiscussion. A key idea behind MicroHash is to eliminate expensive random accessdeletions. We have implemented MicroHash in nesC; the programming language of theTinyOS [7] operating system. Our trace-driven experimentation with several real datasetsreveals that our index structure offers excellent search performance at a small cost ofconstructing and maintaining the index.,FAST,2005,184
Misco: a mapreduce framework for mobile systems,Adam Dou; Vana Kalogeraki; Dimitrios Gunopulos; Taneli Mielikainen; Ville H Tuulos,Abstract The proliferation of increasingly powerful; ubiquitous mobile devices has created anew and powerful sensing and computational environment. Software development andapplication deployment in such distributed mobile settings is especially challenging due toissues of failures; concurrency; and lack of easy programming models. We present aframework which provides a powerful software abstraction that hides many of suchcomplexities from the application developer. We design and implement a mobileMapReduce framework targeted at any device which supports Python and networkconnectivity. We have implemented our system on a testbed of Nokia N95 8GB smartphonesand demonstrated the feasibility and performance of our approach.,Proceedings of the 3rd international conference on pervasive technologies related to assistive environments,2010,132
Finding good peers in peer-to-peer networks,M Krishna Ramanathan; Vana Kalogeraki; Jim Pruyne,As computing and communication capabilities have continued to increase; more and moreactivity is taking place at the edges of the network; typically in homes or on workersdesktops. This trend has been demonstrated by the increasing popularity and usability of"peer-to-peer" systems; such as Napster and Gnutella. Unfortunately; this popularity hasquickly shown the limitations of these systems; particularly in terms of scale. Because thenetworks form in an ad-hoc manner; they typically make inefficient use of resources. Wepropose a mechanism; using only local knowledge; to improve the overall performance ofpeer-to-peer networks based on interests. Peers monitor which other peers frequentlyrespond successfully to their requests for information. When a peer is discovered tofrequently provide good results; the peer attempts to move closer to it in the network by …,Parallel and Distributed Processing Symposium.; Proceedings International; IPDPS 2002; Abstracts and CD-ROM,2001,129
Information retrieval techniques for peer-to-peer networks,Demetrios Zeinalipour-Yazti; Vana Kalogeraki; Dimitrios Gunopulos,Peer-to-peer (P2P) systems are application-layer networks that let networked hosts shareresources in a distributed environment. An important attribute of P2P networks is the abilityto efficiently search the contents of other peers. In this article; the authors survey existingsearch techniques for information retrieval (IR) in P2P networks; including recent techniquesthat they propose. They also present a realistic experimental evaluation and comparison ofthese techniques; using a distributed middleware infrastructure they designed andimplemented.,Computing in Science & Engineering,2004,94
Data dissemination in mobile peer-to-peer networks,Thomas Repantis; Vana Kalogeraki,Abstract In this paper we propose adaptive content-driven routing and data disseminationalgorithms for intelligently routing search queries in a peer-to-peer network that supportsmobile users. In our mechanism nodes build content synopses of their data and adaptivelydisseminate them to the most appropriate nodes. Based on the content synopses; a routingmechanism is being built to forward the queries to those nodes that have a high probabilityof providing the desired results. Our simulation results show that our approach is highlyscalable and significantly improves resources usage by saving both bandwidth andprocessing power.,Proceedings of the 6th international conference on Mobile data management,2005,88
The threshold join algorithm for top-k queries in distributed sensor networks,Demetrios Zeinalipour-Yazti; Zografoula Vagena; Dimitrios Gunopulos; Vana Kalogeraki; V Tsotras; Michail Vlachos; Nick Koudas; Divesh Srivastava,Abstract In this paper we present the Threshold Join Algorithm (TJA); which is an efficientTOP-k query processing algorithm for distributed sensor networks. The objective of a top-kquery is to find the k highest ranked answers to a user defined similarity function. Theevaluation of such a query in a sensor network environment is associated with the transfer ofdata over an extremely expensive communication medium. TJA uses a non-uniformthreshold on the queried attribute in order to minimize the number of tuples that have to betransferred towards the querying node. Additionally; TJA resolves queries in the networkrather than in a centralized fashion; which minimizes even more the consumption ofbandwidth and delay. Our preliminary experimental results; using our trace driven simulator;show that TJA is both practical and efficient.,Proceedings of the 2nd international workshop on Data management for sensor networks,2005,87
The Eternal system: An architecture for enterprise applications,Louise E Moser; Peter M Melliar-Smith; Priya Narasimhan; Lauren A Tewksbury; Vana Kalogeraki,The Eternal system supports networked enterprise applications that must operatecontinuously 24 hours per day; 7 days per week. Based on the CORBA standard; Eternalprovides object replication not only for fault tolerance but also for live software upgrades; aswell as resource management facilities. Through the use of interceptors; Eternal renders theobject replication transparent to the application; as well as to the ORB and to the operatingsystem. Thus; Eternal works with commercial off-the-shelf CORBA ORBs and standardunmodified operating systems. Eternal handles the difficult issues of object replication; faulttolerance; live upgrades and resource management; thereby allowing the applicationprogrammers to focus on the applications.,Enterprise Distributed Object Computing Conference; 1999. EDOC'99. Proceedings. Third International,1999,81
Privacy preservation for participatory sensing data,Ioannis Boutsis; Vana Kalogeraki,Over the recent years; the proliferation of mobile networking and the increasing capabilitiesof smartphone devices have led to the development of “Participatory Sensing” applications;where users actively participate in data collection and sharing in a wide range of applicationdomains from entertainment; to transportation; to environmental monitoring. One importantchallenge in these settings is privacy preservation for participatory sensing data; such asuser trajectories. This paper develops a participatory sensing system for Androidsmartphones and proposes an efficient approach for privacy preservation which enablesusers to disclose their trajectory information without compromising their privacy. Existingapproaches for privacy-aware data sharing operate under the assumption that user data ismaintained in a centralized database. In our work we assume that user data is generated …,Pervasive Computing and Communications (PerCom); 2013 IEEE International Conference on,2013,72
Heterogeneous Stream Processing and Crowdsourcing for Urban Traffic Management.,Alexander Artikis; Matthias Weidlich; Francois Schnitzler; Ioannis Boutsis; Thomas Liebig; Nico Piatkowski; Christian Bockermann; Katharina Morik; Vana Kalogeraki; Jakub Marecek; Avigdor Gal; Shie Mannor; Dimitrios Gunopulos; Dermot Kinane,ABSTRACT Urban traffic gathers increasing interest as cities become bigger; crowded and“smart”. We present a system for heterogeneous stream processing and crowdsourcingsupporting intelligent urban traffic management. Complex events related to traffic congestion(trends) are detected from heterogeneous sources involving fixed sensors mounted onintersections and mobile sensors mounted on public transport vehicles. To deal with dataveracity; a crowdsourcing component handles and resolves sensor disagreement.Furthermore; to deal with data sparsity; a traffic modelling component offers information inareas with low sensor coverage. We demonstrate the system with a real-world use-casefrom Dublin city; Ireland.,EDBT,2014,71
Spatial queries in sensor networks,Amir Soheili; Vana Kalogeraki; Dimitrios Gunopulos,Abstract Recent advances in low-power sensing devices coupled with the widespreadavailability of wireless ad-hoc networks have fueled the development of sensor networks.These are typically deployed over wide areas to gather data in the environment and monitorevents of interest. The ability to run spatial queries is extremely useful for sensor networks.Spatial query execution has been extensively studied in the context of centralized spatialdatabases; however because of the energy and bandwidth limitation of sensor nodes thesesolutions are not directly applicable to the sensor network. In this paper we propose ascalable and distributed way of spatial query execution in sensor networks. We develop adistributed spatial index over the sensor nodes that is used in processing spatial queries in adistributed fashion. We evaluate the behavior of our approach and show that our …,Proceedings of the 13th annual ACM international workshop on Geographic information systems,2005,70
Exploiting locality for scalable information retrieval in peer-to-peer networks,Demetrios Zeinalipour-Yazti; Vana Kalogeraki; Dimitrios Gunopulos,Abstract An important problem in unstructured peer-to-peer (P2P) networks is the efficientcontent-based retrieval of documents shared by other peers. However; existing searchingmechanisms are not scaling well because they are either based on the idea of flooding thenetwork with queries or because they require some form of global knowledge. We proposethe Intelligent Search Mechanism (ISM) which is an efficient; scalable yet simple mechanismfor improving the information retrieval problem in P2P systems. Our mechanism is efficientsince it is bounded by the number of neighbors and scalable because no global knowledgeis required to be maintained. ISM consists of four components: A Profiling Structure whichlogs queryhit messages coming from neighbors; a Query Similarity function which calculatesthe similarity queries to a new query; RelevanceRank which is an online neighbor …,Information Systems,2005,69
Peer-topeer computing,Dejan S Milojicic; Vana Kalogeraki; Rajan Lukose; Kiran Nagaraja; Jim Pruyne; Bruno Richard; Sami Rollins; Zhichen Xu,*,HP Laboratories; Technical Report HPL-2002-57; Palo Alto; California; USA,2002,67
Decentralized trust management for ad-hoc peer-to-peer networks,Thomas Repantis; Vana Kalogeraki,Abstract Modern mobile devices can form ad-hoc networks to autonomously share data andservices. While such self-organizing; peer-to-peer communities offer exciting collaborationopportunities; deciding whether to trust another peer can be challenging. In this work wepropose a decentralized trust management middleware for ad-hoc; peer-to-peer networks;based on reputation. Our middleware's protocols take advantage of the unstructured natureof the network to render malicious behavior; such as lying and colluding; risky. Thereputation information of each peer is stored in its neighbors and piggy-backed on itsreplies. By simulating the behavior of networks both with and without a rating scheme wewere able to show that just a few dishonest peers can flood the network with false results;whereas this phenomenon is virtually eliminated when using our middleware.,Proceedings of the 4th international workshop on Middleware for Pervasive and Ad-Hoc Computing (MPAC 2006),2006,63
Method and apparatus for representing data available in a peer-to-peer network using bloom-filters,*,A method and apparatus is disclosed for representing data available in a peer-to-peernetwork of processing nodes. In one arrangement; respective Bloom-Filters may be formedat the nodes as a function of data available via the nodes. The Bloom-filters may becommunicated between peer-to-peer coupled nodes of the peer-to-peer network that haveformed connections using incentive-based criteria to control whether one node connects toanother node. A search expression may be formed for locating a data object; and nodesselected as a function of the Bloom-filters and the incentive-based criteria. The searchexpression may be propagated to the selected nodes; and the result of the searchexpression output from nodes that satisfy the search expression.,*,2005,62
