New Algorithms for Fast Discovery of Association Rules.,Mohammed Javeed Zaki; Srinivasan Parthasarathy; Mitsunori Ogihara; Wei Li,Abstract Discovery of association rules is an important problem in database mining. In thispaper we present new algorithms for fast association mining; which scan the database onlyonce; addressing the open question whether all the rules can be efficiently extracted in asingle database pass. The algorithms use novel itemset clustering techniques toapproximate the set of potentially maximal frequent itemsets. The algorithms then make useof efficient lattice traversal techniques to generate the frequent itemsets contained in eachcluster. We propose two clustering schemes based on equivalence classes and maximalhypergraph cliques; and study two traversal techniques based on bottom-up and hybridsearch. We also use a vertical database layout to cluster related transactions together.Experimental results show improvements of over an order of magnitude compared to …,KDD,1997,1439
An event-based framework for characterizing the evolutionary behavior of interaction graphs,Sitaram Asur; Srinivasan Parthasarathy; Duygu Ucar,Abstract Interaction graphs are ubiquitous in many fields such as bioinformatics; sociologyand physical sciences. There have been many studies in the literature targeted at studyingand mining these graphs. However; almost all of them have studied these graphs from astatic point of view. The study of the evolution of these graphs over time can providetremendous insight on the behavior of entities; communities and the flow of informationamong them. In this work; we present an event-based characterization of critical behavioralpatterns for temporally varying interaction graphs. We use nonoverlapping snapshots ofinteraction graphs and develop a framework for capturing and identifying interesting eventsfrom them. We use these events to characterize complex behavioral patterns of individualsand communities over time. We show how semantic information can be incorporated to …,ACM Transactions on Knowledge Discovery from Data (TKDD),2009,390
Parallel algorithms for discovery of association rules,Mohammed J Zaki; Srinivasan Parthasarathy; Mitsunori Ogihara; Wei Li; Paul Stolorz; Ron Musick,Abstract Discovery of association rules is an important data mining task. Several parallel andsequential algorithms have been proposed in the literature to solve this problem. Almost allof these algorithms make repeated passes over the database to determine the set offrequent itemsets (a subset of database items); thus incurring high I/O overhead. In theparallel case; most algorithms perform a sum-reduction at the end of each pass to constructthe global counts; also incurring high synchronization cost. In this paper we describe newparallel association mining algorithms. The algorithms use novel itemset clusteringtechniques to approximate the set of potentially maximal frequent itemsets. Once this set hasbeen identified; the algorithms make use of efficient traversal techniques to generate thefrequent itemsets contained in each cluster. We propose two clustering schemes based …,*,1997,332
Minimizing broadcast latency and redundancy in ad hoc networks,Rajiv Gandhi; Arunesh Mishra; Srinivasan Parthasarathy,Abstract Network wide broadcasting is a fundamental operation in ad hoc networks. Inbroadcasting; a source node sends a message to all the other nodes in the network. In thispaper; we consider the problem of collision-free broadcasting in ad hoc networks. Ourobjective is to minimize the latency and the number of transmissions in the broadcast. Weshow that minimum latency broadcasting is NP-complete for ad hoc networks. We alsopresent a simple distributed collision-free broadcasting algorithm for broadcasting amessage. For networks with bounded node transmission ranges; our algorithmsimultaneously guarantees that the latency and the number of transmissions are within O (1)times their respective optimal values. Our algorithm and analysis extend to the case whenmultiple messages are broadcast from multiple sources. Experimental studies indicate …,IEEE/ACM Transactions on Networking (TON),2008,313
Incremental and interactive sequence mining,Srinivasan Parthasarathy; Mohammed Javeed Zaki; Mitsunori Ogihara; Sandhya Dwarkadas,Abstract The discovery of frequent sequences in temporal databases is an important datamining problem. Most current work assumes that the database is static; and a databaseupdate requires rediscovering all the patterns by scanning the entire old and new database.In this paper; we propose novel techniques for maintaining sequences in the presence of a)database updates; and b) user interaction (eg modifying mining parameters). This is a verychallenging task; since such updates can invalidate existing sequences or introduce newones. In both the above scenarios; we avoid re-executing the algorithm on the entire dataset;thereby reducing execution time. Experimental results confirm that our approach results inexecution time improvements of up to several orders of magnitude in practice.,Proceedings of the eighth international conference on Information and knowledge management,1999,303
Customized dynamic load balancing for a network of workstations,Mohammed Javeed Zaki; Wei Li; Srinivasan Parthasarathy,Load balancing involves assigning to each processor work proportional to its performance;minimizing the execution time of the program. Although static load balancing can solvemany problems (eg; those caused by processor heterogeneity and non uniform loops) formost regular applications; the transient external load due to multiple users on a network ofworkstations necessitates a dynamic approach to load balancing. We examine the behaviorof global vs. local; and centralized vs. distributed; load balancing strategies. We show thatdifferent schemes are best for different applications under varying program and systemparameters. Therefore; customized load balancing schemes become essential for goodperformance. We present a hybrid compile time and run time modeling and decision processwhich selects (customizes) the best scheme; along with automatic generation of parallel …,High Performance Distributed Computing; 1996.; Proceedings of 5th IEEE International Symposium on,1996,298
Algorithmic aspects of capacity in wireless networks,VS Kumar; Madhav V Marathe; Srinivasan Parthasarathy; Aravind Srinivasan,Abstract This paper considers two inter-related questions:(i) Given a wireless ad-hocnetwork and a collection of source-destination pairs {(si; ti)}; what is the maximumthroughput capacity of the network; ie the rate at which data from the sources to theircorresponding destinations can be transferred in the network?(ii) Can network protocols bedesigned that jointly route the packets and schedule transmissions at rates close to themaximum throughput capacity? Much of the earlier work focused on random instances andproved analytical lower and upper bounds on the maximum throughput capacity. Here; incontrast; we consider arbitrary wireless networks. Further; we study the algorithmic aspectsof the above questions: the goal is to design provably good algorithms for arbitraryinstances. We develop analytical performance evaluation models and distributed …,ACM SIGMETRICS Performance Evaluation Review,2005,263
Scaling up machine learning: Parallel and distributed approaches,Editors R. Bekkerman et al.; Contributors: P. Akselrod et al.,This book presents an integrated collection of representative approaches for scaling upmachine learning and data mining methods on parallel and distributed computing platforms.Demand for parallelizing learning algorithms is highly task-specific: in some settings it isdriven by the enormous dataset sizes; in others by model complexity or by real-timeperformance requirements. Making task-appropriate algorithm and platform choices for large-scale machine learning requires understanding the benefits; trade-offs and constraints of theavailable options. Solutions presented in the book cover a range of parallelization platformsfrom FPGAs and GPUs to multi-core systems and commodity clusters; concurrentprogramming frameworks including CUDA; MPI; MapReduce and DryadLINQ; and learningsettings (supervised; unsupervised; semi-supervised and online learning). Extensive …,*,2011,239
Evaluation of sampling for data mining of association rules,Mohammed Javeed Zaki; Srinivasan Parthasarathy; Wei Li; Mitsunori Ogihara,The discovery of association rules is a prototypical problem in data mining. The currentalgorithms proposed for data mining of association rules make repeated passes over thedatabase to determine the commonly occurring item sets (or set of items). For largedatabases; the I/O overhead in scanning the database can be extremely high. The authorsshow that random sampling of transactions in the database is an effective method for findingassociation rules. Sampling can speed up the mining process by more than an order ofmagnitude by reducing I/O costs and drastically shrinking the number of transactions to beconsidered. They may also be able to make the sampled database resident in main-memory. Furthermore; they show that sampling can accurately represent the data patterns inthe database with high confidence. They experimentally evaluate the effectiveness of …,Research Issues in Data Engineering; 1997. Proceedings. Seventh International Workshop on,1997,238
Local probabilistic models for link prediction,Chao Wang; Venu Satuluri; Srinivasan Parthasarathy,One of the core tasks in social network analysis is to predict the formation of links (ie varioustypes of relationships) over time. Previous research has generally represented the socialnetwork in the form of a graph and has leveraged topological and semantic measures ofsimilarity between two nodes to evaluate the probability of link formation. Here we introducea novel local probabilistic graphical model method that can scale to large graphs to estimatethe joint co-occurrence probability of two nodes. Such a probability measure capturesinformation that is not captured by either topological measures or measures of semanticsimilarity; which are the dominant measures used for link prediction. We demonstrate theeffectiveness of the co-occurrence probability feature by using it both in isolation and incombination with other topological and semantic features for predicting co-authorship …,Data Mining; 2007. ICDM 2007. Seventh IEEE International Conference on,2007,237
Fast distributed outlier detection in mixed-attribute data sets,Matthew Eric Otey; Amol Ghoting; Srinivasan Parthasarathy,Abstract Efficiently detecting outliers or anomalies is an important problem in many areas ofscience; medicine and information technology. Applications range from data cleaning toclinical diagnosis; from detecting anomalous defects in materials to fraud and intrusiondetection. Over the past decade; researchers in data mining and statistics have addressedthe problem of outlier detection using both parametric and non-parametric approaches in acentralized setting. However; there are still several challenges that must be addressed. First;most approaches to date have focused on detecting outliers in a continuous attribute space.However; almost all real-world data sets contain a mixture of categorical and continuousattributes. Categorical attributes are typically ignored or incorrectly modeled by existingapproaches; resulting in a significant loss of information. Second; there have not been …,Data mining and knowledge discovery,2006,229
Cashmere-2L: Software coherent shared memory on a clustered remote-write network,Robert Stets; Sandhya Dwarkadas; Nikolaos Hardavellas; Galen Hunt; Leonidas Kontothanassis; Srinivasan Parthasarathy; Michael Scott,Abstract Low-latency remote-write networks; such as DEC's Memory Channel; provide thepossibility of transparent; inexpensive; huge-scale shared-memory parallel computing onclusters of shared memory multiprocessors (SMPs). The challenge is to take advantage ofhardwaresharedmemoryfor sharing within an SMI: and to ensure that software overheadisincurredonly when actively sharing data across SMPs in the cluster. In this paper; wedescribe a 'Ywolevel” software coherent shared memory system-Cashmere-2L-that meetsthis challenge. CashmereSL uses hardware to share memory within a node; while exploitingthe Memory Channel's remote-write capabilities to implement “moderately lazy” releaseconsistency with multiple concurrent writers; directories; home nodes; and page-sizecoherence blocks across nodes. Cashmere-2L employs a novel coherence protocol that …,ACM SIGOPS Operating Systems Review,1997,224
Scalable graph clustering using stochastic flows: applications to community discovery,Venu Satuluri; Srinivasan Parthasarathy,Abstract Algorithms based on simulating stochastic flows are a simple and natural solutionfor the problem of clustering graphs; but their widespread use has been hampered by theirlack of scalability and fragmentation of output. In this article we present a multi-levelalgorithm for graph clustering using flows that delivers significant improvements in bothquality and speed. The graph is first successively coarsened to a manageable size; and asmall number of iterations of flow simulation is performed on the coarse graph. The graph isthen successively refined; with flows from the previous graph used as initializations for briefflow simulations on each of the intermediate graphs. When we reach the final refined graph;the algorithm is run to convergence and the high-flow regions are clustered together; withregions without any flow forming the natural boundaries of the clusters. Extensive …,Proceedings of the 15th ACM SIGKDD international conference on Knowledge discovery and data mining,2009,214
