Clustering support for static concept location in source code,Giuseppe Scanniello; Andrian Marcus,One of the most common comprehension activities undertaken by developers is conceptlocation in source code. In the context of software change; concept location means findinglocations in source code where changes are to be made in response to a modificationrequest. Static techniques for concept location usually rely on searching the source codeusing textual information or on navigating the dependencies among software elements. Inthis paper we propose a novel static concept location technique; which leverages both thetextual information present in the code and the structural dependencies between sourcecode elements. The technique employs a textual search in that source code; which isclustered using the Border Flow algorithm; based on combining both structural and textualdata. We evaluated the technique against a text search based baseline approach using …,Program Comprehension (ICPC); 2011 IEEE 19th International Conference on,2011,64
Developing legacy system migration methods and tools for technology transfer,Andrea De Lucia; Rita Francese; Giuseppe Scanniello; Genoveffa Tortora,Abstract This paper presents the research results of an ongoing technology transfer projectcarried out in cooperation between the University of Salerno and a small software company.The project is aimed at developing and transferring migration technology to the industrialpartner. The partner should be enabled to migrate monolithic multi-user COBOL legacysystems to a multi-tier Web-based architecture. The assessment of the legacy systems of thepartner company revealed that these systems had a very low level of decomposability withspaghetti-like code and embedded control flow and database accesses within the userinterface descriptions. For this reason; it was decided to adopt an incremental migrationstrategy based on the reengineering of the user interface using Web technology; on thetransformation of interactive legacy programs into batch programs; and the wrapping of …,Software: Practice and Experience,2008,59
Investigating the use of lexical information for software system clustering,Anna Corazza; Sergio Di Martino; Valerio Maggio; Giuseppe Scanniello,Developers have a lot of freedom in writing comments as well as in choosing identifiers andmethod names. These are intentional in nature and provide a different relevance ofinformation to understand what a software system implements; and in particular the role ofeach source file. In this paper we investigate the effectiveness of exploiting lexicalinformation for software system clustering. In particular we explore the contribution of thecombined use of six different dictionaries; corresponding to the six parts of the source codewhere programmers introduce lexical information; namely: class; attribute; method andparameter names; comments; and source code statements. Their relevance has beenweighted by means of a probabilistic model; whose parameters have been estimated by theExpectation-Maximization algorithm. To group source files accordingly we used a …,Software Maintenance and Reengineering (CSMR); 2011 15th European Conference on,2011,58
Evaluating legacy system migration technologies through empirical studies,Massimo Colosimo; Andrea De Lucia; Giuseppe Scanniello; Genoveffa Tortora,Abstract We present two controlled experiments conducted with master students andpractitioners and a case study conducted with practitioners to evaluate the use of MELIS(Migration Environment for Legacy Information Systems) for the migration of legacy COBOLprograms to the web. MELIS has been developed as an Eclipse plug-in within a technologytransfer project conducted with a small software company [16]. The partner company hasdeveloped and marketed in the last 30 years several COBOL systems that need to bemigrated to the web; due to the increasing requests of the customers. The goal of thetechnology transfer project was to define a systematic migration strategy and the supportingtools to migrate these COBOL systems to the web and make the partner company an ownerof the developed technology. The goal of the controlled experiments and case study was …,Information and Software Technology,2009,43
Assessing the effectiveness of sequence diagrams in the comprehension of functional requirements: Results from a family of five experiments,Silvia Abrahao; Carmine Gravino; Emilio Insfran; Giuseppe Scanniello; Genoveffa Tortora,Modeling is a fundamental activity within the requirements engineering process andconcerns the construction of abstract descriptions of requirements that are amenable tointerpretation and validation. The choice of a modeling technique is critical whenever it isnecessary to discuss the interpretation and validation of requirements. This is particularlytrue in the case of functional requirements and stakeholders with divergent goals anddifferent backgrounds and experience. This paper presents the results of a family ofexperiments conducted with students and professionals to investigate whether thecomprehension of functional requirements is influenced by the use of dynamic models thatare represented by means of the UML sequence diagrams. The family contains fiveexperiments performed in different locations and with 112 participants of different abilities …,IEEE Transactions on Software Engineering,2013,42
A probabilistic based approach towards software system clustering,Anna Corazza; Sergio Di Martino; Giuseppe Scanniello,In this paper we present a clustering based approach to partition software systems intomeaningful subsystems. In particular; the approach uses lexical information extracted fromfour zones in Java classes; which may provide a different contribution towards softwaresystems partitioning. To automatically weigh these zones; we introduced a probabilisticmodel; and applied the Expectation-Maximization (EM) algorithm. To group classesaccording to the considered lexical information; we customized the well-known K-Medoidsalgorithm. To assess the approach and the implemented supporting system; we haveconducted a case study on six open source software systems.,Software Maintenance and Reengineering (CSMR); 2010 14th European Conference on,2010,41
Using the kleinberg algorithm and vector space model for software system clustering,Giuseppe Scanniello; Anna D'Amico; Carmela D'Amico; Teodora D'Amico,Clustering based approaches are generally difficult to use in practice since they need asignificant human interaction for recovering software architectures; are conceived for aspecific programming language; and very often do not use design knowledge (eg; theimplemented architectural model). In this paper we present a clustering based approach torecover the implemented architecture of software systems with a hierarchical structure andimplemented with any object oriented programming language. The approach is based onthe combination of structural and lexical dimensions. The structural dimension is used todecompose a software system into layers (ie; horizontal decomposition); while the lexicaldimension is then employed to partition each layer (ie; vertical decomposition) into softwaremodules. Layers are identified using a well known and widely employed link analysis …,Program Comprehension (ICPC); 2010 IEEE 18th International Conference on,2010,39
On the effectiveness of screen mockups in requirements engineering: results from an internal replication,Filippo Ricca; Giuseppe Scanniello; Marco Torchiano; Gianna Reggio; Egidio Astesiano,Abstract In this paper; we present and discuss the results of an internal replication of acontrolled experiment for assessing the effectiveness of including screen mockups whenadopting Use Cases. The results of the original experiment indicate a clear improvement interms of understandability of functional requirements when screen mockups are present withno significant impact on effort. The data analysis of the replication; conducted also in thiscase with undergraduate students; confirms the results of the original experiment with slightdifferences; thus confirming that screen mockups facilitate the understanding ofrequirements without influencing the effort. We also sketch here some issues related to thedocumentation and communication between experimenters.,Proceedings of the 2010 ACM-IEEE international symposium on empirical software engineering and measurement,2010,35
Class level fault prediction using software clustering,Giuseppe Scanniello; Carmine Gravino; Andrian Marcus; Tim Menzies,Abstract Defect prediction approaches use software metrics and fault data to learn whichsoftware properties associate with faults in classes. Existing techniques predict fault-proneclasses in the same release (intra) or in a subsequent releases (inter) of a subject softwaresystem. We propose an intra-release fault prediction technique; which learns from clusters ofrelated classes; rather than from the entire system. Classes are clustered using structuralinformation and fault prediction models are built using the properties of the classes in eachcluster. We present an empirical investigation on data from 29 releases of eight open sourcesoftware systems from the PROMISE repository; with predictors built using multivariate linearregression. The results indicate that the prediction models built on clusters outperform thosebuilt on all the classes of the system.,Proceedings of the 28th IEEE/ACM International Conference on Automated Software Engineering,2013,34
Reengineering web applications based on cloned pattern analysis,Andrea De Lucia; Rita Francese; Giuseppe Scanniello; Genoveffa Tortora,Web applications are subject to continuous and rapid evolution. Often it happens thatprogrammers indiscriminately duplicate Web pages without considering systematicdevelopment and maintenance methods. This practice creates code clones that make Webapplications hard to maintain and reuse. This paper presents an approach for reengineeringWeb applications based on clone analysis that aims at identifying and generalizing staticand dynamic pages and navigational patterns of a Web application. Clone analysis is alsohelpful for identifying literals that can be generated from a database. A case study isdescribed which shows how the proposed approach can be used for restructuring thenavigational structure of a Web application by removing redundant code.,Program Comprehension; 2004. Proceedings. 12th IEEE International Workshop on,2004,34
Exploring initial challenges for green software engineering: summary of the first GREENS workshop; at ICSE 2012,Patricia Lago; Rick Kazman; Niklaus Meyer; Maurizio Morisio; Hausi A Müller; Frances Paulisch,Abstract The GREENS workshop provides a forum for practitioners and academics to shareknowledge; ideas; practices and current results related to green and sustainable softwareengineering. This first workshop was held at ICSE 2012 in Zurich; Switzerland. It featured akeynote talk; twelve research position statements and two breakout sessions that discussedtopics that ranged from bringing sustainability and energy efficiency into all software lifecyclestages; to green measures and estimations; practices; notations; and tools to both greeningthe software engineering process; and greening the resulting Information andCommunication Technology systems. This report presents the themes of the workshop;summarizes the results of the discussions held in the breakout sessions; as well as theidentified research challenges.,ACM SIGSOFT Software Engineering Notes,2013,32
A SCORM thin client architecture for e-learning systems based on web services,Giovanni Casella; Gennaro Costagliola; Filomena Ferrucci; Giuseppe Polese; Giuseppe Scanniello,Abstract In this paper we propose an architecture of e-learning systems characterized by theuse of Web services and a suitable middleware component. These technical infrastructuresallow us to extend the system with new services as well as to integrate and reuseheterogeneous software e-learning components. Moreover; they let us better support the"anytime and anywhere" learning paradigm. As a matter of fact; the proposal provides animplementation of the run-time environment suggested in the sharable content objectreference model (SCORM) to trace learning processes; which is also suitable for mobilelearning.[PUBLICATION ABSTRACT],International Journal of Distance Education Technologies,2007,31
Enhancing collaborative synchronous UML modelling with fine-grained versioning of software artefacts,Andrea De Lucia; Fausto Fasano; Giuseppe Scanniello; Genny Tortora,Abstract Software development teams are composed of people with different knowledge andskills; who contribute to a project from often widely dispersed locations. Softwaredevelopment in geographically distributed environments creates software engineeringchallenges due to the interaction among members of distributed teams and the managementof consistency and concurrency among project artefacts. In this paper; we proposeSynchronous collaborative modelling Tool Enhanced with VErsioning management(STEVE) a collaborative tool supporting distributed Unified Modelling Language (UML)modelling of software systems. The tool provides a communication infrastructure enablingthe concurrent editing of the same UML diagram at the same time by distributed developers.Complex UML diagrams are decomposed and managed in a fine-grained hierarchy of …,Journal of Visual Languages & Computing,2007,30
Identifying Clones in Dynamic Web Sites Using Similarity Thresholds.,Andrea De Lucia; Giuseppe Scanniello; Genoveffa Tortora,*,ICEIS (1),2004,28
On the impact of UML analysis models on source-code comprehensibility and modifiability,Giuseppe Scanniello; Carmine Gravino; Marcela Genero; Jose'A Cruz-Lemus; Genoveffa Tortora,Abstract We carried out a family of experiments to investigate whether the use of UMLmodels produced in the requirements analysis process helps in the comprehensibility andmodifiability of source code. The family consists of a controlled experiment and 3 externalreplications carried out with students and professionals from Italy and Spain. 86 participantswith different abilities and levels of experience with UML took part. The results of theexperiments were integrated through the use of meta-analysis. The results of both theindividual experiments and meta-analysis indicate that UML models produced in therequirements analysis process influence neither the comprehensibility of source code nor itsmodifiability.,ACM Transactions on Software Engineering and Methodology (TOSEM),2014,27
A strategy and an Eclipse based environment for the migration of legacy systems to multi-tier web-based architectures,Andrea De Lucia; Rita Francese; Giuseppe Scanniello; Genoveffa Tortora; Nicola Vitiello,We present an incremental approach to the migration of non decomposable COBOLapplications to a Web-enabled multi-tier architecture. The relevant software components ofthe target architecture; namely the communication middleware and the generator ofgraphical user interfaces; are developed once for all in order to reduce the migration effort.An Eclipse plug-in has also been developed to support the software engineer in themigration of the graphical user interface and in the restructuring and wrapping of the originallegacy code. A pilot project on a COBOL legacy system evolved during the last thirty yearshas been used to experiment the migration strategy and the plug-in,Software Maintenance; 2006. ICSM'06. 22nd IEEE International Conference on,2006,22
Understanding cloned patterns in web applications,Andrea De Lucia; Rita Francese; Giuseppe Scanniello; Genoveffa Tortora,We propose a tool to identify and analyze cloned patterns in Web applications using cloneanalysis and clustering of static and dynamic Web pages. The tool first detects clonedpages; which are then grouped into clusters as well as the groups of links between clusters.In this way the navigational schema is simplified and the duplicated functionalitiescorresponding to cloned navigational patterns can be more easily analyzed. The tool alsoallows filtering out uninteresting parts of the restructured navigational schema; thus to furtherimprove the understanding.,Program Comprehension; 2005. IWPC 2005. Proceedings. 13th International Workshop on,2005,22
Architecture recovery using latent semantic indexing and k-means: an empirical evaluation,Michele Risi; Giuseppe Scanniello; Genoveffa Tortora,A number of clustering based approaches and tools have been proposed in the past topartition a software system into subsystems. The greater part of these approaches issemiautomatic; thus requiring human decision to identify the best partition of softwareentities into clusters among the possible partitions. In addition; some approaches areconceived for software systems implemented using a particular programming language (eg;C and C++). In this paper we present an approach to automate the partitioning of a givensoftware system into subsystems. In particular; the approach first analyzes the softwareentities (eg; programs or classes) and then using Latent Semantic Indexing the dissimilaritybetween these entities is computed. Finally; software entities are grouped using iterativelythe k-means clustering algorithm. The approach has been implemented in a prototype of …,Software Engineering and Formal Methods (SEFM); 2010 8th IEEE International Conference on,2010,21
Architectural layer recovery for software system understanding and evolution,Giuseppe Scanniello; Anna D'Amico; Carmela D'Amico; Teodora D'Amico,Abstract This paper presents an approach to identify software layers for the understandingand evolution of software systems implemented with any object-oriented programminglanguage. The approach first identifies relations between the classes of a software systemand then uses a link analysis algorithm (ie the Kleinberg algorithm) to group them intolayers. Additionally to assess the approach and the underlying techniques; the paper alsopresents a prototype of a supporting tool and the results from a case study. Copyright© 2010John Wiley & Sons; Ltd.,Software: Practice and Experience,2010,21
Assessing the usability of a visual tool for the definition of e-learning processes,Gennaro Costagliola; Andrea De Lucia; Filomena Ferrucci; Carmine Gravino; Giuseppe Scanniello,Abstract In this paper; we present a usability study aiming at assessing a visual language-based tool for developing adaptive e-learning processes. The tool implements the adaptiveself-consistent learning object SET (ASCLO-S) visual language; a special case of flowdiagrams; to be used by instructional designers to define classes of learners throughstereotypes and to specify the more suited adaptive learning process for each class oflearners. The usability study is based on the combined use of two techniques: aquestionnaire-based survey and an empirical analysis. The survey has been used toachieve feedbacks from the subjects' point of view. In particular; it has been useful to capturethe perceived usability of the subjects. The outcomes show that both the proposed visualnotation and the system prototype are suitable for instructional designers with or without …,Journal of Visual Languages & Computing,2008,21
Investigating the Role of UML in the Software Modeling and Maintenance-A Preliminary Industrial Survey.,Giuseppe Scanniello; Carmine Gravino; Genny Tortora,*,ICEIS (3),2010,20
Clustering algorithms and latent semantic indexing to identify similar pages in web applications,Andrea De Lucia; Michele Risi; Genoveffa Tortora; Giuseppe Scanniello,In this paper; we analyze some clustering algorithms that have been widely employed in thepast to support the comprehension of Web applications. To this end; we have defined anapproach to identify static pages that are duplicated or cloned at the content level. Thisapproach is based on a process that first computes the dissimilarity between Web pagesusing latent semantic indexing; a well known information retrieval technique; and thengroups similar pages using clustering algorithms. We consider five instances of this process;each based on three variants of the agglomerative hierarchical clustering algorithm; adivisive clustering algorithm; k-means partitional clustering algorithm; and a widelyemployed partitional competitive clustering algorithm; namely Winner Takes All. In order toassess the proposed approach; we have used the static pages of three Web applications …,Web Site Evolution; 2007. WSE 2007. 9th IEEE International Workshop on,2007,20
A multi-objective technique to prioritize test cases based on latent semantic indexing,Md Mahfuzul Islam; Alessandro Marchetto; Angelo Susi; Giuseppe Scanniello,To early discover faults in source code; test case ordering has to be properly chosen. To thisaim test prioritization techniques can be used. Several of these techniques leave out theexecution cost of test cases and exploit a single objective function (eg; code or requirementscoverage). In this paper; we present a multi-objective test prioritization technique thatdetermines sequences of test cases that maximize the number of discovered faults that areboth technical and business critical. The technique uses the information related to the codeand requirements coverage; as well as the execution cost of each test case. The approachalso uses recovered trace ability links among source code and system requirements via theLatent Semantic Indexing technique. We evaluated our proposal against both a randomprioritization technique and two single-objective prioritization techniques on two Java …,Software Maintenance and Reengineering (CSMR); 2012 16th European Conference on,2012,19
Assessing communication media richness in requirements negotiation,Ugo Erra; Giuseppe Scanniello,A critical claim in software requirements negotiation regards the assertion that groupperformances improve when a medium with different richness level is used. Accordingly; theauthors have conducted a study to compare traditional face-to-face communication; therichest medium and two less rich communication media; namely a distributed three-dimensional virtual environment and a text-based structured chat. This comparison hasbeen performed with respect to the time needed to accomplish a negotiation. Furthermore;as the only assessment of the time could not be meaningful; the authors have also analysedthe media effect on the issues arisen in the negotiation process and the quality of thenegotiated software requirements.,IET software,2010,19
Identifying similar pages in web applications using a competitive clustering algorithm,Andrea De Lucia; Giuseppe Scanniello; Genoveffa Tortora,Abstract We present an approach based on Winner Takes All (WTA); a competitiveclustering algorithm; to support the comprehension of static and dynamic Web applicationsduring Web application reengineering. This approach adopts a process that first computesthe distance between Web pages and then identifies and groups similar pages using theconsidered clustering algorithm. We present an instance of application of the clusteringprocess to identify similar pages at the structural level. The page structure is encoded into astring of HTML tags and then the distance between Web pages at the structural level iscomputed using the Levenshtein string edit distance algorithm. A prototype to automate theclustering process has been implemented that can be extended to other instances of theprocess; such as the identification of groups of similar pages at content level. The …,Journal of Software: Evolution and Process,2007,19
