A conceptual view on trajectories,Stefano Spaccapietra; Christine Parent; Maria Luisa Damiani; Jose Antonio de Macedo; Fabio Porto; Christelle Vangenot,Abstract Analysis of trajectory data is the key to a growing number of applications aiming atglobal understanding and management of complex phenomena that involve moving objects(eg worldwide courier distribution; city traffic management; bird migration monitoring).Current DBMS support for such data is limited to the ability to store and query raw movement(ie the spatio-temporal position of an object). This paper explores how conceptual modelingcould provide applications with direct support of trajectories (ie movement data that isstructured into countable semantic units) as a first class concept. A specific concern is toallow enriching trajectories with semantic annotations allowing users to attach semantic datato specific parts of the trajectory. Building on a preliminary requirement analysis and anapplication example; the paper proposes two modeling approaches; one based on a …,Data & knowledge engineering,2008,552
GEO-RBAC: A spatially aware RBAC,Maria Luisa Damiani; Elisa Bertino; Barbara Catania; Paolo Perlasca,Abstract Securing access to data in location-based services and mobile applicationsrequires the definition of spatially aware access-control systems. Even if some approacheshave already been proposed either in the context of geographic database systems orcontext-aware applications; a comprehensive framework; general and flexible enough todeal with spatial aspects in real mobile applications; is still missing. In this paper; we makeone step toward this direction and present GEO-RBAC; an extension of the RBAC modelenhanced with spatial-and location-based information. In GEORBAC; spatial entities areused to model objects; user positions; and geographically bounded roles. Roles areactivated based on the position of the user. Besides a physical position; obtained from agiven mobile terminal or a cellular phone; users are also assigned a logical and device …,ACM Transactions on Information and System Security (TISSEC),2007,520
Semantic trajectories modeling and analysis,Christine Parent; Stefano Spaccapietra; Chiara Renso; Gennady Andrienko; Natalia Andrienko; Vania Bogorny; Maria Luisa Damiani; Aris Gkoulalas-Divanis; Jose Macedo; Nikos Pelekis; Yannis Theodoridis; Zhixian Yan,Abstract Focus on movement data has increased as a consequence of the larger availabilityof such data due to current GPS; GSM; RFID; and sensors techniques. In parallel; interest inmovement has shifted from raw movement data analysis to more application-oriented waysof analyzing segments of movement suitable for the specific purposes of the application.This trend has promoted semantically rich trajectories; rather than raw movement; as thecore object of interest in mobility studies. This survey provides the definitions of the basicconcepts about mobility data; an analysis of the issues in mobility data management; and asurvey of the approaches and techniques for:(i) constructing trajectories from movementtracks;(ii) enriching trajectories with semantic information to enable the desiredinterpretations of movements; and (iii) using data mining to analyze semantic trajectories …,ACM Computing Surveys (CSUR),2013,284
The PROBE Framework for the Personalized Cloaking of Private Locations.,Maria Luisa Damiani; Elisa Bertino; Claudio Silvestri,Abstract. The widespread adoption of location-based services (LBS) raises increasingconcerns for the protection of personal location information. A common strategy; referred toas obfuscation (or cloaking); to protect location privacy is based on forwarding the LBSprovider a coarse user location instead of the actual user location. Conventionalapproaches; based on such technique; are however based only on geometric methods andtherefore are unable to assure privacy when the adversary is aware of the geographicalcontext; in particular of the semantic locations and the statistical distribution of positions inthe given space. This paper provides a comprehensive solution to this problem. We presenta novel privacy model and an architectural framework for the personalized cloaking ofsemantic locations. In our model; a cloaked location is an uncertainty region which …,Trans. Data Privacy,2010,119
Preventing velocity-based linkage attacks in location-aware applications,Gabriel Ghinita; Maria Luisa Damiani; Claudio Silvestri; Elisa Bertino,Abstract Mobile devices with positioning capabilities allow users to participate in novel andexciting location-based applications. For instance; users may track the whereabouts of theiracquaintances in location-aware social networking applications; eg; GoogleLatitude.Furthermore; users can request information about landmarks in their proximity. Suchscenarios require users to report their coordinates to other parties; which may not be fullytrusted. Reporting precise locations may result in serious privacy violations; such asdisclosure of lifestyle details; sexual orientation; etc. A typical approach to preserve locationprivacy is to generate a cloaking region (CR) that encloses the user position. However; iflocations are continuously reported; an attacker can correlate CRs from multiple timestampsto accurately pinpoint the user position within a CR. In this work; we protect against …,Proceedings of the 17th ACM SIGSPATIAL International Conference on Advances in Geographic Information Systems,2009,101
Fine-grained cloaking of sensitive positions in location-sharing applications,Maria Luisa Damiani; Claudio Silvestri; Elisa Bertino,Geosocial networking applications magnify the concern for location privacy because a user'sposition can be disclosed to diverse untrusted parties. The Privacy Preserving ObfuscationEnvironment (Probe) framework supports semantic-location cloaking to protect thisinformation.,IEEE Pervasive Computing,2011,59
Spatial data warehouse modelling,Maria Luisa Damiani; Stefano Spaccapietra,Abstract This chapter is concerned with multidimensional data models for spatial datawarehouses. Over the last few years different approaches have been proposed in theliterature for modelling multidimensional data with geometric extent. Nevertheless; thedefinition of a comprehensive and formal data model is still a major research issue. Themain contributions of the chapter are twofold: First; it draws a picture of the research area;second it introduces a novel spatial multidimensional data model for spatial objects withgeometry (MuSD–multigranular spatial data warehouse). MuSD complies with currentstandards for spatial data modelling; augmented by data warehousing concepts such asspatial fact; spatial dimension and spatial measure. The novelty of the model is therepresentation of spatial measures at multiple levels of geometric granularity. Besides the …,Processing and managing complex data for decision support,2006,56
An authorization model for geographical maps,Alberto Belussi; Elisa Bertino; Barbara Catania; Maria Luisa Damiani; Andrea Nucita,Abstract Access control is an important component of any database management system.Several access control models have been proposed for conventional databases. However;these models do not seem adequate for geographical databases; due to the peculiarities ofgeographical data. Previous work on access control models for geographical data mainlyconcerns raster maps (images). In this paper; we present a discretionary access controlmodel for geographical maps. We assume that each map is composed of a set of features.Each feature is represented in one or more maps by spatial objects; described by means ofdifferent spatial properties: geometric properties; describing the shape; extension andlocation of the objects; and topological properties; describing the topological relationshipsexisting among objects. The proposed access control model allows the security …,Proceedings of the 12th annual ACM international workshop on Geographic information systems,2004,44
Privacy-preserving sharing of sensitive semantic locations under road-network constraints,Emre Yigitoglu; Maria Luisa Damiani; Osman Abul; Claudio Silvestri,This paper presents a privacy-preserving framework for the protection of sensitive positionsin real time trajectories. We assume a scenario in which the sensitivity of user's positions isspace-varying; and so depends on the spatial context; while the user's movement isconfined to road networks and places. Typical users are the non-anonymous members of ageo-social network who agree to share their exact position whenever such position does notfall within a sensitive place; eg a hospital. Suspending location sharing while the user isinside a sensitive place is not an appropriate solution because the user's stopovers can beeasily inferred from the user's trace. In this paper we present an extension of the semanticlocation cloaking model [1] originally developed for the cloaking of non-correlated positionsin an unconstrained space. We investigate different algorithms for the generation of …,Mobile Data Management (MDM); 2012 IEEE 13th International Conference on,2012,41
Protecting location privacy against spatial inferences: the PROBE approach,Maria Luisa Damiani; Elisa Bertino; Claudio Silvestri,Abstract The widespread adoption of location-based services (LBS) raises increasingconcerns for the protection of personal location information. A common strategy; referred toas obfuscation; to protect location privacy is based on forwarding the LSB provider a coarseuser location instead of the actual user location. Conventional approaches; based on suchtechnique; are however based only on geometric methods and therefore are unable toassure privacy when the adversary is aware of the geographical context. This paperprovides a comprehensive solution to this problem. Our solution presents a novel approachthat obfuscates the user location by taking into account the geographical context and user'sprivacy preferences. We define several theoretical notions underlying our approach. Wethen propose a strategy for generating obfuscated spaces and an efficient algorithm …,Proceedings of the 2nd SIGSPATIAL ACM GIS 2009 International Workshop on Security and Privacy in GIS and LBS,2009,39
