Handbook of Graph Grammars and Comp.,Grzegorz Rozenberg,Graph grammars originated in the late 60s; motivated by considerations about patternrecognition and compiler construction. Since then the list of areas which have interacted withthe development of graph grammars has grown quite impressively. Besides theaforementioned areas it includes software specification and development; VLSI layoutschemes; database design; modeling of concurrent systems; massively parallel computerarchitectures; logic programming; computer animation; developmental biology; musiccomposition; visual languages; and many others. The area of graph grammars and graphtransformations generalizes formal language theory based on strings and the theory of termrewriting based on trees. As a matter of fact within the area of graph grammars; graphtransformation is considered a fundamental programming paradigm where computation …,*,1997,1935
Software engineering for self-adaptive systems: A second research roadmap,Rogério De Lemos; Holger Giese; Hausi A Müller; Mary Shaw; Jesper Andersson; Marin Litoiu; Bradley Schmerl; Gabriel Tamura; Norha M Villegas; Thomas Vogel; Danny Weyns; Luciano Baresi; Basil Becker; Nelly Bencomo; Yuriy Brun; Bojan Cukic; Ron Desmarais; Schahram Dustdar; Gregor Engels; Kurt Geihs; Karl M Göschka; Alessandra Gorla; Vincenzo Grassi; Paola Inverardi; Gabor Karsai; Jeff Kramer; Antónia Lopes; Jeff Magee; Sam Malek; Serge Mankovskii; Raffaela Mirandola; John Mylopoulos; Oscar Nierstrasz; Mauro Pezzè; Christian Prehofer; Wilhelm Schäfer; Rick Schlichting; Dennis B Smith; João Pedro Sousa; Ladan Tahvildari; Kenny Wong; Jochen Wuttke,Abstract The goal of this roadmap paper is to summarize the state-of-the-art and identifyresearch challenges when developing; deploying and managing self-adaptive softwaresystems. Instead of dealing with a wide range of topics associated with the field; we focus onfour essential topics of self-adaptation: design space for self-adaptive solutions; softwareengineering processes for self-adaptive systems; from centralized to decentralized control;and practical run-time verification & validation for self-adaptive systems. For each topic; wepresent an overview; suggest future directions; and focus on selected challenges. Thispaper complements and extends a previous roadmap on software engineering for self-adaptive systems published in 2009 covering a different set of topics; and reflecting in parton the previous paper. This roadmap is one of the many results of the Dagstuhl Seminar …,*,2013,1369
Handbook of graph grammars and computing by graph transformation,Hartmut Ehrig; Grzegorz Rozenberg; Hans-J rg Kreowski,Graph grammars originated in the late 60s; motivated by considerations about patternrecognition and compiler construction. Since then; the list of areas which have interactedwith the development of graph grammars has grown quite impressively. Besides theaforementioned areas; it includes software specification and development; VLSI layoutschemes; database design; modeling of concurrent systems; massively parallel computerarchitectures; logic programming; computer animation; developmental biology; musiccomposition; visual languages; and many others. The area of graph grammars and graphtransformations generalizes formal language theory based on strings and the theory of termrewriting based on trees. As a matter of fact; within the area of graph grammars; graphtransformation is considered as a fundamental computation paradigm where computation …,*,1999,978
Graph transformation for specification and programming,Marc Andries; Gregor Engels; Annegret Habel; Berthold Hoffmann; Hans-Jörg Kreowski; Sabine Kuske; Detlef Plump; Andy Schürr; Gabriele Taentzer,Abstract The framework of graph transformation combines the potentials and advantages ofboth; graphs and rules; to a single computational paradigm. In this paper we present somerecent developments in applying graph transformation as a rule-based framework for thespecification and development of systems; languages; and tools. After reviewing the basicfeatures of graph transformation; we discuss a selection of applications; including theevaluation of functional expressions; the specification of an interactive graphical tool; anexample specification for abstract data types; and the definition of a visual database querylanguage. The case studies indicate the need for suitable structuring principles which areindependent of a particular graph transformation approach. To this end; we present theconcept of a transformation unit; which allows systematic and structured specification and …,Science of Computer programming,1999,259
Dynamic meta modeling: A graphical approach to the operational semantics of behavioral diagrams in UML,Gregor Engels; Jan Hendrik Hausmann; Reiko Heckel; Stefan Sauer,Abstract In this paper; dynamic meta modeling is proposed as a new approach to theoperational semantics of behavioral UML diagrams. The dynamic meta model extends thewell-known static meta model by a speci. cation of the system's dynamics by means ofcollaboration diagrams. In this way; it is possible to de. ne the behavior of UML diagramswithin UML. The conceptual idea is inherited from Plotkin's structured operational semantics(SOS) paradigm; a style of semantics speci. cation for concurrent programming languagesand process calculi: Collaboration diagrams are used as deduction rules to specify a goal-oriented interpreter for the language. The approach is exemplified using a fragment of UMLstatechart and object diagrams. Formally; collaboration diagrams are interpreted as graphtransformation rules. In this way; dynamic UML semantics can be both mathematically …,International Conference on the Unified Modeling Language,2000,218
A methodology for specifying and analyzing consistency of object-oriented behavioral models,Gregor Engels; Jochem M Küster; Reiko Heckel; Luuk Groenewegen,Abstract Object-oriented modeling favors the modeling of object behavior from differentviewpoints and the successive refinement of behavioral models in the development process.This gives rise to consistency problems of behavioral models. The absence of a formalsemantics for UML models and the numerous possibilities of employing behavioral modelswithin the development process lead to the rise of a number of different consistency notions.In this paper; we discuss the issue of consistency of behavioral models in the UML andpresent a general methodology how consistency problems can be dealt with. According tothe methodology; those aspects of the models relevant to the consistency are mapped to asemantic domain in which precise consistency tests can be formulated. The choice of thesemantic domain and the definition of consistency conditions can be used to construct …,ACM SIGSOFT software engineering notes,2001,200
Conceptual modelling of database applications using an extended ER model,Gregor Engels; Martin Gogolla; Uwe Hohenstein; Klaus Hülsmann; Perdita Löhr-Richter; Gunter Saake; Hans-Dieter Ehrich,Abstract In this paper; we motivate and present a data model for conceptual design ofstructural and behavioural aspects of databases. We follow an object centered designparadigm in the spirit of semantic data models. The specification of structural aspects isdivided into modelling of object structures and modelling of data types used for describingobject properties. The specification of object structures is based on an E xtended E ntity-Relationship (EER) model. The specification of behavioural aspects is divided into themodelling of admissible database state evolutions by means of temporal integrity constraintsand the formulation of database (trans) actions. The central link for integrating these designcomponents is a descriptive logic-based query language for the EER model. The logic partof this language is the basis for static constraints and descriptive action specifications by …,Data & Knowledge Engineering,1992,189
Detecting and resolving process model differences in the absence of a change log,Jochen M Küster; Christian Gerth; Alexander Förster; Gregor Engels,Abstract Business-driven development favors the construction of process models at differentabstraction levels and by different people. As a consequence; there is a demand forconsolidating different versions of process models by detecting and resolving differences.Existing approaches rely on the existence of a change log which logs the changes whenchanging a process model. However; in several scenarios such a change log does not existand differences must be identified by comparing process models before and after changeshave been made. In this paper; we present our approach to detecting and resolvingdifferences between process models; in the absence of a change log. It is based oncomputing differences and deriving change operations for resolving differences; therebyproviding a foundation for variant and version management in these cases.,International Conference on Business Process Management,2008,163
Rule-based specification of behavioral consistency based on the UML meta-model,Gregor Engels; Reiko Heckel; Jochen Malte Küster,Abstract Object-oriented modeling favors the modeling of object behavior from differentviewpoints and at different levels of abstraction. This gives rise to consistency problemsbetween overlapping or semantically related submodels. The absence of a formal semanticsfor the UML and the numerous ways of employing the language within the developmentprocess lead to a number of different consistency notions. Therefore; general meta-leveltechniques are required for specifying; analyzing; and communicating consistencyconstraints. In this paper; we discuss the issue of consistency of behavioral models in theUML and present techniques for specifying and analyzing consistency. Using meta-modelrules we transform elements of UML models into a semantic domain. Then; consistencyconstraints can by specified and validated using the language and the tools of the …,International Conference on the Unified Modeling Language,2001,142
Building integrated software development environments. Part I: tool specification,Gregor Engels; Claus Lewerentz; Manfred Nagl; Wilhelm Schäfer; Andy Schürr,Abstract The conceptual modeling approach of the IPSEN (Integrated Project SupportEnvironment) project for building highly integrated environments is based on usingattributed graphs to model and implement arbitrary object structures; in particular all kinds ofsoftware documents and their relationships. A language based on graph grammars; calledPROGRESS (PROgrammed Graph REwriting SyStems); and a suitable method for theapplication of this language; called graph grammar engineering; have been developed overthe last ten years. This language and method are being extensively used for specifying thecomplex graph structures of internal document representations as well as for specifying thefunctionality of all tools (editors; browsers; analyzers; debuggers) working on these internalrpresentations. This paper explains the language and the method for applying the …,ACM Transactions on Software Engineering and Methodology (TOSEM),1992,132
ClassSheets: automatic generation of spreadsheet applications from object-oriented specifications,Gregor Engels; Martin Erwig,Abstract Spreadsheets are widely used in all kinds of business applications. Numerousstudies have shown that they contain many errors that sometimes have dramatic impacts.One reason for this situation is the low-level; cell-oriented development process ofspreadsheets. We improve this process by introducing and formalizing a higher-level object-oriented model termed ClassSheet. While still following the tabular look-and feel ofspreadsheets; ClassSheets allow the developer to express explicitly business objectstructures within a spreadsheet; which is achieved by integrating concepts from the UML(Unified Modeling Language). A stepwise automatic transformation process generates aspreadsheet application that is consistent with the ClassSheet model. Thus; by deployingthe formal underpinning of ClassSheets; a large variety of errors can be prevented that …,Proceedings of the 20th IEEE/ACM international Conference on Automated software engineering,2005,116
Process-oriented; flexible composition of web services with UML,Sebastian Thöne; Ralph Depke; Gregor Engels,Abstract The composition of elementary web services to larger-scale services has becomean important means to enhance e-business collaborations. If such composite web servicescan also integrate legacy components that are not yet provided as web services; the numberof possible compositions is increased. Following a process-oriented approach; thecompositions can be described as control-and data-flow between available web servicesand components. This paper discusses the Business Process Execution Language for WebServices (BPEL4WS); an existing service composition language; and proposes UML-WSCas an alternative; visual language. For the advanced description of service interfaces; UML-WSC extends the type system of the established Web Service Definition Language (WSDL).,International Conference on Conceptual Modeling,2002,104
