Snowball: Extracting relations from large plain-text collections,Eugene Agichtein; Luis Gravano,Abstract Text documents often contain valuable structured data that is hidden Yin regularEnglish sentences. This data is best exploited infavailable as arelational table that we coulduse for answering precise queries or running data mining tasks. We explore a technique forextracting such tables from document collections that requires only a handful of trainingexamples from users. These examples are used to generate extraction patterns; that in turnresult in new tuples being extracted from the document collection. We build on this idea andpresent our Snowball system. Snowball introduces novel strategies for generating patternsand extracting tuples from plain-text documents. At each iteration of the extraction process;Snowball evaluates the quality of these patterns and tuples without human intervention; andkeeps only the most reliable ones for the next iteration. In this paper we also develop a …,Proceedings of the fifth ACM conference on Digital libraries,2000,1353
Finding high-quality content in social media,Eugene Agichtein; Carlos Castillo; Debora Donato; Aristides Gionis; Gilad Mishne,Abstract The quality of user-generated content varies drastically from excellent to abuse andspam. As the availability of such content increases; the task of identifying high-qualitycontent sites based on user contributions--social media sites--becomes increasinglyimportant. Social media in general exhibit a rich variety of information sources: in addition tothe content itself; there is a wide array of non-content information available; such as linksbetween items and explicit quality ratings from members of the community. In this paper weinvestigate methods for exploiting such community feedback to automatically identify highquality content. As a test case; we focus on Yahoo! Answers; a large communityquestion/answering portal that is particularly rich in the amount and types of content andsocial interactions available in it. We introduce a general classification framework for …,Proceedings of the 2008 international conference on web search and data mining,2008,1247
Improving web search ranking by incorporating user behavior information,Eugene Agichtein; Eric Brill; Susan Dumais,Abstract We show that incorporating user behavior data can significantly improve ordering oftop results in real web search setting. We examine alternatives for incorporating feedbackinto the ranking process and explore the contributions of user feedback compared to othercommon web search features. We report results of a large scale evaluation over 3;000queries and 12 million user interactions with a popular web search engine. We show thatincorporating implicit feedback can augment other features; improving the accuracy of acompetitive web search ranking algorithms by as much as 31% relative to the originalperformance.,Proceedings of the 29th annual international ACM SIGIR conference on Research and development in information retrieval,2006,1121
Learning user interaction models for predicting web search result preferences,Eugene Agichtein; Eric Brill; Susan Dumais; Robert Ragno,Abstract Evaluating user preferences of web search results is crucial for search enginedevelopment; deployment; and maintenance. We present a real-world study of modeling thebehavior of web search users to predict web search result preferences. Accurate modelingand interpretation of user behavior has important applications to ranking; click spamdetection; web search personalization; and other tasks. Our key insight to improvingrobustness of interpreting implicit feedback is to model query-dependent deviations from theexpected" noisy" user behavior. We show that our model of clickthrough interpretationimproves prediction accuracy over state-of-the-art clickthrough methods. We generalize ourapproach to model user behavior beyond clickthrough; which results in higher preferenceprediction accuracy than models based on clickthrough information alone. We report …,Proceedings of the 29th annual international ACM SIGIR conference on Research and development in information retrieval,2006,539
Discovering authorities in question answer communities by using link analysis,Pawel Jurczyk; Eugene Agichtein,Abstract Question-Answer portals such as Naver and Yahoo! Answers are quickly becomingrich sources of knowledge on many topics which are not well served by general web searchengines. Unfortunately; the quality of the submitted answers is uneven; ranging fromexcellent detailed answers to snappy and insulting remarks or even advertisements forcommercial content. Furthermore; user feedback for many topics is sparse; and can beinsufficient to reliably identify good answers from the bad ones. Hence; estimating theauthority of users is a crucial task for this emerging domain; with potential applications toanswer ranking; spam detection; and incentive mechanism design. We present an analysisof the link structure of a general-purpose question answering community to discoverauthoritative users; and promising experimental results over a dataset of more than 3 …,Proceedings of the sixteenth ACM conference on Conference on information and knowledge management,2007,371
Exploiting diverse knowledge sources via maximum entropy in named entity recognition,Andrew Borthwick; John Sterling; Eugene Agichtein; Ralph Grishman,Abstract This paper describes a novel statistical namedentity (ie" proper name") recognitionsystem built around a maximum entity framework. By working v; ithin the framework ofmaximum entropy theory and utilizing a flexible object-based architecture; the system is ableto make use of an extraordinarily diverse range of knowledge sources in making its taggingdecisions. These knowledge sources include capitalization features; lexical features;features indicating the current section of text (ie headline or main body); and dictionaries ofsingle or multi-word terms. The purely statistical system contains no hand-generatedpatterns and achieves a result comparable with the best statistical systems. However; whencombined with other handcoded systems; the system achieves scores that exceed thehighest comparable scores thus-far published.,Sixth Workshop on Very Large Corpora,1998,276
Finding the right facts in the crowd: factoid question answering over social media,Jiang Bian; Yandong Liu; Eugene Agichtein; Hongyuan Zha,Abstract Community Question Answering has emerged as a popular and effective paradigmfor a wide range of information needs. For example; to find out an obscure piece of trivia; it isnow possible and even very effective to post a question on a popular community QA sitesuch as Yahoo! Answers; and to rely on other users to provide answers; often withinminutes. The importance of such community QA sites is magnified as they create archives ofmillions of questions and hundreds of millions of answers; many of which are invaluable forthe information needs of other searchers. However; to make this immense body ofknowledge accessible; effective answer retrieval is required. In particular; as any user cancontribute an answer to a question; the majority of the content reflects personal; oftenunsubstantiated opinions. A ranking that combines both relevance and quality is required …,Proceedings of the 17th international conference on World Wide Web,2008,272
Predicting information seeker satisfaction in community question answering,Yandong Liu; Jiang Bian; Eugene Agichtein,Abstract Question answering communities such as Naver and Yahoo! Answers haveemerged as popular; and often effective; means of information seeking on the web. Byposting questions for other participants to answer; information seekers can obtain specificanswers to their questions. Users of popular portals such as Yahoo! Answers already havesubmitted millions of questions and received hundreds of millions of answers from otherparticipants. However; it may also take hours--and sometime days--until a satisfactoryanswer is posted. In this paper we introduce the problem of predicting information seekersatisfaction in collaborative question answering communities; where we attempt to predictwhether a question author will be satisfied with the answers submitted by the communityparticipants. We present a general prediction model; and develop a variety of content …,Proceedings of the 31st annual international ACM SIGIR conference on Research and development in information retrieval,2008,263
NYU: Description of the MENE named entity system as used in MUC-7,Andrew Borthwick; John Sterling; Eugene Agichtein; Ralph Grishman,This paper describes a new system called Maximum Entropy Named Entity" or MENE"pronounced meanie" which was NYU's entrant in the MUC-7 named entity evaluation. Byworking within the framework of maximum entropy theory and utilizing a flexible object-based architecture; the system is able to make use of an extraordinarily diverse range ofknowledge sources in making its tagging decisions. These knowledge sources includecapitalization features; lexical features and features indicating the current type of text ieheadline or main body. It makes use of a broad array of dictionaries of useful single or multi-word terms such as first names; company names; and corporate suffixes. These dictionariesrequired no manual editing and were either downloaded from the web or were simplyobvious" lists entered by hand. This system; built from off-the-shelf knowledge sources …,Seventh Message Understanding Conference (MUC-7): Proceedings of a Conference Held in Fairfax; Virginia; April 29-May 1; 1998,1998,251
A word at a time: computing word relatedness using temporal semantic analysis,Kira Radinsky; Eugene Agichtein; Evgeniy Gabrilovich; Shaul Markovitch,Abstract Computing the degree of semantic relatedness of words is a key functionality ofmany language applications such as search; clustering; and disambiguation. Previousapproaches to computing semantic relatedness mostly used static language resources;while essentially ignoring their temporal aspects. We believe that a considerable amount ofrelatedness information can also be found in studying patterns of word usage over time.Consider; for instance; a newspaper archive spanning many years. Two words such as" war"and" peace" might rarely co-occur in the same articles; yet their patterns of use over timemight be similar. In this paper; we propose a new semantic relatedness model; TemporalSemantic Analysis (TSA); which captures this temporal information. The previous state of theart method; Explicit Semantic Analysis (ESA); represented word semantics as a vector of …,Proceedings of the 20th international conference on World wide web,2011,249
