Graphene as a counter electrode material for dye-sensitized solar cells,Hui Wang; Yun Hang Hu,The dye-sensitized solar cell (DSSC) plays a leading role in third generation photovoltaicdevices. Platinum-loaded conducting glass has been widely exploited as the standardcounter electrode (CE) for DSSCs. However; the high cost and the rarity of platinum limits itspractical application in DSSCs. This has promoted large interest in exploring Pt-free CEs forDSSCs. Very recently; graphene; which is an atomic planar sheet of hexagonally arrayedsp2 carbon atoms; has been demonstrated to be a promising CE material for DSSCs due toits excellent conductivity and high electrocatalytic activity. This article provides a mini reviewof graphene-based CEs for DSSCs. Firstly; the fabrication and performance of graphene filmCE in DSSCs are discussed. Secondly; DSSC counter electrodes made from graphene-based composite materials are evaluated. Finally; a brief outlook is provided on the future …,Energy & Environmental Science,2012,264
3D Honeycomb‐Like Structured Graphene and Its High Efficiency as a Counter‐Electrode Catalyst for Dye‐Sensitized Solar Cells,Hui Wang; Kai Sun; Franklin Tao; Dario J Stacchiola; Yun Hang Hu,Graphene; a two-dimensional carbon sheet;[1] has attracted great interest due to its uniqueproperties.[2; 3] To explore its practical applications; large-scale synthesis with controllableintegration of individual graphene sheets is essential. To date; numerous approaches havebeen developed for graphene synthesis; including mechanical cleavage;[1] epitaxialgrowth;[4] and chemical vapor deposition.[5] All of those techniques are used to prepare flatgraphene sheets on a substrate. Chemical exfoliation of graphite has been applied toprepare graphene oxide solutions and graphene-based composite materials.[6; 7] Recently;tuning graphene shapes is attracting much attention.[8–16] Cheng and co-workerssynthesized graphene foam using porous Ni foam as a template for the CVD growth ofgraphene; followed by etching away the Ni skeleton.[8] The graphene foam consists of an …,Angewandte Chemie,2013,214
Thinnest Two‐Dimensional Nanomaterial—Graphene for Solar Energy,Yun Hang Hu; Hui Wang; Bo Hu,Abstract Graphene is a rapidly rising star in materials science. This two-dimensional materialexhibits unique properties; such as low resistance; excellent optical transmittance; and highmechanical and chemical stabilities. These exceptional advantages possess great promisefor its potential applications in photovoltaic devices. In this Review; we present the status ofgraphene research for solar energy with emphasis on solar cells. Firstly; the preparation andproperties of graphene are described. Secondly; applications of graphene as transparentconductive electrodes and counter electrodes are presented. Thirdly; graphene-basedelectron-(or hole) accepting materials for solar energy conversion are evaluated. Fourthly;the promoting effect of graphene on photovoltaic devices and the photocatalytic property ofgraphene–semiconductor composites are discussed. Finally; the challenges to increase …,*,2010,168
Effect of oxygen content on structures of graphite oxides,Hui Wang; Yun Hang Hu,Graphite oxide was synthesized by the oxidation of graphite via a modified Hummersapproach. The oxygen content of graphite oxide was tuned by changing the oxidation time.The saturated ratio of oxygen to carbon is 0.47. Furthermore; the effect of oxygen content onthe structures of graphite oxide was evaluated by using SEM; TEM; XRD; Raman; FTIR; TG;TPD-MS; and nitrogen adsorption. It was found that the types of functional groups in graphiteoxides; which are epoxy; hydroxyl; and carboxyl groups; were independent of oxygencontent. However; the interplanar space and BET surface area of graphite oxide linearlyincreased with increasing O/C ratio. Furthermore; the structure of graphite can be easily andremarkably disordered even by partial oxidation.,Industrial & Engineering Chemistry Research,2011,94
Promoting effect of graphene on dye-sensitized solar cells,Hui Wang; Samantha L Leonard; Yun Hang Hu,In this paper; a simple approach without a prereduction of graphene oxide was exploited toprepare a graphene-doped TiO2 film for dye-sensitized solar cells (DSSCs). Theperformance measurement of the DSSCs showed that the incorporation of graphene couldincrease the short-circuit current density and power conversion efficiency by 52.4 and55.3%; respectively. Furthermore; it was demonstrated that the performance enhancementwas due to the promoting effect of graphene on electron transfer instead of the increase ofdye loading in TiO2/graphene composite films. However; graphene can also absorb solarlight; which could lead to the decrease of light harvest of dye molecules and thus a negativeeffect on the power conversion efficiency of DSSCs. Furthermore; graphene might decreasethe actual dye loading on TiO2 in a TiO2/graphene film; which can also make a negative …,Industrial & Engineering Chemistry Research,2012,74
A review on PEDOT‐based counter electrodes for dye‐sensitized solar cells,Wei Wei; Hui Wang; Yun Hang Hu,SUMMARY The dye-sensitized solar cell (DSSC) is a promising alternative for the Si solarcell due to its low-cost and easy fabrication. As a novel conductive polymer; poly (3; 4-ethylenedioxythiophene)(PEDOT) has attracted much attention for DSSCs. In this reviewarticle; the progress of PEDOT-based counter electrodes for DSSCs is presented. First; theproperties and structure of PEDOT are briefly described; and its feasibility as a DSSCcounter electrode is demonstrated. Then; the effect of various treatments on the electricalconductivity and catalytic activity of PEDOT as well as its stability is examined. Furthermore;efficient and low-cost composite counter electrodes consisting of PEDOT and other materialsare deeply discussed. Finally; an outlook for PEDOT counter electrodes is provided.Copyright© 2014 John Wiley & Sons; Ltd.,International Journal of Energy Research,2014,61
Unusual particle-size-induced promoter-to-poison transition of ZrN in counter electrodes for dye-sensitized solar cells,Wei Wei; Hui Wang; Yun Hang Hu,It is well-known that promoter and poison are two contradictory properties of materials.However; in this work; an unusual particle-size-induced promoter-to-poison transition of ZrNhas been observed for the counter electrode of poly (3; 4-ethylene-dioxythiophene):polystyrene sulfonate (PEDOT: PSS) in dye-sensitized solar cells (DSSCs). If the primarycrystal particle size of ZrN is 37 nm; it plays a promoting role for PEDOT: PSS counterelectrodes; leading to a remarkable increase in DSSC power conversion efficiency. Incontrast; when its primary crystal particle size is decreased to 21 nm; ZrN becomes a seriouspoison for PEDOT: PSS counter electrodes. This finding would be important for thedevelopment of highly efficient DSSC counter electrodes.,Journal of Materials Chemistry A,2013,51
Efficient ZnO-based counter electrodes for dye-sensitized solar cells,Hui Wang; Wei Wei; Yun Hang Hu,ZnO is usually exploited as a photoelectrode for dye-sensitized solar cells (DSSCs); but ithas not been applied as a DSSC counter electrode. Herein; it is reported that ZnO with poly(3; 4-ethylenedioxythiophene): polystyrene sulfonate (PEDOT: PSS) could be an efficientDSSC counter electrode with a maximum power conversion efficiency of 8.17%.Furthermore; it was found that the conversion efficiency of DSSCs with the ZnO/PEDOT: PSScounter electrode strongly depends on the ZnO content. Density functional theory (DFT)calculations; electrochemical impedance spectroscopy (EIS); and cyclic voltammetry (CV)measurements revealed that the variation of the conversion efficiency with ZnO content isdetermined by the fill factor (FF); which is dependent on the combination of the catalyticactivity of ZnO and the conductivity of PEDOT: PSS.,Journal of Materials Chemistry A,2013,51
NiO as an efficient counter electrode catalyst for dye-sensitized solar cells,Hui Wang; Wei Wei; Yun Hang Hu,Abstract NiO is an important heterogeneous catalyst employed in chemical processes.However; it is a new topic to explore NiO as a counter electrode catalyst for dye-sensitizedsolar cells (DSSCs). In this paper; NiO with poly (3; 4-ethylenedioxythiophene):polystyrenesulfonate (PEDOT: PSS) was demonstrated an efficient DSSC counter electrodewith a maximum power conversion efficiency of 7.58%. Furthermore; electrochemicalimpedance spectroscopy and cyclic voltammetry measurements revealed that the excellentphotovoltaic performance is due to the combination between the high catalytic activity of NiOand the superior electrical conductivity of PEDOT: PSS. The optimum weight ratio of NiO toPEDOT: PSS is 48.,Topics in Catalysis,2014,40
Electrolyte-induced precipitation of graphene oxide in its aqueous solution,Hui Wang; Yun Hang Hu,Abstract Graphene oxide (GO) can easily dissolve in water to form a stable homogeneoussolution due to its hydrophilic property and ionization of functional groups. However; in thispaper; it is reported that a strong electrolyte (HCl; LiOH; LiCl; LiBr; KCl; or KBr) candestabilize the GO solution; causing GO precipitation. This indicates that the electrostaticrepulsion plays a critical role in stabilizing aqueous GO solution. The electrolyte-inducedprecipitates were characterized by transmission electron microscopy (TEM); Ramanspectroscopy; and Fourier transform infrared spectroscopy (FTIR). The oxygen-containingfunctional groups of GO sheets; which are carboxyl; epoxy; and hydroxyl groups; remainedunchanged during acid (HCl)-and salt (LiCl)-induced precipitations. In contrast; during theGO precipitation induced by a base (LiOH); the carboxyl group of GO sheets disappeared …,Journal of colloid and interface science,2013,28
