CURE: an efficient clustering algorithm for large databases,Sudipto Guha; Rajeev Rastogi; Kyuseok Shim,Abstract Clustering; in data mining; is useful for discovering groups and identifyinginteresting distributions in the underlying data. Traditional clustering algorithms either favorclusters with spherical shapes and similar sizes; or are very fragile in the presence ofoutliers. We propose a new clustering algorithm called CURE that is more robust to outliers;and identifies clusters having non-spherical shapes and wide variances in size. CUREachieves this by representing each cluster by a certain fixed number of points that aregenerated by selecting well scattered points from the cluster and then shrinking them towardthe center of the cluster by a specified fraction. Having more than one representative pointper cluster allows CURE to adjust well to the geometry of non-spherical shapes and theshrinking helps to dampen the effects of outliers. To handle large databases; CURE …,ACM Sigmod Record,1998,3218
ROCK: A robust clustering algorithm for categorical attributes,Sudipto Guha; Rajeev Rastogi; Kyuseok Shim,Abstract Clustering; in data mining; is useful to discover distribution patterns in theunderlying data. Clustering algorithms usually employ a distance metric based (eg;euclidean) similarity measure in order to partition the database such that data points in thesame partition are more similar than points in different partitions. In this paper; we studyclustering algorithms for data with boolean and categorical attributes. We show thattraditional clustering algorithms that use distances between points for clustering are notappropriate for boolean and categorical attributes. Instead; we propose a novel concept oflinks to measure the similarity/proximity between a pair of data points. We develop a robusthierarchical clustering algorithm ROCK that employs links and not distances when mergingclusters. Our methods naturally extend to non-metric similarity measures that are relevant …,Information systems,2000,2130
Efficient algorithms for mining outliers from large data sets,Sridhar Ramaswamy; Rajeev Rastogi; Kyuseok Shim,Abstract In this paper; we propose a novel formulation for distance-based outliers that isbased on the distance of a point from its k th nearest neighbor. We rank each point on thebasis of its distance to its k th nearest neighbor and declare the top n points in this ranking tobe outliers. In addition to developing relatively straightforward solutions to finding suchoutliers based on the classical nested-loop join and index join algorithms; we develop ahighly efficient partition-based algorithm for mining outliers. This algorithm first partitions theinput data set into disjoint subsets; and then prunes entire partitions as soon as it isdetermined that they cannot contain outliers. This results in substantial savings incomputation. We present the results of an extensive experimental study on real-life andsynthetic data sets. The results from a real-life NBA database highlight and reveal several …,ACM Sigmod Record,2000,1727
Fast similarity search in the presence of noise; scaling; and translation in time-series databases,Rake& Agrawal King-lp Lin; Harpreet S Sawhney Kyuseok Shim,Abstract We introduce a new model of similarity of time sequences that captures the intuitivenotion that two sequences should be considered similar if they have enough non-overlapping time-ordered pairs of subsequences thar are similar. The model allows theamplitude of one of the two sequences to be scaled by any suitable amount and its o setadjusted appropriately. Two subsequences are considered similar if one can be enclosedwithin an envelope of a speci ed width drawn around the other. The model also allows non-matching gaps in the matching subsequences. The matching subsequences need not bealigned along the time axis. Given this model of similarity; we present fast search techniquesfor discovering all similar sequences in a set of sequences. These techniques can also beused to nd all sub sequences similar to a given sequence. We applied this matching …,Proceeding of the 21th International Conference on Very Large Data Bases,1995,962
SPIRIT: Sequential pattern mining with regular expression constraints,Minos N Garofalakis; Rajeev Rastogi; Kyuseok Shim,Abstract Discovering sequential patterns is an important problem in data mining with a hostof application domains including medicine; telecommunications; and the World Wide Web.Conventional mining systems provide users with only a very restricted mechanism (basedon minimum support) for specifying patterns of interest. In this paper; we propose the use ofRegular Expressions (REs) as a flexible constraint specification tool that enables user-controlled focus to be incorporated into the pattern mining process. We develop a family ofnovel algorithms (termed SPIRIT–Sequential Pattern mIning with Regular expressIonconsTraints) for mining frequent sequential patterns that also satisfy user-specified REconstraints. The main distinguishing factor among the proposed schemes is the degree towhich the RE constraints are enforced to prune the search space of patterns during …,VLDB,1999,646
Approximate query processing using wavelets,Kaushik Chakrabarti; Minos Garofalakis; Rajeev Rastogi; Kyuseok Shim,Abstract Approximate query processing has emerged as a cost-effective approach fordealing with the huge data volumes and stringent response-time requirements of today'sdecision support systems (DSS). Most work in this area; however; has so far been limited inits query processing scope; typically focusing on specific forms of aggregate queries.Furthermore; conventional approaches based on sampling or histograms appear to beinherently limited when it comes to approximating the results of complex queries over high-dimensional DSS data sets. In this paper; we propose the use of multi-dimensional waveletsas an effective tool for general-purpose approximate query processing in modern; high-dimensional applications. Our approach is based on building wavelet-coefficient synopsesof the data and using these synopses to provide approximate answers to queries. We …,The VLDB Journal—The International Journal on Very Large Data Bases,2001,576
Optimizing queries with materialized views,Surajit Chaudhuri; Ravi Krishnamurthy; Spyros Potamianos; Kyuseok Shim,While much work has addressed the problem of maintaining materialized views; theimportant question of optimizing queries in the presence of materialised views has not beenresolved. In this paper; we analyze the optimization question and provide a comprehensiveand efficient solution. Our solution has the desirable property that it is a simplegeneralization of the traditional query optimization algorithm.,Data Engineering; 1995. Proceedings of the Eleventh International Conference on,1995,575
Optimizing queries with materialized views,Surajit Chaudhuri; Ravi Krishnamurthy; Spyros Potamianos; Kyuseok Shim,While much work has addressed the problem of maintaining materialized views; theimportant question of optimizing queries in the presence of materialised views has not beenresolved. In this paper; we analyze the optimization question and provide a comprehensiveand efficient solution. Our solution has the desirable property that it is a simplegeneralization of the traditional query optimization algorithm.,Data Engineering; 1995. Proceedings of the Eleventh International Conference on,1995,575
APEX: An adaptive path index for XML data,Chin-Wan Chung; Jun-Ki Min; Kyuseok Shim,Abstract The emergence of the Web has increased interests in XML data. XML querylanguages such as XQuery and XPath use label paths to traverse the irregularly structureddata. Without a structural summary and efficient indexes; query processing can be quiteinefficient due to an exhaustive traversal on XML data. To overcome the inefficiency; severalpath indexes have been proposed in the research community. Traditional indexes generallyrecord all label paths from the root element in XML data. Such path indexes may result inperformance degradation due to large sizes and exhaustive navigations for partial matchingpath queries start with the self-or-descendent axis ("//"). In this paper; we propose APEX; anadaptive path index for XML data. APEX does not keep all paths starting from the root andutilizes frequently used paths to improve the query performance. APEX also has a nice …,Proceedings of the 2002 ACM SIGMOD international conference on Management of data,2002,427
Cure: an efficient clustering algorithm for large databases,Sudipto Guha; Rajeev Rastogi; Kyuseok Shim,Abstract Clustering; in data mining; is useful for discovering groups and identifyinginteresting distributions in the underlying data. Traditional clustering algorithms either favorclusters with spherical shapes and similar sizes; or are very fragile in the presence ofoutliers. We propose a new clustering algorithm called CURE that is more robust to outliers;and identifies clusters having non-spherical shapes and wide variances in size. CUREachieves this by representing each cluster by a certain fixed number of points that aregenerated by selecting well scattered points from the cluster and then shrinking them towardthe center of the cluster by a specified fraction. Having more than one representative pointper cluster allows CURE to adjust well to the geometry of non-spherical shapes and theshrinking helps to dampen the effects of outliers. To handle large databases; CURE …,Information Systems,2001,425
