CURE: an efficient clustering algorithm for large databases,Sudipto Guha; Rajeev Rastogi; Kyuseok Shim,Abstract Clustering; in data mining; is useful for discovering groups and identifyinginteresting distributions in the underlying data. Traditional clustering algorithms either favorclusters with spherical shapes and similar sizes; or are very fragile in the presence ofoutliers. We propose a new clustering algorithm called CURE that is more robust to outliers;and identifies clusters having non-spherical shapes and wide variances in size. CUREachieves this by representing each cluster by a certain fixed number of points that aregenerated by selecting well scattered points from the cluster and then shrinking them towardthe center of the cluster by a specified fraction. Having more than one representative pointper cluster allows CURE to adjust well to the geometry of non-spherical shapes and theshrinking helps to dampen the effects of outliers. To handle large databases; CURE …,ACM SIGMOD Record,1998,3218
ROCK: A robust clustering algorithm for categorical attributes,Sudipto Guha; Rajeev Rastogi; Kyuseok Shim,Abstract Clustering; in data mining; is useful to discover distribution patterns in theunderlying data. Clustering algorithms usually employ a distance metric based (eg;euclidean) similarity measure in order to partition the database such that data points in thesame partition are more similar than points in different partitions. In this paper; we studyclustering algorithms for data with boolean and categorical attributes. We show thattraditional clustering algorithms that use distances between points for clustering are notappropriate for boolean and categorical attributes. Instead; we propose a novel concept oflinks to measure the similarity/proximity between a pair of data points. We develop a robusthierarchical clustering algorithm ROCK that employs links and not distances when mergingclusters. Our methods naturally extend to non-metric similarity measures that are relevant …,Information systems,2000,2130
ROCK: A robust clustering algorithm for categorical attributes,Sudipto Guha; Rajeev Rastogi; Kyuseok Shim,Abstract Clustering; in data mining; is useful to discover distribution patterns in theunderlying data. Clustering algorithms usually employ a distance metric based (eg;euclidean) similarity measure in order to partition the database such that data points in thesame partition are more similar than points in different partitions. In this paper; we studyclustering algorithms for data with boolean and categorical attributes. We show thattraditional clustering algorithms that use distances between points for clustering are notappropriate for boolean and categorical attributes. Instead; we propose a novel concept oflinks to measure the similarity/proximity between a pair of data points. We develop a robusthierarchical clustering algorithm ROCK that employs links and not distances when mergingclusters. Our methods naturally extend to non-metric similarity measures that are relevant …,Data Engineering; 1999. Proceedings.; 15th International Conference on,1999,2130
Efficient algorithms for mining outliers from large data sets,Sridhar Ramaswamy; Rajeev Rastogi; Kyuseok Shim,Abstract In this paper; we propose a novel formulation for distance-based outliers that isbased on the distance of a point from its k th nearest neighbor. We rank each point on thebasis of its distance to its k th nearest neighbor and declare the top n points in this ranking tobe outliers. In addition to developing relatively straightforward solutions to finding suchoutliers based on the classical nested-loop join and index join algorithms; we develop ahighly efficient partition-based algorithm for mining outliers. This algorithm first partitions theinput data set into disjoint subsets; and then prunes entire partitions as soon as it isdetermined that they cannot contain outliers. This results in substantial savings incomputation. We present the results of an extensive experimental study on real-life andsynthetic data sets. The results from a real-life NBA database highlight and reveal several …,ACM Sigmod Record,2000,1727
SPIRIT: Sequential pattern mining with regular expression constraints,Minos Garofalakis; Rajeev Rastogi; Kyuseok Shim,Abstract Discovering sequential patterns is an important problem in data mining with a hostof application domains including medicine; telecommunications; and the World Wide Web.Conventional mining systems provide users with only a very restricted mechanism (basedon minimum support) for specifying patterns of interest. In this paper; we propose the use ofRegular Expressions (REs) as a flexible constraint specification tool that enables user-controlled focus to be incorporated into the pattern mining process. We develop a family ofnovel algorithms (termed SPIRIT–Sequential Pattern mIning with Regular expressIonconsTraints) for mining frequent sequential patterns that also satisfy user-specified REconstraints. The main distinguishing factor among the proposed schemes is the degree towhich the RE constraints are enforced to prune the search space of patterns during …,Proceedings of the international conference on very large data bases,1999,646
Approximate query processing using wavelets,Kaushik Chakrabarti; Minos Garofalakis; Rajeev Rastogi; Kyuseok Shim,Abstract Approximate query processing has emerged as a cost-effective approach fordealing with the huge data volumes and stringent response-time requirements of today'sdecision support systems (DSS). Most work in this area; however; has so far been limited inits query processing scope; typically focusing on specific forms of aggregate queries.Furthermore; conventional approaches based on sampling or histograms appear to beinherently limited when it comes to approximating the results of complex queries over high-dimensional DSS data sets. In this paper; we propose the use of multi-dimensional waveletsas an effective tool for general-purpose approximate query processing in modern; high-dimensional applications. Our approach is based on building wavelet-coefficient synopsesof the data and using these synopses to provide approximate answers to queries. We …,The VLDB Journal—The International Journal on Very Large Data Bases,2001,576
10 challenging problems in data mining research,Qiang Yang; Xindong Wu,In October 2005; we took an initiative to identify 10 challenging problems in data miningresearch; by consulting some of the most active researchers in data mining and machinelearning for their opinions on what are considered important and worthy topics for futureresearch in data mining. We hope their insights will inspire new research efforts; and giveyoung researchers (including PhD students) a high-level guideline as to where the hotproblems are located in data mining. Due to the limited amount of time; we were only able tosend out our survey requests to the organizers of the IEEE ICDM and ACM KDDconferences; and we received an overwhelming response. We are very grateful for thecontributions provided by these researchers despite their busy schedules. This short articleserves to summarize the 10 most challenging problems of the 14 responses we have …,International Journal of Information Technology & Decision Making,2006,569
Efficient filtering of XML documents with XPath expressions,C-Y Chan; Pascal Felber; Minos Garofalakis; Rajeev Rastogi,Abstract The publish/subscribe paradigm is a popular model for allowing publishers (ie; datagenerators) to selectively disseminate data to a large number of widely dispersedsubscribers (ie; data consumers) who have registered their interest in specific informationitems. Early publish/subscribe systems have typically relied on simple subscriptionmechanisms; such as keyword or” bag of words” matching; or simple comparison predicateson attribute values. The emergence of XML as a standard for information exchange on theInternet has led to an increased interest in using more expressive subscription mechanisms(eg; based on XPath expressions) that exploit both the structure and the content of publishedXML documents. Given the increased complexity of these new data-filtering mechanisms;the problem of effectively identifying the subscription profiles that match an incoming XML …,The VLDB Journal—The International Journal on Very Large Data Bases,2002,565
Cure: an efficient clustering algorithm for large databases,Sudipto Guha; Rajeev Rastogi; Kyuseok Shim,Abstract Clustering; in data mining; is useful for discovering groups and identifyinginteresting distributions in the underlying data. Traditional clustering algorithms either favorclusters with spherical shapes and similar sizes; or are very fragile in the presence ofoutliers. We propose a new clustering algorithm called CURE that is more robust to outliers;and identifies clusters having non-spherical shapes and wide variances in size. CUREachieves this by representing each cluster by a certain fixed number of points that aregenerated by selecting well scattered points from the cluster and then shrinking them towardthe center of the cluster by a specified fraction. Having more than one representative pointper cluster allows CURE to adjust well to the geometry of non-spherical shapes and theshrinking helps to dampen the effects of outliers. To handle large databases; CURE …,Information Systems,2001,425
Processing complex aggregate queries over data streams,Alin Dobra; Minos Garofalakis; Johannes Gehrke; Rajeev Rastogi,Abstract Recent years have witnessed an increasing interest in designing algorithms forquerying and analyzing streaming data (ie; data that is seen only once in a fixed order) withonly limited memory. Providing (perhaps approximate) answers to queries over suchcontinuous data streams is a crucial requirement for many application environments;examples include large telecom and IP network installations where performance data fromdifferent parts of the network needs to be continuously collected and analyzed. In this paper;we consider the problem of approximately answering general aggregate SQL queries overcontinuous data streams with limited memory. Our method relies on randomizing techniquesthat compute small" sketch" summaries of the streams that can then be used to provideapproximate answers to aggregate queries with provable guarantees on the …,Proceedings of the 2002 ACM SIGMOD international conference on Management of data,2002,396
