Probabilistic frequent itemset mining in uncertain databases,Thomas Bernecker; Hans-Peter Kriegel; Matthias Renz; Florian Verhein; Andreas Zuefle,Abstract Probabilistic frequent itemset mining in uncertain transaction databasessemantically and computationally differs from traditional techniques applied to standard"certain" transaction databases. The consideration of existential uncertainty of item (sets);indicating the probability that an item (set) occurs in a transaction; makes traditionaltechniques inapplicable. In this paper; we introduce new probabilistic formulations offrequent itemsets based on possible world semantics. In this probabilistic context; an itemsetX is called frequent if the probability that X occurs in at least minSup transactions is above agiven threshold τ. To the best of our knowledge; this is the first approach addressing thisproblem under possible worlds semantics. In consideration of the probabilistic formulations;we present a framework which is able to solve the Probabilistic Frequent Itemset Mining …,Proceedings of the 15th ACM SIGKDD international conference on Knowledge discovery and data mining,2009,280
Probabilistic nearest-neighbor query on uncertain objects,Hans-Peter Kriegel; Peter Kunath; Matthias Renz,Abstract Nearest-neighbor queries are an important query type for commonly used featuredatabases. In many different application areas; eg sensor databases; location basedservices or face recognition systems; distances between objects have to be computed basedon vague and uncertain data. A successful approach is to express the distance between twouncertain objects by probability density functions which assign a probability value to eachpossible distance value. By integrating the complete probabilistic distance function as awhole directly into the query algorithm; the full information provided by these functions isexploited. The result of such a probabilistic query algorithm consists of tuples containing theresult object and a probability value indicating the likelihood that the object satisfies t hequery predicate. In this paper we introduce an efficient strategy for processing …,International Conference on Database Systems for Advanced Applications,2007,168
A generic framework for efficient subspace clustering of high-dimensional data,H-P Kriegel; Peer Kroger; Matthias Renz; Sebastian Wurst,Subspace clustering has been investigated extensively since traditional clusteringalgorithms often fail to detect meaningful clusters in high-dimensional data spaces. Manyrecently proposed subspace clustering methods suffer from two severe problems: First; thealgorithms typically scale exponentially with the data dimensionality and/or the subspacedimensionality of the clusters. Second; for performance reasons; many algorithms use aglobal density threshold for clustering; which is quite questionable since clusters insubspaces of significantly different dimensionality will most likely exhibit significantly varyingdensities. In this paper; we propose a generic framework to overcome these limitations. Ourframework is based on an efficient filter-refinement architecture that scales at most quadraticwrt the data dimensionality and the dimensionality of the subspace clusters. It can be …,Data Mining; Fifth IEEE International Conference on,2005,148
Efficient reverse k-nearest neighbor search in arbitrary metric spaces,Elke Achtert; Christian Böhm; Peer Kröger; Peter Kunath; Alexey Pryakhin; Matthias Renz,Abstract The reverse k-nearest neighbor (RkNN) problem; ie finding all objects in a data setthe k-nearest neighbors of which include a specified query object; is a generalization of thereverse 1-nearest neighbor problem which has received increasing attention recently. Manyindustrial and scientific applications call for solutions of the RkNN problem in arbitrary metricspaces where the data objects are not Euclidean and only a metric distance function is givenfor specifying object similarity. Usually; these applications need a solution for thegeneralized problem where the value of k is not known in advance and may change fromquery to query. However; existing approaches; except one; are designed for the specificR1NN problem. In addition-to the best of our knowledge-all previously proposed methods;especially the one for generalized RkNN search; are only applicable to Euclidean vector …,Proceedings of the 2006 ACM SIGMOD international conference on Management of data,2006,144
Probabilistic similarity join on uncertain data,Hans-Peter Kriegel; Peter Kunath; Martin Pfeifle; Matthias Renz,Abstract An important database primitive for commonly used feature databases is thesimilarity join. It combines two datasets based on some similarity predicate into one set suchthat the new set contains pairs of objects of the two original sets. In many differentapplication areas; eg sensor databases; location based services or face recognitionsystems; distances between objects have to be computed based on vague and uncertaindata. In this paper; we propose to express the similarity between two uncertain objects byprobability density functions which assign a probability value to each possible distancevalue. By integrating these probabilistic distance functions directly into the join algorithmsthe full information provided by these functions is exploited. The resulting probabilisticsimilarity join assigns to each object pair a probability value indicating the likelihood that …,International Conference on Database Systems for Advanced Applications,2006,122
Stable haptic interaction with virtual environments using an adapted voxmap-pointshell algorithm,Matthias Renz; Carsten Preusche; Marco Pötke; Hans-Peter Kriegel; Gerd Hirzinger,Abstract Despite a lot of research in recent years stable and realistic haptic interaction withvirtual environments keeps an unsolved problem. Among different approaches the Voxmap-PointShell TM (VPS) method seems very promising due to constant sample rates;independent of the static environment. But there is still the stability problem to be solvedglobally. In this paper some adaptations based on the VPS are presented; including thedynamic object modeling and the force calculation method; to reduce the distractions of thecalculated collision forces to increase stability. The PointShell points lie exactly on thesurface of the dynamic object; to get a smoother surface representation. A variation of thecollision force calculation leads to a reduction of the “voxel noise”; that appears due to thediscretization of the volume space. A design framework for the virtual coupling is …,In Proc. Eurohaptics,2001,106
Route skyline queries: A multi-preference path planning approach,Hans-Peter Kriegel; Matthias Renz; Matthias Schubert,In recent years; the research community introduced various methods for processing skylinequeries in multidimensional databases. The skyline operator retrieves all objects beingoptimal wrt an arbitrary linear weighting of the underlying criteria. The most prominentexample query is to find a reasonable set of hotels which are cheap but close to the beach.In this paper; we propose an new approach for computing skylines on routes (paths) in aroad network considering multiple preferences like distance; driving time; the number oftraffic lights; gas consumption; etc. Since the consideration of different preferences usuallyinvolves different routes; a skyline-fashioned answer with relevant route candidates is highlyuseful. In our work; we employ graph embedding techniques to enable a best-first basedgraph exploration considering route preferences based on arbitrary road attributes. The …,Data Engineering (ICDE); 2010 IEEE 26th International Conference on,2010,97
Similarity search on time series based on threshold queries,Johannes Aßfalg; Hans-Peter Kriegel; Peer Kröger; Peter Kunath; Alexey Pryakhin; Matthias Renz,Abstract Similarity search in time series data is required in many application fields. The mostprominent work has focused on similarity search considering either complete time series orsimilarity according to subsequences of time series. For many domains like financialanalysis; medicine; environmental meteorology; or environmental observation; the detectionof temporal dependencies between different time series is very important. In contrast totraditional approaches which consider the course of the time series for the purpose ofmatching; coarse trend information about the time series could be sufficient to solve theabove mentioned problem. In particular; temporal dependencies in time series can bedetected by determining the points of time at which the time series exceeds a specificthreshold. In this paper; we introduce the novel concept of threshold queries in time series …,International Conference on Extending Database Technology,2006,84
Querying uncertain spatio-temporal data,Tobias Emrich; Hans-Peter Kriegel; Nikos Mamoulis; Matthias Renz; Andreas Zufle,The problem of modeling and managing uncertain data has received a great deal of interest;due to its manifold applications in spatial; temporal; multimedia and sensor databases.There exists a wide range of work covering spatial uncertainty in the static (snapshot) case;where only one point of time is considered. In contrast; the problem of modeling andquerying uncertain spatio-temporal data has only been treated as a simple extension of thespatial case; disregarding time dependencies between consecutive timestamps. In this work;we present a framework for efficiently modeling and querying uncertain spatio-temporaldata. The key idea of our approach is to model possible object trajectories by stochasticprocesses. This approach has three major advantages over previous work. First it allowsanswering queries in accordance with the possible worlds model. Second; dependencies …,Data Engineering (ICDE); 2012 IEEE 28th International Conference on,2012,62
Reverse k-nearest neighbor search in dynamic and general metric databases,Elke Achtert; Hans-Peter Kriegel; Peer Kröger; Matthias Renz; Andreas Züfle,Abstract In this paper; we propose an original solution for the general reverse k-nearestneighbor (RkNN) search problem. Compared to the limitations of existing methods for theRkNN search; our approach works on top of any hierarchically organized tree-like indexstructure and; thus; is applicable to any type of data as long as a metric distance function isdefined on the data objects. We will exemplarily show how our approach works on top of themost prevalent index structures for Euclidean and metric data; the R-Tree and the M-Tree;respectively. Our solution is applicable for arbitrary values of k and can also be applied indynamic environments where updates of the database frequently occur. Although being themost general solution for the RkNN problem; our solution outperforms existing methods interms of query execution times because it exploits different strategies for pruning false …,Proceedings of the 12th International Conference on Extending Database Technology: Advances in Database Technology,2009,59
