A comparison of join algorithms for log processing in mapreduce,Spyros Blanas; Jignesh M Patel; Vuk Ercegovac; Jun Rao; Eugene J Shekita; Yuanyuan Tian,Abstract The MapReduce framework is increasingly being used to analyze large volumes ofdata. One important type of data analysis done with MapReduce is log processing; in whicha click-stream or an event log is filtered; aggregated; or mined for patterns. As part of thisanalysis; the log often needs to be joined with reference data such as information aboutusers. Although there have been many studies examining join algorithms in parallel anddistributed DBMSs; the MapReduce framework is cumbersome for joins. MapReduceprogrammers often use simple but inefficient algorithms to perform joins. In this paper; wedescribe crucial implementation details of a number of well-known join strategies inMapReduce; and present a comprehensive experimental comparison of these jointechniques on a 100-node Hadoop cluster. Our results provide insights that are unique to …,Proceedings of the 2010 ACM SIGMOD International Conference on Management of data,2010,465
Design and evaluation of main memory hash join algorithms for multi-core CPUs,Spyros Blanas; Yinan Li; Jignesh M Patel,Abstract The focus of this paper is on investigating efficient hash join algorithms for modernmulti-core processors in main memory environments. This paper dissects each internalphase of a typical hash join algorithm and considers different alternatives for implementingeach phase; producing a family of hash join algorithms. Then; we implement these mainmemory algorithms on two radically different modern multi-processor systems; and carefullyexamine the factors that impact the performance of each method. Our analysis reveals someinteresting results--a very simple hash join algorithm is very competitive to the other morecomplex methods. This simple join algorithm builds a shared hash table and does notpartition the input relations. Its simplicity implies that it requires fewer parameter settings;thereby making it far easier for query optimizers and execution engines to use it in …,Proceedings of the 2011 ACM SIGMOD International Conference on Management of data,2011,176
High-performance concurrency control mechanisms for main-memory databases,Per-Åke Larson; Spyros Blanas; Cristian Diaconu; Craig Freedman; Jignesh M Patel; Mike Zwilling,Abstract A database system optimized for in-memory storage can support much highertransaction rates than current systems. However; standard concurrency control methodsused today do not scale to the high transaction rates achievable by such systems. In thispaper we introduce two efficient concurrency control methods specifically designed for main-memory databases. Both use multiversioning to isolate read-only transactions from updatesbut differ in how atomicity is ensured: one is optimistic and one is pessimistic. To avoidexpensive context switching; transactions never block during normal processing but theymay have to wait before commit to ensure correct serialization ordering. We alsoimplemented a main-memory optimized version of single-version locking. Experimentalresults show that while single-version locking works well when transactions are short and …,Proceedings of the VLDB Endowment,2011,159
Orthogonal Security with Cipherbase.,Arvind Arasu; Spyros Blanas; Ken Eguro; Raghav Kaushik; Donald Kossmann; Ravishankar Ramamurthy; Ramarathnam Venkatesan,ABSTRACT This paper describes the design of the Cipherbase system. Cipherbase is a full-fledged SQL database system that achieves high performance and high data confidentialityby storing and processing strongly encrypted data. The Cipherbase system incorporatescustomized trusted hardware; extending Microsoft's SQL Server for efficient execution ofqueries using both secure hardware and commodity servers. This paper presents the designof the Cipherbase secure hardware and its implementation using FPGAs. Furthermore; thispaper shows how we addressed hardware/software co-design in the Cipherbase system.,CIDR,2013,114
Parallel data analysis directly on scientific file formats,Spyros Blanas; Kesheng Wu; Surendra Byna; Bin Dong; Arie Shoshani,Abstract Scientific experiments and large-scale simulations produce massive amounts ofdata. Many of these scientific datasets are arrays; and are stored in file formats such asHDF5 and NetCDF. Although scientific data management systems; such as SciDB; aredesigned to manipulate arrays; there are challenges in integrating these systems intoexisting analysis workflows. Major barriers include the expensive task of preparing andloading data before querying; and converting the final results to a format that is understoodby the existing post-processing and visualization tools. As a consequence; integrating a datamanagement system into an existing scientific data analysis workflow is time-consuming andrequires extensive user involvement. In this paper; we present the design of a new scientificdata analysis system that efficiently processes queries directly over data stored in the …,Proceedings of the 2014 ACM SIGMOD international conference on Management of data,2014,41
Secure database-as-a-service with cipherbase,Arvind Arasu; Spyros Blanas; Ken Eguro; Manas Joglekar; Raghav Kaushik; Donald Kossmann; Ravi Ramamurthy; Prasang Upadhyaya; Ramarathnam Venkatesan,Abstract Data confidentiality is one of the main concerns for users of public cloud services.The key problem is protecting sensitive data from being accessed by cloud administratorswho have root privileges and can remotely inspect the memory and disk contents of thecloud servers. While encryption is the basic mechanism that can leveraged to provide dataconfidentiality; providing an efficient database-as-a-service that can run on encrypted dataraises several interesting challenges. In this demonstration we outline the functionality ofCipherbase---a full fledged SQL database system that supports the full generality of adatabase system while providing high data confidentiality. Cipherbase has a novelarchitecture that tightly integrates custom-designed trusted hardware for performingoperations on encrypted data securely such that an administrator cannot get access to …,Proceedings of the 2013 ACM SIGMOD International Conference on Management of Data,2013,30
Contention-based performance evaluation of multidimensional range search in peer-to-peer networks,Spyros Blanas; Vasilis Samoladas,Abstract Performance evaluation of peer-to-peer search techniques has hitherto been basedon simple performance metrics; such as message hop counts and total network traffic; mostlydisregarding the inherently concurrent nature of peer-to-peer networks; where contentionmay arise. This paper is concerned with quantifying the effects of contention in P2Pnetworks; focusing on networks for multidimensional range search. We evaluate peer-to-peer networks derived from recently proposed works; introducing two novel metrics relatedto concurrency and contention; namely responsiveness and throughput. Our results highlightthe impact of contention on these networks; and demonstrate that some studied networks donot scale in the presence of contention. Also; our results indicate that certain P2P networkproperties believed to be desirable (eg even data distribution or uniform peer access) …,Future Generation Computer Systems,2009,16
Memory footprint matters: efficient equi-join algorithms for main memory data processing,Spyros Blanas; Jignesh M Patel,Abstract High-performance analytical data processing systems often run on servers withlarge amounts of main memory. A common operation in such environments is combiningdata from two or more sources using some" join" algorithm. The focus of this paper is onstudying hash-based and sort-based equi-join algorithms when the data sets being joinedfully reside in main memory. We only consider a single node setting; which is an importantbuilding block for larger high-performance distributed data processing systems. A criticalcontribution of this work is in pointing out that in addition to query response time; one mustalso consider the memory footprint of each join algorithm; as it impacts the number ofconcurrent queries that can be serviced. Memory footprint becomes an importantdeployment consideration when running analytical data processing services on hardware …,Proceedings of the 4th annual Symposium on Cloud Computing,2013,13
On Transactional Memory; Spinlocks; and Database Transactions.,Khai Q Tran; Spyros Blanas; Jeffrey F Naughton,ABSTRACT Currently; hardware trends include a move toward multicore processors; cheapand persistent variants of memory; and even sophisticated hardware support for mutualexclusion in the form of transactional memory. These trends; coupled with a growing desirefor extremely high performance on short database transactions; raise the question ofwhether the hardware primitives developed for mutual exclusion can be exploited to rundatabase transactions. In this paper; we present a preliminary exploration of this question.We conduct a set of experiments on both a hardware prototype and a simulator of a multi-core processor with Transactional Memory (TM.) Our results show that TM is attractive underlow contention workloads; while spinlocks can tolerate high contention workloads well; andthat in some cases these approaches can beat a simple implementation of a traditional …,ADMS@ VLDB,2010,11
Forecasting the cost of processing multi-join queries via hashing for main-memory databases,Feilong Liu; Spyros Blanas,Abstract Database management systems (DBMSs) carefully optimize complex multi-joinqueries to avoid expensive disk I/O. As servers today feature tens or hundreds of gigabytesof RAM; a significant fraction of many analytic databases becomes memory-resident. Evenafter careful tuning for an in-memory environment; a linear disk I/O model such as the oneimplemented in PostgreSQL may make query response time predictions that are up to 2×slower than the optimal multi-join query plan over memory-resident data. This paperintroduces a memory I/O cost model to identify good evaluation strategies for complex queryplans with multiple hash-based equi-joins over memory-resident data. The proposed costmodel is carefully validated for accuracy using three different systems; including an AmazonEC2 instance; to control for hardware-specific differences. Prior work in parallel query …,Proceedings of the Sixth ACM Symposium on Cloud Computing,2015,9
