Runtime measurements in the cloud: observing; analyzing; and reducing variance,Jörg Schad; Jens Dittrich; Jorge-Arnulfo Quiané-Ruiz,Abstract One of the main reasons why cloud computing has gained so much popularity isdue to its ease of use and its ability to scale computing resources on demand. As a result;users can now rent computing nodes on large commercial clusters through several vendors;such as Amazon and rackspace. However; despite the attention paid by Cloud providers;performance unpredictability is a major issue in Cloud computing for (1) databaseresearchers performing wall clock experiments; and (2) database applications providingservice-level agreements. In this paper; we carry out a study of the performance variance ofthe most widely used Cloud infrastructure (Amazon EC2) from different perspectives. We useestablished microbenchmarks to measure performance variance in CPU; I/O; and network.And; we use a multi-node MapReduce application to quantify the impact on real …,Proceedings of the VLDB Endowment,2010,550
Hadoop++: making a yellow elephant run like a cheetah (without it even noticing),Jens Dittrich; Jorge-Arnulfo Quiané-Ruiz; Alekh Jindal; Yagiz Kargin; Vinay Setty; Jörg Schad,Abstract MapReduce is a computing paradigm that has gained a lot of attention in recentyears from industry and research. Unlike parallel DBMSs; MapReduce allows non-expertusers to run complex analytical tasks over very large data sets on very large clusters andclouds. However; this comes at a price: MapReduce processes tasks in a scan-orientedfashion. Hence; the performance of Hadoop---an open-source implementation ofMapReduce---often does not match the one of a well-configured parallel DBMS. In thispaper we propose a new type of system named Hadoop++: it boosts task performancewithout changing the Hadoop framework at all (Hadoop does not even'notice it'). To reachthis goal; rather than changing a working system (Hadoop); we inject our technology at theright places through UDFs only and affect Hadoop from inside. This has three important …,Proceedings of the VLDB Endowment,2010,464
Efficient big data processing in Hadoop MapReduce,Jens Dittrich; Jorge-Arnulfo Quiané-Ruiz,Abstract This tutorial is motivated by the clear need of many organizations; companies; andresearchers to deal with big data volumes efficiently. Examples include web analyticsapplications; scientific applications; and social networks. A popular data processing enginefor big data is Hadoop MapReduce. Early versions of Hadoop MapReduce suffered fromsevere performance problems. Today; this is becoming history. There are many techniquesthat can be used with Hadoop MapReduce jobs to boost performance by orders ofmagnitude. In this tutorial we teach such techniques. First; we will briefly familiarize theaudience with Hadoop MapReduce and motivate its use for big data processing. Then; wewill focus on different data management techniques; going from job optimization to physicaldata organization like data layouts and indexes. Throughout this tutorial; we will highlight …,Proceedings of the VLDB Endowment,2012,191
Only aggressive elephants are fast elephants,Jens Dittrich; Jorge-Arnulfo Quiané-Ruiz; Stefan Richter; Stefan Schuh; Alekh Jindal; Jörg Schad,Abstract Yellow elephants are slow. A major reason is that they consume their inputs entirelybefore responding to an elephant rider's orders. Some clever riders have trained their yellowelephants to only consume parts of the inputs before responding. However; the teachingtime to make an elephant do that is high. So high that the teaching lessons often do not payoff. We take a different approach. We make elephants aggressive; only this will make themvery fast. We propose HAIL (Hadoop Aggressive Indexing Library); an enhancement ofHDFS and Hadoop MapReduce that dramatically improves runtimes of several classes ofMapReduce jobs. HAIL changes the upload pipeline of HDFS in order to create differentclustered indexes on each data block replica. An interesting feature of HAIL is that wetypically create a win-win situation: we improve both data upload to HDFS and the …,Proceedings of the VLDB Endowment,2012,122
Trojan data layouts: right shoes for a running elephant,Alekh Jindal; Jorge-Arnulfo Quiané-Ruiz; Jens Dittrich,Abstract MapReduce is becoming ubiquitous in large-scale data analysis. Several recentworks have shown that the performance of Hadoop MapReduce could be improved; forinstance; by creating indexes in a non-invasive manner. However; they ignore the impact ofthe data layout used inside data blocks of Hadoop Distributed File System (HDFS). In thispaper; we analyze different data layouts in detail in the context of MapReduce and arguethat Row; Column; and PAX layouts can lead to poor system performance. We propose anew data layout; coined Trojan Layout; that internally organizes data blocks into attributegroups according to the workload in order to improve data access times. A salient feature ofTrojan Layout is that it fully preserves the fault-tolerance properties of MapReduce. Weimplement our Trojan Layout idea in HDFS 0.20. 3 and call the resulting system Trojan …,Proceedings of the 2nd ACM Symposium on Cloud Computing,2011,99
RAFTing MapReduce: Fast recovery on the RAFT,Jorge-Arnulfo Quiane-Ruiz; Christoph Pinkel; Jörg Schad; Jens Dittrich,MapReduce is a computing paradigm that has gained a lot of popularity as it allows non-expert users to easily run complex analytical tasks at very large-scale. At such scale; taskand node failures are no longer an exception but rather a characteristic of large-scalesystems. This makes fault-tolerance a critical issue for the efficient operation of anyapplication. MapReduce automatically reschedules failed tasks to available nodes; which inturn recompute such tasks from scratch. However; this policy can significantly decreaseperformance of applications. In this paper; we propose a family of Recovery Algorithms forFast-Tracking (RAFT) MapReduce. As ease-of-use is a major feature of MapReduce; RAFTfocuses on simplicity and also non-intrusiveness; in order to be implementation-independent. To efficiently recover from task failures; RAFT exploits the fact that …,Data Engineering (ICDE); 2011 IEEE 27th International Conference on,2011,61
Bigdansing: A system for big data cleansing,Zuhair Khayyat; Ihab F Ilyas; Alekh Jindal; Samuel Madden; Mourad Ouzzani; Paolo Papotti; Jorge-Arnulfo Quiané-Ruiz; Nan Tang; Si Yin,Abstract Data cleansing approaches have usually focused on detecting and fixing errorswith little attention to scaling to big datasets. This presents a serious impediment since datacleansing often involves costly computations such as enumerating pairs of tuples; handlinginequality joins; and dealing with user-defined functions. In this paper; we presentBigDansing; a Big Data Cleansing system to tackle efficiency; scalability; and ease-of-useissues in data cleansing. The system can run on top of most common general purpose dataprocessing platforms; ranging from DBMSs to MapReduce-like frameworks. A user-friendlyprogramming interface allows users to express data quality rules both declaratively andprocedurally; with no requirement of being aware of the underlying distributed platform.BigDansing takes these rules into a series of transformations that enable distributed …,Proceedings of the 2015 ACM SIGMOD International Conference on Management of Data,2015,54
Scalable discovery of unique column combinations,Arvid Heise; Jorge-Arnulfo Quiané-Ruiz; Ziawasch Abedjan; Anja Jentzsch; Felix Naumann,Abstract The discovery of all unique (and non-unique) column combinations in a givendataset is at the core of any data profiling effort. The results are useful for a large number ofareas of data management; such as anomaly detection; data integration; data modeling;duplicate detection; indexing; and query optimization. However; discovering all unique andnon-unique column combinations is an NP-hard problem; which in principle requires toverify an exponential number of column combinations for uniqueness on all data values.Thus; achieving efficiency and scalability in this context is a tremendous challenge by itself.In this paper; we devise Ducc; a scalable and efficient approach to the problem of finding allunique and non-unique column combinations in big datasets. We first model the problem asa graph coloring problem and analyze the pruning effect of individual combinations. We …,Proceedings of the VLDB Endowment,2013,46
Towards zero-overhead static and adaptive indexing in Hadoop,Stefan Richter; Jorge-Arnulfo Quiané-Ruiz; Stefan Schuh; Jens Dittrich,Abstract Hadoop MapReduce has evolved to an important industry standard for massiveparallel data processing and has become widely adopted for a variety of use-cases. Recentworks have shown that indexes can improve the performance of selective MapReduce jobsdramatically. However; one major weakness of existing approaches is high index creationcosts. We present HAIL (Hadoop Aggressive Indexing Library); a novel indexing approachfor HDFS and Hadoop MapReduce. HAIL creates different clustered indexes over terabytesof data with minimal; often invisible costs; and it dramatically improves runtimes of severalclasses of MapReduce jobs. HAIL features two different indexing pipelines; static indexingand adaptive indexing. HAIL static indexing efficiently indexes datasets while uploadingthem to HDFS. Thereby; HAIL leverages the default replication of Hadoop and enhances …,The VLDB journal,2014,33
Cliquesquare: Flat plans for massively parallel RDF queries,François Goasdoué; Zoi Kaoudi; Ioana Manolescu; Jorge-Arnulfo Quiané-Ruiz; Stamatis Zampetakis,As increasing volumes of RDF data are being produced and analyzed; many massivelydistributed architectures have been proposed for storing and querying this data. Thesearchitectures are characterized first; by their RDF partitioning and storage method; andsecond; by their approach for distributed query optimization; ie; determining whichoperations to execute on each node in order to compute the query answers. We presentCliqueSquare; a novel optimization approach for evaluating conjunctive RDF queries in amassively parallel environment. We focus on reducing query response time; and thus seekto build flat plans; where the number of joins encountered on a root-to-leaf path in the plan isminimized. We present a family of optimization algorithms; relying on n-ary (star) equalityjoins to build flat plans; and compare their ability to find the flattest possibles. We have …,Data Engineering (ICDE); 2015 IEEE 31st International Conference on,2015,31
Towards zero-overhead adaptive indexing in hadoop,Stefan Richter; Jorge-Arnulfo Quiané-Ruiz; Stefan Schuh; Jens Dittrich,Abstract: Several research works have focused on supporting index access in MapReducesystems. These works have allowed users to significantly speed up selective MapReducejobs by orders of magnitude. However; all these proposals require users to create indexesupfront; which might be a difficult task in certain applications (such as in scientific and socialapplications) where workloads are evolving or hard to predict. To overcome this problem; wepropose LIAH (Lazy Indexing and Adaptivity in Hadoop); a parallel; adaptive approach forindexing at minimal costs for MapReduce systems. The main idea of LIAH is to automaticallyand incrementally adapt to users' workloads by creating clustered indexes on HDFS datablocks as a byproduct of executing MapReduce jobs. Besides distributing indexing effortsover multiple computing nodes; LIAH also parallelises indexing with both map tasks …,arXiv preprint arXiv:1212.3480,2012,25
NADEEF: A generalized data cleaning system,Amr Ebaid; Ahmed Elmagarmid; Ihab F Ilyas; Mourad Ouzzani; Jorge-Arnulfo Quiane-Ruiz; Nan Tang; Si Yin,Abstract We present NADEEF; an extensible; generic and easy-to-deploy data cleaningsystem. NADEEF distinguishes between a programming interface and a core to achievegenerality and extensibility. The programming interface allows users to specify data qualityrules by writing code that implements predefined classes. These classes uniformly definewhat is wrong with the data and (possibly) how to fix it. We will demonstrate the followingfeatures provided by NADEEF.(1) Heterogeneity: The programming interface can be used toexpress many types of data quality rules beyond the well known CFDs (FDs); MDs and ETLrules.(2) Interdependency: The core algorithms can interleave multiple types of rules todetect and repair data errors.(3) Deployment and extensibility: Users can easily customizeNADEEF by defining new types of rules; or by extending the core.(4) Metadata …,Proceedings of the VLDB Endowment,2013,24
