Roadrunner: Towards automatic data extraction from large web sites,Valter Crescenzi; Giansalvatore Mecca; Paolo Merialdo,Abstract The paper investigates techniques for extracting data from HTML sites through theuse of automatically generated wrappers. To automate the wrapper generation and the dataextraction process; the paper develops a novel technique to compare HTML pages andgenerate a wrapper based on their similarities and differences. Experimental results on real-life data-intensive Web sites confirm the feasibility of the approach.,Proceedings of the International Conference on Very Large Databases,2001,1371
To weave the web,Paolo Atzeni; Giansalvatore Mecca; Paolo Merialdo,Abstract The paper discusses the issue of views in the Web context. We introduce a set oftools and languages for managing and restructuring data coming from the World Wide Web.We present a speci c data model; called the Araneus Data Model; inspired to the structurestypically present in Web sites. The model allows us to describe the scheme of a Webhypertext; in the spirit of databases. Based on the data model; we develop two languages tosupport a sophisticate view de nition process: the rst; called Ulixes; is used to build databaseviews of the Web; which can then be analyzed and integrated using database techniques;the second; called Penelope; allows the de nition of derived Web hypertexts from relationalviews. This can be used to generate hypertextual views over the Web.,Proceedings of the International Conference on Very Large Data Bases,1997,322
Design and maintenance of data-intensive web sites,Paolo Atzeni; Giansalvatore Mecca; Paolo Merialdo,Abstract A methodology for designing and maintaining large Web sites is introduced. Itwould be especially useful if data to be published in the site are managed using a DBMS.The design process is composed of two intertwined activities: database design andhypertext design. Each of these is further divided in a conceptual phase and a logical phase;based on specific data models; proposed in our project. The methodology strongly supportssite maintenance: in fact; the various models provide a concise description of the sitestructure; they allow to reason about the overall organization of pages in the site andpossibly to restructure it.,International Conference on Extending Database Technology,1998,260
Automatic information extraction from large websites,Valter Crescenzi; Giansalvatore Mecca,Abstract Information extraction from websites is nowadays a relevant problem; usuallyperformed by software modules called wrappers. A key requirement is that the wrappergeneration process should be automated to the largest extent; in order to allow for large-scale extraction tasks even in presence of changes in the underlying sites. So far; however;only semi-automatic proposals have appeared in the literature. We present a novelapproach to information extraction from websites; which reconciles recent proposals forsupervised wrapper induction with the more traditional field of grammar inference. Grammarinference provides a promising theoretical framework for the study of unsupervised---that is;fully automatic---wrapper generation algorithms. However; due to some unrealisticassumptions on the input; these algorithms are not practically applicable to Web …,Journal of the ACM (JACM),2004,212
Grammars have exceptions,Valter Crescenzi; Giansalvatore Mecca,Abstract Extending database-like techniques to semi-structured and Web data sources isbecoming a prominent research field. These data sources are essentially collections oftextual documents. Hence; in this context; one of the key tasks consists in wrappingdocuments to build database abstractions of their content that can be manipulated usinghigh-level tools. However; the degree of heterogeneity and the lack of structure makestandard grammar parsers excessively rigid; and often unable to capture the richness ofconstructs in these documents. This paper presents Minerva; a formalism for writingwrappers around Web sites and other textual data sources. The key feature of Minerva is theattempt to couple the benefits of a declarative; grammar-based approach; with the flexibilityof procedural programming. This is done by enriching regular grammars with an explicit …,Information Systems,1998,184
Automatic annotation of data extracted from large Web sites.,Luigi Arlotta; Valter Crescenzi; Giansalvatore Mecca; Paolo Merialdo,ABSTRACT Data extraction from web pages is performed by software modules calledwrappers. Recently; some systems for the automatic generation of wrappers have beenproposed in the literature. These systems are based on unsupervised inference techniques:taking as input a small set of sample pages; they can produce a common wrapper to extractrelevant data. However; due to the automatic nature of the approach; the data extracted bythese wrappers have anonymous names. In the framework of our ongoing projectRoadRunner; we have developed a prototype; called Labeller; that automatically annotatesdata extracted by automatically generated wrappers. Although Labeller has been developedas a companion system to our wrapper generator; its underlying approach has a generalvalidity and therefore it can be applied together with other wrapper generator systems …,WebDB,2003,170
Semistructured and structured data in the web: Going back and forth,Paolo Atzeni; Giansalvatore Mecca; Paolo Merialdo,As a consequence of the explosion of the World Wide Web 11]; an increasing amount ofinformation is stored in repositories organized according to loose structures; usually ashypertextual documents; and data access is based on browsing and information retrievaltechniques. Due to their intuitive nature; browsing and searching present severe limitations8]. Also; they o er little or no support to a global view of information in the Web; nor to theactual extraction and manipulation of data: speci ce ort is required to use Web data as inputto subsequent computations or to correlate values in Web pages. In this paper; we presentthe approach to the management of Web data as attacked in the Araneus project carried outby the database group at Universit a di Roma Tre. Our approach is based on ageneralization of the notion of view to the Web framework. In fact; in traditional databases …,SIGMOD Record,1997,170
The Araneus Web-based management system,Giansalvatore Mecca; Paolo Atzeni; Alessandro Masci; Giuseppe Sindoni; Paolo Merialdo,The paper describes the ARANEUS Wel-Base Management System [l; 5; 4; 61; a systemdeveloped at Universitb di Roma Tre; which represents a proposal towards the definition ofa new kind of data-repository; designed to manage Web data in the database style. We calla Web-Base a collection of data of heterogeneous nature; and more specifically:(i) highlystructured data; such as the ones typically stored in relational or objectoriented databasesystems;(G) semistructured data; in the Web style. We can simplify by saying that itincorporates both databases and Web sites. A Web-Base Management System (WBMS) is asystem for managing such Web-bases. More specifically; it should provide functionalities forboth database and Web site management. It is natural to think of it as an evolution ofordinary DBMSs; in the sense that it will play in future generation Web-based Information …,ACM SIGMOD Record,1998,162
Cut and paste,Paolo Atzeni; Giansalvatore Mecca,Abstract The paper develops EDITOR; a language for manipulating semi-structureddocuments; such as the ones typically avai-lable on the Web. EDITOR programs allow tosearch and restructure a document. They are based on two simple ideas; taken from texteditors: Search” instructions are used to select regions of interest in a document; and “cut.! Ypaste” to restructure them. We study the expressive power and the complexity of theseprograms. We show that they are computationally complete; in the sense that anycomputable document restructuring can be expressed in EDITOR. We also study thecomplexity of a safe subclass of programs; showing that it captures exactly the class ofpolynomial-time restruc-turings. The language has been implemented in Java; and is usedin the ARANEUS project to build database views over Web sites.,Proceedings of the sixteenth ACM SIGACT-SIGMOD-SIGART symposium on Principles of database systems,1997,154
A new algorithm for clustering search results,Giansalvatore Mecca; Salvatore Raunich; Alessandro Pappalardo,Abstract We develop a new algorithm for clustering search results. Differently from manyother clustering systems that have been recently proposed as a post-processing step forWeb search engines; our system is not based on phrase analysis inside snippets; butinstead uses latent semantic indexing on the whole document content. A main contributionof the paper is a novel strategy–called dynamic SVD clustering–to discover the optimalnumber of singular values to be used for clustering purposes. Moreover; the algorithm issuch that the SVD computation step has in practice good performance; which makes itfeasible to perform clustering when term vectors are available. We show that the algorithmhas very good classification performance; and that it can be effectively used to cluster resultsof a search engine to make them easier to browse by users. The algorithm has being …,Data & Knowledge Engineering,2007,125
The (Short) Araneus Guide to Web-Site Development.,V Crescenzi G Mecca; P Merialdo; P Atzeni,*,ACM SIGMOD Workshop on The Web and Databases (WebDB'99),1999,95
