Top-k query evaluation with probabilistic guarantees,Martin Theobald; Gerhard Weikum; Ralf Schenkel,Abstract Top-k queries based on ranking elements of multidimensional datasets are afundamental building block for many kinds of information discovery. The best known general-purpose algorithm for evaluating top-k queries is Fagin's threshold algorithm (TA). Since theuser's goal behind top-k queries is to identify one or a few relevant and novel data items; it isintriguing to use approximate variants of TA to reduce run-time costs. This paper introducesa family of approximate top-k algorithms based on probabilistic arguments. When scanningindex lists of the underlying multidimensional data space in descending order of localscores; various forms of convolution and derived bounds are employed to predict when it issafe; with high probability; to drop candidate items and to prune the index scans. Theprecision and the efficiency of the developed methods are experimentally evaluated …,Proceedings of the Thirtieth international conference on Very large data bases-Volume 30,2004,283
Fedx: Optimization techniques for federated query processing on linked data,Andreas Schwarte; Peter Haase; Katja Hose; Ralf Schenkel; Michael Schmidt,Abstract Motivated by the ongoing success of Linked Data and the growing amount ofsemantic data sources available on the Web; new challenges to query processing areemerging. Especially in distributed settings that require joining data provided by multiplesources; sophisticated optimization techniques are necessary for efficient query processing.We propose novel join processing and grouping techniques to minimize the number ofremote requests; and develop an effective solution for source selection in the absence ofpreprocessed metadata. We present FedX; a practical framework that enables efficientSPARQL query processing on heterogeneous; virtually integrated Linked Data sources. Inexperiments; we demonstrate the practicability and efficiency of our framework on a set ofreal-world queries and data sources from the Linked Open Data cloud. With FedX we …,International Semantic Web Conference,2011,239
Efficient top-k querying over social-tagging networks,Ralf Schenkel; Tom Crecelius; Mouna Kacimi; Sebastian Michel; Thomas Neumann; Josiane X Parreira; Gerhard Weikum,Abstract Online communities have become popular for publishing and searching content; aswell as for finding and connecting to other users. User-generated content includes; forexample; personal blogs; bookmarks; and digital photos. These items can be annotated andrated by different users; and these social tags and derived user-specific scores can beleveraged for searching relevant content and discovering subjectively interesting items.Moreover; the relationships among users can also be taken into consideration for rankingsearch results; the intuition being that you trust the recommendations of your close friendsmore than those of your casual acquaintances. Queries for tag or keyword combinations thatcompute and rank the top-k results thus face a large variety of options that complicate thequery processing and pose efficiency challenges. This paper addresses these issues by …,Proceedings of the 31st annual international ACM SIGIR conference on Research and development in information retrieval,2008,180
An efficient and versatile query engine for TopX search,Martin Theobald; Ralf Schenkel; Gerhard Weikum,Abstract This paper presents a novel engine; coined TopX; for efficient ranked retrieval ofXML documents over semistructured but nonschematic data collections. The algorithmfollows the paradigm of threshold algorithms for top-k query processing with a focus oninexpensive sequential accesses to index lists and only a few judiciously scheduled randomaccesses. The difficulties in applying the existing top-k algorithms to XML data lie in 1) theneed to consider scores for XML elements while aggregating them at the document level; 2)the combination of vague content conditions with XML path conditions; 3) the need to relaxquery conditions if too few results satisfy all conditions; and 4) the selectivity estimation forboth content and structure conditions and their impact on evaluation strategies. TopXaddresses these issues by precomputing score and path information in an appropriately …,Proceedings of the 31st international conference on Very large data bases,2005,174
HOPI: An efficient connection index for complex XML document collections,Ralf Schenkel; Anja Theobald; Gerhard Weikum,Abstract In this paper we present HOPI; a new connection index for XML documents basedon the concept of the 2–hop cover of a directed graph introduced by Cohen et al. In contrastto most of the prior work on XML indexing we consider not only paths with child or parentrelationships between the nodes; but also provide space–and time–efficient reachabilitytests along the ancestor; descendant; and link axes to support path expressions withwildcards in our XXL search engine. We improve the theoretical concept of a 2–hop cover bydeveloping scalable methods for index creation on very large XML data collections with longpaths and extensive cross–linkage. Our experiments show substantial savings in the queryperformance of the HOPI index over previously proposed index structures in combinationwith low space requirements.,International Conference on Extending Database Technology,2004,168
Io-top-k: Index-access optimized top-k query processing,Holger Bast; Debapriyo Majumdar; Ralf Schenkel; Martin Theobald; Gerhard Weikum,Abstract Top-k query processing is an important building block for ranked retrieval; withapplications ranging from text and data integration to distributed aggregation of network logsand sensor data. Top-k queries operate on index lists for a query's elementary conditionsand aggregate scores for result candidates. One of the best implementation methods in thissetting is the family of threshold algorithms; which aim to terminate the index scans as earlyas possible based on lower and upper bounds for the final scores of result candidates. Thisprocedure performs sequential disk accesses for sorted index scans; but also has the optionof performing random accesses to resolve score uncertainty. This entails scheduling for thetwo kinds of accesses: 1) the prioritization of different index lists in the sequential accesses;and 2) the decision on when to perform random accesses and for which candidates. The …,Proceedings of the 32nd international conference on Very large data bases,2006,167
The SphereSearch engine for unified ranked retrieval of heterogeneous XML and web documents,Jens Graupmann; Ralf Schenkel; Gerhard Weikum,Abstract This paper presents the novel SphereSearch Engine that provides unified rankedretrieval on heterogeneous XML and Web data. Its search capabilities include vaguestructure conditions; text content conditions; and relevance ranking based on IR statisticsand statistically quantified ontological relationships. Web pages in HTML or PDF areautomatically converted into XML format; with the option of generating semantic tags bymeans of linguistic annotation tools. For Web data the XML-oriented query engine isleveraged to provide very rich search options that cannot be expressed in traditional Websearch engines: concept-aware and link-aware querying that takes into account the implicitstructure and context of Web pages. The benefits of the SphereSearch engine aredemonstrated by experiments with a large and richly tagged but non-schematic open …,Proceedings of the 31st international conference on Very large data bases,2005,126
Efficient creation and incremental maintenance of the hopi index for complex xml document collections,Ralf Schenkel; Anja Theobald; Gerhard Weikum,The HOPI index; a connection index for XML documents based on the concept of a 2-hopcover; provides space-and time-efficient reachability tests along the ancestor; descendant;and link axes to support path expressions with wildcards in XML search engines. This paperpresents enhanced algorithms for building HOPI; shows how to augment the index withdistance information; and discusses incremental index maintenance. Our experiments showsubstantial improvements over the existing divide-and-conquer algorithm for index creation;low space overhead for including distance information in the index; and efficient updates.,Data Engineering; 2005. ICDE 2005. Proceedings. 21st International Conference on,2005,117
YAWN: A Semantically Annotated Wikipedia XML Corpus.,Ralf Schenkel; Fabian M Suchanek; Gjergji Kasneci,Abstract: The paper presents YAWN; a system to convert the well-known and widely usedWikipedia collection into an XML corpus with semantically rich; self-explaining tags. Weintroduce algorithms to annotate pages and links with concepts from the WordNet thesaurus.This annotation process exploits categorical information in Wikipedia; which is a high-quality; manually assigned source of information; extracts additional information from lists;and utilizes the invocations of templates with named parameters. We give examples howsuch annotations can be exploited for high-precision queries.,BTW,2007,116
TopX: efficient and versatile top-k query processing for semistructured data,Martin Theobald; Holger Bast; Debapriyo Majumdar; Ralf Schenkel; Gerhard Weikum,Abstract Recent IR extensions to XML query languages such as Xpath 1.0 Full-Text or theNEXI query language of the INEX benchmark series reflect the emerging interest in IR-styleranked retrieval over semistructured data. TopX is a top-k retrieval engine for text andsemistructured data. It terminates query execution as soon as it can safely determine the ktop-ranked result elements according to a monotonic score aggregation function withrespect to a multidimensional query. It efficiently supports vague search on both content-andstructure-oriented query conditions for dynamic query relaxation with controllable influenceon the result ranking. The main contributions of this paper unfold into four main points:(1)fully implemented models and algorithms for ranked XML retrieval with XPath Full-Textfunctionality;(2) efficient and effective top-k query processing for semistructured data;(3) …,The VLDB Journal—The International Journal on Very Large Data Bases,2008,109
Exploiting social relations for query expansion and result ranking,Matthias Bender; Tom Crecelius; Mouna Kacimi; Sebastian Michel; Thomas Neumann; Josiane Xavier Parreira; Ralf Schenkel; Gerhard Weikum,Online communities have recently become a popular tool for publishing and searchingcontent; as well as for finding and connecting to other users that share common interests.The content is typically user-generated and includes; for example; personal blogs;bookmarks; and digital photos. A particularly intriguing type of content is user-generatedannotations (tags) for content items; as these concise string descriptions allow forreasonings about the interests of the user who created the content; but also about the userwho generated the annotations. This paper presents a framework to cast the different entitiesof such networks into a unified graph model representing the mutual relationships of users;content; and tags. It derives scoring functions for each of the entities and relations. We haveperformed an experimental evaluation on two real-world datasets (crawled from deli. cio …,Data engineering workshop; 2008. ICDEW 2008. IEEE 24th International Conference on,2008,93
