Measurement and modeling of an ultra-wide bandwidth indoor channel,Saeed S Ghassemzadeh; Rittwik Jana; Christopher W Rice; William Turin; Vahid Tarokh,This paper describes the results of frequency-domain channel sounding in residentialenvironments. It consists of detailed characterization of complex frequency responses ofultra-wideband (UWB) signals having a nominal center frequency of 5 GHz. A path lossmodel as well as a second-order autoregressive model is proposed for frequency responsegeneration of the UWB indoor channel. Probability distributions of the model parameters fordifferent locations are presented. Also; time-domain results such as root mean square delayspread and percent of captured power are presented.,IEEE Transactions on Communications,2004,369
Design and characterization of a full-duplex multiantenna system for WiFi networks,Melissa Duarte; Ashutosh Sabharwal; Vaneet Aggarwal; Rittwik Jana; KK Ramakrishnan; Christopher W Rice; NK Shankaranarayanan,In this paper; we present an experiment-and simulation-based study to evaluate the use offull duplex (FD) as a potential mode in practical IEEE 802.11 networks. To enable the study;we designed a 20-MHz multiantenna orthogonal frequency-division-multiplexing (OFDM) FDphysical layer and an FD media access control (MAC) protocol; which is backwardcompatible with current 802.11. Our extensive over-the-air experiments; simulations; andanalysis demonstrate the following two results. First; the use of multiple antennas at thephysical layer leads to a higher ergodic throughput than its hardware-equivalentmultiantenna half-duplex (HD) counterparts for SNRs above the median SNR encounteredin practical WiFi deployments. Second; the proposed MAC translates the physical layer rategain into near doubling of throughput for multinode single-AP networks. The two results …,IEEE Transactions on Vehicular Technology,2014,359
A statistical path loss model for in-home UWB channels,Saeed S Ghassemzadeh; Rittwik Jana; Christopher W Rice; William Turin; Vahid Tarokh,This paper describes a simple statistical model for evaluating the path loss in residentialenvironments. It consists of detailed characterization of path loss model parameters of ultra-wideband band (UWB) signals having a nominal center frequency of 5 GHz. The proposedstatistical path loss model is for the in-home channel and it is based on over 300;000frequency response measurements. Probability distributions of the model parameters fordifferent locations are presented. Also; time domain results such as RMS delay spread andpercent of captured power are presented.,Ultra Wideband Systems and Technologies; 2002. Digest of Papers. 2002 IEEE Conference on,2002,309
Enterprise mobile server platform,*,As is known in the art; wireless Internet access is different from simply accessing the Internetwirelessly. Mobile wireless users have different needs; motivations and capabilities from typicalwireline users. For example; a mobile user is usually in a multi-tasking mode; eg; accessing theInternet while attending a meeting or shopping in the mall. Typical Internet accesses are burstyin nature (checking stock quotes; weather; or finding a nearby restaurant) and task-oriented.Thus; browser-centric applications and elaborate user interfaces are of limited utility since a mobileuser usually carries small devices such as a cell phone or a Personal Digital Assistant (PDA)having relatively small displays. These personalized devices; which are typically identified bya wireless network address such as a cellular phone number; provide mobile users with continuousaccess to the Internet … Advances in wireless networking and messaging technologies …,*,2003,259
Personalized multimedia services using a mobile service platform,*,A method for providing multimedia data from at least one controllable multimedia source to amobile device includes providing a request path from the mobile device to a mobile serviceplatform; receiving a request from the mobile device; obtaining a device profile from themobile device; authenticating the identity of a user of the mobile device; and determining auser profile in response to the user identity. The method further includes authorizing controland access to the at least one multimedia source; providing a control channel from themobile service platform to at least one multimedia server; providing multimedia data deliveryinformation to the at least one multimedia server; and providing multimedia data to themobile device in response to the request via the at least one multimedia server.,*,2009,122
System and method of collecting; correlating; and aggregating structured edited content and non-edited content,*,A mobile multimedia content aggregation and dissemination platform is provided that aimsto automate the creation; collection; correlation; aggregation; and dissemination of RSS;ATOM or other syndicated-style data formats along with non-syndicated content for blogsand for searching by interested parties. Then non-syndicated content may be substantiallyany type of multimedia content that has not yet been edited or that has been edited. Thesystem and method may receive data content that originated from a syndicated informationsource along with other data content that originated from a non-syndicated informationsource. The system and method convert both types of content into; at least; blog informationand blog data. The blog information comprising; information that points to a storage locationof the blog data. The exemplary method further enables a user to search the blog data …,*,2009,112
Systems and methods for distributing video on demand,*,A method of receiving content includes joining an in-progress multicast stream to receive afirst portion of a content. The method further includes sending a request to a peer for a catch-up portion of the content; the request including a deadline for delivery of the content; andreceiving the catch-up portion of the content from the peer prior to the deadline.,*,2014,102
Method and apparatus for identifying a group of users of a wireless service,*,A method and system are provided to extract information based on activities of a plurality ofmobile users; which involve tracking movement of a plurality of mobile users across one ormore wireless networks; identifying a group of mobile users engaged in one or morecommon location-based activities from the plurality of mobile users based on the trackedmovement; and determining one or more group properties associated with the group ofmobile users. The method and system may further involve deriving a group condition basedon the one or more determined group properties; and providing customized services to atleast one mobile user of the group based on the derived group condition.,*,2003,102
Towards a spdy’ier mobile web?,Jeffrey Erman; Vijay Gopalakrishnan; Rittwik Jana; Kadangode K Ramakrishnan,Despite its widespread adoption and popularity; the Hypertext Transfer Protocol (HTTP)suffers from fundamental performance limitations. SPDY; a recently proposed alternative toHTTP; tries to address many of the limitations of HTTP (eg; multiple connections; setuplatency). In this paper; we perform a detailed measurement study to understand the benefitsof using SPDY over cellular networks. Through careful measurements conducted over 4months; we provide a detailed analysis of the performance of HTTP and SPDY; how theyinteract with the various layers; and their implications on Web design. Our results show thatunlike in wired and 802.11 networks; SPDY does not clearly outperform HTTP over cellularnetworks. We identify negative interactions between the protocols used for Web access(HTTP/SPDY over TCP) and cellular radio resource management as the underlying …,IEEE/ACM Transactions on Networking,2015,101
Autoregressive modeling of an indoor UWB channel,William Turin; Rittwik Jana; Saeed S Ghassemzadeh; Christopher W Rice; T Tarokh,Based on frequency domain measurements in the 4.375-5.625 GHz band a channel modelfor the frequency response of the indoor radio channel is introduced. In particular. a second-order Autoregressive (AR) model is proposed for frequency response generation of the ultrawide band indoor channel. A complete characterization of the model parameters isdescribed along with probability distributions and dependencies between parameters.,Ultra Wideband Systems and Technologies; 2002. Digest of Papers. 2002 IEEE Conference on,2002,88
Geotracker: geospatial and temporal RSS navigation,Yih-Farn Robin Chen; Giuseppe Di Fabbrizio; David Gibbon; Serban Jora; Bernard Renger; Bin Wei,Abstract The Web is rapidly moving towards a platform for mass collaboration in contentproduction and consumption. Fresh content on a variety of topics; people; and places isbeing created and made available on the Web at breathtaking speed. Navigating the contenteffectively not only requires techniques such as aggregating various RSS-enabled feeds;but it also demands a new browsing paradigm. In this paper; we present novel geospatialand temporal browsing techniques that provide users with the capability of aggregating andnavigating RSS-enabled content in a timely; personalized and automatic manner. Inparticular; we describe a system called GeoTracker that utilizes both a geospatialrepresentation and a temporal (chronological) presentation to help users spot the mostrelevant updates quickly. Within the context of this work; we provide a middleware engine …,Proceedings of the 16th international conference on World Wide Web,2007,78
Voice communications over zigbee networks,Chonggang Wang; Kazem Sohraby; Rittwik Jana; Lusheng Ji; Mahmoud Daneshmand,This article provides an overview of ZigBee-enabled wireless networks and discusses thefeasibility of supporting voice communications over ZigBee networks. We begin by providingan overview of the ZigBee technology followed by an evaluation of voice quality andperformance over such an impoverished wireless channel. Two types of voicecommunications; namely full-duplex voice over IP (VoIP) and half-duplex push-to-talk (PTT)are considered. Voice quality of VoIP is measured using the R-factor [1](a well knownobjective speech quality metric). The quality of PTT; however; is evaluated based on packet-loss rate; delay; and jitter. The simulation results demonstrate that a low-power; low-ratewireless sensor network can support a limited range of voice services.,IEEE communications magazine,2008,69
CPM: Adaptive video-on-demand with cooperative peer assists and multicast,Vijay Gopalakrishnan; Bobby Bhattacharjee; KK Ramakrishnan; Rittwik Jana; Divesh Srivastava,We present CPM; a unified approach that exploits server multicast; assisted by peerdownloads; to provide efficient video-on-demand (VoD) in a service provider environment.We describe our architecture and show how CPM is designed to dynamically adapt to awide range of situations including highly different peer-upload bandwidths; contentpopularity; user request arrival patterns; video library size; and subscriber population. Wedemonstrate the effectiveness of CPM using simulations (based on an actualimplementation codebase) across the range of situations described above and show thatCPM does significantly better than traditional unicast; different forms of multicast; as well aspeer-to-peer schemes. Along with synthetic parameters; we augment our experiments usingdata from a deployed VoD service to evaluate the performance of CPM.,INFOCOM 2009; IEEE,2009,66
Can accurate predictions improve video streaming in cellular networks?,Xuan Kelvin Zou; Jeffrey Erman; Vijay Gopalakrishnan; Emir Halepovic; Rittwik Jana; Xin Jin; Jennifer Rexford; Rakesh K Sinha,Abstract Existing video streaming algorithms use various estimation approaches to infer theinherently variable bandwidth in cellular networks; which often leads to reduced quality ofexperience (QoE). We ask the question:" If accurate bandwidth prediction were possible in acellular network; how much can we improve video QoE?". Assuming we know the bandwidthfor the entire video session; we show that existing streaming algorithms only achievebetween 69%-86% of optimal quality. Since such knowledge may be impractical; we studyalgorithms that know the available bandwidth for a few seconds into the future. We observethat prediction alone is not sufficient and can in fact lead to degraded QoE. However; whencombined with rate stabilization functions; prediction outperforms existing algorithms andreduces the gap with optimal to 4%. Our results lead us to believe that cellular operators …,Proceedings of the 16th International Workshop on Mobile Computing Systems and Applications,2015,64
Exploiting virtualization for delivering cloud-based IPTV services,Vaneet Aggarwal; Xu Chen; Vijay Gopalakrishnan; Rittwik Jana; KK Ramakrishnan; Vinay A Vaishampayan,Cloud computing is a new infrastructure environment that delivers on the promise ofsupporting on-demand services in a flexible manner by scheduling bandwidth; storage andcompute resources on the fly. IPTV services like Video On Demand (VoD) and Livebroadcast TV requires substantial bandwidth and compute resources to meet the real timerequirements and to handle the very bursty resource requirements for each of theseservices. To meet the needs of the bursts of requests; each with a deadline constraint forboth VoD and LiveTV channel changes; we propose a resource provisioning framework thatallows these services to co-exist on a common infrastructure by taking advantage ofvirtualization. We propose an optimal algorithm that provides the minimum number ofservers needed to fulfill all requests for these services. We prove this optimality in a …,Computer Communications Workshops (INFOCOM WKSHPS); 2011 IEEE Conference on,2011,63
Modeling and characterization of large-scale Wi-Fi traffic in public hot-spots,Amitabha Ghosh; Rittwik Jana; Vaidyanathan Ramaswami; Jim Rowland; NK Shankaranarayanan,Server side measurements from several Wi-Fi hot-spots deployed in a nationwide networkover different types of venues from small coffee shops to large enterprises are used tohighlight differences in traffic volumes and patterns. We develop a common modelingframework for the number of simultaneously present customers. Our approach has manynovel elements:(a) We combine statistical clustering with Poisson regression fromGeneralized Linear Models to fit a non-stationary Poisson process to the arrival counts anddemonstrate its remarkable accuracy;(b) We model the heavy tailed distribution ofconnection durations through fitting a Phase Type distribution to its logarithm so that not onlythe tail but also the overall distribution is well matched;(c) We obtain the distribution of thenumber of simultaneously present customers from an M t/G/∞ queuing model using a …,INFOCOM; 2011 Proceedings IEEE,2011,62
iMobile EE–An Enterprise Mobile Service Platform,Yih-Farn Chen; Huale Huang; Rittwik Jana; Trevor Jim; Matti Hiltunen; Sam John; Serban Jora; Radhakrishnan Muthumanickam; Bin Wei,Abstract iMobile is an enterprise mobile service platform that allows resource-limited mobiledevices to communicate with each other and to securely access corporate contents andservices. The original iMobile architecture consists of devlets that provide protocol interfacesto different mobile devices and infolets that access and transcode information based ondevice profiles. iMobile Enterprise Edition (iMobile EE) is a redesign of the original iMobilearchitecture to address the security; scalability; and availability requirements of a largeenterprise such as AT&T. iMobile EE incorporates gateways that interact with corporateauthentication services; replicated iMobile servers with backend connections to corporateservices; a reliable message queue that connects iMobile gateways and servers; and acomprehensive service profile database that governs operations of the mobile service …,Wireless Networks,2003,62
iDEAL: Incentivized dynamic cellular offloading via auctions,Wei Dong; Swati Rallapalli; Rittwik Jana; Lili Qiu; KK Ramakrishnan; Leo Razoumov; Yin Zhang; Tae Won Cho,The explosive growth of cellular traffic and its highly dynamic nature often make itincreasingly expensive for a cellular service provider to provision enough cellular resourcesto support the peak traffic demands. In this paper; we propose iDEAL; a novel auction-basedincentive framework that allows a cellular service provider to leverage resources from third-party resource owners on demand by buying capacity whenever needed through reverseauctions. iDEAL has several distinctive features: 1) iDEAL explicitly accounts for the diversespatial coverage of different resources and can effectively foster competition among third-party resource owners in different regions; resulting in significant savings to the cellularservice provider. 2) iDEAL provides revenue incentives for third-party resource owners toparticipate in the reverse auction and be truthful in the bidding process. 3) iDEAL is …,IEEE/ACM Transactions on Networking,2014,61
Reliability techniques for RFID-based object tracking applications,Ahmad Rahmati; Lin Zhong; Matti Hiltunen; Rittwik Jana,Radio Frequency Identification (RFID) technology has the potential to dramatically improvenumerous industrial practices. However; it still faces many challenges; including securityand reliability; which may limit its use in many application scenarios. While security hasreceived considerable attention; reliability has escaped much of the research scrutiny. In thiswork; we investigate the reliability challenges in RFID-based tracking applications; whereobjects (eg; pallets; packages; and people) tagged with low-cost passive RFID tags pass bythe RFID reader's read zone. Our experiments show that the reliability of tag identification isaffected by several factors; including the inter-tag distance; the distance between the tag andantenna; the orientation of the tag with respect to the antenna; and the location of the tag onthe object. We demonstrate that RFID system reliability can be significantly improved with …,Dependable Systems and Networks; 2007. DSN'07. 37th Annual IEEE/IFIP International Conference on,2007,61
Personalized multimedia services using a mobile service platform,Yih-Farn Chen; Huale Huang; Rittwik Jana; Sam John; Serban Jora; Amy Reibman; Bin Wei,In this paper we address the research issues in providing personalized multimedia services;which enable a mobile user to remotely record video programs; control cameras; andrequest the delivery of pre-recorded or live video content to his or her own mobile device.We describe a mobile service platform that authenticates users who send service requestsfrom various mobile devices; transcodes video content based on user and device profiles;and authorizes the delivery of content from a media server to the proper client device. Themedia server adapts automatically to the fluctuations of the wireless channel conditions forreasonable viewing on the client device. The mobile service platform essentially managesthe control path; while the media server handles the actual content delivery. We discussvarious aspects of the integration and report our successful experiments conducted on …,Wireless Communications and Networking Conference; 2002. WCNC2002. 2002 IEEE,2002,56
Method and apparatus for managing communication sessions,*,A system that incorporates teachings of the present disclosure may include; for example; aserver operably couplable to an Internet Protocol Multimedia Subsystem (IMS) network andan Interactive Television (ITV) system; where the server includes a controller to receive asession transfer request from a first communication device operably connected to the ITVsystem and presenting media content where the session transfer request includesidentification information associated with a second communication device operablyconnected to the ITV system; and transmit an INVITE message to the second communicationdevice and transmit a media adjustment message to a Media Resource Function Processor(MRFP) of the IMS network; where the media content is adjusted and transmitted to thesecond communication device based on receipt of the media adjustment message; where …,*,2013,53
Systems and Methods to Provide Location Information,*,Systems and methods are provided to facilitate location based services based on locationsin virtual worlds and locations in the real world. In one aspect; a location server obtains andprovides the locations of avatars of users in different virtual worlds and the locations ofmobile devices of the corresponding users in the real world. An application server; forexample; may provide location based services in a virtual world based on the location of amobile device in the real world; or provide location based services to a mobile device basedon the location of an avatar in a virtual world; or provide location based services to an avatarin one virtual world based on the location of a related avatar in another virtual world.,*,2010,53
When is P2P technology beneficial for IPTV services,Yih-Farn Chen; Yennun Huang; Rittwik Jana; Hongbo Jiang; Michael Rabinovich; Bin Wei; Zhen Xiao,ABSTRACT This paper studies the conditions under which peer-to-peer (P2P) technologymay be beneficial in providing IPTV services over typical network architectures. It has twomajor contributions. First; we contrast two network models used to study the performance ofsuch a system: a commonly used logical “Internet as a cloud” model and a “physical” modelthat reflects the characteristics of the underlying network. Specifically; we show that thecloud model overlooks important architectural aspects of the network and may drasticallyoverstate the benefits of P2P technology by a factor of 3 or more. Second; we provide a cost-benefit analysis of P2P video content delivery focusing on the profit trade-offs for differentpricing/incentive models rather than purely on capacity maximization. In particular; we findthat under high volume of video demand; a P2P built-in incentive model performs better …,Proceedings of the 17th International Workshop on Network and Operating System Support for Digital Audio and Video,2007,53
Exploiting mobility in proportional fair cellular scheduling: Measurements and algorithms,Robert Margolies; Ashwin Sridharan; Vaneet Aggarwal; Rittwik Jana; NK Shankaranarayanan; Vinay A Vaishampayan; Gil Zussman,Abstract Proportional Fair (PF) scheduling algorithms are the de facto standard in cellularnetworks. They exploit the users' channel state diversity (induced by fast-fading) and areoptimal for stationary channel state distributions and an infinite time-horizon. However;mobile users experience a nonstationary channel; due to slow-fading (on the order ofseconds); and are associated with base stations for short periods. Hence; we develop thePredictive Finite-horizon PF Scheduling ((PF) 2 S) Framework that exploits mobility. Wepresent extensive channel measurement results from a 3G network and characterizemobility-induced channel state trends. We show that a user's channel state is highlyreproducible and leverage that to develop a data rate prediction mechanism. We thenpresent a few channel allocation estimation algorithms that exploit the prediction …,IEEE/ACM Transactions on Networking (TON),2016,51
RCTC: Rapid concurrent transmission coordination in full DuplexWireless networks,Wenjie Zhou; Kannan Srinivasan; Prasun Sinha,With recent advances in wireless systems; wireless in-band full duplex is proven possible.Prior work primarily allows a full duplex receiver to either send back a packet (bi-directionalmode) or to forward another packet to its neighbor (secondary transmission). In our work; welook beyond a node pair and explore how a network can best utilize the full duplexcapability. When a full duplex receiver does not have any packets to send back; concurrenttransmissions (exposed transmissions) can be initiated. In a distributed channel accessprotocol; rapid signaling is crucial to identify the best mode for a given pair of transmitter andreceiver; and to inform potential exposed terminals of transmission opportunities. In thispaper; we present; RCTC; a fast and low overhead signaling mechanism based on Pseudo-random Noise (PN) sequences to enable multi-modal operation of wireless links in a …,Network Protocols (ICNP); 2013 21st IEEE International Conference on,2013,48
