Ontological queries: Rewriting and optimization,Georg Gottlob; Giorgio Orsi; Andreas Pieris,Ontological queries are evaluated against an enterprise ontology rather than directly on adatabase. The evaluation and optimization of such queries is an intriguing new problem fordatabase research. In this paper we discuss two important aspects of this problem: queryrewriting and query optimization. Query rewriting consists of the compilation of anontological query into an equivalent query against the underlying relational database. Thefocus here is on soundness and completeness. We review previous results and present anew rewriting algorithm for rather general types of ontological constraints (descriptionlogics). In particular; we show how a conjunctive query (CQ) against an enterprise ontologycan be compiled into a union of conjunctive queries (UCQ) against the underlying database.Ontological query optimization; in this context; attempts to improve this process so to …,Data Engineering (ICDE); 2011 IEEE 27th International Conference on,2011,146
And what can context do for data?,Cristiana Bolchini; CA Curino; Giorgio Orsi; Elisa Quintarelli; Rosalba Rossato; Fabio A Schreiber; Letizia Tanca,a Enterprise Resource Planning. november 2009| vol. 52| no. 11| communications of theacm 137 contributed articles posed methodological approach. In the context design phase;all the possible scenarios (contexts) of the considered application are identified; then; thedesigner must determine context-aware views; as the portions of the entire dataset whichare relevant for each particular actor in each particular context. We propose the definition ofa context-guided methodology to support the designer in identifying; for a given applicationscenario; the contexts and the correspondingly interesting subsets of data. Our methodologyis composed of three basic elements: a context model; capturing all the aspects–the so-called dimensions–that allows the implicit representation of the possible applicationcontexts; a strategy for identifying; for each dimension; independently of the others; a …,Communications of the ACM,2009,67
The relational model is dead; SQL is dead; and I don't feel so good myself,Paolo Atzeni; Christian S Jensen; Giorgio Orsi; Sudha Ram; Letizia Tanca; Riccardo Torlone,Abstract We report the opinions expressed by well-known database researchers on thefuture of the relational model and SQL during a panel at the International Workshop on Non-Conventional Data Access (NoCoDa 2012); held in Florence; Italy in October 2012 inconjunction with the 31st International Conference on Conceptual Modeling. The panelistsinclude: Paolo Atzeni (Università Roma Tre; Italy); Umeshwar Dayal (HP Labs; USA);Christian S. Jensen (Aarhus University; Denmark); and Sudha Ram (University of Arizona;USA). Quotations from movies are used as a playful though effective way to convey thedramatic changes that database technology and research are currently undergoing.,ACM SIGMOD Record,2013,57
Query rewriting and optimization for ontological databases,Georg Gottlob; Giorgio Orsi; Andreas Pieris,Abstract Ontological queries are evaluated against a knowledge base consisting of anextensional database and an ontology (ie; a set of logical assertions and constraints thatderive new intensional knowledge from the extensional database); rather than directly onthe extensional database. The evaluation and optimization of such queries is an intriguingnew problem for database research. In this article; we discuss two important aspects of thisproblem: query rewriting and query optimization. Query rewriting consists of the compilationof an ontological query into an equivalent first-order query against the underlyingextensional database. We present a novel query rewriting algorithm for rather general typesof ontological constraints that is well suited for practical implementations. In particular; weshow how a conjunctive query against a knowledge base; expressed using linear and …,ACM Transactions on Database Systems (TODS),2014,54
DIADEM: domain-centric; intelligent; automated data extraction methodology,Tim Furche; Georg Gottlob; Giovanni Grasso; Omer Gunes; Xiaoanan Guo; Andrey Kravchenko; Giorgio Orsi; Christian Schallhart; Andrew Sellers; Cheng Wang,Abstract Search engines are the sinews of the web. These sinews have become strained;however: Where the web's function once was a mix of library and yellow pages; it hasbecome the central marketplace for information of almost any kind. We search more andmore for objects with specific characteristics; a car with a certain mileage; an affordableapartment close to a good school; or the latest accessory for our phones. Search engines alltoo often fail to provide reasonable answers; making us sift through dozens of websites withthousands of offers--never to be sure a better offer isn't just around the corner. What searchengines are missing is understanding of the objects and their attributes published onwebsites. Automatically identifying and extracting these objects is akin to alchemy:transforming unstructured web information into highly structured data with near perfect …,Proceedings of the 21st International Conference on World Wide Web,2012,43
Context Modeling and Context Awareness: steps forward in the Context− ADDICT project,Cristiana Bolchini; Giorgio Orsi; Elisa Quintarelli; Fabio A Schreiber; Letizia Tanca,Abstract: We give an account of the researches on context-aware information tailoring whichare going on within the PEDiGREE group at Politecnico di Milano; starting from afoundational framework for the lifecycle of context-aware information systems; in which thesystem design and management activities consider context as an orthogonal; ﬁrst-classcitizen. The design-time and run-time activities involved in this life-cycle provide material forstimulating research; summarized in this paper.,IEEE Data Engineering Bulletin,2011,37
Context modelling and context-aware querying,Giorgio Orsi; Letizia Tanca,Abstract Many interpretations of the notion of context have emerged in various fields andcontext-aware systems are pervading everyday life; becoming an expanding research field.Context has often a significant impact on the way humans (or machines) act; and on howthey interpret things; furthermore; a change in context causes a transformation in theexperience that is going to be lived. Accordingly; while the computer science community hasinitially perceived the context simply as a matter of user time and location; in the last fewyears this notion has been considered not simply as a state; but as part of a process in whichusers are involved; thus; sophisticated and general context models and systems have beenproposed to support context-aware applications. In this paper we propose a foundationalframework for the life-cycle of context-aware system; in which the system design and …,*,2011,35
Context modelling and context-aware querying,Giorgio Orsi; Letizia Tanca,Abstract Many interpretations of the notion of context have emerged in various fields andcontext-aware systems are pervading everyday life; becoming an expanding research field.Context has often a significant impact on the way humans (or machines) act; and on howthey interpret things; furthermore; a change in context causes a transformation in theexperience that is going to be lived. Accordingly; while the computer science community hasinitially perceived the context simply as a matter of user time and location; in the last fewyears this notion has been considered not simply as a state; but as part of a process in whichusers are involved; thus; sophisticated and general context models and systems have beenproposed to support context-aware applications. In this paper we propose a foundationalframework for the life-cycle of context-aware system; in which the system design and …,*,2011,35
DIADEM: thousands of websites to a single database,Tim Furche; Georg Gottlob; Giovanni Grasso; Xiaonan Guo; Giorgio Orsi; Christian Schallhart; Cheng Wang,Abstract The web is overflowing with implicitly structured data; spread over hundreds ofthousands of sites; hidden deep behind search forms; or siloed in marketplaces; onlyaccessible as HTML. Automatic extraction of structured data at the scale of thousands ofwebsites has long proven elusive; despite its central role in the" web of data". Through anextensive evaluation spanning over 10000 web sites from multiple application domains; weshow that automatic; yet accurate full-site extraction is no longer a distant dream. diadem isthe first automatic full-site extraction system that is able to extract structured data fromdifferent domains at very high accuracy. It combines automated exploration of websites;identification of relevant data; and induction of exhaustive wrappers. Automating thesecomponents is the first challenge. diadem overcomes this challenge by combining …,Proceedings of the VLDB Endowment,2014,33
Optimizing query answering under ontological constraints,Giorgio Orsi; Andreas Pieris,Abstract: Ontological queries are evaluated against a database combined with ontologicalconstraints. Answering such queries is a challenging new problem for database research.For many ontological modelling languages; query answering can be solved via queryrewriting: given a conjunctive query and an ontology; the query can be transformed into aﬁrst-order query; called the perfect rewriting; that takes into account the semanticconsequences of the ontology. Then; for every extensional database D; the answer to thequery is obtained by evaluating the rewritten query against D. In this paper we present anew algorithm that computes the perfect rewriting of a conjunctive query wrt a linearDatalog+/-ontology. Also; we provide an experimental comparison of our algorithm withexisting rewriting techniques.,Proceedings of the VLDB Endowment (PVLDB),2011,31
