Klee: A framework for distributed top-k query algorithms,Sebastian Michel; Peter Triantafillou; Gerhard Weikum,Abstract This paper addresses the efficient processing of top-k queries in wide-areadistributed data repositories where the index lists for the attribute values (or text terms) of aquery are distributed across a number of data peers and the computational costs includenetwork latency; bandwidth consumption; and local peer work. We present KLEE; a novelalgorithmic framework for distributed top-k queries; designed for high performance andflexibility. KLEE makes a strong case for approximate top-k algorithms over widelydistributed data sources. It shows how great gains in efficiency can be enjoyed at low result-quality penalties. Further; KLEE affords the query-initiating peer the flexibility to trade-offresult quality and expected performance and to trade-off the number of communicationphases engaged during query execution versus network bandwidth performance. We …,Proceedings of the 31st international conference on Very large data bases,2005,297
Efficient top-k querying over social-tagging networks,Ralf Schenkel; Tom Crecelius; Mouna Kacimi; Sebastian Michel; Thomas Neumann; Josiane X Parreira; Gerhard Weikum,Abstract Online communities have become popular for publishing and searching content; aswell as for finding and connecting to other users. User-generated content includes; forexample; personal blogs; bookmarks; and digital photos. These items can be annotated andrated by different users; and these social tags and derived user-specific scores can beleveraged for searching relevant content and discovering subjectively interesting items.Moreover; the relationships among users can also be taken into consideration for rankingsearch results; the intuition being that you trust the recommendations of your close friendsmore than those of your casual acquaintances. Queries for tag or keyword combinations thatcompute and rank the top-k results thus face a large variety of options that complicate thequery processing and pose efficiency challenges. This paper addresses these issues by …,Proceedings of the 31st annual international ACM SIGIR conference on Research and development in information retrieval,2008,180
Minerva: Collaborative p2p search,Matthias Bender; Sebastian Michel; Peter Triantafillou; Gerhard Weikum; Christian Zimmer,Abstract This paper proposes the live demonstration of a prototype of MINERVA; a novelP2P Web search engine. The search engine is layered on top of a DHT-based overlaynetwork that connects an a-priori unlimited number of peers; each of which maintains apersonal local database and a local search facility. Each peer posts a small amount ofmetadata to a physically distributed directory that is used to efficiently select promising peersfrom across the peer population that can best locally execute a query. The proposeddemonstration serves as a proof of concept for P2P Web search by deploying the project onstandard notebook PCs and also invites everybody to join the network by instantly installinga small piece of software from a USB memory stick.,Proceedings of the 31st international conference on Very large data bases,2005,160
Improving collection selection with overlap awareness in p2p search engines,Matthias Bender; Sebastian Michel; Peter Triantafillou; Gerhard Weikum; Christian Zimmer,Abstract Collection selection has been a research issue for years. Typically; in related work;precomputed statistics are employed in order to estimate the expected result quality of eachcollection; and subsequently the collections are ranked accordingly. Our thesis is that thissimple approach is insufficient for several applications in which the collections typicallyoverlap. This is the case; for example; for the collections built by autonomous peers crawlingthe web. We argue for the extension of existing quality measures using estimators of mutualoverlap among collections and present experiments in which this combination outperformsCORI; a popular approach based on quality estimation. We outline our prototypeimplementation of a P2P web search engine; coined MINERVA; that allows handling largeamounts of data in a distributed and self-organizing manner. We conduct experiments …,Proceedings of the 28th annual international ACM SIGIR conference on Research and development in information retrieval,2005,129
Exploiting social relations for query expansion and result ranking,Matthias Bender; Tom Crecelius; Mouna Kacimi; Sebastian Michel; Thomas Neumann; Josiane Xavier Parreira; Ralf Schenkel; Gerhard Weikum,Online communities have recently become a popular tool for publishing and searchingcontent; as well as for finding and connecting to other users that share common interests.The content is typically user-generated and includes; for example; personal blogs;bookmarks; and digital photos. A particularly intriguing type of content is user-generatedannotations (tags) for content items; as these concise string descriptions allow forreasonings about the interests of the user who created the content; but also about the userwho generated the annotations. This paper presents a framework to cast the different entitiesof such networks into a unified graph model representing the mutual relationships of users;content; and tags. It derives scoring functions for each of the entities and relations. We haveperformed an experimental evaluation on two real-world datasets (crawled from deli. cio …,Data engineering workshop; 2008. ICDEW 2008. IEEE 24th International Conference on,2008,93
Rankreduce-processing k-nearest neighbor queries on top of mapreduce,Aleksandar Stupar; Sebastian Michel; Ralf Schenkel,ABSTRACT We consider the problem of processing K-Nearest Neighbor (KNN) queries overlarge datasets where the index is jointly maintained by a set of machines in a computingcluster. The proposed RankReduce approach uses locality sensitive hashing (LSH) togetherwith a MapReduce implementation; which by design is a perfect match as the hashingprinciple of LSH can be smoothly integrated in the mapping phase of MapReduce. The LSHalgorithm assigns similar objects to the same fragments in the distributed file system whichenables a effective selection of potential candidate neighbors which get then reduced to theset of K-Nearest Neighbors. We address problems arising due to the different characteristicsof MapReduce and LSH to achieve an efficient search process on the one hand and highLSH accuracy on the other hand. We discuss several pitfalls and detailed descriptions on …,Proceedings of the 8th Workshop on Large-Scale Distributed Systems for Information Retrieval,2010,92
Distributed similarity search in high dimensions using locality sensitive hashing,Parisa Haghani; Sebastian Michel; Karl Aberer,Abstract In this paper we consider distributed K-Nearest Neighbor (KNN) search and rangequery processing in high dimensional data. Our approach is based on Locality SensitiveHashing (LSH) which has proven very efficient in answering KNN queries in centralizedsettings. We consider mappings from the multi-dimensional LSH bucket space to the linearlyordered set of peers that jointly maintain the indexed data and derive requirements toachieve high quality search results and limit the number of network accesses. We putforward two such mappings that come with these salient properties: being locality preservingso that buckets likely to hold similar data are stored on the same or neighboring peers andhaving a predictable output distribution to ensure fair load balancing. We show how toleverage the linearly aligned data for efficient KNN search and how to efficiently process …,Proceedings of the 12th International Conference on Extending Database Technology: Advances in Database Technology,2009,80
p2pDating: Real life inspired semantic overlay networks for web search,Josiane Xavier Parreira; Sebastian Michel; Gerhard Weikum,Abstract We consider a network of autonomous peers forming a logically global butphysically distributed search engine; where every peer has its own local collectiongenerated by independently crawling the Web. A challenging task in such systems is toefficiently route user queries to peers that can deliver high quality results and be able to rankthese returned results; thus satisfying the users' information need. However; the probleminherent with this scenario is selecting a few promising peers out of an a priori unlimitednumber of peers. In recent research a rather strict notion of semantic overlay networks hasbeen established. In most approaches; peers are connected to other peers based on a rigidsemantic profile by clustering them based on their contents. In contrast; our strategy followsthe spirit of peer autonomy and creates semantic overlay networks based on the notion of …,Information Processing & Management,2007,66
See what's enBlogue: real-time emergent topic identification in social media,Foteini Alvanaki; Sebastian Michel; Krithi Ramamritham; Gerhard Weikum,Abstract With the increasing popularity of Web 2.0 streams; people become overwhelmed bythe available information. This is partly countered by tagging blog posts and tweets; so thatusers can filter messages according to their tags. However; this is insufficient for detectingnewly emerging topics that are not reflected by a single tag but are rather expressed byunusual tag combinations. This paper presents enBlogue; an approach for automaticallydetecting such emergent topics. EnBlogue uses a time-sliding window to compute statisticsabout tags and tag-pairs. These statistics are then used to identify unusual shifts incorrelations; most of the time caused by real-world events. We analyze the strength of theseshifts and measure the degree of unpredictability they include; used to rank tag-pairsexpressing emergent topics. Additionally; this" indicator of surprise" is carried over to …,Proceedings of the 15th International Conference on Extending Database Technology,2012,62
P2P Content Search: Give the Web Back to the People.,Matthias Bender; Sebastian Michel; Peter Triantafillou; Gerhard Weikum; Christian Zimmer,ABSTRACT The proliferation of peer-to-peer (P2P) systems has come with variouscompelling applications including file sharing based on distributed hash tables (DHTs) orother kinds of overlay networks. Searching the content of files (especially Web Search)requires multi-keyword querying with scoring and ranking. Existing approaches have no wayof taking into account the correlation between the keywords in the query. This paperpresents our solution that incorporates the queries and behavior of the users in the P2Pnetwork such that interesting correlations can be inferred.,IPTPS,2006,59
