Structural joins: A primitive for efficient XML query pattern matching,Shurug Al-Khalifa; HV Jagadish; Nick Koudas; Jignesh M Patel; Divesh Srivastava; Yuqing Wu,XML queries typically specify patterns of selection predicates on multiple elements that havesome specified tree structured relationships. The primitive tree structured relationships areparent-child and ancestor-descendant; and finding all occurrences of these relationships inan XML database is a core operation for XML query processing. We develop two families ofstructural join algorithms for this task: tree-merge and stack-tree. The tree-merge algorithmsare a natural extension of traditional merge joins and the multi-predicate merge joins; whilethe stack-tree algorithms have no counterpart in traditional relational join processing. Wepresent experimental results on a range of data and queries using the TIMBER native XMLquery engine built on top of SHORE. We show that while; in some cases; tree-mergealgorithms can have performance comparable to stack-tree algorithms; in many cases …,Data Engineering; 2002. Proceedings. 18th International Conference on,2002,1206
Timber: A native xml database,Hosagrahar V Jagadish; Shurug Al-Khalifa; Adriane Chapman; Laks VS Lakshmanan; Andrew Nierman; Stelios Paparizos; Jignesh M Patel; Divesh Srivastava; Nuwee Wiwatwattana; Yuqing Wu; Cong Yu,Abstract This paper describes the overall design and architecture of the Timber XMLdatabase system currently being implemented at the University of Michigan. The system isbased upon a bulk algebra for manipulating trees; and natively stores XML. New accessmethods have been developed to evaluate queries in the XML context; and new costestimation and query optimization techniques have also been developed. We presentperformance numbers to support some of our design decisions. We believe that the keyintellectual contribution of this system is a comprehensive set-at-a-time query processingability in a native XML store; with all the standard components of relational queryprocessing; including algebraic rewriting and a cost-based optimizer.,The VLDB Journal—The International Journal on Very Large Data Bases,2002,568
Partition based spatial-merge join,Jignesh M Patel; David J DeWitt,Abstract This paper describes PBSM (Partition Based Spatial-Merge); a new algorithm forperforming spatial join operation. This algorithm is especially effective when neither of theinputs to the join have an index on the joining attribute. Such a situation could arise if bothinputs to the join are intermediate results in a complex query; or in a parallel environmentwhere the inputs must be dynamically redistributed. The PBSM algorithm partitions theinputs into manageable chunks; and joins them using a computational geometry basedplane-sweeping technique. This paper also presents a performance study comparing the thetraditional indexed nested loops join algorithm; a spatial join algorithm based on joiningspatial indices; and the PBSM algorithm. These comparisons are based on completeimplementations of these algorithms in Paradise; a database system for handling GIS …,ACM Sigmod Record,1996,476
A comparison of join algorithms for log processing in mapreduce,Spyros Blanas; Jignesh M Patel; Vuk Ercegovac; Jun Rao; Eugene J Shekita; Yuanyuan Tian,Abstract The MapReduce framework is increasingly being used to analyze large volumes ofdata. One important type of data analysis done with MapReduce is log processing; in whicha click-stream or an event log is filtered; aggregated; or mined for patterns. As part of thisanalysis; the log often needs to be joined with reference data such as information aboutusers. Although there have been many studies examining join algorithms in parallel anddistributed DBMSs; the MapReduce framework is cumbersome for joins. MapReduceprogrammers often use simple but inefficient algorithms to perform joins. In this paper; wedescribe crucial implementation details of a number of well-known join strategies inMapReduce; and present a comprehensive experimental comparison of these jointechniques on a 100-node Hadoop cluster. Our results provide insights that are unique to …,Proceedings of the 2010 ACM SIGMOD International Conference on Management of data,2010,465
Storm@ twitter,Ankit Toshniwal; Siddarth Taneja; Amit Shukla; Karthik Ramasamy; Jignesh M Patel; Sanjeev Kulkarni; Jason Jackson; Krishna Gade; Maosong Fu; Jake Donham; Nikunj Bhagat; Sailesh Mittal; Dmitriy Ryaboy,Abstract This paper describes the use of Storm at Twitter. Storm is a real-time fault-tolerantand distributed stream data processing system. Storm is currently being used to run variouscritical computations in Twitter at scale; and in real-time. This paper describes thearchitecture of Storm and its methods for distributed scale-out and fault-tolerance. This paperalso describes how queries (aka. topologies) are executed in Storm; and presents someoperational stories based on running Storm at Twitter. We also present results from anempirical evaluation demonstrating the resilience of Storm in dealing with machine failures.Storm is under active development at Twitter and we also present some potential directionsfor future work.,Proceedings of the 2014 ACM SIGMOD international conference on Management of data,2014,446
Big data and its technical challenges,HV Jagadish; Johannes Gehrke; Alexandros Labrinidis; Yannis Papakonstantinou; Jignesh M Patel; Raghu Ramakrishnan; Cyrus Shahabi,The growth rate of the output of current NGS methods in terms of the raw sequence data producedby a single NGS machine is shown in Figure 1; along with the performance increase for the SPECintCPU benchmark. Clearly; the NGS sequence data growth far outstrips the performance gainsoffered by Moore's Law for single-threaded applications (here; SPECint). Note the sequencedata size in Figure 1 is the output of analyzing the raw images that are actually produced by theNGS instruments. The size of these raw image datasets themselves is so large (many TBs perlab per day) that it is impractical today to even consider storing them. Rather; these images areanalyzed on the fly to produce sequence data; which is then retained … Big Data has the potentialto revolutionize much more than just research. Google's work on Google File System andMapReduce; and subsequent open source work on systems like Hadoop; have led to …,Communications of the ACM,2014,409
Efficient aggregation for graph summarization,Yuanyuan Tian; Richard A Hankins; Jignesh M Patel,Abstract Graphs are widely used to model real world objects and their relationships; andlarge graph datasets are common in many application domains. To understand theunderlying characteristics of large graphs; graph summarization techniques are critical.However; existing graph summarization methods are mostly statistical (studying statisticssuch as degree distributions; hop-plots and clustering coefficients). These statisticalmethods are very useful; but the resolutions of the summaries are hard to control. In thispaper; we introduce two database-style operations to summarize graphs. Like the OLAP-style aggregation methods that allow users to drill-down or roll-up to control the resolution ofsummarization; our methods provide an analogous functionality for large graph datasets.The first operation; called SNAP; produces a summary graph by grouping nodes based …,Proceedings of the 2008 ACM SIGMOD international conference on Management of data,2008,375
Indexing large trajectory data sets with SETI,V Prasad Chakka; Adam C Everspaugh; Jignesh M Patel,Abstract With the rapid increase in the use of inexpensive; location-aware sensors in avariety of new applications; large amounts of time-sequenced location data will soon beaccumulated. Efficient indexing techniques for managing these large volumes of trajectorydata sets are urgently needed. The key requirements for a good trajectory indexingtechnique is that it must support both searches and inserts efficiently.,Ann Arbor,2003,291
Overview of SciDB: large scale array storage; processing and analysis,Paul G Brown,Abstract SciDB [4; 3] is a new open-source data management system intended primarily foruse in application domains that involve very large (petabyte) scale array data; for example;scientific applications such as astronomy; remote sensing and climate modeling; bio-scienceinformation management; risk management systems in financial applications; and theanalysis of web log data. In this talk we will describe our set of motivating examples and usethem to explain the features of SciDB. We then briefly give an overview of the project'inflight'; explaining our novel storage manager; array data model; query language; andextensibility frameworks.,Proceedings of the 2010 ACM SIGMOD International Conference on Management of data,2010,280
Tale: A tool for approximate large graph matching,Yuanyuan Tian; Jignesh M Patel,Large graph datasets are common in many emerging database applications; and mostnotably in large-scale scientific applications. To fully exploit the wealth of informationencoded in graphs; effective and efficient graph matching tools are critical. Due to the noisyand incomplete nature of real graph datasets; approximate; rather than exact; graphmatching is required. Furthermore; many modern applications need to query large graphs;each of which has hundreds to thousands of nodes and edges. This paper presents a noveltechnique for approximate matching of large graph queries. We propose a novel indexingmethod that incorporates graph structural information in a hybrid index structure. Thisindexing technique achieves high pruning power and the index size scales linearly with thedatabase size. In addition; we propose an innovative matching paradigm to query large …,Data Engineering; 2008. ICDE 2008. IEEE 24th International Conference on,2008,265
STRIPES: an efficient index for predicted trajectories,Jignesh M Patel; Yun Chen; V Prasad Chakka,Abstract Moving object databases are required to support queries on a large number ofcontinuously moving objects. A key requirement for indexing methods in this domain is toefficiently support both update and query operations. Previous work on indexing suchdatabases can be broadly divided into categories: indexing the past positions and indexingthe future predicted positions. In this paper we focus on an efficient indexing method forindexing the future positions of moving objects. In this paper we propose an indexingmethod; called STRIPES; which indexes predicted trajectories in a dual transformed space.Trajectories for objects in d-dimensional space become points in a higher-dimensional 2d-space. This dual transformed space is then indexed using a regular hierarchical griddecomposition indexing structure. STRIPES can evaluate a range of queries including …,Proceedings of the 2004 ACM SIGMOD international conference on Management of data,2004,244
