SCF-mediated mast cell infiltration and activation exacerbate the inflammation and immunosuppression in tumor microenvironment,Bo Huang; Zhang Lei; Gui-Mei Zhang; Dong Li; Chuanwang Song; Bo Li; Yanyan Liu; Ye Yuan; Jay Unkeless; Huabao Xiong; Zuo-Hua Feng,Despite the evidence for the role of inflammation in cancer initiation; promotion; andprogression; the precise mechanism by which the inflammation within tumor is orchestratedby inflammatory cells remains to be determined. Here; we report that tumor-infiltrating mastcells remodel tumor microenvironment and promote tumor growth. Mast cell infiltration andactivation in tumors were mainly mediated by tumor-derived stem cell factor (SCF) and itsreceptor c-Kit on mast cells. Low concentrations of SCF efficiently induced the chemotacticmigration of mast cells. Tumor-infiltrating mast cells; activated by higher concentrations ofSCF; expressed multiple proinflammatory factors and increased IL-17 expression in tumors.The activity of NF-κB and AP-1 in tumor cells was intensified in the mast cell–remodeledinflammatory microenvironment. SCF-activated mast cells also exacerbated tumor …,Blood,2008,236
CCL2/CCR2 pathway mediates recruitment of myeloid suppressor cells to cancers,Bo Huang; Zhang Lei; Jie Zhao; Wei Gong; Jinwen Liu; Zhenyong Chen; Yi Liu; Dong Li; Ye Yuan; Gui-Mei Zhang; Zuo-Hua Feng,Abstract In addition to direct effect on tumor cells; the tumor-promoting activity of CCL2 hasbeen ascribed to its role in chemoattracting tumor-associated macrophages. However it isunclear whether CCL2 also attracts other immune regulatory cells during tumordevelopment. In this study; we confirmed the ubiquitous expression of CCR2 in myeloidsuppressor cells (MSCs); a main inducer for tumor immune evasion; and identified thatcancer patient-derived CCL2 mediated the migration of MSCs to tumors in vitro; which couldbe interdicted by antibodies neutralizing CCL2 or blocking CCR2. In mouse tumor model;the adoptively transferred CCR2−/− MSCs could not migrate to either tumor or spleen asefficiently as WT MSCs. The absence of CCL2/CCR2 signaling hindered both MSCmigration and MSC-promoted tumor growth. Our data provide evidence that CCL2/CCR2 …,Cancer letters,2007,213
Listeria monocytogenes promotes tumor growth via tumor cell toll-like receptor 2 signaling,Bo Huang; Jie Zhao; Shiqian Shen; Hongxing Li; Kai-Li He; Guan-Xin Shen; Lloyd Mayer; Jay Unkeless; Dong Li; Ye Yuan; Gui-Mei Zhang; Huabao Xiong; Zuo-Hua Feng,The contribution of bacterial infection to tumorigenesis is usually ascribed to infection-associated inflammation. An alternate view is that direct interaction of bacteria with tumorcells promotes tumor progression. Here; we show that the microenvironment of large tumorsfavors bacterial survival; which in turn directly accelerates tumor growth by activating tumorcell Toll-like receptors (TLR). Listeria monocytogenes (Lm) survives in the microenvironmentof large but not small tumors; resulting in the promotion of tumor growth. Lm did not affect thepercentage of regulatory T cells or myeloid suppressor cells in the tumor. Through TLR2signaling; Lm activated mitogen-activated protein kinases and nuclear factor-κB in tumorcells; resulting in the increased production of nitric oxide and interleukin-6 and increasedproliferation of tumor cells. All of these effects were abrogated by silencing expression of …,Cancer Research,2007,201
Integrated metabolomic analysis of the nano-sized copper particle-induced hepatotoxicity and nephrotoxicity in rats: a rapid in vivo screening method for nanotoxicity,Ronghui Lei; Chunqi Wu; Baohua Yang; Huazhai Ma; Chang Shi; Quanjun Wang; Qingxiu Wang; Ye Yuan; Mingyang Liao,Abstract Despite an increasing application of copper nanoparticles; there is a serious lack ofinformation concerning their impact on human health and the environment. In this study; thebiochemical compositions of urine; serum; and extracts of liver and kidney tissues of ratstreated with nano-copper at the different doses (50; 100; and 200 mg/kg/d for 5 d) wereinvestigated using 1 H NMR techniques with the pattern recognition methods. Serumbiochemical analysis and histopathological examinations of the liver and kidney of all therats were simultaneously performed. All the results indicated that the effects produced bynano-copper at a dose of 100 or 50 mg/kg/d were less than those induced at a higher doseof 200 mg/kg/d. Nano-copper induced overt hepatotoxicity and nephrotoxicity at 200 mg/kg/dfor 5 d; which mainly involved scattered dot hepatocytic necrosis and widespread renal …,Toxicology and applied pharmacology,2008,177
The AIB1 oncogene promotes breast cancer metastasis by activation of PEA3-mediated matrix metalloproteinase 2 (MMP2) and MMP9 expression,Li Qin; Lan Liao; Aisling Redmond; Leonie Young; Yuhui Yuan; Hongwu Chen; Bert W O'Malley; Jianming Xu,ABSTRACT Amplified-in-breast cancer 1 (AIB1) is an overexpressed transcriptionalcoactivator in breast cancer. Although overproduced AIB1 is oncogenic; its role andunderlying mechanisms in metastasis remain unclear. Here; mammary tumorigenesis andlung metastasis were investigated in wild-type (WT) and AIB1−/− mice harboring the mousemammary tumor virus-polyomavirus middle T (PyMT) transgene. All WT/PyMT micedeveloped massive lung metastasis; but AIB1−/−/PyMT mice with comparable mammarytumors had significantly less lung metastasis. The recipient mice with transplantedAIB1−/−/PyMT tumors also had much less lung metastasis than the recipient mice withtransplanted WT/PyMT tumors. WT/PyMT tumor cells expressed mesenchymal markers suchas vimentin and N-cadherin; migrated and invaded rapidly; and formed disorganized …,Molecular and cellular biology,2008,164
Molecular structure and biological function of the cancer-amplified nuclear receptor coactivator SRC-3/AIB1,Lan Liao; Shao-Qing Kuang; Yuhui Yuan; Sonia M Gonzalez; Bert W O’Malley; Jianming Xu,Abstract Nuclear hormone receptors are ligand-dependent transcription factors that requirecoactivators to regulate target gene expression. The steroid receptor coactivator-3 (SRC-3);also known as p/CIP; RAC3; AIB1; ACTR and TRAM-1; is a cancer-amplified coactivator inthe SRC gene family that also contains SRC-1 and TIF2/GRIP1. SRC-3 interacts withnuclear receptors and certain other transcription factors; recruits histone acetyltransferasesand methyltransferases for chromatin remodeling and facilitates target gene transcription.Accumulated results from both ex vivo and animal model studies indicate that SRC-3 playsimportant roles in many biological processes involving cell proliferation; cell migration; celldifferentiation; somatic growth; sexual maturation; female reproductive function;vasoprotection and breast cancer. This article summarizes our current knowledge about …,The Journal of steroid biochemistry and molecular biology,2002,125
Pharmacokinetics screening for multi-components absorbed in the rat plasma after oral administration traditional Chinese medicine formula Yin-Chen-Hao-Tang by...,Xijun Wang; Hui Sun; Aihua Zhang; Guozheng Jiao; Wenjun Sun; Ye Yuan,Traditional Chinese medicine (TCM) has been widely used in many oriental countries forthousands of years and played an indispensable role in the prevention and treatment ofdiseases; especially the complicated and chronic ones. It is a very complex mixturecontaining hundreds or thousands of different components. Pharmacokinetic study on activeconstituents in TCM preparations is a good way for us to explain and predict a variety ofevents related to the efficacy and toxicity of TCM. A selective and sensitive method of ultraperformance liquid chromatography coupled with electrospray ionization/quadrupole-time-of-flight mass spectrometry (UPLC-ESI-Q-TOF-MS/MS) was first developed to screen thepotentially bioactive components in vivo; using the semi-quantitative determination ofmulticomponents in the rat plasma after a single oral administration of Yin-Chen-Hao …,Analyst,2011,124
Metabolomics coupled with proteomics advancing drug discovery toward more agile development of targeted combination therapies,Xijun Wang; Aihua Zhang; Ping Wang; Hui Sun; Gelin Wu; Wenjun Sun; Haitao Lv; Guozheng Jiao; Hongying Xu; Ye Yuan; Lian Liu; Dixin Zou; Zeming Wu; Ying Han; Guangli Yan; Wei Dong; Fangfang Wu; Tianwei Dong; Yang Yu; Shuxiang Zhang; Xiuhong Wu; Xin Tong; Xiangcai Meng,Abstract To enhance the therapeutic efficacy and reduce the adverse effects of traditionalChinese medicine; practitioners often prescribe combinations of plant species and/orminerals; called formulae. Unfortunately; the working mechanisms of most of thesecompounds are difficult to determine and thus remain unknown. In an attempt to address thebenefits of formulae based on current biomedical approaches; we analyzed the componentsof Yinchenhao Tang; a classical formula that has been shown to be clinically effective fortreating hepatic injury syndrome. The three principal components of Yinchenhao Tang areArtemisia annua L.; Gardenia jasminoids Ellis; and Rheum Palmatum L.; whose major activeingredients are 6; 7-dimethylesculetin (D); geniposide (G); and rhein (R); respectively. Todetermine the mechanisms underlying the efficacy of this formula; we conducted a …,Molecular & Cellular Proteomics,2013,120
Blocking programmed death-1 ligand-PD-1 interactions by local gene therapy results in enhancement of antitumor effect of secondary lymphoid tissue chemokine,Yu-Fei He; Gui-Mei Zhang; Xiao-Hong Wang; Hui Zhang; Ye Yuan; Dong Li; Zuo-Hua Feng,The negative signal provided by interactions of programmed death-1 (PD-1) and its ligands;costimulatory molecules PD-L1 (also B7-H1) and PD-L2 (also B7-DC); is involved in themechanisms of tumor immune evasion. In this study; we found that this negative signal wasalso involved in immune evasion in tumor immunotherapy. When we used different doses ofa constructed eukaryotic expression plasmid; pSLC; which expresses functional murinesecondary lymphoid tissue chemokine (SLC; CCL21); to treat BALB/c mice inoculated withH22 murine hepatoma cells; the inhibitory effect was enhanced along with the increase ofpSLC dosage. Unexpectedly; however; the best complete inhibition rate of tumor wasreached when pSLC was used at the dosage of 50 μg but not 100 or 200 μg. RT-PCR andreal-time PCR revealed that both PD-L1 and PD-L2 genes were expressed in tumor and …,The Journal of Immunology,2004,117
Disruption of the SRC-1 gene in mice suppresses breast cancer metastasis without affecting primary tumor formation,Shu Wang; Yuhui Yuan; Lan Liao; Shao-Qing Kuang; Jean Ching-Yi Tien; Bert W O'Malley; Jianming Xu,Abstract Steroid receptor coactivator-1 (SRC-1) is a coactivator for nuclear hormonereceptors such as estrogen and progesterone receptors and certain other transcriptionfactors such as Ets-2 and PEA3. SRC-1 expression in breast cancer is associated withHER2 and c-Myc expression and with reduced disease-free survival. In this study; SRC-1−/−mice were backcrossed with FVB mice and then cross-bred with MMTV-polyoma middle Tantigen (PyMT) mice to investigate the role of SRC-1 in breast cancer. Although mammarytumor initiation and growth were similar in SRC-1−/−/PyMT and wild-type (WT)/PyMT mice;genetic ablation of SRC-1 antagonized PyMT-induced restriction of mammary ductaldifferentiation and elongation. SRC-1−/−/PyMT mammary tumors were also moredifferentiated than WT/PyMT mammary tumors. The intravasation of mammary tumor cells …,Proceedings of the National Academy of Sciences,2009,108
