Global patterns in leaf 13C discrimination and implications for studies of past and future climate,Aaron F Diefendorf; Kevin E Mueller; Scott L Wing; Paul L Koch; Katherine H Freeman,Abstract Fractionation of carbon isotopes by plants during CO 2 uptake and fixation (Δ leaf)varies with environmental conditions; but quantitative patterns of Δ leaf acrossenvironmental gradients at the global scale are lacking. This impedes interpretation ofvariability in ancient terrestrial organic matter; which encodes climatic and ecologicalsignals. To address this problem; we converted 3;310 published leaf δ 13 C values intomean Δ leaf values for 334 woody plant species at 105 locations (yielding 570 species-sitecombinations) representing a wide range of environmental conditions. Our analyses reveala strong positive correlation between Δ leaf and mean annual precipitation (MAP; R 2=0.55); mirroring global trends in gross primary production and indicating stomatal constraintson leaf gas-exchange; mediated by water supply; are the dominant control of Δ leaf at …,Proceedings of the National Academy of Sciences,2010,380
Impacts of biodiversity loss escalate through time as redundancy fades,Peter B Reich; David Tilman; Forest Isbell; Kevin Mueller; Sarah E Hobbie; Dan FB Flynn; Nico Eisenhauer,Plant diversity generally promotes biomass production; but how the shape of the responsecurve changes with time remains unclear. This is a critical knowledge gap because theshape of this relationship indicates the extent to which loss of the first few species willinfluence biomass production. Using two long-term (≥ 13 years) biodiversity experiments;we show that the effects of diversity on biomass productivity increased and became lesssaturating over time. Our analyses suggest that effects of diversity-dependent ecosystemfeedbacks and interspecific complementarity accumulate over time; causing high-diversityspecies combinations that appeared functionally redundant during early years to becomemore functionally unique through time. Consequently; simplification of diverse ecosystemswill likely have greater negative impacts on ecosystem functioning than has been …,Science,2012,372
Polybrominated diphenyl ethers: Causes for concern and knowledge gaps regarding environmental distribution; fate and toxicity,Anne P Vonderheide; Kevin E Mueller; Juris Meija; Gwendolyn L Welsh,Abstract This manuscript critically considers several areas of study of the polybrominateddiphenyl ether compounds. Specifically; a brief review of PBDE toxicity is followed by an indepth discussion of PBDE occurrence in abiotic and biotic environmental matrices.Temporal and geographic trends are examined in conjunction with risk assessment factors.Rather than summarize or tabulate the growing body of literature on PBDEs in theenvironment; the overall goal of this review paper is to highlight broad patterns that maycontribute to a more holistic understanding of PBDE behavior in the environment; as well asto identify critical areas of research that warrant further attention.,Science of the Total Environment,2008,195
Fate of pentabrominated diphenyl ethers in soil: abiotic sorption; plant uptake; and the impact of interspecific plant interactions,Kevin E Mueller; Sabrina R Mueller-Spitz; Heather F Henry; Anne P Vonderheide; Rajiv S Soman; Brian K Kinkle; Jodi R Shann,Polybrominated diphenyl ethers (PBDEs) are potentially harmful and persistentenvironmental pollutants. Despite evidence that soils are a major sink for PBDEs; little isknown regarding their behavior in this medium. An environmentally relevant level of acommercial penta-BDE mixture (75 μg kg-1) was added to topsoil; and the extractability ofthree congeners (BDE-47;-99; and-100) was monitored over 10 weeks in planted andunplanted treatments. The extractability of each congener decreased rapidly in theexperimental soil due largely to abiotic sorption to soil particles; which was demonstrated bylow PBDE recovery from sterilized and dry soils. Monoculture plantings of zucchini andradish did not affect the recovery of PBDEs from soil. However; PBDE recovery from mixedspecies plantings was nearly 8 times higher than that of unplanted and monoculture …,Environmental science & technology,2006,121
Root depth distribution and the diversity-productivity relationship in a long-term grassland experiment,Kevin E Mueller; David Tilman; Dario A Fornara; Sarah E Hobbie,Abstract The relationship between plant diversity and productivity in grasslands coulddepend; partly; on how diversity affects vertical distributions of root biomass in soil; yet; noprior study has evaluated the links among diversity; root depth distributions; and productivityin a long-term experiment. We used data from a 12-year experiment to ask how plantspecies richness and composition influenced both observed and expected root depthdistributions of plant communities. Expected root depth distributions were based on theabundance of species in each community and two traits of species that were measured inmonocultures: root depth distributions and root-to-shoot ratios. The observed proportion ofdeep-root biomass increased more than expected with species richness and was positivelycorrelated with aboveground productivity. Indeed; the proportion of deep-root biomass …,Ecology,2013,95
PAH dissipation in spiked soil: Impacts of bioavailability; microbial activity; and trees,Kevin E Mueller; Jodi R Shann,Abstract While trees have demonstrated potential in phytoremediation of several organiccontaminants; little is known regarding their ability to impact the common soil contaminantPAHs. Several species of native North American trees were planted in soil artificiallycontaminated with three PAHs. Plant biomass; PAH dissipation; and microbial mineralizationwere monitored over the course of one year and environmental conditions were allowed tofollow typical seasonal patterns. PAH dissipation and mineralization were not affected byplanting. Extensive and rapid loss of PAHs was observed and attributed to highbioavailability and microbial activity in all treatments. The rate of this loss may have maskedany significant planting effects. Anthracene was found to be more recalcitrant than pyrene orphenanthrene. Parallel soil aging studies indicated that sequestration to soil components …,Chemosphere,2006,95
Tree species effects on coupled cycles of carbon; nitrogen; and acidity in mineral soils at a common garden experiment,Kevin E Mueller; David M Eissenstat; Sarah E Hobbie; Jacek Oleksyn; Andrzej M Jagodzinski; Peter B Reich; Oliver A Chadwick; Jon Chorover,Abstract Forest biogeochemical cycles are shaped by effects of dominant tree species onsoils; but the underlying mechanisms are not well understood. We investigated effects oftemperate tree species on interactions among carbon (C); nitrogen (N); and acidity inmineral soils from an experiment with replicated monocultures of 14 tree species. To identifyhow trees affected these soil properties; we evaluated correlations among species-levelcharacteristics (eg nutrient concentrations in leaf litter; wood; and roots); stand-levelproperties (eg nutrient fluxes through leaf litterfall; nutrient pools in stemwood); andcomponents of soil C; N; and cation cycles. Total extractable acidity (acidity tot) wascorrelated positively with mineral soil C stocks (R 2= 0.72; P< 0.001); such that a nearly two-fold increase in acidity tot was associated with a more than two-fold increase of organic C …,Biogeochemistry,2012,85
Integrating plant litter quality; soil organic matter stabilization; and the carbon saturation concept,Michael J Castellano; Kevin E Mueller; Daniel C Olk; John E Sawyer; Johan Six,Abstract Labile;'high-quality'; plant litters are hypothesized to promote soil organic matter(SOM) stabilization in mineral soil fractions that are physicochemically protected from rapidmineralization. However; the effect of litter quality on SOM stabilization is inconsistent. High-quality litters; characterized by high N concentrations; low C/N ratios; and low phenol/ligninconcentrations; are not consistently stabilized in SOM with greater efficiency than 'low-quality'litters characterized by low N concentrations; high C/N ratios; and high phenol/ligninconcentrations. Here; we attempt to resolve these inconsistent results by developing a newconceptual model that links litter quality to the soil C saturation concept. Our model builds onthe Microbial Efficiency-Matrix Stabilization framework (Cotrufo et al.; 2013) by suggestingthe effect of litter quality on SOM stabilization is modulated by the extent of soil C …,Global change biology,2015,70
Rapid breakdown of brominated flame retardants by soil microorganisms,Anne P Vonderheide; Sabrina R Mueller-Spitz; Juris Meija; Gwendolyn L Welsh; Kevin E Mueller; Brian K Kinkle; Jodi R Shann; Joseph A Caruso,Polybrominated diphenyl ethers (PBDEs) have been extensively and successfully used asfire retardants in a multitude of products. However; due to their aromatic components andtoxicological properties; they are assumed to be persistent environmental pollutants and apopularly-used commercial mixture; DE-71; has been removed from American andEuropean marketplaces. However; our current work shows mixed bacterial cultures; derivedor extracted from soils experimentally contaminated with DE-71; were capable of utilizingthese as a sole carbon source. Most notably; almost complete loss of parent compoundstakes place within a few minutes. Determining pathways was hindered by both the speed ofthe microbial degradation and the low water solubility of the congeners; complicatingdetection. The bacterial enrichment communities have been characterized using DGGE …,Journal of analytical atomic spectrometry,2006,46
Evolutionary patterns and biogeochemical significance of angiosperm root traits,LH Comas; KE Mueller; LL Taylor; PE Midford; HS Callahan; DJ Beerling,Abstract On the basis of a synthesis of recent progress in belowground ecology; we advanceand discuss a hypothesis that relates root trait evolution to the increased dominance ofangiosperms into dry upland habitats and the decline of atmospheric CO2 concentration thatbegan in the Cretaceous. Our hypothesis is built from examining patterns of fine rootadaptations during the Cretaceous; when angiosperms dramatically diversified inassociation with arbuscular and ectomycorrhizal root-fungal symbionts. We then explore thepotential effects of root adaptations and mycorrhizas on the geochemical carbon cycle. Onthe basis of phylogenetic analyses of root traits among extant plant species; we suggest thatangiosperm taxa; which diversified since the early Cretaceous; evolved thinner roots withgreater root length per unit of biomass invested (ie; specific root length [SRL]) than earlier …,International Journal of Plant Sciences,2012,41
Effects of plant diversity; N fertilization; and elevated carbon dioxide on grassland soil N cycling in a long‐term experiment,Kevin E Mueller; Sarah E Hobbie; David Tilman; Peter B Reich,Abstract The effects of global environmental changes on soil nitrogen (N) pools and fluxeshave consequences for ecosystem functions such as plant productivity and N retention. In a13-year grassland experiment; we evaluated how elevated atmospheric carbon dioxide (CO2); N fertilization; and plant species richness alter soil N cycling. We focused on soilinorganic N pools; including ammonium and nitrate; and two N fluxes; net N mineralizationand net nitrification. In contrast with existing hypotheses; such as progressive N limitation;and with observations from other; often shorter; studies; elevated CO 2 had relatively staticand small; or insignificant; effects on soil inorganic N pools and fluxes. Nitrogen fertilizationhad inconsistent effects on soil N transformations; but increased soil nitrate and ammoniumconcentrations. Plant species richness had increasingly positive effects on soil N …,Global change biology,2013,36
