Radiation-pressure acceleration of ion beams driven by circularly polarized laser pulses,Andreas Henig; S Steinke; M Schnürer; T Sokollik; Rainer Hörlein; D Kiefer; D Jung; Jörg Schreiber; BM Hegelich; XQ Yan; Jürgen Meyer-ter-Vehn; T Tajima; PV Nickles; W Sandner; Dietrich Habs,Abstract We present experimental studies on ion acceleration from ultrathin diamondlikecarbon foils irradiated by ultrahigh contrast laser pulses of energy 0.7 J focused to peakintensities of 5× 10 19 W/cm 2. A reduction in electron heating is observed when the laserpolarization is changed from linear to circular; leading to a pronounced peak in the fullyionized carbon spectrum at the optimum foil thickness of 5.3 nm. Two-dimensional particle-in-cell simulations reveal that those C 6+ ions are for the first time dominantly accelerated in aphase-stable way by the laser radiation pressure.,Physical Review Letters,2009,439
Enhanced laser-driven ion acceleration in the relativistic transparency regime,Andreas Henig; Daniel Kiefer; K Markey; DC Gautier; KA Flippo; S Letzring; RP Johnson; T Shimada; L Yin; BJ Albright; KJ Bowers; JC Fernández; Sergey G Rykovanov; H-C Wu; M Zepf; Daniel Jung; V Kh Liechtenstein; Joerg Schreiber; Dietrich Habs; BM Hegelich,Abstract We report on the acceleration of ion beams from ultrathin diamondlike carbon foilsof thickness 50; 30; and 10 nm irradiated by ultrahigh contrast laser pulses at intensities of∼7× 10 19 W/cm 2. An unprecedented maximum energy of 185 MeV (15 MeV/u) for fullyionized carbon atoms is observed at the optimum thickness of 30 nm. The enhancedacceleration is attributed to self-induced transparency; leading to strong volumetric heatingof the classically overdense electron population in the bulk of the target. Our experimentalresults are supported by both particle-in-cell (PIC) simulations and an analytical model.,Physical review letters,2009,202
Ion acceleration using relativistic pulse shaping in near-critical-density plasmas,JH Bin; WJ Ma; HY Wang; MJV Streeter; C Kreuzer; D Kiefer; M Yeung; S Cousens; PS Foster; B Dromey; XQ Yan; R Ramis; Jürgen Meyer-ter-Vehn; M Zepf; Jörg Schreiber,Abstract Ultraintense laser pulses with a few-cycle rising edge are ideally suited toaccelerating ions from ultrathin foils; and achieving such pulses in practice represents aformidable challenge. We show that such pulses can be obtained using sufficiently strongand well-controlled relativistic nonlinearities in spatially well-defined near-critical-densityplasmas. The resulting ultraintense pulses with an extremely steep rising edge give rise tosignificantly enhanced carbon ion energies consistent with a transition to radiation pressureacceleration.,Physical review letters,2015,83
Coherent synchrotron emission from electron nanobunches formed in relativistic laser–plasma interactions,B Dromey; S Rykovanov; M Yeung; Rainer Hörlein; Daniel Jung; DC Gautier; T Dzelzainis; Daniel Kiefer; S Palaniyppan; R Shah; Jörg Schreiber; H Ruhl; JC Fernandez; CLS Lewis; M Zepf; Björn M Hegelich,Abstract Extreme ultraviolet (XUV) and X-ray harmonic spectra produced by intense laser–solid interactions have; so far; been consistent with Doppler upshifted reflection fromcollective relativistic plasma oscillations—the relativistically oscillating mirror mechanism 1;2; 3; 4; 5; 6. Recent theoretical work; however; has identified a new interaction regime inwhich dense electron nanobunches are formed at the plasma–vacuum boundary resulting incoherent XUV radiation by coherent synchrotron emission 7; 8 (CSE). Our experimentsenable the isolation of CSE from competing processes; demonstrating that electronnanobunch formation does indeed occur. We observe spectra with the characteristic spectralsignature of CSE—a slow decay of intensity; I; with high-harmonic order; n; as I (n) n− 1.62before a rapid efficiency rollover. Particle-in-cell code simulations reveal how dense …,Nature Physics,2012,76
Monoenergetic ion beam generation by driving ion solitary waves with circularly polarized laser light,Daniel Jung; L Yin; BJ Albright; DC Gautier; Rainer Hörlein; Daniel Kiefer; Andreas Henig; R Johnson; S Letzring; S Palaniyappan; R Shah; T Shimada; XQ Yan; KJ Bowers; T Tajima; JC Fernández; Dietrich Habs; BM Hegelich,Abstract Experimental data from the Trident Laser facility is presented showingquasimonoenergetic carbon ions from nm-scaled foil targets with an energy spread of as lowas±15% at 35 MeV. These results and high-resolution kinetic simulations show laseracceleration of quasimonoenergetic ion beams by the generation of ion solitons withcircularly polarized laser pulses (500 fs; λ= 1054 nm). The conversion efficiency intomonoenergetic ions is increased by an order of magnitude compared with previousexperimental results; representing an important step towards applications such as ion fastignition.,Physical review letters,2011,76
Efficient ion acceleration by collective laser-driven electron dynamics with ultra-thin foil targets,S Steinke; Andreas Henig; M Schnürer; T Sokollik; PV Nickles; D Jung; Daniel Kiefer; Rainer Hörlein; Jörg Schreiber; T Tajima; XQ Yan; M Hegelich; Jürgen Meyer-ter-Vehn; W Sandner; Dietrich Habs,Abstract Experiments on ion acceleration by irradiation of ultra-thin diamond-like carbon(DLC) foils; with thicknesses well below the skin depth; irradiated with laser pulses of ultra-high contrast and linear polarization; are presented. A maximum energy of 13 MeV forprotons and 71 MeV for carbon ions is observed with a conversion efficiency of~ 10%. Two-dimensional particle-in-cell (PIC) simulations reveal that the increase in ion energies can beattributed to a dominantly collective rather than thermal motion of the foil electrons; when thetarget becomes transparent for the incident laser pulse.,Laser and Particle Beams,2010,75
Dense laser-driven electron sheets as relativistic mirrors for coherent production of brilliant X-ray and γ-ray beams,Dietrich Habs; M Hegelich; Jörg Schreiber; M Gross; Andreas Henig; D Kiefer; D Jung,Abstract Several techniques exist to obtain brilliant X-ray beams by coherent reflection fromrelativistic electrons (E e= γ mc 2) with Doppler frequency upshift of 4 γ 2. We describe anew approach starting with an ultra-thin solid target. Larger 'driver'-laser intensities with highcontrast are required to produce dense electron sheets. Their acceleration in vacuum resultsin a transverse momentum component besides the dominant longitudinal momentumcomponent. The counter-propagating 'production'laser for optimum Doppler boost in X-rayproduction by reflection has to be injected opposite to the electron direction and not oppositeto the driver laser. Different measures to increase the reflectivity of the electron sheet vialaser trapping or free-electron-laser-like micro-bunching are discussed; extending thephoton energy into the MeV range. Here; first-order estimates are given.,Applied Physics B,2008,67
A laser-driven nanosecond proton source for radiobiological studies,Jianhui Bin; Klaus Allinger; Walter Assmann; Günther Dollinger; Guido A Drexler; Anna A Friedl; Dieter Habs; Peter Hilz; Rainer Hoerlein; Nicole Humble; Stefan Karsch; Konstantin Khrennikov; Daniel Kiefer; Ferenc Krausz; Wenjun Ma; Dörte Michalski; Michael Molls; Sebastian Raith; Sabine Reinhardt; Barbara Röper; Thomas E Schmid; Toshiki Tajima; Johannes Wenz; Olga Zlobinskaya; Joerg Schreiber; Jan J Wilkens,Ion beams are relevant for radiobiological studies and for tumor therapy. In contrast toconventional accelerators; laser-driven ion acceleration offers a potentially more compactand cost-effective means of delivering ions for radiotherapy. Here; we show that bycombining advanced acceleration using nanometer thin targets and beam transport; trulynanosecond quasi-monoenergetic proton bunches can be generated with a table-top lasersystem; delivering single shot doses up to 7 Gy to living cells. Although in their infancy; laser-ion accelerators allow studying fast radiobiological processes as demonstrated here bymeasurements of the relative biological effectiveness of nanosecond proton bunches inhuman tumor cells.,Applied Physics Letters,2012,60
Experimental demonstration of particle energy; conversion efficiency and spectral shape required for ion-based fast ignition,BM Hegelich; D Jung; BJ Albright; JC Fernandez; DC Gautier; C Huang; TJ Kwan; S Letzring; S Palaniyappan; RC Shah; H-C Wu; L Yin; A Henig; R Hörlein; D Kiefer; J Schreiber; XQ Yan; T Tajima; D Habs; B Dromey; JJ Honrubia,Abstract Research on fusion fast ignition (FI) initiated by laser-driven ion beams has madesubstantial progress in the last years. Compared with electrons; FI based on a beam of quasi-monoenergetic ions has the advantage of a more localized energy deposition; and stifferparticle transport; bringing the required total beam energy close to the theoretical minimum.Due to short pulse laser drive; the ion beam can easily deliver the 200 TW power required toignite the compressed D–T fuel. In integrated calculations we recently simulated ion-basedFI targets with high fusion gain targets and a proof of principle experiment [1]. Thesesimulations identify three key requirements for the success of ion-driven fast ignition (IFI):(1)the generation of a sufficiently high-energetic ion beam (≈ 400–500 MeV for C); with (2)less than 20% energy spread at (3) more than 10% conversion efficiency of laser to beam …,Nuclear Fusion,2011,57
Laser-driven shock acceleration of ion beams from spherical mass-limited targets,Andreas Henig; Daniel Kiefer; Michael Geissler; Sergey G Rykovanov; R Ramis; Rainer Hörlein; Jens Osterhoff; Zs Major; Laszlo Veisz; Stefan Karsch; Ferenc Krausz; Dietrich Habs; Jörg Schreiber,Abstract We report on experimental studies of ion acceleration from spherical targets ofdiameter 15 μ m irradiated by ultraintense (1× 10 20 W/cm 2) pulses from a 20-TW Ti:sapphire laser system. A highly directed proton beam with plateau-shaped spectrumextending to energies up to 8 MeV is observed in the laser propagation direction. This beamarises from acceleration in a converging shock launched by the laser; which is confirmed by3-dimensional particle-in-cell simulations. The temporal evolution of the shock-frontcurvature shows excellent agreement with a two-dimensional radiation pressure model.,Physical review letters,2009,57
Relativistic electron mirrors from nanoscale foils for coherent frequency upshift to the extreme ultraviolet,Daniel Kiefer; M Yeung; T Dzelzainis; PS Foster; SG Rykovanov; C LS Lewis; RS Marjoribanks; H Ruhl; Dietrich Habs; Jörg Schreiber; M Zepf; B Dromey,Abstract Reflecting light from a mirror moving close to the speed of light has beenenvisioned as a route towards producing bright X-ray pulses since Einstein's seminal workon special relativity. For an ideal relativistic mirror; the peak power of the reflected radiationcan substantially exceed that of the incident radiation due to the increase in photon energyand accompanying temporal compression. Here we demonstrate for the first time that denserelativistic electron mirrors can be created from the interaction of a high-intensity laser pulsewith a freestanding; nanometre-scale thin foil. The mirror structures are shown to shift thefrequency of a counter-propagating laser pulse coherently from the infrared to the extremeultraviolet with an efficiency> 10 4 times higher than in the case of incoherent scattering. Ourresults elucidate the reflection process of laser-generated electron mirrors and give clear …,Nature communications,2013,48
