SKYPEER: Efficient subspace skyline computation over distributed data,Akrivi Vlachou; Christos Doulkeridis; Yannis Kotidis; Michalis Vazirgiannis,Skyline query processing has received considerable attention in the recent past. Mainly; theskyline query is used to find a set of non dominated data points in a multidimensionaldataset. While most previous work has assumed a centralized setting; in this paper weaddress the efficient computation of subspace skyline queries in large-scale peer-to-peer(P2P) networks; where the dataset is horizontally distributed across the peers. Relying on asuper-peer architecture we propose a threshold based algorithm; called SKYPEER; whichforwards the skyline query requests among peers; in such a way that the amount oftransferred data is significantly reduced. For efficient subspace skyline processing; weextend the notion of domination by defining the extended skyline set; which contains all dataelements that are necessary to answer a skyline query in any arbitrary subspace. We …,Data Engineering; 2007. ICDE 2007. IEEE 23rd International Conference on,2007,158
Angle-based space partitioning for efficient parallel skyline computation,Akrivi Vlachou; Christos Doulkeridis; Yannis Kotidis,Abstract Recently; skyline queries have attracted much attention in the database researchcommunity. Space partitioning techniques; such as recursive division of the data space;have been used for skyline query processing in centralized; parallel and distributed settings.Unfortunately; such grid-based partitioning is not suitable in the case of a parallel skylinequery; where allpartitions are examined at the same time; since many data partitions do notcontribute to the overall skyline set; resulting in a lot of redundant processing. In this paperwe propose a novel angle-based space partitioning scheme using the hypersphericalcoordinates of the data points. We demonstrate both formally as well as through anexhaustive set of experiments that this new scheme is very suitable for skyline queryprocessing in a parallel share-nothing architecture. The intuition of our partitioning …,Proceedings of the 2008 ACM SIGMOD international conference on Management of data,2008,145
Reverse top-k queries,Akrivi Vlachou; Christos Doulkeridis; Yannis Kotidis; Kjetil Nørvåg,Rank-aware query processing has become essential for many applications that return to theuser only the top-k objects based on the individual user's preferences. Top-k queries havebeen mainly studied from the perspective of the user; focusing primarily on efficient queryprocessing. In this work; for the first time; we study top-k queries from the perspective of theproduct manufacturer. Given a potential product; which are the user preferences for whichthis product is in the top-k query result set? We identify a novel query type; namely reversetop-k query; that is essential for manufacturers to assess the potential market and impact oftheir products based on the competition. We formally define reverse top-k queries andintroduce two versions of the query; namely monochromatic and bichromatic. We firstprovide a geometric interpretation of the monochromatic reverse top-k query in the …,Data Engineering (ICDE); 2010 IEEE 26th International Conference on,2010,126
A survey of skyline processing in highly distributed environments,Katja Hose; Akrivi Vlachou,Abstract During the last decades; data management and storage have become increasinglydistributed. Advanced query operators; such as skyline queries; are necessary in order tohelp users to handle the huge amount of available data by identifying a set of interestingdata objects. Skyline query processing in highly distributed environments poses inherentchallenges and demands and requires non-traditional techniques due to the distribution ofcontent and the lack of global knowledge. This paper surveys this interesting and stillevolving research area; so that readers can easily obtain an overview of the state-of-the-art.We outline the objectives and the main principles that any distributed skyline approach hasto fulfill; leading to useful guidelines for developing algorithms for distributed skylineprocessing. We review in detail existing approaches that are applicable for highly …,The VLDB Journal—The International Journal on Very Large Data Bases,2012,101
On efficient top-k query processing in highly distributed environments,Akrivi Vlachou; Christos Doulkeridis; Kjetil Nørvåg; Michalis Vazirgiannis,Abstract Lately the advances in centralized database management systems show a trendtowards supporting rank-aware query operators; like top-k; that enable users to retrieve onlythe most interesting data objects. A challenging problem is to support rank-aware queries inhighly distributed environments. In this paper; we present a novel approach; calledSPEERTO; for top-k query processing in large-scale peer-to-peer networks; where thedataset is horizontally distributed over the peers. Towards this goal; we explore theapplicability of the skyline operator for efficiently routing top-k queries in a large super-peernetwork. Relying on a thresholding scheme; SPEERTO returns the exact resultsprogressively to the user; while the number of queried super-peers and transferred data isminimized. Finally; we propose different variations of SPEERTO that allow balancing …,Proceedings of the 2008 ACM SIGMOD international conference on Management of data,2008,98
Peer-to-peer similarity search in metric spaces,Christos Doulkeridis; Akrivi Vlachou; Yannis Kotidis; Michalis Vazirgiannis,Abstract This paper addresses the efficient processing of similarity queries in metric spaces;where data is horizontally distributed across a P2P network. The proposed approach doesnot rely on arbitrary data movement; hence each peer joining the network autonomouslystores its own data. We present SIMPEER; a novel framework that dynamically clusters peerdata; in order to build distributed routing information at super-peer level. SIMPEER allowsthe evaluation of range and nearest neighbor queries in a distributed manner that reducescommunication cost; network latency; bandwidth consumption and computational overheadat each individual peer. SIMPEER utilizes a set of distributed statistics and guarantees thatall similar objects to the query are retrieved; without necessarily flooding the network duringquery processing. The statistics are employed for estimating an adequate query radius for …,Proceedings of the 33rd international conference on Very large data bases,2007,67
Efficient processing of top-k spatial preference queries,João B Rocha-Junior; Akrivi Vlachou; Christos Doulkeridis; Kjetil Nørvåg,Abstract Top-k spatial preference queries return a ranked set of the k best data objectsbased on the scores of feature objects in their spatial neighborhood. Despite the wide rangeof location-based applications that rely on spatial preference queries; existing algorithmsincur non-negligible processing cost resulting in high response time. The reason is thatcomputing the score of a data object requires examining its spatial neighborhood to find thefeature object with highest score. In this paper; we propose a novel technique to speed upthe performance of top-k spatial preference queries. To this end; we propose a mapping ofpairs of data and feature objects to a distance-score space; which in turn allows us to identifyand materialize the minimal subset of pairs that is sufficient to answer any spatial preferencequery. Furthermore; we present a novel algorithm that improves query processing …,Proceedings of the VLDB Endowment,2010,59
Efficient processing of top-k spatial preference queries,Joao B Rocha-Junior; Akrivi Vlachou; Christos Doulkeridis; Kjetil Nørvåg,Abstract Top-k spatial preference queries return a ranked set of the k best data objectsbased on the scores of feature objects in their spatial neighborhood. Despite the wide rangeof location-based applications that rely on spatial preference queries; existing algorithmsincur non-negligible processing cost resulting in high response time. The reason is thatcomputing the score of a data object requires examining its spatial neighborhood to find thefeature object with highest score. In this paper; we propose a novel technique to speed upthe performance of top-k spatial preference queries. To this end; we propose a mapping ofpairs of data and feature objects to a distance-score space; which in turn allows us to identifyand materialize the minimal subset of pairs that is sufficient to answer any spatial preferencequery. Furthermore; we present a novel algorithm that improves query processing …,Proceedings of the VLDB Endowment,2010,59
Monochromatic and bichromatic reverse top-k queries,Akrivi Vlachou; Christos Doulkeridis; Yannis Kotidis; Kjetil Norvag,Nowadays; most applications return to the user a limited set of ranked results based on theindividual user's preferences; which are commonly expressed through top-k queries. Fromthe perspective of a manufacturer; it is imperative that her products appear in the highestranked positions for many different user preferences; otherwise the product is not visible topotential customers. In this paper; we define a novel query type; namely the reverse top-kquery; that covers this requirement:“Given a potential product; which are the userpreferences that make this product belong to the top-k query result set?.” Reverse top-kqueries are essential for manufacturers to assess the impact of their products in the marketbased on the competition. We formally define reverse top-k queries and introduce twoversions of the query; monochromatic and bichromatic. First; we provide a geometric …,IEEE Transactions on Knowledge and Data Engineering,2011,57
Identifying the most influential data objects with reverse top-k queries,Akrivi Vlachou; Christos Doulkeridis; Kjetil Nørvåg; Yannis Kotidis,Abstract Top-k queries are widely applied for retrieving a ranked set of the k most interestingobjects based on the individual user preferences. As an example; in online marketplaces;customers (users) typically seek a ranked set of products (objects) that satisfy their needs.Reversing top-k queries leads to a query type that instead returns the set of customers thatfind a product appealing (it belongs to the top-k result set of their preferences). In this paper;we address the challenging problem of processing queries that identify the top-m mostinfluential products to customers; where influence is defined as the cardinality of the reversetop-k result set. This definition of influence is useful for market analysis; since it is directlyrelated to the number of customers that value a particular product and; consequently; to itsvisibility and impact in the market. Existing techniques require processing a reverse top-k …,Proceedings of the VLDB Endowment,2010,51
