Fast and accurate estimation of shortest paths in large graphs,Andrey Gubichev; Srikanta Bedathur; Stephan Seufert; Gerhard Weikum,Abstract Computing shortest paths between two given nodes is a fundamental operationover graphs; but known to be nontrivial over large disk-resident instances of graph data.While a number of techniques exist for answering reachability queries and approximatingnode distances efficiently; determining actual shortest paths (ie the sequence of nodesinvolved) is often neglected. However; in applications arising in massive online socialnetworks; biological networks; and knowledge graphs it is often essential to find out many; ifnot all; shortest paths between two given nodes. In this paper; we address this problem andpresent a scalable sketch-based index structure that not only supports estimation of nodedistances; but also computes corresponding shortest paths themselves. Generating theactual path information allows for further improvements to the estimation accuracy of …,Proceedings of the 19th ACM international conference on Information and knowledge management,2010,128
The LDBC social network benchmark: Interactive workload,Orri Erling; Alex Averbuch; Josep Larriba-Pey; Hassan Chafi; Andrey Gubichev; Arnau Prat; Minh-Duc Pham; Peter Boncz,Abstract The Linked Data Benchmark Council (LDBC) is now two years underway and hasgathered strong industrial participation for its mission to establish benchmarks; andbenchmarking practices for evaluating graph data management systems. The LDBCintroduced a new choke-point driven methodology for developing benchmark workloads;which combines user input with input from expert systems architects; which we outline. Thispaper describes the LDBC Social Network Benchmark (SNB); and presents databasebenchmarking innovation in terms of graph query functionality tested; correlated graphgeneration techniques; as well as a scalable benchmark driver on a workload with complexgraph dependencies. SNB has three query workloads under development: Interactive;Business Intelligence; and Graph Algorithms. We describe the SNB Interactive Workload …,Proceedings of the 2015 ACM SIGMOD International Conference on Management of Data,2015,89
How good are query optimizers; really?,Viktor Leis; Andrey Gubichev; Atanas Mirchev; Peter Boncz; Alfons Kemper; Thomas Neumann,Abstract Finding a good join order is crucial for query performance. In this paper; weintroduce the Join Order Benchmark (JOB) and experimentally revisit the main componentsin the classic query optimizer architecture using a complex; real-world data set and realisticmulti-join queries. We investigate the quality of industrial-strength cardinality estimators andfind that all estimators routinely produce large errors. We further show that while estimatesare essential for finding a good join order; query performance is unsatisfactory if the queryengine relies too heavily on these estimates. Using another set of experiments that measurethe impact of the cost model; we find that it has much less influence on query performancethan the cardinality estimates. Finally; we investigate plan enumeration techniquescomparing exhaustive dynamic programming with heuristic algorithms and find that …,Proceedings of the VLDB Endowment,2015,57
Exploiting the query structure for efficient join ordering in SPARQL queries.,Andrey Gubichev; Thomas Neumann,ABSTRACT The join ordering problem is a fundamental challenge that has to be solved byany query optimizer. Since the high-performance RDF systems are often implemented astriple stores (ie; they represent RDF data as a single table with three attributes; at leastconceptually); the query optimization strategies employed by such systems are oftenadopted from relational query optimization. In this paper we show that the techniquesborrowed from traditional SQL query optimization (such as Dynamic Programming algorithmor greedy heuristics) are not immediately capable of handling large SPARQL queries. Weintroduce a new join ordering algorithm that performs a SPARQL-tailored querysimplification. Furthermore; we present a novel RDF statistical synopsis that accuratelyestimates cardinalities in large SPARQL queries. Our experiments show that this …,EDBT,2014,41
Sparqling kleene: fast property paths in RDF-3X,Andrey Gubichev; Srikanta J Bedathur; Stephan Seufert,Abstract As Semantic Web efforts continue to gather steam; the RDF engines are faced withgraphs with millions of nodes and billions of edges. While much recent work in addressingthe resulting scalability issues in processing queries over these datasets have mainlyconsidered SPARQL 1.0; the next-generation query language recommendations haveproposed the addition of regular expression restricted navigation queries into SPARQL. Weaddress the problem of supporting efficient processing of property paths into RDF-3X--a high-performance RDF engine. In this paper; we restrict our attention to a restricted definition ofproperty paths that is not only tractable but also most commonly used--instead ofenumerating all paths that satisfy the given query; we focus on regular expression basedreachability queries. Based on this; we make the following three major technical …,First International Workshop on Graph Data Management Experiences and Systems,2013,27
Path Query Processing on Very Large RDF Graphs.,Andrey Gubichev; Thomas Neumann,ABSTRACT Finding the shortest path between two nodes in an RDF graph is a fundamentaloperation that allows to discover complex relationships between entities. In this paper weconsider the path queries over graphs from a database perspective. We provide the full-fledge database solution to execute path queries over very large RDF graphs. We presentlow-level techniques to speed-up shortest paths algorithms; and a robust method to estimateselectivities of path queries. We perform extended experiments on several large RDFcollections; including the UniProt collection; demonstrating that our approach outperformsthe path query capabilities of modern systems by a large margin.,WebDB,2011,25
Graph Pattern Matching: Do We Have to Reinvent the Wheel?,Andrey Gubichev; Manuel Then,Abstract This paper presents an empirical study of how a wide spectrum of systems handlethe graph pattern matching problem. Our approach is to take the well-known LUBMbenchmark; model it across various domains (relational; RDF; property graph); and executethe benchmark queries on the corresponding systems. We evaluate the systems using alarge data instance on a single machine (the largest dataset is LUBM-8000; which containsover 1 billion RDF triples). Additionally; we provide a brief analysis of how different cases ofgraph pattern matching problem are stressed by the benchmark queries. Our main finding isthat; contrary to popular belief and various vendors' claims; modern native graph stores donot necessarily offer a competitive advantage over traditional relational and RDF stores;even for the graph-specific problem of pattern matching. To the best of our knowledge …,Proceedings of Workshop on GRAph Data management Experiences and Systems,2014,17
The linked data benchmark council project,Peter Boncz; Irini Fundulaki; Andrey Gubichev; Josep Larriba-Pey; Thomas Neumann,Abstract Despite the fast growth and increasing popularity; the broad field of RDF and Graphdatabase systems lacks an independent authority for developing benchmarks; and forneutrally assessing benchmark results through industry-strength auditing which would allowto quantify and compare the performance of existing and emerging systems. Inspired by theimpact of the Transaction Processing Performance Council (TPC) Benchmarks on relationaldatabases; the LDBC consortium formed by University and Industry researchers andpractitioners has recently launched a European Commision sponsored project that will offerthe first comprehensive set of open and vendor-independent benchmarks for RDF andGraph technologies. The consortium will incorporate the Linked Data Benchmark Council(LDBC) which will survive the project and will supervise the process of obtaining and …,Datenbank-Spektrum,2013,17
Parameter curation for benchmark queries,Andrey Gubichev; Peter Boncz,Abstract In this paper we consider the problem of generating parameters for benchmarkqueries so these have stable behavior despite being executed on datasets (real-world orsynthetic) with skewed data distributions and value correlations. We show that uniformrandom sampling of the substitution parameters is not well suited for such benchmarks;since it results in unpredictable runtime behavior of queries. We present our approach ofParameter Curation with the goal of selecting parameter bindings that have consistently low-variance intermediate query result sizes throughout the query plan. Our solution is illustratedwith IMDB data and the recently proposed LDBC Social Network Benchmark (SNB).,Technology Conference on Performance Evaluation and Benchmarking,2014,8
Fast approximation of steiner trees in large graphs,Andrey Gubichev; Thomas Neumann,Abstract Finding the minimum connected subtree of a graph that contains a given set ofnodes (ie; the Steiner tree problem) is a fundamental operation in keyword search in graphs;yet it is known to be NP-hard. Existing approximation techniques either make use of theheavy indexing of the graph; or entirely rely on online heuristics.,Proceedings of the 21st ACM international conference on Information and knowledge management,2012,8
