Curated databases,Peter Buneman; James Cheney; Wang-Chiew Tan; Stijn Vansummeren,Abstract Curated databases are databases that are populated and updated with a great dealof human effort. Most reference works that one traditionally found on the reference shelves oflibraries--dictionaries; encyclopedias; gazetteers etc.--are now curated databases. Since it isnow easy to publish databases on the web; there has been an explosion in the number ofnew curated databases used in scientific research. The value of curated databases lies inthe organization and the quality of the data they contain. Like the paper reference works theyhave replaced; they usually represent the efforts of a dedicated group of people to produce adefinitive description of some subject area. Curated databases present a number ofchallenges for database research. The topics of annotation; provenance; and citation arecentral; because curated databases are heavily cross-referenced with; and include data …,Proceedings of the twenty-seventh ACM SIGMOD-SIGACT-SIGART symposium on Principles of database systems,2008,142
On the expressiveness of implicit provenance in query and update languages,Peter Buneman; James Cheney; Stijn Vansummeren,Abstract Information describing the origin of data; generally referred to as provenance; isimportant in scientific and curated databases where it is the basis for the trust one puts intheir contents. Since such databases are constructed using operations of both query andupdate languages; it is of paramount importance to describe the effect of these languageson provenance. In this article we study provenance for query and update languages that areclosely related to SQL; and compare two ways in which they can manipulate provenance sothat elements of the input are rearranged to elements of the output: implicit provenance;where a query or update only provides the rearranged output; and provenance is providedimplicitly by a default provenance semantics; and explicit provenance; where a query orupdate provides both the output and the description of the provenance of each …,ACM Transactions on Database Systems (TODS),2008,133
Inferring XML schema definitions from XML data,Geert Jan Bex; Frank Neven; Stijn Vansummeren,Abstract Although the presence of a schema enables many optimizations for operations onXML documents; recent studies have shown that many XML documents in practice either donot refer to a schema; or refer to a syntactically incorrect one. It is therefore of utmostimportance to provide tools and techniques that can automatically generate schemas fromsets of sample documents. While previous work in this area has mostly focused on theinference of Document Type Definitions (DTDs for short); we will consider the inference ofXML Schema Definitions (XSDs for short)---the increasingly popular schema formalism thatis turning DTDs obsolete. In contrast to DTDs where the content model of an elementdepends only on the element's name; the content model in an XSD can also depend on thecontext in which the element is used. Hence; while the inference of DTDs basically …,Proceedings of the 33rd international conference on Very large data bases,2007,119
Learning deterministic regular expressions for the inference of schemas from XML data,Geert Jan Bex; Wouter Gelade; Frank Neven; Stijn Vansummeren,Abstract Inferring an appropriate DTD or XML Schema Definition (XSD) for a given collectionof XML documents essentially reduces to learning deterministic regular expressions fromsets of positive example words. Unfortunately; there is no algorithm capable of learning thecomplete class of deterministic regular expressions from positive examples only; as we willshow. The regular expressions occurring in practical DTDs and XSDs; however; are suchthat every alphabet symbol occurs only a small number of times. As such; in practice itsuffices to learn the subclass of deterministic regular expressions in which each alphabetsymbol occurs at most k times; for some small k. We refer to such expressions as k-occurrence regular expressions (k-OREs for short). Motivated by this observation; weprovide a probabilistic algorithm that learns k-OREs for increasing values of k; and selects …,ACM Transactions on the Web (TWEB),2010,109
Provenance: a future history,James Cheney; Stephen Chong; Nate Foster; Margo Seltzer; Stijn Vansummeren,Abstract Science; industry; and society are being revolutionized by radical new capabilitiesfor information sharing; distributed computation; and collaboration offered by the World WideWeb. This revolution promises dramatic benefits but also poses serious risks due to the fluidnature of digital information. One important cross-cutting issue is managing and recordingprovenance; or metadata about the origin; context; or history of data. We posit thatprovenance will play a central role in emerging advanced digital infrastructures. In thispaper; we outline the current state of provenance research and practice; identify hard openresearch problems involving provenance semantics; formal modeling; and security; andarticulate a vision for the future of provenance.,Proceedings of the 24th ACM SIGPLAN conference companion on Object oriented programming systems languages and applications,2009,97
Inference of concise regular expressions and DTDs,Geert Jan Bex; Frank Neven; Thomas Schwentick; Stijn Vansummeren,Abstract We consider the problem of inferring a concise Document Type Definition (DTD) fora given set of XML-documents; a problem that basically reduces to learning concise regularexpressions from positive examples strings. We identify two classes of concise regularexpressions—the single occurrence regular expressions (SOREs) and the chain regularexpressions (CHAREs)—that capture the far majority of expressions used in practical DTDs.For the inference of SOREs we present several algorithms that first infer an automaton for agiven set of example strings and then translate that automaton to a corresponding SORE;possibly repairing the automaton when no equivalent SORE can be found. In the process;we introduce a novel automaton to regular expression rewrite technique which is ofindependent interest. When only a very small amount of XML data is available; however …,ACM Transactions on Database Systems (TODS),2010,75
What are real SPARQL queries like?,Francois Picalausa; Stijn Vansummeren,Abstract We present statistics on real world SPARQL queries that may be of interest forbuilding SPARQL query processing engines and benchmarks. In particular; we analyze thesyntactical structure of queries in a log of about 3 million queries; harvested from theDBPedia SPARQL endpoint. Although a sizable portion of the log is shown to consist of so-called conjunctive SPARQL queries; non-conjunctive queries that use SPARQL's union oroptional operators are more than substantial. It is known; however; that query evaluationquickly becomes hard for queries including the non-conjunctive operators union or optional.We therefore drill deeper into the syntactical structure of the queries that are not conjunctiveand show that in 50% of the cases; these queries satisfy certain structural restrictions thatimply tractable evaluation in theory. We hope that the identification of these restrictions …,Proceedings of the International Workshop on Semantic Web Information Management,2011,69
A provenance model for manually curated data,Peter Buneman; Adriane Chapman; James Cheney; Stijn Vansummeren,Abstract Many curated databases are constructed by scientists integrating various existingdata sources “by hand”; that is; by manually entering or copying data from other sources.Capturing provenance in such an environment is a challenging problem; requiring a goodmodel of the process of curation. Existing models of provenance focus on queries/views indatabases or computations on the Grid; not updates of databases or Web sites. In this paperwe motivate and present a simple model of provenance for manually curated databases anddiscuss ongoing and future work.,International Provenance and Annotation Workshop,2006,53
Scalable multi-query optimization for exploratory queries over federated scientific databases,Anastasios Kementsietsidis; Frank Neven; Dieter Van de Craen; Stijn Vansummeren,Abstract The diversity and large volumes of data processed in the Natural Sciences todayhas led to a proliferation of highly-specialized and autonomous scientific databases withinherent and often intricate relationships. As a user-friendly method for querying thiscomplex; ever-expanding network of sources for correlations; we propose exploratoryqueries. Exploratory queries are loosely-structured; hence requiring only minimal userknowledge of the source network. Evaluating an exploratory query usually involves theevaluation of many distributed queries. As the number of such distributed queries canquickly become large; we attack the optimization problem for exploratory queries byproposing several multi-query optimization algorithms that compute a global evaluation planwhile minimizing the total communication cost; a key bottleneck in distributed settings …,Proceedings of the VLDB Endowment,2008,48
Relative expressive power of navigational querying on graphs,George HL Fletcher; Marc Gyssens; Dirk Leinders; Dimitri Surinx; Jan Van den Bussche; Dirk Van Gucht; Stijn Vansummeren; Yuqing Wu,Abstract Motivated by both established and new applications; we study navigational querylanguages for graphs (binary relations). The simplest language has only the two operatorsunion and composition; together with the identity relation. We make more powerfullanguages by adding any of the following operators: intersection; set difference; projection;coprojection; converse; and the diversity relation. All these operators map binary relations tobinary relations. We compare the expressive power of all resulting languages. We do thisnot only for general path queries (queries where the result may be any binary relation) butalso for boolean or yes/no queries (expressed by the nonemptiness of an expression). Forboth cases; we present the complete Hasse diagram of relative expressiveness. In particularthe Hasse diagram for boolean queries contains some nontrivial separations and a few …,Information sciences,2015,45
A structural approach to indexing triples,François Picalausa; Yongming Luo; George HL Fletcher; Jan Hidders; Stijn Vansummeren,Abstract As an essential part of the W3C's semantic web stack and linked data initiative; RDFdata management systems (also known as triplestores) have drawn a lot of researchattention. The majority of these systems use value-based indexes (eg; B+-trees) for physicalstorage; and ignore many of the structural aspects present in RDF graphs. Structuralindexes; on the other hand; have been successfully applied in XML and semi-structureddata management to exploit structural graph information in query processing. In thosesettings; a structural index groups nodes in a graph based on some equivalence criterion;for example; indistinguishability with respect to some query workload (usually XPath).Motivated by this body of work; we have started the SAINT-DB project to study and develop anative RDF management system based on structural indexes. In this paper we present a …,Extended Semantic Web Conference,2012,43
A graph model of data and workflow provenance,Umut Acar; Peter Buneman; James Cheney; Jan Van Den Bussche; Natalia Kwasnikowska; Stijn Vansummeren,Abstract Provenance has been studied extensively in both database and workflowmanagement systems; so far with little convergence of definitions or models. Provenance indatabases has generally been defined for relational or complex object data; by propagatingfine-grained annotations or algebraic expressions from the input to the output. This kind ofprovenance has been found useful in other areas of computer science: annotationdatabases; probabilistic databases; schema and data integration; etc. In contrast; workflowprovenance aims to capture a complete description of evaluation–or enactment–of aworkflow; and this is crucial to verification in scientific computation. Workflows and theirprovenance are often presented using graphical notation; making them easy to visualize butcomplicating the formal semantics that relates their run-time behavior with their …,*,2010,42
Type inference for unique pattern matching,Stijn Vansummeren,Abstract Regular expression patterns provide a natural; declarative way to expressconstraints on semistructured data and to extract relevant information from it. Indeed; it is acore feature of the programming language Perl; surfaces in various UNIX tools such as sedand awk; and has recently been proposed in the context of the XML programming languageXDuce. Since regular expressions can be ambiguous in general; different disambiguationpolicies have been proposed to get a unique matching strategy. We formally define thematching semantics under both (1) the POSIX; and (2) the first and longest matchdisambiguation strategies. We show that the generally accepted method of defining thelongest match in terms of the first match and recursion does not conform to the natural notionof longest match. We continue by solving the type inference problem for both …,ACM Transactions on Programming Languages and Systems (TOPLAS),2006,38
