OLTP on hardware islands,Danica Porobic; Ippokratis Pandis; Miguel Branco; Pınar Tözün; Anastasia Ailamaki,Abstract Modern hardware is abundantly parallel and increasingly heterogeneous. Thenumerous processing cores have nonuniform access latencies to the main memory and tothe processor caches; which causes variability in the communication costs. Unfortunately;database systems mostly assume that all processing cores are the same and thatmicroarchitecture differences are not significant enough to appear in critical databaseexecution paths. As we demonstrate in this paper; however; hardware heterogeneity doesappear in the critical path and conventional database architectures achieve suboptimal andeven worse; unpredictable performance. We perform a detailed performance analysis ofOLTP deployments in servers with multiple cores per CPU (multicore) and multiple CPUsper server (multisocket). We compare different database deployment strategies where we …,Proceedings of the VLDB Endowment,2012,51
ATraPos: Adaptive Transaction Processing on Hardware Islands,Danica Porobic; Erietta Liarou; Pınar Tözün; Anastasia Ailamaki,Nowadays; high-performance transaction processing applications increasingly run onmultisocket multicore servers. Such architectures exhibit non-uniform memory accesslatency as well as non-uniform thread communication costs. Unfortunately; traditional shared-everything database management systems are designed for uniform inter-corecommunication speeds. This causes unpredictable access latencies in the critical path.While lack of data locality may be a minor nuisance on systems with fewer than 4processors; it becomes a serious scalability limitation on larger systems due to accesses tocentralized data structures. In this paper; we propose ATraPos; a storage manager designthat is aware of the non-uniform access latencies of multisocket systems. ATraPos achievesgood data locality by carefully partitioning the data as well as internal data structures (eg …,*,2014,36
Dynamic fine-grained scheduling for energy-efficient main-memory queries,Iraklis Psaroudakis; Thomas Kissinger; Danica Porobic; Thomas Ilsche; Erietta Liarou; Pınar Tözün; Anastasia Ailamaki; Wolfgang Lehner,Abstract Power and cooling costs are some of the highest costs in data centers today; whichmake improvement in energy efficiency crucial. Energy efficiency is also a major designpoint for chips that power whole ranges of computing devices. One important goal in thisarea is energy proportionality; arguing that the system's power consumption should beproportional to its performance. Currently; a major trend among server processors; whichstems from the design of chips for mobile devices; is the inclusion of advanced powermanagement techniques; such as dynamic voltage-frequency scaling; clock gating; andturbo modes. A lot of recent work on energy efficiency of database management systems isfocused on coarse-grained power management at the granularity of multiple machines andwhole queries. These techniques; however; cannot efficiently adapt to the frequently …,Proceedings of the Tenth International Workshop on Data Management on New Hardware,2014,11
Micro-architectural Analysis of In-memory OLTP,Utku Sirin; Pinar Tözün; Danica Porobic; Anastasia Ailamaki,Abstract Micro-architectural behavior of traditional disk-based online transaction processing(OLTP) systems has been investigated extensively over thepast couple of decades. Resultsshow that traditional OLTP mostly under-utilize the available micro-architectural resources.In-memory OLTP systems; on the other hand; process all the data in main-memory; andtherefore; can omit the buffer pool. In addition; they usually adopt more lightweightconcurrency control mechanisms; cache-conscious data structures; and cleaner codebasessince they are usually designed from scratch. Hence; we expect significant differences inmicro-architectural behavior when running OLTP on platforms optimized for in-memoryprocessing as opposed to disk-based database systems. In particular; we expect that in-memory systems exploit micro architectural features such as instruction and data caches …,Proceedings of the 2016 International Conference on Management of Data,2016,9
A data-oriented transaction execution engine and supporting tools,Ippokratis Pandis; Pinar Tözün; Miguel Branco; Dimitris Karampinas; Danica Porobic; Ryan Johnson; Anastasia Ailamaki,Abstract Conventional OLTP systems assign each transaction to a worker thread and thatthread accesses data; depending on what the transaction dictates. This thread-to-transactionwork assignment policy leads to unpredictable accesses. The unpredictability forces eachthread to enter a large number of critical sections for the completion of even the simplest ofthe transactions; leading to poor performance and scalability on modern manycorehardware. This demonstration highlights the chaotic access patterns of conventional OLTPdesigns which are the source of scalability problems. Then; it presents a working prototypeof a transaction processing engine that follows a non-conventional architecture; called data-oriented or DORA. DORA is designed around the thread-to-data work assignment policy. Itdistributes the transaction execution to multiple threads and offers predictable accesses …,Proceedings of the 2011 ACM SIGMOD International Conference on Management of data,2011,8
How to stop under-utilization and love multicores,Anastasia Ailamaki; Erietta Liarou; Pınar Tözün; Danica Porobic; Iraklis Psaroudakis,Hardware trends oblige software to overcome three major challenges against systemsscalability:(1) taking advantage of the implicit/vertical parallelism within a core that isenabled through the aggressive micro-architectural features;(2) exploiting theexplicit/horizontal parallelism provided by multicores; and (3) achieving predictively efficientexecution despite the variability in communication latencies among cores on multisocketmulticores. In this three hour tutorial; we shed light on the above three challenges andsurvey recent proposals to alleviate them. The first part of the tutorial describes theinstruction-and data-level parallelism opportunities in a core coming from the hardware andsoftware side. In addition; it examines the sources of under-utilization in a modern processorand presents insights and hardware/software techniques to better exploit the micro …,Data Engineering (ICDE); 2015 IEEE 31st International Conference on,2015,6
The Case For Heterogeneous HTAP,Raja Appuswamy; Manos Karpathiotakis; Danica Porobic; Anastasia Ailamaki,ABSTRACT Modern database engines balance the demanding requirements of mixed;hybrid transactional and analytical processing (HTAP) workloads by relying on i) globalshared memory; ii) system-wide cache coherence; and iii) massive parallelism. Thus;database engines are typically deployed on multi-socket multi-cores; which have been theonly platform to support all three aspects. Two recent trends; however; indicate that thesehardware assumptions will be invalidated in the near future. First; hardware vendors havestarted exploring alternate non-cache-coherent shared-memory multi-core designs due toescalating complexity in maintaining coherence across hundreds of cores. Second; asGPGPUs overcome programmability; performance; and interfacing limitations; they arebeing increasingly adopted by emerging servers to expose heterogeneous parallelism. It …,8th Biennial Conference on Innovative Data Systems Research,2017,4
Characterization of the Impact of Hardware Islands on OLTP,Danica Porobic; Ippokratis Pandis; Miguel Branco; Pınar Tözün; Anastasia Ailamaki,Abstract Modern hardware is abundantly parallel and increasingly heterogeneous. Thenumerous processing cores have non-uniform access latencies to the main memory andprocessor caches; which causes variability in the communication costs. Unfortunately;database systems mostly assume that all processing cores are the same and thatmicroarchitecture differences are not significant enough to appear in critical databaseexecution paths. As we demonstrate in this paper; however; non-uniform core topology doesappear in the critical path and conventional database architectures achieve suboptimal andeven worse; unpredictable performance. We perform a detailed performance analysis ofOLTP deployments in servers with multiple cores per CPU (multicore) and multiple CPUsper server (multisocket). We compare different database deployment strategies where we …,The VLDB Journal,2016,2
Applying HTM to an OLTP system: No free lunch,David Cervini; Danica Porobic; Pınar Tözün; Anastasia Ailamaki,Abstract Transactional memory is a promising way for implementing efficient synchronizationmechanisms for multicore processors. Intel's introduction of hardware transactional memory(HTM) into their Haswell line of processors marks an important step toward mainstreamavailability of transactional memory. Transaction processing systems require execution ofdozens of critical sections to insure isolation among threads; which makes them one of thetarget applications for exploiting HTM. In this study; we quantify the opportunities andlimitations of directly applying HTM to an existing OLTP system that uses fine-grainedsynchronization. Our target is Shore-MT; a modern multithreaded transactional storagemanager that uses a variety of fine-grained synchronization mechanisms to providescalability on multicore processors. We find that HTM can improve performance of the …,Proceedings of the 11th International Workshop on Data Management on New Hardware,2015,2
More than a network: distributed OLTP on clusters of hardware islands,Danica Porobic; Pınar Tözün; Raja Appuswamy; Anastasia Ailamaki,Abstract Multisocket multicores feature hardware islands-groups of cores that communicatefast among themselves and slower with other groups. With high speed networking becominga commodity; clusters of hardware islands with fast networks are becoming a preferredplatform for high end OLTP workloads. While behavior of OLTP on multisockets is wellunderstood; multi-machine OLTP deployments have been studied only in the geo-distributedcontext where network is much slower. In this paper; we analyze the behavior of differentOLTP designs when deployed on clusters of multisockets with fast networks. Wedemonstrate that choosing the optimal deployment configuration within a multisocket nodecan improve performance by 2 to 4 times. A slow network can decrease the throughput by40% when communication cannot be overlapped with other processing; while having …,Proceedings of the 12th International Workshop on Data Management on New Hardware,2016,1
