Theory of relational databases,David Maier,By David Maier: Theory of Relational Databases theory of relational databases david maieron amazon free shipping on qualifying offers the theory of relational databases david maiercopyright 1983 written by three leading researchers in the field this free book provides indepth coverage of the theory concerning the logical level of database management systemsTheory of Relational Databases: 0 of 0 review helpful Classic for your bookshelf By Papa GWhat a beautiful book It sa dense read and very relational algebra heavy I don t have theproper math background to understand all the symbols and notation right away but if you doit shouldn t difficult to understand Nothing really in this that would be practical from theaverage consumer standpoint but fascinating if you love databases and want t The Theory ofRelational Databases David Maier Copyright 1983 Computer Science Press Rockville …,*,1983,2260
The object-oriented database system manifesto,Malcolm Atkinson; David DeWitt; David Maier; Francois Bancilhon; Klaus Dittrich; Stanley Zdonik,Download full text in PDF Opens in a new window. Article suggestions will be shown in a dialogon return to ScienceDirect … Please enable JavaScript to use all the features on this page.… This paper attempts to define an object-oriented database system. It describes the main featuresand characteristics that a system must have to qualify as an object-oriented databasesystem … Mandatory; the ones the system must satisfy in order to be termed an object-orienteddatabase system. These are complex objects; object identity; encapsulation; types orclasses; inheritance; overriding combined with late binding; extensibility; computationalcompleteness; persistence; secondary storage management; concurrency; recovery and an adhoc query facility … Optional; the ones that can be added to make the system better; but whichare not mandatory. These are multiple inheritance; type checking and inferencing …,*,1990,1747
Stackguard: Automatic adaptive detection and prevention of buffer-overflow attacks.,Crispan Cowan; Calton Pu; Dave Maier; Jonathan Walpole; Peat Bakke; Steve Beattie; Aaron Grier; Perry Wagle; Qian Zhang; Heather Hinton,Abstract This paper presents a systematic solution to the persistent problem of bufferoverflow attacks. Buffer overflow attacks gained notoriety in 1988 as part of the Morris Wormincident on the Internet. While it is fairly simple to fix individual buffer overflow vulnerabilities;buffer overflow attacks continue to this day. Hundreds of attacks have been discovered; andwhile most of the obvious vulnerabilities have now been patched; more sophisticated bufferoverflow attacks continue to emerge. We describe StackGuard: a simple compiler techniquethat virtually eliminates buffer overflow vulnerabilities with only modest performancepenalties. Privileged programs that are recompiled with the StackGuard compiler extensionno longer yield control to the attacker; but rather enter a fail-safe state. These programsrequire no source code changes at all; and are binary-compatible with existing operating …,USENIX Security Symposium,1998,1698
Magic sets and other strange ways to implement logic programs,Francois Bancilhon; David Maier; Yehoshua Sagiv; Jeffrey D Ullman,ABSTRACT Several methods for implementing database queries expressed as logical rulesare given and they are compared for efficiency. One method; called “magic sets;” is ageneral algorithm for rewriting logical rules so that they may be implemented bottom-UP (=forward chaining) in a way that cuts down on the irrelevant facts that are generated. Theadvantage of this scheme is that by working bottom-up; we can take advantage of efficientmethods for doing massive joins. Two other methods are ad hoc ways of implementing“linear” rules; ie; rules where at most one predicate in any body is recursive. These methodsare,Proceedings of the fifth ACM SIGACT-SIGMOD symposium on Principles of database systems,1985,1026
On the desirability of acyclic database schemes,Catriel Beeri; Ronald Fagin; David Maier; Mihalis Yannakakis,Abstract. A class of database schemes; called acychc; was recently introduced. It is shownthat this class has a number of desirable properties. In particular; several desirableproperties that have been studied by other researchers m very different terms are all shownto be eqmvalent to acydicity. In addition; several equivalent charactenzauons of the class mterms of graphs and hypergraphs are given; and a smaple algorithm for determiningacychclty is presented. Also given are several eqmvalent characterizations of those sets M ofmultivalued dependencies such that M is the set of muRlvalued dependencies that are theconsequences of a given join dependency. Several characterizations for a conflict-free (inthe sense of Lien) set of muluvalued dependencies are provided.,Journal of the ACM (JACM),1983,853
From databases to dataspaces: a new abstraction for information management,Michael Franklin; Alon Halevy; David Maier,Abstract The development of relational database management systems served to focus thedata management community for decades; with spectacular results. In recent years;however; the rapidly-expanding demands of" data everywhere" have led to a field comprisedof interesting and productive efforts; but without a central focus or coordinated agenda. Themost acute information management challenges today stem from organizations (eg;enterprises; government agencies; libraries;" smart" homes) relying on a large number ofdiverse; interrelated data sources; but having no way to manage their dataspaces in aconvenient; integrated; or principled fashion. This paper proposes dataspaces and theirsupport systems as a new agenda for data management. This agenda encompasses muchof the work going on in data management today; while posing additional research …,ACM Sigmod Record,2005,790
Development of an object-oriented DBMS,David Maier; Jacob Stein; Allen Otis; Alan Purdy,Abstract We describe the results of developing the GemStone object-oriented databaseserver; which supports a model of objects similar to that of Smalltalk-80. We begin with asummary of the goals and requirements for the system: an extensible data model thatcaptures behavioral semantics; no artificial bounds on the number or size of databaseobjects; database amenities (concurrency; transactions; recovery; associative access;authorization) and an interactive development environment. Object-oriented languages;Smalltalk in particular; answer some of these requirements. We discuss satisfying theremaining requirements in an object oriented context; and report briefly on the status of thedevelopment efforts. This paper is directed at an audience familiar with object-orientedlanguages and their implementation; but perhaps unacquainted with the difficulties and …,ACM Sigplan Notices,1986,644
The complexity of some problems on subsequences and supersequences,David Maier,ABSTRACT The complexity of finding the Longest Common Subsequence (LCS) and theShortest Common Supersequence (SCS) of an arbRrary number of sequences ISconsidered We show that the yes/no version of the LCS problem is NP-complete forsequences over an alphabet of size 2; and that the yes/no SCS problem is NP-complete forsequences over an alphabet of size 5,Journal of the ACM (JACM),1978,580
Making smalltalk a database system,George Copeland; David Maier,Abstract To overcome limitations in the modeling power of existing database systems andprovide a better tool for database application programming; Servio Logic Corporation isdeveloping a computer system to support a set-theoretic data model in an object-orientedprogramming environment We recount the problems with existing models and databasesystems We then show how features of Smalltalk; such such as operational semantics; itstype hierarchy; entity identity and the merging of programming and data language; solvemany of those problems Nest we consider what Smalltalk lacks as a database systemsecondary storage management; a declarative semantics; concurrency; past states Toaddress these shortcomings; we needed a formal data model We introduce the GemStonedata model; and show how it helps to define path expressions; a declarative semantics …,ACM Sigmod Record,1984,563
Testing implications of data dependencies,David Maier; Alberto O Mendelzon; Yehoshua Sagiv,Abstract Presented is a computation method—the chase—for testing implication of datadependencies by a set of data dependencies. The chase operates on tableaux similar tothose of Aho; Sagiv; and Ullman. The chase includes previous tableau computation methodsas special cases. By interpreting tableaux alternately as mappings or as templates forrelations; it is possible to test implication of join dependencies (including multivalueddependencies) and functional dependencies by a set of dependencies.,ACM Transactions on Database Systems (TODS),1979,555
