Tobacco use among sexual minorities in the USA; 1987 to May 2007: a systematic review,Joseph GL Lee; Gabriel K Griffin; Cathy L Melvin,Objectives: This paper examines the prevalence of tobacco use among sexual minorities inthe United States through a systematic review of literature from 1987 to May 2007. Methods:Seven databases were searched for peer-reviewed research (CINAHL; Cochrane Libraryvia Wiley InterScience; ERIC; Health Source: Nursing/Academic; ISI Web of Science;PsycINFO via EBSCO Host; and PubMed). No language restrictions were used. Abstractswere identified in the literature search (n= 734) and were independently read and coded forinclusion or exclusion by two reviewers. When agreement was not reached; a third revieweracted as arbitrator. Abstracts were included if they presented data collected in the UnitedStates from 1987 to May 2007 and reported prevalence or correlation of tobacco use withsexual minority status. Studies reporting data from HIV-positive samples were excluded …,Tobacco Control,2009,230
Health Inequalities Among Sexual Minority Adults: Evidence from Ten US States; 2010,John R Blosnich; Grant W Farmer; Joseph GL Lee; Vincent Silenzio; Deborah J Bowen,Background Improving the health of lesbian; gay; and bisexual (LGB) individuals is aHealthy People 2020 goal; however; the IOM highlighted the paucity of information currentlyavailable about LGB populations. Purpose To compare health indicators by gender andsexual orientation statuses. Methods Data are from Behavioral Risk Factor SurveillanceSystem surveys conducted January− December of 2010 with population-based samples ofnon-institutionalized US adults aged over 18 years (N= 93;414) in ten states that askedabout respondents' sexual orientation (response rates= 41.1%− 65.6%). Analyses werestratified by gender and sexual orientation to compare indicators of mental health; physicalhealth; risk behaviors; preventive health behaviors; screening tests; health care utilization;and medical diagnoses. Analyses were conducted in March 2013. Results Overall; 2.4 …,American journal of preventive medicine,2014,107
A systematic review of the aetiology of tobacco disparities for sexual minorities,John Blosnich; Joseph GL Lee; Kimberly Horn,Objective To conduct a systematic review of the literature examining risk factors/correlates ofcigarette smoking among lesbian; gay and bisexual (ie; sexual minority) populations.Methods Sets of terms relevant to sexual minority populations and cigarette smoking wereused in a simultaneous search of 10 databases through EBSCOhost. The search was limitedto the peer-reviewed literature up to January 2011; using no geographic or language limits.For inclusion; the paper was required to:(1) have been written in English;(2) have sexualminorities (defined by either attraction; behaviour; or identity) included in the studypopulation and (3) have examined some form of magnitude of association for riskfactors/correlates of any definition of cigarette smoking. A total of 386 abstracts werereviewed independently; with 26 papers meeting all inclusion criteria. Abstracts were …,Tobacco Control,2013,101
A systematic review of neighborhood disparities in point-of-sale tobacco marketing,Joseph GL Lee; Lisa Henriksen; Shyanika W Rose; Sarah Moreland-Russell; Kurt M Ribisl,We systematically reviewed evidence of disparities in tobacco marketing at tobacco retailersby sociodemographic neighborhood characteristics. We identified 43 relevant articles from893 results of a systematic search in 10 databases updated May 28; 2014. We found 148associations of marketing (price; placement; promotion; or product availability) with aneighborhood demographic of interest (socioeconomic disadvantage; race; ethnicity; andurbanicity). Neighborhoods with lower income have more tobacco marketing. There is morementhol marketing targeting urban neighborhoods and neighborhoods with more Blackresidents. Smokeless tobacco products are targeted more toward rural neighborhoods andneighborhoods with more White residents. Differences in store type partially explain thesedisparities. There are more inducements to start and continue smoking in lower-income …,American journal of public health,2015,62
Physicians’ attitudes and use of e-cigarettes as cessation devices; North Carolina; 2013,Kelly L Kandra; Leah M Ranney; Joseph GL Lee; Adam O Goldstein,Introduction Electronic cigarettes (e-cigarettes) are not currently approved or recommendedby the Food and Drug Administration (FDA) or various medical organizations; yet; theyappear to play a substantial role in tobacco users' cessation attempts. This study reports ona physician survey that measured beliefs; attitudes; and behavior related to e-cigarettes andsmoking cessation. To our knowledge this is the first study to measure attitudes toward e-cigarettes among physicians treating adult smokers. Methods Using a direct marketingcompany; a random sample of 787 North Carolina physicians were contacted in 2013through email; with 413 opening the email and 128 responding (response rate= 31%).Physicians' attitudes towards e-cigarettes were measured through a series of close-endedquestions. Recommending e-cigarettes to patients served as the outcome variable for a …,PloS one,2014,55
“Real Men Don't”: Constructions of Masculinity and Inadvertent Harm in Public Health Interventions,Paul J Fleming; Joseph GL Lee; Shari L Dworkin,Research shows that constraining aspects of male gender norms negatively influence bothwomen's and men's health. Messaging that draws on norms of masculinity in healthprogramming has been shown to improve both women's and men's health; but some typesof public health messaging (eg; Man Up Monday; a media campaign to prevent the spreadof sexually transmitted infections) can reify harmful aspects of hegemonic masculinity thatprograms are working to change. We critically assess the deployment of hegemonic malenorms in the Man Up Monday campaign. We draw on ethical paradigms in public health tochallenge programs that reinforce harmful aspects of gender norms and suggest the use ofgender-transformative interventions that challenge constraining masculine norms and havebeen shown to have a positive effect on health behaviors.,American journal of public health,2014,54
Statewide diffusion of 100% tobacco-free college and university policies,Joseph GL Lee; Adam O Goldstein; Kathryn D Kramer; Julea Steiner; Mark M Ezzell; Vandana Shah,Objectives As smoking among college students reached new highs in the 1990s; mostinterventions for college student smoking prevention focused on individual studentknowledge; attitudes and beliefs. No published studies report on statewide movements toaccelerate the adoption of tobacco-free policies on college campuses. The results of the first4 years of the North Carolina Tobacco-Free Colleges Initiative are presented. Methods TheNorth Carolina Health and Wellness Trust Fund developed a multilevel intervention toaccelerate the diffusion of tobacco-free policies on college campuses; including fundingcampus coordinators and coalitions to tailor activities to the campus environment at 64colleges. Evaluators tracked process and policy outcomes as well as the diffusion of policyadoption from January 2006–December 2009. Results Prior to the initiative; only one …,Tobacco control,2010,49
Promotion of Tobacco Use Cessation for Lesbian; Gay; Bisexual; and Transgender People: A Systematic Review,Joseph GL Lee; Alicia K Matthews; Cramer A McCullen; Cathy L Melvin,Context Lesbian; gay; bisexual; and transgender (LGBT) people are at increased risk for theadverse effects of tobacco use; given their high prevalence of use; especially smoking.Evidence regarding cessation is limited. To determine if efficacious interventions areavailable and to aid the development of interventions; a systematic review was conducted ofgrey and peer-reviewed literature describing clinical; community; and policy interventions;as well as knowledge; attitudes; and behaviors regarding tobacco use cessation amongLGBT people. Evidence acquisition Eight databases for articles from 1987 to April 23; 2014;were searched. In February− November 2013; authors and researchers were contacted toidentify grey literature. Evidence synthesis The search identified 57 records; of which 51were included and 22 were from the grey literature; these were abstracted into evidence …,American Journal of Preventive Medicine,2014,36
Cigarette butts near building entrances: what is the impact of smoke-free college campus policies?,Joseph GL Lee; Leah M Ranney; Adam O Goldstein,Background Indoor and outdoor tobacco-free campus policies for schools; hospitals anduniversities are increasingly being adopted. Yet; little direct evidence exists on the impact oftobacco-free campuses on tobacco outcomes. Objectives To identify differences in cigarettessmoked at main campus building entrances by campus policy strength. MethodsResearchers collected cigarette butts (n= 3427) at main building entrances (n= 67) atbaseline and follow-up on 19 community college campuses stratified by strength of campusoutdoor tobacco policy (none; perimeter/designated area; 100% tobacco free). Outcomemeasures included the number of butts per day at building entrances averaged to create acampus score. Analysis of variance techniques examined differences in scores by thestrength of campuses9 outdoor tobacco policy. Results One hundred per cent tobacco …,Tobacco Control,2013,36
A systematic review of store audit methods for assessing tobacco marketing and products at the point of sale,Joseph GL Lee; Lisa Henriksen; Allison E Myers; Amanda L Dauphinee; Kurt M Ribisl,Objective Over four-fifths of reported expenditures for marketing tobacco products occur atthe retail point of sale (POS). To date; no systematic review has synthesised the methodsused for surveillance of POS marketing. This review sought to describe the audit objectives;methods and measures used to study retail tobacco environments. Methods Wesystematically searched 11 academic databases for papers indexed on or before 14 March2012; identifying 2906 papers. Two coders independently reviewed each abstract or full textto identify papers with the following criteria:(1) data collectors visited and assessed (2) retailenvironments using (3) a data collection instrument for (4) tobacco products or marketing.We excluded papers where limited measures of products and/or marketing were incidental.Two abstractors independently coded included papers for research aims; locale; methods …,Tobacco Control,2013,28
Barring intervention? Lesbian and gay bars as an underutilized venue for tobacco interventions,Katherine Leibel; Joseph GL Lee; Adam O Goldstein; Leah M Ranney,Abstract Introduction: Lesbian; gay; bisexual; and transgender (LGBT) communities are athigh risk for tobacco use. While LGBT communities have historically considered bars to besafe places to socialize and congregate; these spaces are often tobacco-friendlyenvironments and may have potential as sites for much needed intervention. Interventions inBars: Only a few public health interventions have attempted to work through bars and clubsto decrease tobacco use in the LGBT populations. Evidence from HIV prevention suggestssome potential interventions in bars; and the tobacco industry has worked extensively (andsuccessfully) to utilize bars in marketing efforts. Conclusions: Lesbian and gay bars areunderutilized in tobacco control; suggesting missed avenues for chronic disease preventionprograms. Researchers and communities should continue to recognize the importance of …,Nicotine & Tobacco Research,2011,28
