An intelligent query interface based on ontology navigation,Enrico Franconi; Paolo Guagliardo; Marco Trevisan,ABSTRACT In this paper we present a formal framework and an experimental softwaresupporting the user in the task of formulating a precise query–which best captures theirinformation needs–even in the case of complete ignorance of the vocabulary of theunderlying information system holding the data. Our intelligent interface is driven by meansof appropriate automated reasoning techniques over an ontology describing the domain ofthe data in the information system. We will define what a query is and how it is internallyrepresented; which operations are available to the user in order to modify the query and howcontextual feedback is provided about it presenting only relevant pieces of information. Wewill then describe the elements that constitute the query interface available to the user;providing visual access to the underlying reasoning services and operations for query …,Workshop on Visual Interfaces to the Social and Semantic Web; VISSW,2010,28
Quelo: an ontology-driven query interface,Enrico Franconi; Paolo Guagliardo; Sergio Tessaris; Marco Trevisan,Abstract. In this paper we present a formal framework and tool supporting the user in the taskof formulating a precise query–which best captures their information needs–even in the caseof complete ignorance of the vocabulary of the underlying information system holding thedata. Our intelligent interface is driven by means of appropriate automated reasoningtechniques over an ontology describing the domain of the data in the information system. Wewill define what a query is and how it is internally represented; which operations areavailable to the user in order to modify the query and how contextual feedback is providedabout it presenting only relevant pieces of information. We will then describe the elementsthat constitute the query interface available to the user; providing visual access to theunderlying reasoning services and operations for query manipulation. Lastly; we will …,Proceedings of the 24th International Workshop on Description Logics (DL 2011),2011,24
Quelo: a NL-based intelligent query interface,Enrico Franconi; Paolo Guagliardo; Marco Trevisan,*,*,*,14
Theoretical foundations of an ontology-based visual tool for query formulation support,Paolo Guagliardo,Abstract Recent research showed that adopting formal ontologies as a means for accessingheterogeneous data sources has many benefits; in that not only does it provide a uniformand flexible approach to integrating and describing such sources; but it can also support thefinal user in querying them; thus improving the usability of the integrated system. The QueryTool is an experimental software supporting the user in the task of formulating a precisequery–which best captures their information needs–even in the case of complete ignoranceof the vocabulary of the underlying information system holding the data. The intelligentinterface of the Query Tool is driven by means of appropriate automated reasoningtechniques over an ontology describing the domain of the data in the information system.Although an implementation does exist; there is no characterisation of the Query Tool …,KRDB Research Centre Technical Report No. KRDB09-5). Bozen; IT: Free University of Bozen-Bolzano,2009,13
Making SQL Queries Correct on Incomplete Databases: A Feasibility Study,Paolo Guagliardo; Leonid Libkin,Abstract Multiple issues with SQL's handling of nulls have been well documented. Havingefficiency as its key goal; evaluation of SQL queries disregards the standard notion ofcorrectness on incomplete databases-certain answers-due to its high complexity. As a result;it may produce answers that are just plain wrong. It was recently shown that SQL evaluationcan be modified; at least for first-order queries; to return only correct answers. But whilethese modifications came with good theoretical complexity bounds; they have not beentested in practice. The goals of this proof-of-concept paper are to understand whether wronganswers can be produced by SQL queries in real-world scenarios; and whether proposedtechniques for avoiding them can be made practically feasible. We use the TPC-Hbenchmark; and show that for some typical queries involving negation; wrong answers …,PODS '16: Proceedings of the 35th ACM SIGMOD-SIGACT-SIGAI Symposium on Principles of Database Systems,2016,11
On the Translatability of View Updates,Enrico Franconi; Paolo Guagliardo,Page 1. On the translatability of view updates Enrico Franconi and Paolo Guagliardo KRDBResearch Centre Free University of Bozen-Bolzano 29 June 2012 AMW 2012; Ouro Preto (Brazil)KRDB Research Centre for Knowledge and Data Page 2. Overview view definitions Page 3.Overview view definitions view update Page 4. Overview view definitions view update databaseupdate Page 5. Overview view definitions view update database update view definitions Page6. Example 1 Unexpected changes on the view Motivating example EMP DEP MGR AustenFinance Locke V = E >< D EMP DEP Austen Finance Hume Personnel DEP MGR Finance LockeE D Page 7. Example 1 Unexpected changes on the view Motivating example EMP DEP MGRAusten Finance Locke V = E >< D EMP DEP Austen Finance Hume Personnel DEP MGR FinanceLocke E D Ford Personnel Reyes Page 8. Example 1 …,6th Alberto Mendelzon International Workshop on Foundations of Data Management (AMW 2012),2012,11
The view update problem revisited,Enrico Franconi; Paolo Guagliardo,Abstract: In this paper; we revisit the view update problem in a relational setting and proposea framework based on the notion of determinacy under constraints. Within such a framework;we characterise when a view mapping is invertible; establishing that this is the caseprecisely when each database symbol has an exact rewriting in terms of the view symbolsunder the given constraints; and we provide a general effective criterion to understandwhether the changes introduced by a view update can be propagated to the underlyingdatabase relations in a unique and unambiguous way. Afterwards; we show howdeterminacy under constraints can be checked; and rewritings effectively found; in threedifferent relevant scenarios in the absence of view constraints. First; we settle the long-standing open issue of how to solve the view update problem in a multi-relational …,arXiv preprint arXiv:1211.3016,2012,8
Effectively Updatable Conjunctive Views,Enrico Franconi; Paolo Guagliardo,Page 1. Effectively Updatable Conjunctive Views Enrico Franconi and Paolo Guagliardo KRDBResearch Centre Free University of Bozen-Bolzano 22nd May 2013 AMW 2013; Puebla (Mexico)KRDB Research Centre for Knowledge and Data Page 2. The View Update Problem viewdefinitions 1 / 13 Page 3. The View Update Problem view definitions view update 1 / 13 Page 4.The View Update Problem view definitions view update database update 1 / 13 Page 5. The ViewUpdate Problem view definitions view update database update view definitions 1 / 13 Page 6.Outiline 1. The View Update Problem 2. Solution for CQ-Views 3. Previous and Future Work 2 /13 Page 7. The View Update Problem R database schema (finite set of relation symbols) V viewschema disjoint with R 3 / 13 Page 8. The View Update Problem R database schema (finite setof relation symbols) V view schema disjoint with R R V IR IV f …,AMW,2013,6
A natural language ontology-driven query interface,Enrico Franconi; Paolo Guagliardo; Sergio Tessaris; Marco Trevisan,Recent research showed that adopting formal ontologies as a means for accessingheterogeneous data sources has many benefits; in that not only does it provide a uniformand flexible approach to integrating and describing such sources; but it can also support thefinal user in querying them; thus improving the usability of the integrated system. Weintroduce a framework that enables access to heterogeneous data sources by means of aconceptual schema and supports the users in the task of formulating a precise query over it.In describing a specific domain; the ontology defines a vocabulary which is often richer thanthe logical schema of the underlying data and usually closer to the user's own vocabulary.The ontology can thus be effectively exploited by the user in order to formulate a query thatbest captures their information need. The user is constantly guided and assisted in this …,9th International Conference on Terminology and Artificial Intelligence,2011,5
Lossless horizontal decomposition with domain constraints on interpreted attributes,Ingo Feinerer; Enrico Franconi; Paolo Guagliardo,Abstract Horizontal decomposition is the process of splitting a relation into sub-relations;called fragments; each containing a subset of the rows of the original relation. In this paper;we consider horizontal decomposition in a setting where some of the attributes in thedatabase schema are interpreted over a specific domain; on which a set of specialpredicates and functions is defined. We study the losslessness of horizontal decomposition;that is; whether the original relation can be reconstructed from the fragments by union; in thepresence of integrity constraints on the database schema. We introduce the new class ofconditional domain constraints (CDCs); restricting the values the interpreted attributes maytake whenever a certain condition holds on the non-interpreted ones; and investigatelossless horizontal decomposition under CDCs in isolation; as well as in combination with …,British National Conference on Databases,2013,4
