Nearest neighbor retrieval using distance-based hashing,Vassilis Athitsos; Michalis Potamias; Panagiotis Papapetrou; George Kollios,A method is proposed for indexing spaces with arbitrary distance measures; so as toachieve efficient approximate nearest neighbor retrieval. Hashing methods; such as LocalitySensitive Hashing (LSH); have been successfully applied for similarity indexing in vectorspaces and string spaces under the Hamming distance. The key novelty of the hashingtechnique proposed here is that it can be applied to spaces with arbitrary distancemeasures; including non-metric distance measures. First; we describe a domain-independent method for constructing a family of binary hash functions. Then; we use thesefunctions to construct multiple multibit hash tables. We show that the LSH formalism is notapplicable for analyzing the behavior of these tables as index structures. We present a novelformulation; that uses statistical observations from sample data to analyze retrieval …,Data Engineering; 2008. ICDE 2008. IEEE 24th International Conference on,2008,106
Discovering frequent arrangements of temporal intervals,Panagiotis Papapetrou; George Kollios; Stan Sclaroff; Dimitrios Gunopulos,In this paper we study a new problem in temporal pattern mining: discovering frequentarrangements of temporal intervals. We assume that the database consists of sequences ofevents; where an event occurs during a time-interval. The goal is to mine arrangements ofevent intervals that appear frequently in the database. There are many applications wherethese type of patterns can be useful; including data network; scientific; and financialapplications. Efficient methods to find frequent arrangements of temporal intervals usingboth breadth first and depth first search techniques are described. The performance of theproposed algorithms is evaluated and compared with other approaches on real datasets(American sign language streams and network data) and large synthetic datasets.,Data Mining; Fifth IEEE International Conference on,2005,97
Approximate embedding-based subsequence matching of time series,Vassilis Athitsos; Panagiotis Papapetrou; Michalis Potamias; George Kollios; Dimitrios Gunopulos,Abstract A method for approximate subsequence matching is introduced; that significantlyimproves the efficiency of subsequence matching in large time series data sets under thedynamic time warping (DTW) distance measure. Our method is called EBSM; shorthand forEmbedding-Based Subsequence Matching. The key idea is to convert subsequencematching to vector matching using an embedding. This embedding maps each databasetime series into a sequence of vectors; so that every step of every time series in the databaseis mapped to a vector. The embedding is computed by applying full dynamic time warpingbetween reference objects and each database time series. At runtime; given a query object;an embedding of that object is computed in the same manner; by running dynamic timewarping between the reference objects and the query. Comparing the embedding of the …,Proceedings of the 2008 ACM SIGMOD international conference on Management of data,2008,74
Mining frequent arrangements of temporal intervals,Panagiotis Papapetrou; George Kollios; Stan Sclaroff; Dimitrios Gunopulos,Abstract The problem of discovering frequent arrangements of temporal intervals is studied.It is assumed that the database consists of sequences of events; where an event occursduring a time-interval. The goal is to mine temporal arrangements of event intervals thatappear frequently in the database. The motivation of this work is the observation that inpractice most events are not instantaneous but occur over a period of time and differentevents may occur concurrently. Thus; there are many practical applications that requiremining such temporal correlations between intervals including the linguistic analysis ofannotated data from American Sign Language as well as network and biological data. Threeefficient methods to find frequent arrangements of temporal intervals are described; the firsttwo are tree-based and use breadth and depth first search to mine the set of frequent …,Knowledge and Information Systems,2009,68
Embedding-based subsequence matching in time-series databases,Panagiotis Papapetrou; Vassilis Athitsos; Michalis Potamias; George Kollios; Dimitrios Gunopulos,Abstract We propose an embedding-based framework for subsequence matching in time-series databases that improves the efficiency of processing subsequence matching queriesunder the Dynamic Time Warping (DTW) distance measure. This framework partiallyreduces subsequence matching to vector matching; using an embedding that maps eachquery sequence to a vector and each database time series into a sequence of vectors. Thedatabase embedding is computed offline; as a preprocessing step. At runtime; given a queryobject; an embedding of that object is computed online. Relatively few areas of interest areefficiently identified in the database sequences by comparing the embedding of the querywith the database vectors. Those areas of interest are then fully explored using the exactDTW-based subsequence matching algorithm. We apply the proposed framework to …,ACM Transactions on Database Systems (TODS),2011,63
Significance testing of word frequencies in corpora,Jefrey Lijffijt; Terttu Nevalainen; Tanja Säily; Panagiotis Papapetrou; Kai Puolamäki; Heikki Mannila,Abstract Finding out whether a word occurs significantly more often in one text or corpusthan in another is an important question in analysing corpora. As noted by Kilgarriff(Language is never; ever; ever; random; Corpus Linguistics and Linguistic Theory; 2005; 1(2): 263–76.); the use of the χ 2 and log-likelihood ratio tests is problematic in this context; asthey are based on the assumption that all samples are statistically independent of eachother. However; words within a text are not independent. As pointed out in Kilgarriff(Comparing corpora; International Journal of Corpus Linguistics; 2001; 6 (1): 1–37) andPaquot and Bestgen (Distinctive words in academic writing: a comparison of three statisticaltests for keyword extraction. In Jucker; A.; Schreier; D.; and Hundt; M.(eds); Corpora:Pragmatics and Discourse. Amsterdam: Rodopi; 2009; pp. 247–69); it is possible to …,Literary and Linguistic Computing,2016,32
A statistical significance testing approach to mining the most informative set of patterns,Jefrey Lijffijt; Panagiotis Papapetrou; Kai Puolamäki,Abstract Hypothesis testing using constrained null models can be used to compute thesignificance of data mining results given what is already known about the data. We study thenovel problem of finding the smallest set of patterns that explains most about the data interms of a global p value. The resulting set of patterns; such as frequent patterns orclusterings; is the smallest set that statistically explains the data. We show that the newlyformulated problem is; in its general form; NP-hard and there exists no efficient algorithmwith finite approximation ratio. However; we show that in a special case a solution can becomputed efficiently with a provable approximation ratio. We find that a greedy algorithmgives good results on real data and that; using our approach; we can formulate and solvemany known data-mining tasks. We demonstrate our method on several data mining …,Data Mining and Knowledge Discovery,2014,31
Reference-based alignment in large sequence databases,Panagiotis Papapetrou; Vassilis Athitsos; George Kollios; Dimitrios Gunopulos,Abstract This paper introduces a novel method; called Reference-Based String Alignment(RBSA); that speeds up retrieval of optimal subsequence matches in large databases ofsequences under the edit distance and the Smith-Waterman similarity measure. RBSAoperates using the assumption that the optimal match deviates by a relatively small amountfrom the query; an amount that does not exceed a prespecified fraction of the query length.RBSA has an exact version that guarantees no false dismissals and can handle largequeries efficiently. An approximate version of RBSA is also described; that achievessignificant additional improvements over the exact version; with negligible losses in retrievalaccuracy. RBSA performs filtering of candidate matches using precomputed alignmentscores between the database sequence and a set of fixed-length reference sequences. At …,Proceedings of the VLDB Endowment,2009,26
A survey of query-by-humming similarity methods,Alexios Kotsifakos; Panagiotis Papapetrou; Jaakko Hollmén; Dimitrios Gunopulos; Vassilis Athitsos,Abstract Performing similarity search in large databases is a problem of particular interest inmany communities; such as music; database; and data mining. Although several solutionshave been proposed in the literature that perform well in many application domains; there isno best method to solve this kind of problem in a Query-By-Humming (QBH) application. InQBH the goal is to find the song (s) most similar to a hummed query in an efficient manner. Inthis paper; we focus on providing a brief overview of the representations to encode musicpieces; and also on the methods that have been proposed for QBH or other similarly definedproblems.,Proceedings of the 5th International Conference on PErvasive Technologies Related to Assistive Environments,2012,23
A subsequence matching with gaps-range-tolerances framework: a query-by-humming application,Alexios Kotsifakos; Panagiotis Papapetrou; Jaakko Hollmén; Dimitrios Gunopulos,ABSTRACT We propose a novel subsequence matching framework that allows for gaps inboth the query and target sequences; variable matching tolerance levels efficiently tuned foreach query and target sequence; and also constrains the maximum match length. Using thisframework; a space and time efficient dynamic programming method is developed: given ashort query sequence and a large database; our method identifies the subsequence of thedatabase that best matches the query; and further bounds the number of consecutive gapsin both sequences. In addition; it allows the user to constrain the minimum number ofmatching elements between a query and a database sequence. We show that the proposedmethod is highly applicable to music retrieval. Music pieces are represented by 2-dimensional time series; where each dimension holds information about the pitch and …,Proceedings of the VLDB Endowment,2011,21
