Accelerating XPath location steps,Torsten Grust,Abstract This work is a proposal for a database index structure that has been specificallydesigned to support the evaluation of XPath queries. As such; the index is capable tosupport all XPath axes (including ancestor; following; preceding-sibling; descendant-or-self;etc.). This feature lets the index stand out among related work on XML indexing structureswhich had a focus on regular path expressions (which correspond to the XPath axeschildren and descendant-or-self plus name tests). Its ability to start traversals from arbitrarycontext nodes in an XML document additionally enables the index to support the evaluationof path traversals embedded in XQuery expressions. Despite its flexibility; the new index canbe implemented and queried using purely relational techniques; but it performs especiallywell if the underlying database host provides support for R-trees. A performance …,Proceedings of the 2002 ACM SIGMOD international conference on Management of data,2002,638
MonetDB/XQuery: a fast XQuery processor powered by a relational engine,Peter Boncz; Torsten Grust; Maurice Van Keulen; Stefan Manegold; Jan Rittinger; Jens Teubner,Abstract Relational XQuery systems try to re-use mature relational data managementinfrastructures to create fast and scalable XML database technology. This paper describesthe main features; key contributions; and lessons learned while implementing such asystem. Its architecture consists of (i) a range-based encoding of XML documents intorelational tables;(ii) a compilation technique that translates XQuery into a basic relationalalgebra;(iii) a restricted (order) property-aware peephole relational query optimizationstrategy; and (iv) a mapping from XML update statements into relational updates. Thus; thissystem implements all essential XML database functionalities (rather than a single feature)such that we can learn from the full consequences of our architectural decisions. Whileimplementing this system; we had to extend the state-of-the-art with a number of new …,Proceedings of the 2006 ACM SIGMOD international conference on Management of data,2006,360
Multi-tenant databases for software as a service: schema-mapping techniques,Stefan Aulbach; Torsten Grust; Dean Jacobs; Alfons Kemper; Jan Rittinger,Abstract In the implementation of hosted business services; multiple tenants are oftenconsolidated into the same database to reduce total cost of ownership. Common practice isto map multiple single-tenant logical schemas in the application to one multi-tenant physicalschema in the database. Such mappings are challenging to create because enterpriseapplications allow tenants to extend the base schema; eg; for vertical industries orgeographic regions. Assuming the workload stays within bounds; the fundamental limitationon scalability for this approach is the number of tables the database can handle. To get goodconsolidation; certain tables must be shared among tenants and certain tables must bemapped into fixed generic structures such as Universal and Pivot Tables; which candegrade performance. This paper describes a new schema-mapping technique for multi …,Proceedings of the 2008 ACM SIGMOD international conference on Management of data,2008,331
Staircase join: Teach a relational DBMS to watch its (axis) steps,Torsten Grust; Maurice van Keulen; Jens Teubner,Abstract Relational query processors derive much of their effectiveness from the awarenessof specific table properties like sort order; size; or absence of duplicate tuples. This textapplies (and adapts) this successful principle to database-supported XML and XPathprocessing: the relational system is made tree aware; ie; tree properties like subtree size;intersection of paths; inclusion or disjointness of subtrees are made explicit. We propose alocal change to the database kernel; the staircase join; which encapsulates the necessarytree knowledge needed to improve XPath performance. Staircase join operates on an XMLencoding which makes this knowledge available at the cost of simple integer operations(eg;+;≤). We finally report on quite promising experiments with a staircase join enhancedmain-memory database kernel.,Proceedings of the 29th international conference on Very large data bases-Volume 29,2003,224
Accelerating XPath evaluation in any RDBMS,Torsten Grust; Maurice Van Keulen; Jens Teubner,Abstract This article is a proposal for a database index structure; the XPath accelerator; thathas been specifically designed to support the evaluation of XPath path expressions. Assuch; the index is capable to support all XPath axes (including ancestor; following;preceding-sibling; descendant-or-self; etc.). This feature lets the index stand out amongrelated work on XML indexing structures which had a focus on the child and descendantaxes only. The index has been designed with a close eye on the XPath semantics as well asthe desire to engineer its internals so that it can be supported well by existing relationaldatabase query processing technology: the index (a) permits set-oriented (or; rather;sequence-oriented) path evaluation; and (b) can be implemented and queried using well-established relational index structures; notably B-trees and R-trees. We discuss the …,ACM Transactions on Database Systems (TODS),2004,200
XQuery on SQL hosts,Torsten Grust; Sherif Sakr; Jens Teubner,Abstract Relational database systems may be turned into efficient XML and XPathprocessors if the system is provided with a suitable relational tree encoding. This paperextends this relational XML processing stack and shows that an RDBMS can also serve as ahighly efficient XQuery runtime environment. Our approach is purely relational: XQueryexpressions are compiled into SQL code which operates on the tree encoding. The core ofthe compilation procedure trades XQuery's notions of variable scopes and nested iteration(FLWOR blocks) for equi-joins. The resulting relational XQuery processor closely adheres tothe language semantics; eg; it obeys node identity as well as document and sequenceorder; and can support XQuery's full axis feature. The system exhibits quite promisingperformance figures in experiments. Somewhat unexpectedly; we will also see that the …,Proceedings of the Thirtieth international conference on Very large data bases-Volume 30,2004,170
FERRY: database-supported program execution,Torsten Grust; Manuel Mayr; Jan Rittinger; Tom Schreiber,Abstract We demonstrate the language F erry and its editing; compilation; and executionenvironment F erry D eck. Ferry's type system and operations match those of scripting orprogramming languages; its compiler has been designed to emit (bundles of) compliant andefficient SQL: 1999 statements. Ferry acts as glue that permits a programming style in whichdevelopers access database tables using their programming language's own syntax andidioms--the Ferry-expressible fragments of such programs may be executed by a relationaldatabase back-end; ie; close to the data. The demonstrator F erry D eck implements compile-and-execute-as-you-type interactivity for F erry and offers a variety of (graphical) hooks toexplore and inspect this approach to database-supported program execution.,Proceedings of the 2009 ACM SIGMOD International Conference on Management of data,2009,80
Incremental updates for materialized OQL views,Dieter Gluche; Torsten Grust; Christof Mainberger; Marc H Scholl,Abstract This work discusses the CROQUE approach to the maintenance problem formaterialized views. In a CROQUE database; application-specified collections (type extentsor classes) themselves need not be materialized. In exchange; the system maintains(redundant) views of the application data that help to minimize query response time. Weunderstand views as functions of database objects and examine algebraic properties ofthese functions; in particular linearity; to derive incremental update plans. It turns out that it isfeasible to employ ODMG OQL as a view definition language—instead of inventing aspecialized one—in such an environment; since the majority of its clauses represent linearfunctions.,International Conference on Deductive and Object-Oriented Databases,1997,72
Why off-the-shelf RDBMSs are better at XPath than you might expect,Torsten Grust; Jan Rittinger; Jens Teubner,Abstract To compensate for the inherent impedance mismatch between the relational datamodel (tables of tuples) and XML (ordered; unranked trees); tree join algorithms havebecome the prevalent means to process XML data in relational databases; most notably theTwigStack [6]; structural join [1]; and staircase join [13] algorithms. However; the addition ofthese algorithms to existing systems depends on a significant invasion of the underlyingdatabase kernel; an option intolerable for most database vendors. Here; we demonstratethat we can achieve comparable XPath performance without touching the heart of thesystem. We carefully exploit existing database functionality and accelerate XPath navigationby purely relational means: partitioned B-trees bring access costs to secondary storage to aminimum; while aggregation functions avoid an expensive computation and removal of …,Proceedings of the 2007 ACM SIGMOD international conference on Management of data,2007,67
Pathfinder: XQuery---the relational way,Peter Boncz; Torsten Grust; Maurice van Keulen; Stefan Manegold; Jan Rittinger; Jens Teubner,Abstract Relational query processors are probably the best understood (as well as the bestengineered) query engines available today. Although carefully tuned to process instances ofthe relational model (tables of tuples); these processors can also provide a foundation forthe evaluation of" alien"(non-relational) query languages: if a relational encoding of the aliendata model and its associated query language is given; the RDBMS may act like a special-purpose processor for the new language.,Proceedings of the 31st international conference on Very large data bases,2005,57
Relational Algebra: Mother Tongue: XQuery: Fluent,Torsten Grust; Jens Teubner,This work may be seen as a further proof of the versatility of the relational database model.Here; we add XQuery to the catalog of languages which RDBMSs are able to" speak"fluently. Given suitable relational encodings of sequences and ordered; unranked trees-thetwo data structures that form the backbone of the XML and XQuery data models-we describea compiler that translates XQuery expressions into a simple and quite standard relationalalgebra which we expect to be efficiently implementable on top of any relational queryengine. The compilation procedure is fully compositional and emits algebraic code thatstrictly adheres to the XQuery language semantics: document and sequence order as wellas node identity are obeyed. We exercise special care in translating arbitrarily nestedXQuery FLWOR iteration constructs into equi-joins; an operation which RDBMSs can …,Twente Data Management Workshop on XML Databases,2004,47
