Probabilistic seismic response analysis of a 3-D reinforced concrete building,Marco Faggella; Andre R Barbosa; Joel P Conte; Enrico Spacone; Jose I Restrepo,Abstract This paper presents the probabilistic seismic demand analysis with respect toseismic input uncertainty only of a 3-D reinforced concrete building model subjected to three-component earthquake ground motion excitation. Response history analyses are carried outon a nonlinear frame model. Probability distributions are assumed for the ground motionIntensity Measure (IM) taken as the linear 5% damped elastic spectral acceleration at thefundamental period of the structure. Part of the framework of the so-called PerformanceBased Earthquake Engineering (PBEE) methodology developed by the Pacific EarthquakeEngineering Research (PEER) Center is used in this study. This paper has two mainobjectives. The first objective is to perform a probabilistic demand analysis of an existingbuilding conditional on the ground motion IM. The second objective is to use the results …,Structural Safety,2013,30
Tsunami loadings on structures: Review and analysis,Harry Yeh; Andre R Barbosa; Harrison Ko; Jessica G Cawley,Abstract The 2011 Great East Japan Tsunami has altered our traditional concepts forestimating loadings on structures. Prior to this event; we generally understood thatreinforced concrete structures–those often used for critical coastal facilities–could withstandtsunami actions. This is no longer the case. Many concrete buildings and coastal protectivestructures (seawalls; coastal dykes and the like) failed due to the 2011 Tsunami. In thispaper; the existing design guidelines are reviewed. We point out that some of the force-estimation methods recommended in the guidelines are rational; while others are not. Thenwe introduce a methodology to evaluate building's global stability emphasizing the effect ofbuoyant force. Buoyancy reduces the net structural body force; thereby reducing therestoring forces to resist sliding and overturning failures. Buoyancy force is an upward …,Coastal Engineering Proceedings,2014,24
Deterioration modeling of steel moment resisting frames using finite-length plastic hinge force-based beam-column elements,Filipe LA Ribeiro; Andre R Barbosa; Michael H Scott; Luis C Neves,Abstract The use of empirically calibrated moment-rotation models that account for strengthand stiffness deterioration of steel frame members is paramount in evaluating theperformance of steel structures prone to collapse under seismic loading. These deteriorationmodels are typically used as zero-length springs in a concentrated plasticity formulation;however; a calibration procedure is required when they are used to represent the moment-curvature (M− χ) behavior in distributed plasticity formulations because the resulting moment-rotation (M− θ) response depends on the element integration method. A plastic hingeintegration method for using deterioration models in force-based elements is developed andvalidated using flexural stiffness modifications parameters to recover the exact solution forlinear problems while ensuring objective softening response. To guarantee accurate …,Journal of Structural Engineering,2014,21
Uncertainty analysis of system identification results obtained for a seven‐story building slice tested on the UCSD‐NEES shake table,Babak Moaveni; Andre R Barbosa; Joel P Conte; François M Hemez,ABSTRACT A full-scale seven-story reinforced concrete building section/slice was tested onthe Network for Earthquake Engineering Simulation (NEES) shake table at the University ofCalifornia San Diego during the period of October 2005 to January 2006. Three output-onlysystem identification methods were used to extract the modal parameters (naturalfrequencies; damping ratios; and mode shapes) of the test structure at different damagestates. In this study; the performance of these system identification methods is investigated intwo cases:(Case I) when these methods are applied to the measured dynamic response ofthe structure and (Case II) when these methods are applied to the dynamic response of thestructure simulated using a three-dimensional nonlinear finite element model thereof. In bothcases; the uncertainty/variability of the identified modal parameters due to the variability …,Structural Control and Health Monitoring,2014,21
Application of reliability-based robustness assessment of steel moment resisting frame structures under post-mainshock cascading events,Filipe LA Ribeiro; André R Barbosa; Luís C Neves,Abstract This paper proposes a reliability-based framework for quantifying structuralrobustness considering the occurrence of a major earthquake (mainshock) and subsequentcascading hazard events; such as aftershocks that are triggered by the mainshock. Theseevents can significantly increase the probability of failure of buildings; especially forstructures that are damaged during the mainshock. The application of the proposedframework is exemplified through three numerical case studies. The case studiescorrespond to three SAC steel moment frame buildings of three; nine; and 20 stories; whichwere designed to pre-Northridge codes and standards. Two-dimensional nonlinear finite-element models of the buildings are developed with the Open System for EarthquakeEngineering Simulation framework (OpenSees); using a finite length plastic hinge beam …,Journal of Structural Engineering,2014,21
Uncertainty analysis of modal parameters obtained from three system identification methods,Babak Moaveni; Andre R Barbosa; Joel P Conte; François M Hemez,*,Proceedings of International Conference on Modal Analysis (IMAC-XXV),2007,20
Implementation of an hybrid-mixed stress model based on the use of wavelets,LM Santos Castro; AR Barbosa,Abstract This paper illustrates the use of wavelets defined on the interval as approximationfunctions in hybrid-mixed stress finite element models applied to the solution of linear elasticplate stretching and plate bending problems. Special attention is given to the algorithms andtechniques involved in the generation and manipulation of such functions. A set of numericalexamples is presented to illustrate the use of the hybrid-mixed model.,Computers & structures,2006,18
Simplified vector-valued probabilistic seismic hazard analysis and probabilistic seismic demand analysis: Application to the 13-story NEHRP reinforced concrete fra...,André R Barbosa,Abstract A comprehensive and rigorous probabilistic methodology for performance-basedearthquake engineering (PBEE) has been under development under the auspice of thePacific Earthquake Engineering Research (PEER) Center over the past thirteen years. Theprobabilistic estimation of the seismic demand is an important part of the PBEE methodologyand consists of a two-step procedure: probabilistic seismic hazard analysis (PSHA); andprobabilistic seismic demand analysis (PSDA). Two shortcomings are identified in pastapplications of the PBEE methodology:(i) the use of a single; or scalar; ground motionintensity measure (IM) which is typically taken as the 5% damped linear spectralacceleration; S a (T 1); at the fundamental period of the structure; and (ii) the use of testbedapplications based on two-dimensional (2-D) finite element (FE) models (eg; 2-D frame …,*,2011,16
Viability of hybrid poplar in ANSI approved cross-laminated timber applications,Anthonie Kramer; Andre R Barbosa; Arijit Sinha,Abstract The development of cross-laminated timber (CLT) technology has opened up newopportunities for low-density hardwood species; which have traditionally not been rated asconstruction-grade materials for structural engineering applications. Several characteristicsof CLT; namely thermal performance; seismic behavior; and speed of construction; haveraised interest among designers. The CLT technology has recently been used for residentialand nonresidential multistory buildings and it has been identified as one of the ways ofachieving tall timber building construction. As CLT gains acceptance in the industry; low-density wood species; not specified in current ANSI standards; need to be investigated forpotentially successful use in CLT panels. This paper presents a study that demonstrates theviability of a Forest Stewardship Council (FSC) certified sustainable plantation grown low …,Journal of Materials in Civil Engineering,2013,14
Seismic Assessment of R/C Building Structure through Nonlinear Probabilistic Analysis with High‐performance Computing,M Faggella; A Barbosa; JP Conte; E Spacone; JI Restrepo,This paper presents a probabilistic seismic demand analysis of a three dimensional R/Cbuilding model subjected to tri‐axial earthquake excitation. Realistic probability distributionsare assumed for the main structural and material properties and for the ground motionIntensity Measure (IM) Sa (T 1. Natural ground motions are used in the analyses to representthe inherent randomness in the earthquake ground motion time histories. Monte Carlosimulations are performed to account for the record‐to‐record variability and Tornadodiagrams are used to represent the uncertainty induced in the response by the basicuncertainties in the structural properties. In order to perform a probabilistic study on three‐dimensional engineering demand parameters (EDPs); a large number of ensemble timehistory analyses were carried out using the TeraGrid high‐performance computing …,AIP conference proceedings,2008,13
Reconnaissance report on the 2015 Gorkha earthquake effects in Nepal,Giuseppe Brando; Davide Rapone; Enrico Spacone; Andre Barbosa; Michael Olsen; Dan Gillins; Rajendra Soti; Humberto Varum; António Arêde; Nelson Vila-Pouca; André Furtado; João Oliveira; Hugo Rodrigues; Andreas Stavridis; Supratik Bose; M Fagella; Rosario Gigliotti; R Wood,*,XVI Congegno ANIDIS; L’AQUILA,2015,10
