Selecting stars: The k most representative skyline operator,Xuemin Lin; Yidong Yuan; Qing Zhang; Ying Zhang,Skyline computation has many applications including multi-criteria decision making. In thispaper; we study the problem of selecting k skyline points so that the number of points; whichare dominated by at least one of these k skyline points; is maximized. We first present anefficient dynamic programming based exact algorithm in a 2d-space. Then; we show that theproblem is NP-hard when the dimensionality is 3 or more and it can be approximately solvedby a polynomial time algorithm with the guaranteed approximation ratio 1-1/e. To speed-upthe computation; an efficient; scalable; index-based randomized algorithm is developed byapplying the FM probabilistic counting technique. A comprehensive performance evaluationdemonstrates that our randomized technique is very efficient; highly accurate; and scalable.,Data Engineering; 2007. ICDE 2007. IEEE 23rd International Conference on,2007,333
Taming verification hardness: an efficient algorithm for testing subgraph isomorphism,Haichuan Shang; Ying Zhang; Xuemin Lin; Jeffrey Xu Yu,Abstract Graphs are widely used to model complicated data semantics in many applications.In this paper; we aim to develop efficient techniques to retrieve graphs; containing a givenquery graph; from a large set of graphs. Considering the problem of testing subgraphisomorphism is generally NP-hard; most of the existing techniques are based on theframework of filtering-and-verification to reduce the precise computation costs; consequentlyvarious novel feature-based indexes have been developed. While the existing techniqueswork well for small query graphs; the verification phase becomes a bottleneck when thequery graph size increases. Motivated by this; in the paper we firstly propose a novel andefficient algorithm for testing subgraph isomorphism; QuickSI. Secondly; we develop a newfeature-based index technique to accommodate QuickSI in the filtering phase. Our …,Proceedings of the VLDB Endowment,2008,232
Probabilistic skyline operator over sliding windows,Wenjie Zhang; Xuemin Lin; Ying Zhang; Wei Wang; Jeffrey Xu Yu,Skyline computation has many applications including multi-criteria decision making. In thispaper; we study the problem of efficient processing of continuous skyline queries oversliding windows on uncertain data elements regarding given probability thresholds. We firstcharacterize what kind of elements we need to keep in our query computation. Then weshow the size of dynamically maintained candidate set and the size of skyline. We developnovel; efficient techniques to process a continuous; probabilistic skyline query. Finally; weextend our techniques to the applications where multiple probability thresholds are given orwe want to retrieve" top-k" skyline data objects. Our extensive experiments demonstrate thatthe proposed techniques are very efficient and handle a high-speed data stream in real time.,Data Engineering; 2009. ICDE'09. IEEE 25th International Conference on,2009,130
Influence zone: Efficiently processing reverse k nearest neighbors queries,Muhammad Aamir Cheema; Xuemin Lin; Wenjie Zhang; Ying Zhang,Given a set of objects and a query q; a point p is called the reverse k nearest neighbor(RkNN) of q if q is one of the k closest objects of p. In this paper; we introduce the concept ofinfluence zone which is the area such that every point inside this area is the RkNN of q andevery point outside this area is not the RkNN. The influence zone has several applications inlocation based services; marketing and decision support systems. It can also be used toefficiently process RkNN queries. First; we present efficient algorithm to compute theinfluence zone. Then; based on the influence zone; we present efficient algorithms toprocess RkNN queries that significantly outperform existing best known techniques for boththe snapshot and continuous RkNN queries. We also present a detailed theoretical analysisto analyse the area of the influence zone and IO costs of our RkNN processing algorithms …,Data Engineering (ICDE); 2011 IEEE 27th International Conference on,2011,83
Continuous reverse k nearest neighbors queries in Euclidean space and in spatial networks,Muhammad Aamir Cheema; Wenjie Zhang; Xuemin Lin; Ying Zhang; Xuefei Li,Abstract In this paper; we study the problem of continuous monitoring of reverse k nearestneighbors queries in Euclidean space as well as in spatial networks. Existing techniques aresensitive toward objects and queries movement. For example; the results of a query are tobe recomputed whenever the query changes its location. We present a framework forcontinuous reverse k nearest neighbor (RkNN) queries by assigning each object and querywith a safe region such that the expensive recomputation is not required as long as thequery and objects remain in their respective safe regions. This significantly improves thecomputation cost. As a byproduct; our framework also reduces the communication cost inclient---server architectures because an object does not report its location to the serverunless it leaves its safe region or the server sends a location update request. We also …,The VLDB Journal,2011,76
Inverted linear quadtree: Efficient top k spatial keyword search,Chengyuan Zhang; Ying Zhang; Wenjie Zhang; Xuemin Lin,With advances in geo-positioning technologies and geo-location services; there are arapidly growing amount of spatio-textual objects collected in many applications such aslocation based services and social networks; in which an object is described by its spatiallocation and a set of keywords (terms). Consequently; the study of spatial keyword searchwhich explores both location and textual description of the objects has attracted greatattention from the commercial organizations and research communities. In the paper; westudy two fundamental problems in the spatial keyword queries: top k spatial keywordsearch (TOPK-SK); and batch top k spatial keyword search (BTOPK-SK). Given a set ofspatio-textual objects; a query location and a set of query keywords; the TOPK-SK retrievesthe closest k objects each of which contains all keywords in the query. BTOPK-SK is the …,IEEE Transactions on Knowledge and Data Engineering,2016,66
Inverted Linear Quadtree: Efficient Top K Spatial Keyword Search,Chengyuan Zhang; Ying Zhang; Wenjie Zhang; Xuemin Lin,With advances in geo-positioning technologies and geo-location services; there are arapidly growing amount of spatio-textual objects collected in many applications such aslocation based services and social networks; in which an object is described by its spatiallocation and a set of keywords (terms). Consequently; the study of spatial keyword searchwhich explores both location and textual description of the objects has attracted greatattention from the commercial organizations and research communities. In the paper; westudy two fundamental problems in the spatial keyword queries: top k spatial keywordsearch (TOPK-SK); and batch top k spatial keyword search (BTOPK-SK). Given a set ofspatio-textual objects; a query location and a set of query keywords; the TOPK-SK retrievesthe closest k objects each of which contains all keywords in the query. BTOPK-SK is the …,29th IEEE International Conference on Data Engineering (ICDE),2013,66
Lazy updates: An efficient technique to continuously monitoring reverse knn,Muhammad Aamir Cheema; Xuemin Lin; Ying Zhang; Wei Wang; Wenjie Zhang,Abstract In this paper; we study the problem of continuous monitoring of reverse k nearestneighbor queries. Existing continuous reverse nearest neighbor monitoring techniques aresensitive towards objects and queries movement. For example; the results of a query are tobe recomputed whenever the query changes its location. We present a framework forcontinuous reverse k nearest neighbor queries by assigning each object and query with arectangular safe region such that the expensive recomputation is not required as long as thequery and objects remain in their respective safe regions. This significantly improves thecomputation cost. As a by-product; our framework also reduces the communication cost inclient-server architectures because an object does not report its location to the server unlessit leaves its safe region or the server sends a location update request. We also conduct a …,Proceedings of the VLDB Endowment,2009,60
Connected substructure similarity search,Haichuan Shang; Xuemin Lin; Ying Zhang; Jeffrey Xu Yu; Wei Wang,Abstract Substructure similarity search is to retrieve graphs that approximately contain agiven query graph. It has many applications; eg; detecting similar functions among chemicalcompounds. The problem is challenging as even testing subgraph containment between twographs is NP-complete. Hence; existing techniques adopt the filtering-and-verificationframework with the focus on developing effective and efficient techniques to remove non-promising graphs. Nevertheless; existing filtering techniques may be still unable toeffectively remove many" low" quality candidates. To resolve this; in this paper we propose anovel indexing technique; GrafD-Index; to index graphs according to their" distances" tofeatures. We characterize a tight condition under which the distance-based triangularinequality holds. We then develop lower and upper bounding techniques that exploit the …,Proceedings of the 2010 ACM SIGMOD International Conference on Management of data,2010,50
Threshold-based probabilistic top-k dominating queries,Wenjie Zhang; Xuemin Lin; Ying Zhang; Jian Pei; Wei Wang,Abstract Recently; due to intrinsic characteristics in many underlying data sets; a number ofprobabilistic queries on uncertain data have been investigated. Top-k dominating queriesare very important in many applications including decision making in a multidimensionalspace. In this paper; we study the problem of efficiently computing top-k dominating querieson uncertain data. We first formally define the problem. Then; we develop an efficient;threshold-based algorithm to compute the exact solution. To overcome some inherentcomputational deficiency in an exact computation; we develop an efficient randomizedalgorithm with an accuracy guarantee. Our extensive experiments demonstrate that bothalgorithms are quite efficient; while the randomized algorithm is quite scalable against dataset sizes; object areas; k values; etc. The randomized algorithm is also highly accurate in …,The VLDB Journal,2010,47
