Flexible high-temperature dielectric materials from polymer nanocomposites,Qi Li; Lei Chen; Matthew R Gadinski; Shihai Zhang; Guangzu Zhang; Haoyu Li; Aman Haque; Long-Qing Chen; Tom Jackson; Qing Wang,Abstract Dielectric materials; which store energy electrostatically; are ubiquitous inadvanced electronics and electric power systems 1; 2; 3; 4; 5; 6; 7; 8. Compared to theirceramic counterparts; polymer dielectrics have higher breakdown strengths and greaterreliability 1; 2; 3; 9; are scalable; lightweight and can be shaped into intricate configurations;and are therefore an ideal choice for many power electronics; power conditioning; andpulsed power applications 1; 9; 10. However; polymer dielectrics are limited to relatively lowworking temperatures; and thus fail to meet the rising demand for electricity under theextreme conditions present in applications such as hybrid and electric vehicles; aerospacepower electronics; and underground oil and gas exploration 11; 12; 13. Here we describecrosslinked polymer nanocomposites that contain boron nitride nanosheets; the dielectric …,Nature,2015,202
Extended finite element method with edge-based strain smoothing (ESm-XFEM) for linear elastic crack growth,L Chen; T Rabczuk; Stephane Pierre Alain Bordas; GR Liu; KY Zeng; Pierre Kerfriden,Abstract This paper presents a strain smoothing procedure for the extended finite elementmethod (XFEM). The resulting “edge-based” smoothed extended finite element method(ESm-XFEM) is tailored to linear elastic fracture mechanics and; in this context; to outperformthe standard XFEM. In the XFEM; the displacement-based approximation is enriched by theHeaviside and asymptotic crack tip functions using the framework of partition of unity. Thiseliminates the need for the mesh alignment with the crack and re-meshing; as the crackevolves. Edge-based smoothing (ES) relies on a generalized smoothing operation oversmoothing domains associated with edges of simplex meshes; and produces a softeningeffect leading to a close-to-exact stiffness;“super-convergence” and “ultra-accurate”solutions. The present method takes advantage of both the ES-FEM and the XFEM …,Computer Methods in Applied Mechanics and Engineering,2012,114
A node-based smoothed extended finite element method (NS-XFEM) for fracture analysis,N Vu-Bac; H Nguyen-Xuan; L Chen; S Bordas; P Kerfriden; RN Simpson; GR Liu; T Rabczuk,Abstract: This paper aims to incorporate the node-based smoothed finite element method(NS-FEM) into the extended finite element method (XFEM) to form a novel numerical method(NS-XFEM) for analyzing fracture problems of 2D elasticity. NS-FEM uses the strainsmoothing technique over the smoothing domains associated with nodes to compute thesystem stiffness matrix; which leads to the line integrations using directly the shape functionvalues along the boundaries of the smoothing domains. As a result; we avoid integration ofthe stress singularity at the crack tip. It is not necessary to divide elements cut by crackswhen we replace interior integration by boundary integration; simplifying integration of thediscontinuous approximation. The key advantage of the NS-XFEM is that it provides moreaccurate solutions compared to the XFEM-T3 element. We will show for two numerical …,Computer Modeling in Engineering & Sciences(CMES),2011,80
A novel singular node‐based smoothed finite element method (NS‐FEM) for upper bound solutions of fracture problems,GR Liu; L Chen; T Nguyen‐Thoi; KY Zeng; GY Zhang,Abstract It is well known that the lower bound to exact solutions in linear fracture problemscan be easily obtained by the displacement compatible finite element method (FEM)together with the singular crack tip elements. It is; however; much more difficult to obtain theupper bound solutions for these problems. This paper aims to formulate a novel singularnode-based smoothed finite element method (NS-FEM) to obtain the upper bound solutionsfor fracture problems. In the present singular NS-FEM; the calculation of the system stiffnessmatrix is performed using the strain smoothing technique over the smoothing domains (SDs)associated with nodes; which leads to the line integrations using only the shape functionvalues along the boundaries of the SDs. A five-node singular crack tip element is usedwithin the framework of NS-FEM to construct singular shape functions via direct point …,International Journal for Numerical Methods in Engineering,2010,75
A phantom-node method with edge-based strain smoothing for linear elastic fracture mechanics,Nam Vu-Bac; Hung Nguyen-Xuan; Lei Chen; Chang-Kye Lee; Goangseup Zi; X Zhuang; Gui Rong Liu; Timon Rabczuk,This paper presents a novel numerical procedure based on the combination of an edge-based smoothed finite element (ES-FEM) with a phantom-node method for 2D linear elasticfracture mechanics. In the standard phantom-node method; the cracks are formulated byadding phantom nodes; and the cracked element is replaced by two new superimposedelements. This approach is quite simple to implement into existing explicit finite elementprograms. The shape functions associated with discontinuous elements are similar to thoseof the standard finite elements; which leads to certain simplification with implementing in theexisting codes. The phantom-node method allows modeling discontinuities at an arbitrarylocation in the mesh. The ES-FEM model owns a close-to-exact stiffness that is much softerthan lower-order finite element methods (FEM). Taking advantage of both the ES-FEM …,Journal of Applied Mathematics,2013,69
Assessment of smoothed point interpolation methods for elastic mechanics,L Chen; H Nguyen‐Xuan; T Nguyen‐Thoi; KY Zeng; SC Wu,Abstract A generalized gradient smoothing technique and a smoothed bilinear form ofGalerkin weak form have been recently proposed by Liu et al. to create a wide class ofefficient smoothed point interpolation methods (PIMs) using the background mesh oftriangular cells. In these methods; displacement fields are constructed by polynomial orradial basis shape functions and strains are smoothed over the smoothed domainassociated with the nodes or the edges of the triangular cells. This paper summarizes andassesses bound property; convergence rate and computational efficiency for these methods.It is found that:(1) the incorporation of the PIMs with the node-based strain smoothingoperation allows us to obtain an upper bound to the exact solution in the strain energy;(2)the incorporation of the PIMs with the edge-based strain smoothing operation using …,International Journal for Numerical Methods in Biomedical Engineering,2010,47
A singular edge-based smoothed finite element method (ES-FEM) for bimaterial interface cracks,L Chen; GR Liu; N Nourbakhsh-Nia; K Zeng,Abstract The recently developed edge-based smoothed finite element method (ES-FEM) isextended to the mix-mode interface cracks between two dissimilar isotropic materials. Thepresent ES-FEM method uses triangular elements that can be generated automatically forproblems even with complicated geometry; and strains are smoothed over the smoothingdomains associated with the edges of elements. Considering the stress singularity in thevicinity of the bimaterial interface crack tip is of the inverse square root type together withoscillatory nature; a five-node singular crack tip element is devised within the framework ofES-FEM to construct singular shape functions. Such a singular element can be easilyimplemented since the derivatives of the singular shape term (1/\sqrt r) are not needed. Themix-mode stress intensity factors can also be easily evaluated by an appropriate …,Computational Mechanics,2010,47
Nanostructured thin films and coatings: mechanical properties,Sam Zhang,Authored by leading experts from around the world; the three-volume Handbook ofNanostructured Thin Films and Coatings gives scientific researchers and product engineersa resource as dynamic and flexible as the field itself. The first two volumes cover the latestresearch and application of the mechanical and functional properties of thin films andcoatings; while the third volume explores the cutting-edge organic nanostructured devicesused to produce clean energy. This first volume; Nanostructured Thin Films and Coatings:Mechanical Properties; concentrates on essential properties such as hardness; toughness;and adhesion. It looks at process and performance and offers a detailed analysis of theoriesand size effect. It also covers: Fundamentals of hard and superhard nanocomposites andheterostructures Determination of hardness and modulus of thin films Fracture toughness …,*,2010,42
A phase-field model coupled with large elasto-plastic deformation: application to lithiated silicon electrodes,L Chen; F Fan; L Hong; J Chen; YZ Ji; SL Zhang; T Zhu; LQ Chen,Abstract A phase-field model; accounting for large elasto-plastic deformation; is developedto study the evolution of phase; morphology and stress in crystalline silicon (Si) electrodesupon lithium (Li) insertion. The Li concentration profiles and deformation geometries are co-evolved by solving a set of coupled phase-field and mechanics equations using the finiteelement method. The present phase-field model is validated in comparison with a non-linearconcentration-dependent diffusion model of lithiation in Si electrodes. It is shown that as thelithiation proceeds; the hoop stress changes from the initial compression to tension in thesurface layer of the Si electrode; which may explain the surface cracking observed inexperiments. The present phase-field model is generally applicable to high-capacityelectrode systems undergoing both phase change and large elasto-plastic deformation.,Journal of The Electrochemical Society,2014,37
A singular edge-based smoothed finite element method (ES-FEM) for crack analyses in anisotropic media,L Chen; GR Liu; Y Jiang; K Zeng; J Zhang,Abstract The recently developed edge-based smoothed finite element method (ES-FEM) isextended to fracture problems in anisotropic media using a specially designed five-nodesingular crack-tip (T5) element. In the formulation of singular ES-FEM; only the assumeddisplacement values (not the derivatives) on the boundaries of the smoothing domains areneeded. Thus; a layer of T5 crack-tip element is devised to construct “singular” shapefunctions via a simple point interpolation with a fractional order basis; without mappingprocedure. The effectiveness of the present singular ES-FEM is demonstrated by intensiveexamples for a wide range of degrees of anisotropy.,Engineering Fracture Mechanics,2011,36
