A log buffer-based flash translation layer using fully-associative sector translation,Sang-Won Lee; Dong-Joo Park; Tae-Sun Chung; Dong-Ho Lee; Sangwon Park; Ha-Joo Song,Abstract Flash memory is being rapidly deployed as data storage for mobile devices such asPDAs; MP3 players; mobile phones; and digital cameras; mainly because of its lowelectronic power; nonvolatile storage; high performance; physical stability; and portability.One disadvantage of flash memory is that prewritten data cannot be dynamically overwritten.Before overwriting prewritten data; a time-consuming erase operation on the used blocksmust precede; which significantly degrades the overall write performance of flash memory. Inorder to solve this “erase-before-write” problem; the flash memory controller can beintegrated with a software module; called “flash translation layer (FTL).” Among many FTLschemes available; the log block buffer scheme is considered to be optimum. With thisscheme; a small number of log blocks; a kind of write buffer; can improve the performance …,ACM Transactions on Embedded Computing Systems (TECS),2007,829
On social Web sites,Won Kim; Ok-Ran Jeong; Sang-Won Lee,Abstract Today hundreds of millions of Internet users are using thousands of social Websites to stay connected with their friends; discover new “friends;” and to share user-createdcontents; such as photos; videos; social bookmarks; and blogs. There are so many socialWeb sites; and their features are evolving rapidly. There is controversy about the benefits ofthese sites; and there are social issues these sites have given rise to. There are lots of pressarticles; Wikipedia articles; and blogs—in varying degrees of authoritativeness; clarity andaccuracy—about some of the social Web sites; uses of the sites; and some social problems;and business challenges faced by the sites. In this paper; we attempt to organize the status;uses; and issues of social Web sites into a comprehensive framework for discussing;understanding; using; building; and forecasting the future of social Web sites.,Information systems,2010,560
Design of flash-based DBMS: an in-page logging approach,Sang-Won Lee; Bongki Moon,Abstract The popularity of high-density flash memory as data storage media has increasedsteadily for a wide spectrum of computing devices such as PDA's; MP3 players; mobilephones and digital cameras. More recently; computer manufacturers started launching newlines of mobile or portable computers that did away with magnetic disk drives altogether;replacing them with tens of gigabytes of NAND flash memory. Like EEPROM and magneticdisk drives; flash memory is non-volatile and retains its contents even when the power isturned off. As its capacity increases and price drops; flash memory will compete moresuccessfully with lower-end; lower-capacity disk drives. It is thus not inconceivable toconsider running a full database system on the flash-only computing platforms or running anembedded database system on the lightweight computing devices. In this paper; we …,Proceedings of the 2007 ACM SIGMOD international conference on Management of data,2007,428
A case for flash memory ssd in enterprise database applications,Sang-Won Lee; Bongki Moon; Chanik Park; Jae-Myung Kim; Sang-Woo Kim,Abstract Due to its superiority such as low access latency; low energy consumption; lightweight; and shock resistance; the success of flash memory as a storage alternative formobile computing devices has been steadily expanded into personal computer andenterprise server markets with ever increasing capacity of its storage. However; since flashmemory exhibits poor performance for small-to-moderate sized writes requested in arandom order; existing database systems may not be able to take full advantage of flashmemory without elaborate flash-aware data structures and algorithms. The objective of thiswork is to understand the applicability and potential impact that flash memory SSD (SolidState Drive) has for certain type of storage spaces of a database server where sequentialwrites and random reads are prevalent. We show empirically that up to more than an …,Proceedings of the 2008 ACM SIGMOD international conference on Management of data,2008,354
A survey of flash translation layer,Tae-Sun Chung; Dong-Joo Park; Sangwon Park; Dong-Ho Lee; Sang-Won Lee; Ha-Joo Song,Abstract Recently; flash memory is widely adopted in embedded applications as it hasseveral strong points; including its non-volatility; fast access speed; shock resistance; andlow power consumption. However; due to its hardware characteristics; specifically its “erase-before-write” feature; it requires a software layer known as FTL (Flash Translation Layer).This paper surveys the state-of-the-art FTL software for flash memory. It defines theproblems; addresses algorithms to solve them; and discusses related research issues. Inaddition; the paper provides performance results based on our implementation of each FTLalgorithm.,Journal of Systems Architecture,2009,245
System software for flash memory: a survey,Tae-Sun Chung; Dong-Joo Park; Sangwon Park; Dong-Ho Lee; Sang-Won Lee; Ha-Joo Song,Abstract Recently; flash memory is widely adopted in embedded applications since it hasseveral strong points: non-volatility; fast access speed; shock resistance; and low powerconsumption. However; due to its hardware characteristic; namely “erase before write”; itrequires a software layer called FTL (Flash Translation Layer). This paper surveys the state-of-the-art FTL software for flash memory. This paper also describes problem definitions;several algorithms proposed to solve them; and related research issues. In addition; thispaper provides performance results based on our implementation of each of FTL algorithms.,International Conference on Embedded and Ubiquitous Computing,2006,164
Advances in flash memory SSD technology for enterprise database applications,Sang-Won Lee; Bongki Moon; Chanik Park,Abstract The past few decades have witnessed a chronic and widening imbalance amongprocessor bandwidth; disk capacity; and access speed of disk. According to Amdhal's law;the performance enhancement possible with a given improvement is limited by the amountthat the improved feature is used. This implies that the performance enhancement of anOLTP system would be seriously limited without a considerable improvement in I/Othroughput. Since the market debut of flash memory SSD a few years ago; we have made acontinued effort to overcome its poor random write performance and to provide stable andsufficient I/O bandwidth. In this paper; we present three different flash memory SSD modelsprototyped recently by Samsung Electronics. We then show how the flash memory SSDtechnology has advanced to reverse the widening trend of performance gap between …,Proceedings of the 2009 ACM SIGMOD International Conference on Management of data,2009,160
SFS: random write considered harmful in solid state drives.,Changwoo Min; Kangnyeon Kim; Hyunjin Cho; Sang-Won Lee; Young Ik Eom,Abstract Over the last decade we have witnessed the relentless technological improvementin flash-based solidstate drives (SSDs) and they have many advantages over hard diskdrives (HDDs) as a secondary storage such as performance and power consumption.However; the random write performance in SSDs still remains as a concern. Even in modernSSDs; the disparity between random and sequential write bandwidth is more than tenfold.Moreover; random writes can shorten the limited lifespan of SSDs because they incur moreNAND block erases per write. In order to overcome these problems due to random writes; inthis paper; we propose a new file system for SSDs; SFS. First; SFS exploits the maximumwrite bandwidth of SSD by taking a log-structured approach. SFS transforms all randomwrites at file system level to sequential ones at SSD level. Second; SFS takes a new data …,FAST,2012,153
FAST: An efficient flash translation layer for flash memory,Sang-Won Lee; Won-Kyoung Choi; Dong-Joo Park,Abstract Flash memory is used at high speed as storage of personal information utilities;ubiquitous computing environments; mobile phones; electronic goods; etc. This is becauseflash memory has the characteristics of low electronic power; non-volatile storage; highperformance; physical stability; portability; and so on. However; differently from hard disks; ithas a weak point that overwrites on already written block of flash memory is impossible to bedone. In order to make it possible; an erase operation on the written block should beperformed before the overwrite; which lowers the performance of flash memory highly. Inorder to solve this problem; the flash memory controller maintains a system software modulecalled the flash translation layer (FTL). In this paper; we propose an enhanced log blockbuffer FTL scheme; FAST (Fully Associative Sector Translation); which improves the page …,International Conference on Embedded and Ubiquitous Computing,2006,78
B+-tree index optimization by exploiting internal parallelism of flash-based solid state drives,Hongchan Roh; Sanghyun Park; Sungho Kim; Mincheol Shin; Sang-Won Lee,Abstract Previous research addressed the potential problems of the hard-disk orienteddesign of DBMSs of flashSSDs. In this paper; we focus on exploiting potential benefits offlashSSDs. First; we examine the internal parallelism issues of flashSSDs by conductingbenchmarks to various flashSSDs. Then; we suggest algorithm-design principles in order tobest benefit from the internal parallelism. We present a new I/O request concept; calledpsync I/O that can exploit the internal parallelism of flashSSDs in a single process. Based onthese ideas; we introduce B+-tree optimization methods in order to utilize internalparallelism. By integrating the results of these methods; we present a B+-tree variant; PIO B-tree. We confirmed that each optimization method substantially enhances the indexperformance. Consequently; PIO B-tree enhanced B+-tree's insert performance by a …,Proceedings of the VLDB Endowment,2011,70
