Towards domain-independent information extraction from web tables,Wolfgang Gatterbauer; Paul Bohunsky; Marcus Herzog; Bernhard Krüpl; Bernhard Pollak,Traditionally; information extraction from web tables has focused on small; more or less homogeneouscorpora; often based on assumptions about the use of <table> tags. A multitude of different HTMLimplementations of web tables make these approaches difficult to scale. In this paper; we approachthe problem of domain-independent information extraction from web tables by shifting our attentionfrom the tree-based representation of web pages to a variation of the two-dimensional visualbox model used by web browsers to display the information on the screen. The thereby obtainedtopological and style information allows us to fill the gap created by missing domain-specificknowledge about content and table templates. We believe that; in a future step; this approachcan become the basis for a new way of large-scale knowledge acquisition from the current “VisualWeb.” … Categories and Subject Descriptors: H.2.8 [Database Management]: Database …,Proceedings of the 16th international conference on World Wide Web,2007,248
The complexity of causality and responsibility for query answers and non-answers,Alexandra Meliou; Wolfgang Gatterbauer; Katherine F Moore; Dan Suciu,Abstract An answer to a query has a well-defined lineage expression (alternatively calledhow-provenance) that explains how the answer was derived. Recent work has also shownhow to compute the lineage of a non-answer to a query. However; the cause of an answer ornon-answer is a more subtle notion and consists; in general; of only a fragment of thelineage. In this paper; we adapt Halpern; Pearl; and Chockler's recent definitions of causalityand responsibility to define the causes of answers and non-answers to queries; and theirdegree of responsibility. Responsibility captures the notion of degree of causality and servesto rank potentially many causes by their relative contributions to the effect. Then; we studythe complexity of computing causes and responsibilities for conjunctive queries. It is knownthat computing causes is NP-complete in general. Our first main result shows that all …,Proceedings of the VLDB Endowment,2010,118
A case for a collaborative query management system,Nodira Khoussainova; Magda Balazinska; Wolfgang Gatterbauer; YongChul Kwon; Dan Suciu,Abstract: Over the past 40 years; database management systems (DBMSs) have evolved toprovide a sophisticated variety of data management capabilities. At the same time; tools formanaging queries over the data have remained relatively primitive. One reason for this isthat queries are typically issued through applications. They are thus debugged once and re-used repeatedly. This mode of interaction; however; is changing. As scientists (and others)store and share increasingly large volumes of data in data centers; they need the ability toanalyze the data by issuing exploratory queries. In this paper; we argue that; in these newsettings; data management systems must provide powerful query management capabilities;from query browsing to automatic query recommendations. We first discuss the requirementsfor a collaborative query management system. We outline an early system architecture …,arXiv preprint arXiv:0909.1778,2009,75
Causality in databases,Alexandra Meliou; Wolfgang Gatterbauer; Joseph Y Halpern; Christoph Koch; Katherine F Moore; Dan Suciu,Abstract Provenance is often used to validate data; by verifying its origin and explaining itsderivation. When searching for “causes” of tuples in the query results or in generalobservations; the analysis of lineage becomes an essential tool for providing suchjustifications. However; lineage can quickly grow very large; limiting its immediate use forproviding intuitive explanations to the user. The formal notion of causality is a more refinedconcept that identifies causes for observations based on user-defined criteria; and thatassigns to them gradual degrees of responsibility based on their respective contributions. Inthis paper; we initiate a discussion on causality in databases; give some simple definitions;and motivate this formalism through a number of example applications.,IEEE Data Eng. Bull.,2010,73
Using visual cues for extraction of tabular data from arbitrary HTML documents,Bernhard Krüpl; Marcus Herzog; Wolfgang Gatterbauer,Abstract We describe a method to extract tabular data from web pages. Rather than justanalyzing the DOM tree; we also exploit visual cues in the rendered version of the documentto extract data from tables which are not explicitly marked with an HTML table element. Todetect tables; we rely on a variant of the well-known XY cut algorithm as used in the OCRcommunity. We implemented the system by directly accessing Mozilla's box model thatcontains the positional data for all HTML elements of a given web page.,Special interest tracks and posters of the 14th international conference on World Wide Web,2005,60
Table extraction using spatial reasoning on the CSS2 visual box model,Wolfgang Gatterbauer; Paul Bohunsky,*,Proceedings of the National Conference on Artificial Intelligence,2006,54
Believe it or not: adding belief annotations to databases,Wolfgang Gatterbauer; Magdalena Balazinska; Nodira Khoussainova; Dan Suciu,Abstract We propose a database model that allows users to annotate data with beliefstatements. Our motivation comes from scientific database applications where a communityof users is working together to assemble; revise; and curate a shared data repository. As thecommunity accumulates knowledge and the database content evolves over time; it maycontain conflicting information and members can disagree on the information it should store.For example; Alice may believe that a tuple should be in the database; whereas Bobdisagrees. He may also insert the reason why he thinks Alice believes the tuple should be inthe database; and explain what he thinks the correct tuple should be instead. We propose aformal model for Belief Databases that interprets users' annotations as belief statements.These annotations can refer both to the base data and to other annotations. We give a …,Proceedings of the VLDB Endowment,2009,42
Web data extraction system,Robert Baumgartner; Wolfgang Gatterbauer; Georg Gottlob,W3C was founded in 1994 by the inventor of the World Wide Web Tim Berners-Lee as avendor-neutral forum for building consensus around Web technologies. The consortiumconsists of member organization and dedicated staff of technical experts. Membership isopen to any organization or individual whose application is reviewed and approved by theW3C. Usually W3C members invest significant resources into the Web technologies. W3Cfulfils its mission by creation of recommendations enjoying status of international standards.In the first 10 years of existence; it produced over eighty W3C recommendations. W3C isresponsible for such technologies as HTML; XHTML; XML; XML Schema; CSS; SOAP;WSDL and others. W3C members play a leading role in the development of therecommendations. W3C initiatives involve international; national; and regional …,*,2009,42
Why so? or why no? functional causality for explaining query answers,Alexandra Meliou; Wolfgang Gatterbauer; Katherine F Moore; Dan Suciu,Abstract: In this paper; we propose causality as a unified framework to explain queryanswers and non-answers; thus generalizing and extending several previously proposedapproaches of provenance and missing query result explanations. We develop ourframework starting from the well-studied definition of actual causes by Halpern and Pearl.After identifying some undesirable characteristics of the original definition; we proposefunctional causes as a refined definition of causality with several desirable properties. Theseproperties allow us to apply our notion of causality in a database context and apply ituniformly to define the causes of query results and their individual contributions in severalways:(i) we can model both provenance as well as non-answers;(ii) we can defineexplanations as either data in the input relations or relational operations in a query plan …,arXiv preprint arXiv:0912.5340,2009,41
Tracing data errors with view-conditioned causality,Alexandra Meliou; Wolfgang Gatterbauer; Suman Nath; Dan Suciu,Abstract A surprising query result is often an indication of errors in the query or theunderlying data. Recent work suggests using causal reasoning to find explanations for thesurprising result. In practice; however; one often has multiple queries and/or multipleanswers; some of which may be considered correct and others unexpected. In this paper; wefocus on determining the causes of a set of unexpected results; possibly conditioned onsome prior knowledge of the correctness of another set of results. We call this problem View-Conditioned Causality. We adapt the definitions of causality and responsibility for the case ofmultiple answers/views and provide a non-trivial algorithm that reduces the problem offinding causes and their responsibility to a satisfiability problem that can be solved withexisting tools. We evaluate both the accuracy and effectiveness of our approach on a real …,Proceedings of the 2011 ACM SIGMOD International Conference on Management of data,2011,38
Self-Driving Database Management Systems.,Andrew Pavlo; Gustavo Angulo; Joy Arulraj; Haibin Lin; Jiexi Lin; Lin Ma; Prashanth Menon; Todd C Mowry; Matthew Perron; Ian Quah; Siddharth Santurkar; Anthony Tomasic; Skye Toor; Dana Van Aken; Ziqi Wang; Yingjun Wu; Ran Xian; Tieying Zhang,ABSTRACT In the last two decades; both researchers and vendors have built advisory toolsto assist database administrators (DBAs) in various aspects of system tuning and physicaldesign. Most of this previous work; however; is incomplete because they still require humansto make the final decisions about any changes to the database and are reactionarymeasures that fix problems after they occur. What is needed for a truly “self-driving”database management system (DBMS) is a new architecture that is designed forautonomous operation. This is different than earlier attempts because all aspects of thesystem are controlled by an integrated planning component that not only optimizes thesystem for the current workload; but also predicts future workload trends so that the systemcan prepare itself accordingly. With this; the DBMS can support all of the previous tuning …,CIDR,2017,37
QueryViz: helping users understand SQL queries and their patterns,Jonathan Danaparamita; Wolfgang Gatterbauer,Abstract We present QueryViz; a novel visualization tool for SQL queries that reduces thetime needed to read and understand existing queries. It targets two principal audiences:(i)users who often issue the same or similar queries and who need to quickly browse througha repository of existing queries; and (ii) novices that try to familiarize themselves with thelogic behind alternative patterns of SQL queries. QueryViz uses as input only two strings: thedatabase schema and the SQL query. It can thus serve as light-weight add-on to existingdatabase systems and is also available via an online interface at http://queryviz. com.,Proceedings of the 14th International Conference on Extending Database Technology,2011,34
Reverse data management,Alexandra Meliou; Wolfgang Gatterbauer; Dan Suciu,ABSTRACT Database research mainly focuses on forward-moving data flows: source data issubjected to transformations and evolves through queries; aggregations; and viewdefinitions to form a new target instance; possibly with a different schema. This ForwardParadigm underpins most data management tasks today; such as querying; data integration;data mining; etc. We contrast this forward processing with Reverse Data Management(RDM); where the action needs to be performed on the input data; on behalf of desiredoutcomes in the output data. Some data management tasks already fall under this paradigm;for example updates through views; data generation; data cleaning and repair. RDM is; bynecessity; conceptually more difficult to define; and computationally harder to achieve.Today; however; as increasingly more of the available data is derived from other data …,Proceedings of the VLDB Endowment,2011,29
Linearized and single-pass belief propagation,Wolfgang Gatterbauer; Stephan Günnemann; Danai Koutra; Christos Faloutsos,Abstract How can we tell when accounts are fake or real in a social network? And how canwe tell which accounts belong to liberal; conservative or centrist users? Often; we cananswer such questions and label nodes in a network based on the labels of their neighborsand appropriate assumptions of homophily (" birds of a feather flock together") or heterophily(" opposites attract"). One of the most widely used methods for this kind of inference is BeliefPropagation (BP) which iteratively propagates the information from a few nodes with explicitlabels throughout a network until convergence. A well-known problem with BP; however; isthat there are no known exact guarantees of convergence in graphs with loops. This paperintroduces Linearized Belief Propagation (LinBP); a linearization of BP that allows a closed-form solution via intuitive matrix equations and; thus; comes with exact convergence …,Proceedings of the VLDB Endowment,2015,25
Data conflict resolution using trust mappings,Wolfgang Gatterbauer; Dan Suciu,Abstract In massively collaborative projects such as scientific or community databases; usersoften need to agree or disagree on the content of individual data items. On the other hand;trust relationships often exist between users; allowing them to accept or reject other users'beliefs by default. As those trust relationships become complex; however; it becomes difficultto define and compute a consistent snapshot of the conflicting information. Previoussolutions to a related problem; the update reconciliation problem; are dependent on theorder in which the updates are processed and; therefore; do not guarantee a globallyconsistent snapshot. This paper proposes the first principled solution to the automaticconflict resolution problem in a community database. Our semantics is based on the certaintuples of all stable models of a logic program. While evaluating stable models in general …,Proceedings of the 2010 ACM SIGMOD International Conference on Management of data,2010,25
Visual structure-based web page clustering and retrieval,Paul Bohunsky; Wolfgang Gatterbauer,Abstract Clustering and retrieval of web pages dominantly relies on analyzing either thecontent of individual web pages or the link structure between them. Some literature alsosuggests to use the structure of web pages; notably the structure of its DOM tree. However;little work considers the visual structure of web pages for clustering. In this paper (i) wemotivate visual structure-based web page clustering and retrieval for a number ofapplications;(ii) we formalize a visual box model-based representation of web pages thatsupports new metrics of visual similarity; and (iii) we report on our current work on evaluatinghuman perception of visual similarity of web pages and applying the learned visual similarityfeatures to web page clustering and retrieval.,Proceedings of the 19th international conference on World wide web,2010,25
Integrating and ranking uncertain scientific data,Landon Detwiler; Wolfgang Gatterbauer; Brent Louie; Dan Suciu; Peter Tarczy-Hornoch,Mediator-based data integration systems resolve exploratory queries by joining dataelements across sources. In the presence of uncertainties; such multiple expansions canquickly lead to spurious connections and incorrect results. The BioRank project investigatesformalisms for modeling uncertainty during scientific data integration and for rankinguncertain query results. Our motivating application is protein function prediction. In thispaper we show that:(i) explicit modeling of uncertainties as probabilities increases our abilityto predict less-known or previously unknown functions (though it does not improvepredicting the well-known). This suggests that probabilistic uncertainty models offer utility forscientific knowledge discovery;(ii) small perturbations in the input probabilities tend toproduce only minor changes in the quality of our result rankings. This suggests that our …,Data Engineering; 2009. ICDE'09. IEEE 25th International Conference on,2009,22
