Graph pattern matching: from intractable to polynomial time,Wenfei Fan; Jianzhong Li; Shuai Ma; Nan Tang; Yinghui Wu; Yunpeng Wu,Abstract Graph pattern matching is typically defined in terms of subgraph isomorphism;which makes it an np-complete problem. Moreover; it requires bijective functions; which areoften too restrictive to characterize patterns in emerging applications. We propose a class ofgraph patterns; in which an edge denotes the connectivity in a data graph within apredefined number of hops. In addition; we define matching based on a notion of boundedsimulation; an extension of graph simulation. We show that with this revision; graph patternmatching can be performed in cubic-time; by providing such an algorithm. We also developalgorithms for incrementally finding matches when data graphs are updated; withperformance guarantees for dag patterns. We experimentally verify that these algorithmsscale well; and that the revised notion of graph pattern matching allows us to identify …,Proceedings of the VLDB Endowment,2010,204
Incremental graph pattern matching,Wenfei Fan; Xin Wang; Yinghui Wu,Abstract Graph pattern matching is commonly used in a variety of emerging applicationssuch as social network analysis. These applications highlight the need for studying thefollowing two issues. First; graph pattern matching is traditionally defined in terms ofsubgraph isomorphism or graph simulation. These notions; however; often impose toostrong a topological constraint on graphs to identify meaningful matches. Second; in practicea graph is typically large; and is frequently updated with small changes. It is oftenprohibitively expensive to recompute matches starting from scratch via batch algorithmswhen the graph is updated. This article studies these two issues.(1) We propose to definegraph pattern matching based on a notion of bounded simulation; which extends graphsimulation by specifying the connectivity of nodes in a graph within a predefined number …,ACM Transactions on Database Systems (TODS),2013,124
Adding regular expressions to graph reachability and pattern queries,Wenfei Fan; Jianzhong Li; Shuai Ma; Nan Tang; Yinghui Wu,It is increasingly common to find graphs in which edges bear different types; indicating avariety of relationships. For such graphs we propose a class of reachability queries and aclass of graph patterns; in which an edge is specified with a regular expression of a certainform; expressing the connectivity in a data graph via edges of various types. In addition; wedefine graph pattern matching based on a revised notion of graph simulation. On graphs inemerging applications such as social networks; we show that these queries are capable offinding more sensible information than their traditional counterparts. Better still; theirincreased expressive power does not come with extra complexity. Indeed;(1) we investigatetheir containment and minimization problems; and show that these fundamental problemsare in quadratic time for reachability queries and are in cubic time for pattern queries.(2) …,Data Engineering (ICDE); 2011 IEEE 27th International Conference on,2011,112
Query preserving graph compression,Wenfei Fan; Jianzhong Li; Xin Wang; Yinghui Wu,Abstract It is common to find graphs with millions of nodes and billions of edges in; eg; socialnetworks. Queries on such graphs are often prohibitively expensive. These motivate us topropose query preserving graph compression; to compress graphs relative to a class Λ ofqueries of users' choice. We compute a small G r from a graph G such that (a) for any queryQ Ε Λ Q; Q (G)= Q'(G r); where Q'Ε Λ can be efficiently computed from Q; and (b) anyalgorithm for computing Q (G) can be directly applied to evaluating Q'on G r as is. That is;while we cannot lower the complexity of evaluating graph queries; we reduce data graphswhile preserving the answers to all the queries in Λ. To verify the effectiveness of thisapproach;(1) we develop compression strategies for two classes of queries: reachability andgraph pattern queries via (bounded) simulation. We show that graphs can be efficiently …,Proceedings of the 2012 ACM SIGMOD International Conference on Management of Data,2012,110
Nema: Fast graph search with label similarity,Arijit Khan; Yinghui Wu; Charu C Aggarwal; Xifeng Yan,Abstract It is increasingly common to find real-life data represented as networks of labeled;heterogeneous entities. To query these networks; one often needs to identify the matches ofa given query graph in a (typically large) network modeled as a target graph. Due to noiseand the lack of fixed schema in the target graph; the query graph can substantially differ fromits matches in the target graph in both structure and node labels; thus bringing challenges tothe graph querying tasks. In this paper; we propose NeMa (Network Match); a neighborhood-based subgraph matching technique for querying real-life networks.(1) To measure thequality of the match; we propose a novel subgraph matching cost metric that aggregates thecosts of matching individual nodes; and unifies both structure and node label similarities.(2)Based on the metric; we formulate the minimum cost subgraph matching problem. Given …,Proceedings of the VLDB Endowment,2013,91
Graph homomorphism revisited for graph matching,Wenfei Fan; Jianzhong Li; Shuai Ma; Hongzhi Wang; Yinghui Wu,Abstract In a variety of emerging applications one needs to decide whether a graph Gmatches another G p; ie; whether G has a topological structure similar to that of G p. Thetraditional notions of graph homomorphism and isomorphism often fall short of capturing thestructural similarity in these applications. This paper studies revisions of these notions;providing a full treatment from complexity to algorithms.(1) We propose p-homomorphism (p-hom) and 1-1 p-hom; which extend graph homomorphism and subgraph isomorphism;respectively; by mapping edges from one graph to paths in another; and by measuring thesimilarity of nodes.(2) We introduce metrics to measure graph similarity; and severaloptimization problems for p-hom and 1-1 p-hom.(3) We show that the decision problems forp-hom and 1-1 p-hom are NP-complete even for DAGs; and that the optimization …,Proceedings of the VLDB Endowment,2010,89
Diversified top-k graph pattern matching,Wenfei Fan; Xin Wang; Yinghui Wu,Abstract Graph pattern matching has been widely used in eg; social data analysis. A numberof matching algorithms have been developed that; given a graph pattern Q and a graph G;compute the set M (Q; G) of matches of Q in G. However; these algorithms often return anexcessive number of matches; and are expensive on large real-life social graphs. Moreover;in practice many social queries are to find matches of a specific pattern node; rather than theentire M (Q; G). This paper studies top-k graph pattern matching.(1) We revise graph patternmatching defined in terms of simulation; by supporting a designated output node u o. GivenG and Q; it is to find those nodes in M (Q; G) that match uo; instead of the large set M (Q;G).(2) We study two classes of functions for ranking the matches: relevance functions δ r ()based on; eg; social impact; and distance functions δ d () to cover diverse elements.(3) …,Proceedings of the VLDB Endowment,2013,48
Schemaless and structureless graph querying,Shengqi Yang; Yinghui Wu; Huan Sun; Xifeng Yan,Abstract Querying complex graph databases such as knowledge graphs is a challengingtask for non-professional users. Due to their complex schemas and variational informationdescriptions; it becomes very hard for users to formulate a query that can be properlyprocessed by the existing systems. We argue that for a user-friendly graph query engine; itmust support various kinds of transformations such as synonym; abbreviation; and ontology.Furthermore; the derived query results must be ranked in a principled manner. In this paper;we introduce a novel framework enabling< u> s</u> chema< u> l</u> ess and< u> s</u>tructure< u> l</u> ess graph< u> q</u> uerying (SLQ); where a user need not describequeries precisely as required by most databases. The query engine is built on a set oftransformation functions that automatically map keywords and linkages from a query to …,Proceedings of the VLDB Endowment,2014,46
Propagating functional dependencies with conditions,Wenfei Fan; Shuai Ma; Yanli Hu; Jie Liu; Yinghui Wu,Abstract The dependency propagation problem is to determine; given a view defined ondata sources and a set of dependencies on the sources; whether another dependency isguaranteed to hold on the view. This paper investigates dependency propagation forrecently proposed conditional functional dependencies (CFDs). The need for this study isevident in data integration; exchange and cleaning since dependencies on data sourcesoften only hold conditionally on the view. We investigate dependency propagation for viewsdefined in various fragments of relational algebra; CFDs as view dependencies; and forsource dependencies given as either CFDs or traditional functional dependencies (FDs).(a)We establish lower and upper bounds; all matching; ranging from PTIME to undecidable.These not only provide the first results for CFD propagation; but also extend the classical …,Proceedings of the VLDB Endowment,2008,43
Performance guarantees for distributed reachability queries,Wenfei Fan; Xin Wang; Yinghui Wu,Abstract In the real world a graph is often fragmented and distributed across different sites.This highlights the need for evaluating queries on distributed graphs. This paper proposesdistributed evaluation algorithms for three classes of queries: reachability for determiningwhether one node can reach another; bounded reachability for deciding whether thereexists a path of a bounded length between a pair of nodes; and regular reachability forchecking whether there exists a path connecting two nodes such that the node labels on thepath form a string in a given regular expression. We develop these algorithms based onpartial evaluation; to explore parallel computation. When evaluating a query Q on adistributed graph G; we show that these algorithms possess the following performanceguarantees; no matter how G is fragmented and distributed:(1) each site is visited only …,Proceedings of the VLDB Endowment,2012,35
