l-diversity: Privacy beyond k-anonymity,Ashwin Machanavajjhala; Johannes Gehrke; Daniel Kifer; Muthuramakrishnan Venkitasubramaniam,Publishing data about individuals without revealing sensitive information about them is animportant problem. In recent years; a new definition of privacy called\kappa-anonymity hasgained popularity. In a\kappa-anonymized dataset; each record is indistinguishable from atleast k—1 other records with respect to certain" identifying" attributes. In this paper we showwith two simple attacks that a\kappa-anonymized dataset has some subtle; but severeprivacy problems. First; we show that an attacker can discover the values of sensitiveattributes when there is little diversity in those sensitive attributes. Second; attackers oftenhave background knowledge; and we show that\kappa-anonymity does not guaranteeprivacy against attackers using background knowledge. We give a detailed analysis of thesetwo attacks and we propose a novel and powerful privacy definition called\ell-diversity. In …,Data Engineering; 2006. ICDE'06. Proceedings of the 22nd International Conference on,2006,3768
Privacy: Theory meets practice on the map,Ashwin Machanavajjhala; Daniel Kifer; John Abowd; Johannes Gehrke; Lars Vilhuber,Abstract In this paper; we propose the first formal privacy analysis of a data anonymizationprocess known as the synthetic data generation; a technique becoming popular in thestatistics community. The target application for this work is a mapping program that showsthe commuting patterns of the population of the United States. The source data for thisapplication were collected by the US Census Bureau; but due to privacy constraints; theycannot be used directly by the mapping program. Instead; we generate synthetic data thatstatistically mimic the original data while providing privacy guarantees. We use thesesynthetic data as a surrogate for the original data. We find that while some existingdefinitions of privacy are inapplicable to our target application; others are too conservativeand render the synthetic data useless since they guard against privacy breaches that are …,Proceedings of the 2008 IEEE 24th International Conference on Data Engineering,2008,363
Worst-case background knowledge for privacy-preserving data publishing,David J Martin; Daniel Kifer; Ashwin Machanavajjhala; Johannes Gehrke; Joseph Y Halpern,Recent work has shown the necessity of considering an attacker's background knowledgewhen reasoning about privacy in data publishing. However; in practice; the data publisherdoes not know what background knowledge the attacker possesses. Thus; it is important toconsider the worst-case. In this paper; we initiate a formal study of worst-case backgroundknowledge. We propose a language that can express any background knowledge about thedata. We provide a polynomial time algorithm to measure the amount of disclosure ofsensitive information in the worst case; given that the attacker has at most k pieces ofinformation in this language. We also provide a method to efficiently sanitize the data so thatthe amount of disclosure in the worst case is less than a specified threshold.,2007 IEEE 23rd International Conference on Data Engineering,2007,319
No free lunch in data privacy,Daniel Kifer; Ashwin Machanavajjhala,Abstract Differential privacy is a powerful tool for providing privacy-preserving noisy queryanswers over statistical databases. It guarantees that the distribution of noisy query answerschanges very little with the addition or deletion of any tuple. It is frequently accompanied bypopularized claims that it provides privacy without any assumptions about the data and thatit protects against attackers who know all but one record. In this paper we critically analyzethe privacy protections offered by differential privacy. First; we use a no-free-lunch theorem;which defines non-privacy as a game; to argue that it is not possible to provide privacy andutility without making assumptions about how the data are generated. Then we explainwhere assumptions are needed. We argue that privacy of an individual is preserved when itis possible to limit the inference of an attacker about the participation of the individual in …,Proceedings of the 2011 ACM SIGMOD International Conference on Management of data,2011,308
Entity resolution: theory; practice & open challenges,Lise Getoor; Ashwin Machanavajjhala,Abstract This tutorial brings together perspectives on ER from a variety of fields; includingdatabases; machine learning; natural language processing and information retrieval; toprovide; in one setting; a survey of a large body of work. We discuss both the practicalaspects and theoretical underpinnings of ER. We describe existing solutions; currentchallenges; and open research problems.,Proceedings of the VLDB Endowment,2012,158
Personalized social recommendations: accurate or private,Ashwin Machanavajjhala; Aleksandra Korolova; Atish Das Sarma,Abstract With the recent surge of social networks such as Facebook; new forms ofrecommendations have become possible--recommendations that rely on one's socialconnections in order to make personalized recommendations of ads; content; products; andpeople. Since recommendations may use sensitive information; it is speculated that theserecommendations are associated with privacy risks. The main contribution of this work is informalizing trade-offs between accuracy and privacy of personalized socialrecommendations. We study whether" social recommendations"; or recommendations thatare solely based on a user's social network; can be made without disclosing sensitive linksin the social graph. More precisely; we quantify the loss in utility when existingrecommendation algorithms are modified to satisfy a strong notion of privacy; called …,Proceedings of the VLDB Endowment,2011,137
P-ring: an efficient and robust P2P range index structure,Adina Crainiceanu; Prakash Linga; Ashwin Machanavajjhala; Johannes Gehrke; Jayavel Shanmugasundaram,Abstract Peer-to-peer systems have emerged as a robust; scalable and decentralized way toshare and publish data. In this paper; we propose P-Ring; a new P2P index structure thatsupports both equality and range queries. P-Ring is fault-tolerant; provides logarithmicsearch performance even for highly skewed data distributions and efficiently supports largesets of data items per peer. We experimentally evaluate P-Ring using both simulations and areal distributed deployment on PlanetLab; and we compare its performance with SkipGraphs; Online Balancing and Chord.,Proceedings of the 2007 ACM SIGMOD international conference on Management of data,2007,99
Publishing Search Logs—A Comparative Study of Privacy Guarantees,Michaela Götz; Ashwin Machanavajjhala; Guozhang Wang; Xiaokui Xiao; Johannes Gehrke,Search engine companies collect the “database of intentions;” the histories of their users'search queries. These search logs are a gold mine for researchers. Search enginecompanies; however; are wary of publishing search logs in order not to disclose sensitiveinformation. In this paper; we analyze algorithms for publishing frequent keywords; queries;and clicks of a search log. We first show how methods that achieve variants of k-anonymityare vulnerable to active attacks. We then demonstrate that the stronger guarantee ensuredby ε-differential privacy unfortunately does not provide any utility for this problem. We thenpropose an algorithm ZEALOUS and show how to set its parameters to achieve (ε; δ)-probabilistic privacy. We also contrast our analysis of ZEALOUS with an analysis byKorolova et al.[17] that achieves (ε'; δ')-indistinguishability. Our paper concludes with a …,IEEE Transactions on Knowledge and Data Engineering,2012,97
On perfectly secure communication over arbitrary networks,MVN Kumar; Pranava R Goundan; K Srinathan; C Pandu Rangan,Abstract We study the interplay of network connectivity and perfectly secure messagetransmission under the corrupting influence of generalized Byzantine adversaries. It isknown that in the threshold adversary model; where the Byzantine adversary can corruptupto any t among the n players (nodes); perfectly secure communication among any pair ofplayers is possible if and only if the underlying synchronous network is (2t+ 1)-connected.Strictly generalizing these results to the non-threshold setting; we show that perfectly securecommunication among any pair of players is possible if and only if the union of no two sets inthe adversary structure is a vertex cutset of the synchronous network. The computation andcommunication complexities of the transmission protocol are polynomial in the size of thenetwork and the maximal basis of the adversary structure.,Proceedings of the twenty-first annual symposium on Principles of distributed computing,2002,89
A rigorous and customizable framework for privacy,Daniel Kifer; Ashwin Machanavajjhala,Abstract In this paper we introduce a new and general privacy framework called Pufferfish.The Pufferfish framework can be used to create new privacy definitions that are customizedto the needs of a given application. The goal of Pufferfish is to allow experts in an applicationdomain; who frequently do not have expertise in privacy; to develop rigorous privacydefinitions for their data sharing needs. In addition to this; the Pufferfish framework can alsobe used to study existing privacy definitions. We illustrate the benefits with severalapplications of this privacy framework: we use it to formalize and prove the statement thatdifferential privacy assumes independence between records; we use it to define and studythe notion of composition in a broader context than before; we show how to apply it to protectunbounded continuous attributes and aggregate information; and we show how to use it …,Proceedings of the 31st ACM SIGMOD-SIGACT-SIGAI symposium on Principles of Database Systems,2012,88
Big privacy: protecting confidentiality in big data,Ashwin Machanavajjhala; Jerome P Reiter,A tremendous amount of data about individuals—demographic information; Internet activity; energyusage; communication patterns; and social interactions; to mention a few—are being collectedby national statistical agencies; survey organizations; medical centers; and Web and social networkingcompanies. Wide dissemination of such microdata (data at the granularity of individuals) facilitatesadvances in science and public policy; helps citizens to learn about their societies; and enablesstudents to develop data analysis skills. Often; however; data producers cannot release microdataas collected; because doing so could reveal data subjects' identities or values of sensitiveattributes. Failing to protect confidentiality (when promised) is unethical and can cause harmto data subjects and the data provider. Failure to protect individuals' privacy may even beillegal; especially in government and research settings. For example; if one reveals …,XRDS: Crossroads; The ACM Magazine for Students,2012,70
