Mermaid—A front-end to distributed heterogeneous databases,Marjorie Templeton; David Brill; Son K Dao; Eric Lund; Patricia Ward; Arbee LP Chen; Robert MacGregor,Mermaid is a system that allows the user of multiple databases stored under variousrelational DBMSs running on different machines to manipulate the data using a commonlanguage; either ARIEL or SQL. It makes the complexity of this distributed; heterogeneousdata processing transparent to the user. In this paper; we describe the architecture; systemcontrol; user interface; language and schema translation; query optimization; and networkoperation of the Mermaid system. Future research issues are also addressed.,Proceedings of the IEEE,1987,182
A music recommendation system based on music data grouping and user interests,Hung-Chen Chen; Arbee LP Chen,Abstract With the growth of the World Wide Web; a large amount of music data is availableon the Internet. In addition to searching expected music objects for users; it becomesnecessary to develop a recommendation service. In this paper; we design the MusicRecommendation System (MRS) to provide a personalized service of musicrecommendation. The music objects of MIDI format are first analyzed. For each polyphonicmusic object; the representative track is first determined; and then six features are extractedfrom this track. According to the features; the music objects are properly grouped. For users;the access histories are analyzed to derive user interests. The content-based; collaborativeand statistics-based recommendation methods are proposed; which are based on thefavorite degrees of the users to the music groups. A series of experiments are carried out …,Proceedings of the tenth international conference on Information and knowledge management,2001,181
Mining frequent itemsets from data streams with a time-sensitive sliding window,Chih-Hsiang Lin; Ding-Ying Chiu; Yi-Hung Wu; Arbee LP Chen,Abstract Mining frequent itemsets has been widely studied over the last decade. Pastresearch focuses on mining frequent itemsets from static databases. In many of the newapplications; data flow through the Internet or sensor networks. It is challenging to extend themining techniques to such a dynamic environment. The main challenges include a quickresponse to the continuous request; a compact summary of the data stream; and amechanism that adapts to the limited resources. In this paper; we develop a novel approachfor mining frequent itemsets from data streams based on a time-sensitive sliding windowmodel. Our approach consists of a storage structure that captures all possible frequentitemsets and a table providing approximate counts of the expired data items; whose size canbe adjusted by the available storage space. Experiment results show that in our approach …,*,2005,171
Hiding sensitive association rules with limited side effects,Yi-Hung Wu; Chia-Ming Chiang; Arbee LP Chen,Data mining techniques have been widely used in various applications. However; themisuse of these techniques may lead to the disclosure of sensitive information. Researchershave recently made efforts at hiding sensitive association rules. Nevertheless; undesiredside effects; eg; nonsensitive rules falsely hidden and spurious rules falsely generated; maybe produced in the rule hiding process. In this paper; we present a novel approach thatstrategically modifies a few transactions in the transaction database to decrease thesupports or confidences of sensitive rules without producing the side effects. Since thecorrelation among rules can make it impossible to achieve this goal; in this paper; wepropose heuristic methods for increasing the number of hidden sensitive rules and reducingthe number of modified entries. The experimental results show the effectiveness of our …,IEEE Transactions on Knowledge and Data engineering,2007,154
Discovering nontrivial repeating patterns in music data,Jia-Lien Hsu; Chih-Chin Liu; Arbee LP Chen,A repeating pattern in music data is defined as a sequence of notes which appears morethan once in a music object. The themes are a typical kind of repeating patterns. The themesand other nontrivial repeating patterns are important music features which can be used forboth content-based retrieval of music data and music data analysis. In this paper; wepropose two approaches for fast discovering nontrivial repeating patterns in music objects.In the first approach; we develop a data structure called correlative matrix and its associatedalgorithms for extracting the repeating patterns. In the second approach; we introduce astring-join operation and a data structure called RP-tree for the same purpose. Experimentsare performed to compare these two approaches with others. The results are furtheranalyzed to show the efficiency and the effectiveness of our approaches.,IEEE Transactions on Multimedia,2001,151
A graph-based approach for discovering various types of association rules,Show-Jane Yen; Arbee L. P.  Chen,Mining association rules is an important task for knowledge discovery. We can analyze pasttransaction data to discover customer behaviors such that the quality of business decisionscan be improved. Various types of association rules may exist in a large database ofcustomer transactions. The strategy of mining association rules focuses on discovering largeitem sets; which are groups of items which appear together in a sufficient number oftransactions. We propose a graph-based approach to generate various types of associationrules from a large database of customer transactions. This approach scans the databaseonce to construct an association graph and then traverses the graph to generate all largeitem sets. Empirical evaluations show that our algorithms outperform other algorithms whichneed to make multiple passes over the database.,IEEE Transactions on Knowledge and data Engineering,2001,128
An efficient approach to discovering knowledge from large databases,Show-Jane Yen; Arbee LP Chen,We study two problems: mining association rules and mining sequential patterns in a largedatabase of customer transactions. The problem of mining association rules focuses ondiscovering large itemsets where a large itemset is a group of items which appear togetherin a sufficient number of transactions; while the problem of mining sequential patternsfocuses on discovering large sequences where a large sequence is an ordered list of sets ofitems which appear in a sufficient number of transactions. We present efficient graph basedalgorithms to solve these problems. The algorithms construct an association graph toindicate the associations between items and then traverse the graph to generate largeitemsets and large sequences; respectively. Our algorithms need to scan the database onlyonce. Empirical evaluations show that our algorithms outperform other algorithms which …,Parallel and Distributed Information Systems; 1996.; Fourth International Conference on,1996,125
Enabling personalized recommendation on the web based on user interests and behaviors,Yi-Hung Wu; Yong-Chuan Chen; Arbee LP Chen,The dramatic growth of the Web has brought about the rapid accumulation of data and theincreasing possibility of information sharing. As the population on the Web grows; theanalysis of user interests and behaviors will provide hints on how to improve the quality ofservice. We define user interests and behaviors based on the documents read by the user. Amethod for mining such user interests and behaviors is then presented. In this way; eachuser is associated with a set of interests and behaviors; which is stored in the user profile. Inaddition; we define six types of user profiles and a distance measure to classify users intoclusters. Finally; three kinds of recommendation services using the clustered results arerealized. For performance evaluation; we implement these services on the Web to makeexperiments on real data/users. The results show that the average acceptance rates of …,Research Issues in Data Engineering; 2001. Proceedings. Eleventh International Workshop on,2001,113
Optimal index and data allocation in multiple broadcast channels,Shou-Chih Lo; Arbee LP Chen,The issue of data broadcast has received much attention in mobile computing. A periodicbroadcast of frequently requested data can reduce the workload of the up-link channel andfacilitate data access for the mobile user. Since the mobile units usually have limited batterycapacity; the minimization of the access latency for the broadcast data is an importantproblem. The indexing and scheduling techniques on the broadcast data should beconsidered. We propose a solution to find the optimal index and data allocation; whichminimizes the access latency for any number of broadcast channels. We represent all thepossible allocations as a tree in which the optimal one is searched; and propose a pruningstrategy based on some properties to greatly reduce the search space. Experiments areperformed to show the effectiveness of the pruning strategy. Moreover; we propose two …,Data Engineering; 2000. Proceedings. 16th International Conference on,2000,113
Efficient repeating pattern finding in music databases,Jia-Lien Hsu; Arbee LP Chen; C-C Liu,ABSTRACT In this paper; we propose an approach for the extraction of the repeatingpatterns in music objects. A repeating pattern is a sequence of notes which appears morethan once in a music object. It is one of the most important music features which can be usedfor both content-based retrieval of music data and music data analysis. We propose a datastructure called correlative matrix and its associated algorithms for extracting all repeatingpatterns in a music object. Experiments are also performed and the results are analyzed toshow the efficiency and the effectiveness of our approach.,Proceedings of the seventh international conference on Information and knowledge management,1998,113
Senior Member,Haibing Hu; Philipos C Loizou,*,IEEE;“Evaluation of Objective Quality Measures for Speech Enhancement”; IEEE transactions on audio; speech; and language processing,2008,111
Query by rhythm: An approach for song retrieval in music databases,James CC Chen; Arbee LP Chen,We propose techniques for retrieving songs by rhythm from music databases. The rhythm ofsongs is modeled by rhythm strings. The song retrieval problem is then transformed to thestring matching problem. In order to allow approximate string matching; we define similaritymeasures on rhythm strings. An index structure; called L-tree; is proposed to support efficientsub-string matching. Retrieval algorithms based on L-tree are then designed to provideapproximate and sub-song retrieval. Experimental results show that this approach iseffective and efficient.,Research Issues In Data Engineering; 1998.'Continuous-Media Databases and Applications'. Proceedings.; Eighth International Workshop on,1998,103
Efficient theme and non-trivial repeating pattern discovering in music databases,Chih-Chin Liu; Jia-Lien Hsu; Arbee LP Chen,Proposes an approach for the fast discovery of all non-trivial repeating patterns in musicobjects. A repeating pattern is a sequence of notes which appears more than once in amusic object. The longest repeating patterns in music objects are typically their themes. Thethemes and other non-trivial repeating patterns are important musical features which can beused both for content-based retrieval of music data and for music data analysis. We presenta data structure called an RP-tree (repeating pattern tree) and its associated algorithms forthe fast extraction of all non-trivial repeating patterns in a music object. Experiments areperformed to compare this method with related approaches. The results are further analysedto show the efficiency and effectiveness of our approach.,Data Engineering; 1999. Proceedings.; 15th International Conference on,1999,101
Music databases: Indexing techniques and implementation,Ta-Chun Chou; Arbee LP Chen; Chih-Chin Liu,A music database with search-by-content ability is studied. Chords are used to representmusic. The input fault tolerance ability is equipped with the chord-representation model. ThePAT-tree is proposed as the index structure. The" unstructured search" is an importantcharacteristic of PAT-tree. We have implemented a music database system based on thechord-representation model and the PAT-tree index structure.,Multimedia Database Management Systems; 1996.; Proceedings of International Workshop on,1996,95
Evaluating aggregate operations over imprecise data,Arbee LP Chen; Jui-Shang Chiu; Frank Shou-Cheng  Tseng,Imprecise data in databases were originally denoted as null values; which represent themeaning of" values unknown at present." More generally; a partial value corresponds to afinite set of possible values for an attribute in which exactly one of the values is the" true"value. We define a set of extended aggregate operations; namely sum; average; count;maximum; and minimum; which can be applied to an attribute containing partial values. Twotypes of aggregate operators are considered: scalar aggregates and aggregate functions.We study the properties of the aggregate operations and develop efficient algorithms forcount; maximum and minimum. However; for sum and average; we point out that in generalit takes exponential time complexity to do the computations.,IEEE Transactions on Knowledge and Data Engineering,1996,90
Answering heterogeneous database queries with degrees of uncertainty,Frank SC Tseng; Arbee LP Chen; Wei-Pang Yang,Abstract In heterogeneous database systems; partial values have been used to resolvesome schema integration problems. Performing operations on partial values may producemaybe tuples in the query result which cannot be compared. Thus; users have no way todistinguish which maybe tuple is the most possible answer. In this paper; the concept ofpartial values is generalized to probabilistic partial values. We propose an approach toresolve the schema integration problems using probabilistic partial values and develop a fullset of extended relational operators for manipulating relations containing probabilistic partialvalues. With this approach; the uncertain answer tuples of a query are associated withdegrees of uncertainty (represented by probabilities). That provides users a comparisonamong maybe tuples and a better understanding on the query results. Besides; extended …,Distributed and Parallel Databases,1993,88
Optimizing chain queries in a distributed database system,Dah-Ming Chiu; Philip A Bernstein; Yu-Chi Ho,This paper studies the problem of query optimization in a distributed database. Assuming alinear additive cost function (in volume of data moved); we present a fast algorithm forfinding the optimal program that answers a class of common queries; called chain queries.The key to the problem formulation and to the derivation of an efficient algorithm is anelegant parameterization of the database state against which the query is to be answered.This parameterization then enables us to characterize the set of potentially optimalprograms; which in turn leads to a fast dynamic programming algorithm. Since in practice theneeded parameters may not be available to the database system; we also discuss how todeal with partial parameterizations of the database state.,SIAM Journal on Computing,1984,88
Outerjoin optimization in multidatabase systems,Arbee LP Chen,Abstract Outerjoin is used in distributed relational multidatabase systems for integrating localschemas to a global schema. Queries against the global schema need to be modified;optimized; and decomposed into subqueries at local sites for processing. Since outerjoincombines local relations in different databases to form a global relation; it is expensive toprocess. In this paper; based on the structure of the query and the definition of the schemas;queries with outerjoin; join; select and project operations are optimized. Conditions whereouterjoin can be avoided or be transformed into a one-side outerjoin are identified. Byconsidering these conditions the response time for query processing can be reduced.,Proceedings of the second international symposium on Databases in parallel and distributed systems,1990,84
Query by music segments: An efficient approach for song retrieval,Arbee LP Chen; Maggie Chang; Jesse Chen; Jia-Lien Hsu; Chih-How Hsu; Spot YS Hua,We present the techniques for retrieving songs by music segments. A music segmentconsists of a segment type and the associated beat and pitch information. The similaritymeasures for the beat and pitch are defined. Two index structures for music segments areproposed; in which the minimal and maximal values of the beat and pitch of the musicsegments are stored to aid the song retrieval process. Moreover; the threshold propagationfunctions are developed for efficient approximate searching. Experiments are performed toshow the superiority of this approach.,Multimedia and Expo; 2000. ICME 2000. 2000 IEEE International Conference on,2000,83
An approximate string matching algorithm for content-based music data retrieval,Chih-Chin Liu; Jia-Lien Hsu; Arbee LP Chen,An approach for content based music data retrieval is proposed. In this approach; thematicfeature strings; such as melody strings; rhythm strings; and chord strings are extracted fromthe original music objects and treated as the meta data to represent their contents. Theproblem of content based music data retrieval is then transformed into the string matchingproblem. A new approximate string matching algorithm is also proposed which provides faulttolerance ability according to the music characteristics. To show the efficiency of thealgorithm; a set of experiments are performed to compare with the agrep and the fgrep utilityon both synthetic and real music data.,Multimedia Computing and Systems; 1999. IEEE International Conference on,1999,82
An efficient algorithm for mining frequent sequences by a new strategy without support counting,Ding-Ying Chiu; Yi-Hung Wu; Arbee LP Chen,Mining sequential patterns in large databases is an important research topic. The mainchallenge of mining sequential patterns is the high processing cost due to the large amountof data. We propose a new strategy called direct sequence comparison (abbreviated asDISC); which can find frequent sequences without having to compute the support counts ofnonfrequent sequences. The main difference between the DISC strategy and the previousworks is the way to prune nonfrequent sequences. The previous works are based on theantimonotone property; which prune the nonfrequent sequences according to the frequentsequences with shorter lengths. On the contrary; the DISC strategy prunes the nonfrequentsequences according to the other sequences with the same length. Moreover; wesummarize three strategies used in the previous works and design an efficient algorithm …,Data Engineering; 2004. Proceedings. 20th International Conference on,2004,77
A music recommendation system based on music and user grouping,Hung-Chen Chen; Arbee LP Chen,Abstract In this paper; we present a music recommendation system; which provides apersonalized service of music recommendation. The polyphonic music objects of MIDIformat are first analyzed for deriving information for music grouping. For this purpose; therepresentative track of each polyphonic music object is first determined; and then sixfeatures are extracted from this track for proper music grouping. Moreover; the user accesshistories are analyzed to derive the profiles of user interests and behaviors for usergrouping. The content-based; collaborative; and statistics-based recommendation methodsare proposed based on the favorite degrees of the users to the music groups; and the usergroups they belong to. A series of experiments are carried out to show that our approachperforms well.,Journal of Intelligent Information Systems,2005,66
