A draft sequence of the rice genome (Oryza sativa L. ssp. japonica),Stephen A Goff; Darrell Ricke; Tien-Hung Lan; Gernot Presting; Ronglin Wang; Molly Dunn; Jane Glazebrook; Allen Sessions; Paul Oeller; Hemant Varma; David Hadley; Don Hutchison; Chris Martin; Fumiaki Katagiri; B Markus Lange; Todd Moughamer; Yu Xia; Paul Budworth; Jingping Zhong; Trini Miguel; Uta Paszkowski; Shiping Zhang; Michelle Colbert; Wei-lin Sun; Lili Chen; Bret Cooper; Sylvia Park; Todd Charles Wood; Long Mao; Peter Quail; Rod Wing; Ralph Dean; Yeisoo Yu; Andrey Zharkikh; Richard Shen; Sudhir Sahasrabudhe; Alun Thomas; Rob Cannings; Alexander Gutin; Dmitry Pruss; Julia Reid; Sean Tavtigian; Jeff Mitchell; Glenn Eldredge; Terri Scholl; Rose Mary Miller; Satish Bhatnagar; Nils Adey; Todd Rubano; Nadeem Tusneem; Rosann Robinson; Jane Feldhaus; Teresita Macalma; Arnold Oliphant; Steven Briggs,The genome of the japonica subspecies of rice; an important cereal and model monocot;was sequenced and assembled by whole-genome shotgun sequencing. The assembledsequence covers 93% of the 420-megabase genome. Gene predictions on the assembledsequence suggest that the genome contains 32;000 to 50;000 genes. Homologs of 98% ofthe known maize; wheat; and barley proteins are found in rice. Synteny and gene homologybetween rice and the other cereal genomes are extensive; whereas synteny withArabidopsis is limited. Assignment of candidate rice orthologs to Arabidopsis genes ispossible in many cases. The rice genome sequence provides a foundation for theimprovement of cereals; our most important crops.,Science,2002,3493
A draft sequence of the rice genome (Oryza sativa L. ssp. japonica),Stephen A Goff; Darrell Ricke; Tien-Hung Lan; Gernot Presting; Ronglin Wang; Molly Dunn; Jane Glazebrook; Allen Sessions; Paul Oeller; Hemant Varma; David Hadley; Don Hutchison; Chris Martin; Fumiaki Katagiri; B Markus Lange; Todd Moughamer; Yu Xia; Paul Budworth; Jingping Zhong; Trini Miguel; Uta Paszkowski; Shiping Zhang; Michelle Colbert; Wei-lin Sun; Lili Chen; Bret Cooper; Sylvia Park; Todd Charles Wood; Long Mao; Peter Quail; Rod Wing; Ralph Dean; Yeisoo Yu; Andrey Zharkikh; Richard Shen; Sudhir Sahasrabudhe; Alun Thomas; Rob Cannings; Alexander Gutin; Dmitry Pruss; Julia Reid; Sean Tavtigian; Jeff Mitchell; Glenn Eldredge; Terri Scholl; Rose Mary Miller; Satish Bhatnagar; Nils Adey; Todd Rubano; Nadeem Tusneem; Rosann Robinson; Jane Feldhaus; Teresita Macalma; Arnold Oliphant; Steven Briggs,The genome of the japonica subspecies of rice; an important cereal and model monocot;was sequenced and assembled by whole-genome shotgun sequencing. The assembledsequence covers 93% of the 420-megabase genome. Gene predictions on the assembledsequence suggest that the genome contains 32;000 to 50;000 genes. Homologs of 98% ofthe known maize; wheat; and barley proteins are found in rice. Synteny and gene homologybetween rice and the other cereal genomes are extensive; whereas synteny withArabidopsis is limited. Assignment of candidate rice orthologs to Arabidopsis genes ispossible in many cases. The rice genome sequence provides a foundation for theimprovement of cereals; our most important crops.,Science,2002,3493
Diverse RNA viruses elicit the expression of common sets of genes in susceptible Arabidopsis thaliana plants,Steven A Whitham; Sheng Quan; Hur‐Song Chang; Bret Cooper; Bram Estes; Tong Zhu; Xun Wang; Yu‐Ming Hou,Summary Systemic infections of plants by viruses require that viruses modify host cells inorder to facilitate infections. These modifications include induction of host factors required forreplication; propagation and movement; and suppression of host defense responses; whichare likely to be associated with changes in host gene expression. Past studies of the effectsof viral infection on gene expression in susceptible hosts have been limited to only a handfulof genes. To gain broader insight into the responses elicited by viruses in susceptible hosts;high-density oligonucleotide probe microarray technology was used. Arabidopsis leaveswere either mock inoculated or inoculated with cucumber mosaic cucumovirus; oil seed rapetobamovirus; turnip vein clearing tobamovirus; potato virus X potexvirus; or turnip mosaicpotyvirus. Inoculated leaves were collected at 1; 2; 4; and 5 days after inoculation; total …,The Plant Journal,2003,327
CTR1 phosphorylates the central regulator EIN2 to control ethylene hormone signaling from the ER membrane to the nucleus in Arabidopsis,Chuanli Ju; Gyeong Mee Yoon; Jennifer Marie Shemansky; David Y Lin; Z Irene Ying; Jianhong Chang; Wesley M Garrett; Mareike Kessenbrock; Georg Groth; Mark L Tucker; Bret Cooper; Joseph J Kieber; Caren Chang,Abstract The gaseous phytohormone ethylene C 2 H 4 mediates numerous aspects ofgrowth and development. Genetic analysis has identified a number of critical elements inethylene signaling; but how these elements interact biochemically to transduce the signalfrom the ethylene receptor complex at the endoplasmic reticulum (ER) membrane totranscription factors in the nucleus is unknown. To close this gap in our understanding of theethylene signaling pathway; the challenge has been to identify the target of theCONSTITUTIVE TRIPLE RESPONSE1 (CTR1) Raf-like protein kinase; as well as themolecular events surrounding ETHYLENE-INSENSITIVE2 (EIN2); an ER membrane-localized Nramp homolog that positively regulates ethylene responses. Here wedemonstrate that CTR1 interacts with and directly phosphorylates the cytosolic C-terminal …,Proceedings of the National Academy of Sciences,2012,255
A network of rice genes associated with stress response and seed development,Bret Cooper; Joseph D Clarke; Paul Budworth; Joel Kreps; Don Hutchison; Sylvia Park; Sonia Guimil; Molly Dunn; Peter Luginbühl; Cinzia Ellero; Stephen A Goff; Jane Glazebrook,Abstract We used a systematic approach to build a network of genes associated withdevelopmental and stress responses in rice by identifying interaction domains for 200proteins from stressed and developing tissues; by measuring the associated geneexpression changes in different tissues exposed to a variety of environmental; biological;and chemical stress treatments; and by localizing the cognate genes to regions of stress-tolerance trait genetic loci. The integrated data set suggests that similar genes respond toenvironmental cues and stresses; and some may also regulate development. Wedemonstrate that the data can be used to correctly predict gene function in monocots anddicots. As a result; we have identified five genes that contribute to disease resistance inArabidopsis.,Proceedings of the National Academy of Sciences,2003,231
A defective movement protein of TMV in transgenic plants confers resistance to multipleviruses whereas the functional analog increases susceptibility,Bret Cooper; Moshe Lapidot; James A Heick; J Allan Dodds; Roger N Beachy,Abstract Transgenic tobacco plants that express a gene encoding a defective mutant of thetobacco mosaic virus (TMV) movementprotein which are known to be resistant to severaltobamoviruses were inoculated with viruses from different taxonomic groups to determinethe breadth of resistance. There were significant delays in the time of appearance of diseasesymptoms and/or there was reduced systemic accumulation of virus in upper leaves ofplants inoculated with tobacco rattle tobravirus; tobacco ringspot nepovirus; alfalfa mosaicalfamovirus; peanut chlorotic streak caulimovirus; and cucumber mosaic cucumovirus.Conversely; tobacco plants that express a gene encoding the functional tobacco mosaicvirus wild-type movement protein accelerated symptom development; enhanced the severityof symptom formation; and/or increased the accumulation of these viruses and …,Virology,1995,199
Constitutive salicylic acid‐dependent signaling in cpr1 and cpr6 mutants requires PAD4,Dayadevi Jirage; Nan Zhou; Bret Cooper; Joseph D Clarke; Xinnian Dong; Jane Glazebrook,Summary Salicylic acid (SA)-dependent signaling controls activation of a set of plantdefense mechanisms that are important for resistance to a variety of microbial pathogens.Many Arabidopsis mutants that display altered SA-dependent signaling have been isolated.We used double mutant analysis to determine the relative positions of the pad4; cpr1; cpr5;cpr6; dnd1 and dnd2 mutations in the signal transduction network leading to SA-dependentactivation of defense gene expression and disease resistance. The pad4 mutation causesfailure of SA accumulation in response to infection by certain pathogens; while the othermutations cause constitutively high levels of SA; defense gene expression and resistance.The cpr1 pad4; cpr5 pad4; cpr6 pad4; dnd1 pad4 and dnd2 pad4 double mutants wereconstructed and assayed for stature; presence of spontaneous lesions; resistance to …,The Plant Journal,2001,125
Establishment of a protein reference map for soybean root hair cells,Laurent Brechenmacher; Joohyun Lee; Sherri Sachdev; Zhao Song; Tran Hong Nha Nguyen; Trupti Joshi; Nathan Oehrle; Marc Libault; Brian Mooney; Dong Xu; Bret Cooper; Gary Stacey,Root hairs are single tubular cells formed from the differentiation of epidermal cells on roots.They are involved in water and nutrient uptake and represent the infection site onleguminous roots by rhizobia; soil bacteria that establish a nitrogen-fixing symbiosis. Roothairs develop by polar cell expansion or tip growth; a unique mode of plant growth sharedonly with pollen tubes. A more complete characterization of root hair cell biology will lead toa better understanding of tip growth; the rhizobial infection process; and also lead toimprovements in plant water and nutrient uptake. We analyzed the proteome of isolatedsoybean (Glycine max) root hair cells using two-dimensional polyacrylamide gelelectrophoresis (2D-PAGE) and shotgun proteomics (1D-PAGE-liquid chromatography andmultidimensional protein identification technology) approaches. Soybean was selected …,Plant physiology,2009,89
Investigative proteomics: identification of an unknown plant virus from infected plants using mass spectrometry,Bret Cooper; Donna Eckert; Nancy L Andon; John R Yates III; Paul A Haynes,Abstract We describe the identification of a previously uncharacterized plant virus that iscapable of infecting Nicotiana spp. and Arabidopsis thaliana. Protein extracts were firstprepared from leaf tissue of uninfected tobacco plants; and the proteins were visualized withtwo-dimensional electrophoresis (2-DE). Matching gels were then run using protein extractsof a tobacco plant infected with tobacco mosaic virus (TMV). After visual comparison; theproteins spots that were differentially expressed in infected plant tissues were cut from thegels and analyzed by high performance liquid chromatography-tandem mass spectrometry(HPLC-MS/MS). Tandem mass spectrometry data of individual peptides was searched withSEQUEST. Using this approach we demonstrated a successful proof-of-concept experimentby identifying TMV proteins present in the total protein extract. The same procedure was …,Journal of the American Society for Mass Spectrometry,2003,87
Domains of the TMV movement protein involved in subcellular localization,Theodore W Kahn; Moshe Lapidot; Manfred Heinlein; Christoph Reichel; Bret Cooper; Ron Gafny; Roger N Beachy,Summary To identify and map functionally important regions of the tobacco mosaic virusmovement protein; deletions of three amino acids were introduced at intervals of 10 aminoacids throughout the protein. Mutations located between amino acids 1 and 160 abolishedthe capacity of the protein to transport virus from cell to cell; while some of the mutations inthe C-terminal third of the protein permitted function. Despite extensive tests; no exampleswere found of intermolecular complementation between mutants; suggesting that functionrequires each movement protein molecule to be fully competent. Many of the mutants werefused to green fluorescent protein; and their subcellular localizations were determined byfluorescence microscopy in infected plants and protoplasts. Most mutants lost the ability toaccumulate in one or more of the multiple subcellular sites targeted by wild-type …,The Plant Journal,1998,82
