On indoor position location with wireless LANs,Phongsak Prasithsangaree; Prashant Krishnamurthy; Panos Chrysanthis,Location aware services are becoming attractive with the deployment of next generationwireless networks and broadband multimedia wireless networks especially in indoor andcampus areas. To provide location aware services; obtaining the position of a useraccurately is important. While it is possible to deploy additional infrastructure for thispurpose; using existing communications infrastructure is preferred for cost reasons. Becauseof technical restrictions; location fingerprinting schemes are the most promising. In this paperwe present a systematic study of the performance tradeoff and deployment issues. In thispaper we present some experimental results towards such a systematic study and discusssome issues related to the indoor positioning problem.,Personal; Indoor and Mobile Radio Communications; 2002. The 13th IEEE International Symposium on,2002,518
Synthesis of extended transaction models using ACTA,Panos K Chrysanthis; Krithi Ramamritham,Abstract ACTA is a comprehensive transaction framework that facilitates the formaldescription of properties of extended transaction models. Specifically; using ACTA; one canspecify and reason about (1) the effects of transactions on objects and (2) the interactionsbetween transactions. This article presents ACTA as a tool for the synthesis of extendedtransaction models; one which supports the development and analysis of new extendedtransaction models in a systematic manner. Here; this is demonstrated by deriving newtransaction definitions (1) by modifying the specifications of existing transaction models;(2)by combining the specifications of existing models; and (3) by starting from first principles. Toexemplify the first; new models are synthesized from atomic transactions and jointransactions. To illustrate the second; we synthesize a model that combines aspect of the …,ACM Transactions on Database Systems (TODS),1994,336
Balancing energy efficiency and quality of aggregate data in sensor networks,Mohamed A Sharaf; Jonathan Beaver; Alexandros Labrinidis; Panos K Chrysanthis,Abstract. In-network aggregation has been proposed as one method for reducing energyconsumption in sensor networks. In this paper; we explore two ideas related to furtherreducing energy consumption in the context of in-network aggregation. The first is byinfluencing the construction of the routing trees for sensor networks with the goal of reducingthe size of transmitted data. To this end; we propose a group-aware network configurationmethod that “clusters” along the same path sensor nodes that belong to the same group. Thesecond idea involves imposing a hierarchy of output filters on the sensor network with thegoal of both reducing the size of transmitted data and minimizing the number of transmittedmessages. More specifically; we propose a framework to use temporal coherency tolerancesin conjunction with in-network aggregation to save energy at the sensor nodes while …,The VLDB journal,2004,319
TiNA: a scheme for temporal coherency-aware in-network aggregation,Mohamed A Sharaf; Jonathan Beaver; Alexandros Labrinidis; Panos K Chrysanthis,Abstract This paper presents TiNA; a scheme for minimizing energy consumption in sensornetworks by exploiting end-user tolerance to temporal coherency. TiNA utilizes temporalcoherency tolerances to both reduce the amount of information transmitted by individualnodes (communication cost dominates power usage in sensor networks); and to improvequality of data when not all sensor readings can be propagated up the network within agiven time constraint. TiNA was evaluated against a traditional in-network aggregationscheme with respect to power savings as well as the quality of data for aggregate queries.Preliminary results show that TiNA can reduce power consumption by up to 50% without anyloss in the quality of data.,Proceedings of the 3rd ACM international workshop on Data engineering for wireless and mobile access,2003,312
Transaction processing in mobile computing environment,Panos K Chrysanthis,Distributed systems are expected to support mobile computations executed over a computernetwork of fixed and mobile hosts. The authors examine the requirements for structuringsuch mobile computations that access shared data in a database; argue that open-nestingcan better facilitate these requirements; and propose an Open-Nested Transaction model ina mobile environment using the notion of Reporting Transactions and Co-Transactions.,Advances in Parallel and Distributed Systems; 1993.; Proceedings of the IEEE Workshop on,1993,238
ACTA: the SAGA continues,Panos K Chrysanthis; Krithi Ramamritham,Abstract ACTA is a comprehensive transaction framework that permits a transaction modelerto specify the e ects of extended transactions on each other and on objects in the database.ACTA allows the speci cation of (1) the interactions between transactions in terms ofrelationships between signi cant (transaction management) events; such as begin; commit;abort; delegate; split; and join; pertaining to di erent transactions and (2) transactions'e ectson objects' state and concurrency status (ie; synchronization state). Various extendedtraditional models have been proposed to deal with applications that involve reactive(endless); open-ended (long-lived) and collaborative (interactive) activities. One such modelis Sagas GS87] A Saga is a set of relatively independent (component) transactions T1; T2;...;Tn which can interleave in any way with component transactions of other Sagas …,*,1992,177
Supporting semantics-based transaction processing in mobile database applications,Gary D Walborn; Panos K Chrysanthis,Advances in computer and telecommunication technologies have made mobile computing areality. However; greater mobility implies a more tenuous network connection and a higherrate of disconnection. In order to tolerate disconnections as well as to reduce the delays andcost of wireless communication; it is necessary to support autonomous mobile operations ondata shared by stationary hosts. This would allow the part of a computation executing on amobile host to continue executing while the mobile host is not connected to the network. Inthis paper; we examine whether object semantics can be exploited to facilitate autonomousand disconnected operation in mobile database applications. We define the class offragmentable objects which may be split among a number of sites; operated uponindependently at each site; and then recombined in a semantically consistent fashion. A …,Reliable Distributed Systems; 1995. Proceedings.; 14th Symposium on,1995,159
A formalism for extended transaction model,Panos K Chrysanthis; Krithi Ramamritham,Note: OCR errors may be found in this Reference List extracted from the full text article. ACMhas opted to expose the complete List rather than only correct and linked references … [2] FrançoisBancilhon; Won Kim; Henry F. Korth: A Model of CAD Transactions. VLDB 1985: 25-33 …[4] Buchmann; A.; Hornick; M. Markatos; E.; and Chronaki; C. Specification of a Transaction Mechanismfor a Distributed Active Object System. In Proceedings of the OOPSLA/ECOOP 90 Workshopon Transactions and Objects; pages 1-9; Ottawa; Canada; October 1990 … [11] ElmagarmidA. (Issue Editor). Special Issue on Unconventional Transaction Management. IEEE TechnicalCommittee on Data Engineering; 14(1); March 1991 … [16] Jim Gray: The TransactionConcept: Virtues and Limitations (Invited Paper). VLDB 1981: 144-154 … [21] Korth; HF andSpeegle; G. Encapsulation of Transaction Management in Object Databases. In …,Proceedings of the 17th International Conference on Very Large Data Bases,1991,121
Scalable processing of read-only transactions in broadcast push,Evaggelia Pitoura; Panos K Chrysanthis,Recently; push-based delivery has attracted considerable attention as a means ofdisseminating information to large client populations in both wired and wireless settings. Weaddress the problem of ensuring the consistency and currency of client read-onlytransactions in the presence of updates. To this end; additional control information isbroadcast. A suite of methods is proposed that vary in the complexity and volume of thecontrol information transmitted and subsequently differ in response times; degrees ofconcurrency; and space and processing overheads. The proposed methods are combinedwith caching to improve query latency. The relative advantages of each method aredemonstrated through both simulation results and qualitative arguments. Read-onlytransactions are processed locally at the client without contacting the server and thus the …,Distributed Computing Systems; 1999. Proceedings. 19th IEEE International Conference on,1999,117
A taxonomy of correctness criteria in database applications,Krithi Ramamritham; Panos K Chrysanthis,Abstract Whereas serializability captures database consistency requirements andtransaction correctness properties via a single notion; recent research has attempted tocome up with correctness criteria that view these two types of requirements independently.The search for more flexible correctness criteria is partily motivated by the introduction ofnew transaction models that extend the traditional atomic transaction model. Theseextensions came about because the atomic transaction model in conjunction withserializability is found to be very constraining when used in advanced applications (eg;design databases) that function in distributed; cooperative; and heterogeneousenvironments. In this article we develop a taxonomy of various correctness criteria that focuson database consistency requirements and transaction correctness properties from the …,The VLDB Journal—The International Journal on Very Large Data Bases,1996,117
