uFLIP: Understanding flash IO patterns,Luc Bouganim; Björn Jónsson; Philippe Bonnet,Abstract: Does the advent of flash devices constitute a radical change for secondarystorage? How should database systems adapt to this new form of secondary storage?Before we can answer these questions; we need to fully understand the performancecharacteristics of flash devices. More specifically; we want to establish what kind of IOsshould be favored (or avoided) when designing algorithms and architectures for flash-basedsystems. In this paper; we focus on flash IO patterns; that capture relevant distribution of IOsin time and space; and our goal is to quantify their performance. We define uFLIP; abenchmark for measuring the response time of flash IO patterns. We also present abenchmarking methodology which takes into account the particular characteristics of flashdevices. Finally; we present the results obtained by measuring eleven flash devices; and …,arXiv preprint arXiv:0909.1780,2009,210
Chip-secured data access: Confidential data on untrusted servers,Luc Bouganim; Philippe Pucheral,The rapid growth of ubiquitous computing impels mobile users to store personal data on theWeb to increase its availability. In the same way; corporate databases are made increasinglyaccessible to authorized employees over the Internet. Small businesses are prompted todelegate part of their information system to Web-hosting companies or database serviceproviders (DSP) that guarantee data resiliency; consistency; and high availability.Confidential data threatened by attackers is manifold: information related to the private life ofindividuals (for example; agenda; address book; bookmarks; medical records; householdexpenses); credit card numbers; patents; business strategies; diplomatic; or military secrets.Even ordinary data may become sensitive once grouped and well organized in databases.Customers have no other choice than trusting DSP's argument that their systems are fully …,*,2002,184
PicoDBMS: Scaling down database techniques for the smartcard,Christophe Bobineau; Luc Bouganim; Philippe Pucheral; Patrick Valduriez,Abstract Smartcards are the most secure portable computing device today. They have beenused successfully in applications involving money; proprietary and personal data (such asbanking; healthcare; insurance; etc.). As smartcards get more powerful (with 32 bit CPU andmore than 1 MB of stable memory in the next versions) and become multi-application; theneed for database management arises. However; smartcards have severe hardwarelimitations (very slow write; very little RAM; constrained stable memory; no autonomy; etc.)which make traditional database technology irrelevant. The major problem is scaling downdatabase techniques so they perform well under these limitations. In this paper; we give anin-depth analysis of this problem and propose a PicoDBMS solution based on highlycompact data structures and query execution without RAM. We show the effectiveness of …,VLDB,2000,132
Client-based access control management for XML documents,Luc Bouganim; François Dang Ngoc; Philippe Pucheral,Abstract The erosion of trust put in traditional database servers and in Database ServiceProviders; the growing interest for different forms of data dissemination and the concern forprotecting children from suspicious Internet content are different factors that lead to move theaccess control from servers to clients. Several encryption schemes can be used to serve thispurpose but all suffer from a static way of sharing data. With the emergence of hardware andsoftware security elements on client devices; more dynamic client-based access controlschemes can be devised. This paper proposes an efficient client-based evaluator of accesscontrol rules for regulating access to XML documents. This evaluator takes benefit from adedicated index to quickly converge towards the authorized parts of a-potentially streaming-document. Additional security mecanisms guarantee that prohibited data can never be …,Proceedings of the Thirtieth international conference on Very large data bases-Volume 30,2004,130
Dynamic load balancing in hierarchical parallel database systems,Luc Bouganim; Daniela Florescu; Patrick Valduriez,We consider the execution of multi-join queries in a hierarchical parallel system; ie; a shared-nothing system whose nodes are shared-memory multiprocessors. In this context; loadbalancing must be addressed at two levels; locally among the processors of each shared-memory node and globally among all nodes. In this paper; we propose a dynamic executionmodel that maximizes local load balancing within shared-memory nodes and minimizes theneed for load sharing across nodes. This is obtained by allowing each processor to executeany operator that can be processed locally; thereby taking full advantage of inter-and intra-operator parallelism. We conducted a performance evaluation using an implementation on a72-processo-r KSR1 computer. The experiments with many queries and large relationsshow very good speedup results; even with highly skewed data. We show that; in shared …,*,1996,111
PicoDBMS: Scaling down database techniques for the smartcard,Philippe Pucheral; Luc Bouganim; Patrick Valduriez; Christophe Bobineau,Abstract Smartcards are the most secure portable computing device today. They have beenused successfully in applications involving money; and proprietary and personal data (suchas banking; healthcare; insurance; etc.). As smartcards get more powerful (with 32-bit CPUand more than 1 MB of stable memory in the next versions) and become multi-application;the need for database management arises. However; smartcards have severe hardwarelimitations (very slow write; very little RAM; constrained stable memory; no autonomy; etc.)which make traditional database technology irrelevant. The major problem is scaling downdatabase techniques so they perform well under these limitations. In this paper; we give anin-depth analysis of this problem and propose a PicoDBMS solution based on highlycompact data structures; query execution without RAM; and specific techniques for …,The VLDB Journal—The International Journal on Very Large Data Bases,2001,90
Dynamic query scheduling in data integration systems,Luc Bouganim; Françoise Fabret; Chandrasekaran Mohan; Patrick Valduriez,Execution plans produced by traditional query optimizers for data integration queries mayyield poor performance for several reasons. The cost estimates may be inaccurate; thememory available at run-time may be insufficient; or data delivery rate can be unpredictable.We address the problem of unpredictable data arrival rate. We propose to dynamicallyschedule queries in order to deal with irregular data delivery rate and gracefully adapt to theavailable memory. Our approach performs careful step-by-step scheduling of several queryfragments and processes these fragments based on data arrivals. We describe aperformance evaluation that shows important performance gains in several configurations.,Data Engineering; 2000. Proceedings. 16th International Conference on,2000,80
Secure personal data servers: a vision paper,Tristan Allard; Nicolas Anciaux; Luc Bouganim; Yanli Guo; Lionel Le Folgoc; Benjamin Nguyen; Philippe Pucheral; Indrajit Ray; Indrakshi Ray; Shaoyi Yin,Abstract An increasing amount of personal data is automatically gathered and stored onservers by administrations; hospitals; insurance companies; etc. Citizen themselves oftencount on internet companies to store their data and make them reliable and highly availablethrough the internet. However; these benefits must be weighed against privacy risks incurredby centralization. This paper suggests a radically different way of considering themanagement of personal data. It builds upon the emergence of new portable and securedevices combining the security of smart cards and the storage capacity of NAND Flashchips. By embedding a full-fledged Personal Data Server in such devices; user control ofhow her sensitive data is shared by others (by whom; for how long; according to which rule;for which purpose) can be fully reestablished and convincingly enforced. To give sense to …,Proceedings of the VLDB Endowment,2010,64
A dynamic query processing architecture for data integration systems,Luc Bouganim; Françoise Fabret; C Mohan; Patrick Valduriez,Abstract Execution plans produced by traditional query optimizers for data integrationqueries may yield poor performance for several reasons. The cost estimates may beinaccurate; the memory available at run-time may be insufficient; or the data delivery ratecan be unpredictable. All these problems have led database researchers and implementorsto resort to dynamic strategies to correct or adapt the static QEP. In this paper; we identify thedifferent basic techniques that must be integrated in a dynamic query engine. Following onour recent work [6] on the problem of unpredictable data arrival rates; we propose a dynamicquery processing architecture which includes three dynamic layers: the dynamic queryoptimizer; the scheduler and the query evaluator. Having a three-layer dynamic architectureallows reducing significantly the overheads of the dynamic strategies.,IEEE Data Eng. Bull.,2000,50
Handbook of research on secure multimedia distribution,Shiguo Lian,New technologies and concepts are constantly being developed within multimediadistribution. In such an ever-evolving environment; academicians; researchers; andprofessionals of this discipline need access to the most current information about theconcepts; issues; trends; and technologies in this emerging field. The Handbook ofResearch on Secure Multimedia Distribution provides the latest research on securemultimedia content distribution; embracing a wide variety of aspects and providing ascientifically and scholarly sound treatment of state-of-the-art techniques to students;researchers; and academicians interested or involved in the study; research; use; design;and development of techniques related to multimedia distribution.,*,2009,49
GhostDB: querying visible and hidden data without leaks,Nicolas Anciaux; Mehdi Benzine; Luc Bouganim; Philippe Pucheral; Dennis Shasha,Abstract Imagine that you have been entrusted with private data; such as corporate productinformation; sensitive government information; or symptom and treatment information abouthospital patients. You may want to issue queries whose result will combine private andpublic data; but private data must not be revealed. GhostDB is an architecture and system toachieve this. You carry private data in a smart USB key (a large Flash persistent storecombined with a tamper and snoop-resistant CPU and small RAM). When the key is pluggedin; you can issue queries that link private and public data and be sure that the onlyinformation revealed to a potential spy is which queries you pose. Queries linking public andprivate data entail novel distributed processing techniques on extremely unequal devices(standard computer and smart USB key). This paper presents the basic framework to …,Proceedings of the 2007 ACM SIGMOD international conference on Management of data,2007,43
Memory-adaptive scheduling for large query execution,Luc Bouganim; Olga Kapitskaia; Patrick Valduriez,Abstract The execution time of a large query depends mainly on the memory utilizationwhich should avoid disk accesses for intermediate results. Poor memory management canhurt performance and even lead to system thrashing because of paging. However; memorymanagement optimization is hard to incorporate in a query optimizer because of costestimate errors. In this paper; we address the problem of efficient memory management forlarge query execution. We propose a static memory allocation scheme applied at start-uptime; and a more efficient dynamic execution model which performs memory-adaptivescheduling of the query. Our execution model handles graciously memory overflow and isrobust to cost estimate errors. We describe a performance evaluation using a prototypeimplementation. The experiments with many queries show significant gain (35% to 50 …,Proceedings of the seventh international conference on Information and knowledge management,1998,36
Trusted Cells: A Sea Change for Personal Data Services.,Nicolas Anciaux; Philippe Bonnet; Luc Bouganim; Benjamin Nguyen; Iulian Sandu Popa; Philippe Pucheral,ABSTRACT How do you keep a secret about your personal life in an age where yourdaughter's glasses record and share everything she senses; your wallet records and sharesyour financial transactions; and your set-top box records and shares your family's energyconsumption? Your personal data has become a prime asset for many companies aroundthe Internet; but can you avoid--or even detect--abusive usage? Today; there is a wideconsensus that individuals should have increased control on how their personal data iscollected; managed and shared. Yet there is no appropriate technical solution to implementsuch personal data services: centralized solutions sacrifice security for innovativeapplications; while decentralized solutions sacrifice innovative applications for security. Inthis paper; we argue that the advent of secure hardware in all personal IT devices; at the …,CIDR,2013,34
Database encryption,Luc Bouganim; Yanli Guo,Background The Data Encryption Standard (DES)[] has been around for more thanyears. During this time; the standard was revised three times: as FIPS-- in; asFIPS-- in; and as FIPS-- in. DES was an outcome of a call forprimitives in; which did not result in many serious candidates except for apredecessor of DES; Lucifer [;] designed by IBM around. It took another year fora joint IBM–NSA effort to turn Lucifer into DES. The structure of Lucifer was significantlyaltered: Since the design rationale was never made public and the secret key size wasreduced from-bit to-bits; this initially resulted in controversy; and some distrustamong the public. After some delay; FIPS- was published by NBS (National Bureau ofStandards)–now NIST (National Institute of Standards and Technology)–on January; …,*,2011,34
PicoDBMS: validation and experience,Nicolas Anciaux; Christophe Bobineau; Luc Bouganim; Philippe Pucheral; Patrick Valduriez,The PicoDBMS exploits a combination of &; dfe gfhhijl k pr qsdpk t and u vwhxz y. By storingthe attribute values embedded in the tuples; FS is adequate when the attribute does notpresent value redundancy. DS precludes any duplicate value to occur by grouping values indomains and by using references in place of the attribute values. RS addresses indexcompactness. RS links together all tuples sharing the same attribute value through a circularchain of pointer headed by this value. This chain of pointer is stored again in place of theattribute values; providing a similar and compact implementation of both select and joinindices. Traditional query processing uses main memory or disk for storing intermediateresults. The RAM and write rules preclude the use of these algorithms in our context. Inaddition; the security rule precludes any intermediate results to be externalized outside of …,VLDB,2001,32
