Twitterstand: news in tweets,Jagan Sankaranarayanan; Hanan Samet; Benjamin E Teitler; Michael D Lieberman; Jon Sperling,Abstract Twitter is an electronic medium that allows a large user populace to communicatewith each other simultaneously. Inherent to Twitter is an asymmetrical relationship betweenfriends and followers that provides an interesting social network like structure among theusers of Twitter. Twitter messages; called tweets; are restricted to 140 characters and thusare usually very focused. We investigate the use of Twitter to build a news processingsystem; called TwitterStand; from Twitter tweets. The idea is to capture tweets thatcorrespond to late breaking news. The result is analogous to a distributed news wire service.The difference is that the identities of the contributors/reporters are not known in advanceand there may be many of them. Furthermore; tweets are not sent according to a schedule:they occur as news is happening; and tend to be noisy while usually arriving at a high …,Proceedings of the 17th acm sigspatial international conference on advances in geographic information systems,2009,656
Scalable network distance browsing in spatial databases,Hanan Samet; Jagan Sankaranarayanan; Houman Alborzi,Abstract An algorithm is presented for finding the k nearest neighbors in a spatial network ina best-first manner using network distance. The algorithm is based on precomputing theshortest paths between all possible vertices in the network and then making use of anencoding that takes advantage of the fact that the shortest paths from vertex u to all of theremaining vertices can be decomposed into subsets based on the first edges on the shortestpaths to them from u. Thus; in the worst case; the amount of work depends on the number ofobjects that are examined and the number of links on the shortest paths to them from q;rather than depending on the number of vertices in the network. The amount of storagerequired to keep track of the subsets is reduced by taking advantage of their spatialcoherence which is captured by the aid of a shortest path quadtree. In particular …,Proceedings of the 2008 ACM SIGMOD international conference on Management of data,2008,288
NewsStand: A new view on news,Benjamin E Teitler; Michael D Lieberman; Daniele Panozzo; Jagan Sankaranarayanan; Hanan Samet; Jon Sperling,Abstract News articles contain a wealth of implicit geographic content that if exposed toreaders improves understanding of today's news. However; most articles are not explicitlygeotagged with their geographic content; and few news aggregation systems expose thiscontent to users. A new system named NewsStand is presented that collects; analyzes; anddisplays news stories in a map interface; thus leveraging on their implicit geographiccontent. NewsStand monitors RSS feeds from thousands of online news sources andretrieves articles within minutes of publication. It then extracts geographic content fromarticles using a custom-built geotagger; and groups articles into story clusters using a fastonline clustering algorithm. By panning and zooming in NewsStand's map interface; userscan retrieve stories based on both topical significance and geographic region; and see …,Proceedings of the 16th ACM SIGSPATIAL international conference on Advances in geographic information systems,2008,156
A fast all nearest neighbor algorithm for applications involving large point-clouds,Jagan Sankaranarayanan; Hanan Samet; Amitabh Varshney,Abstract Algorithms that use point-cloud models make heavy use of the neighborhoods ofthe points. These neighborhoods are used to compute the surface normals for each point;mollification; and noise removal. All of these primitive operations require the seeminglyrepetitive process of finding the k nearest neighbors (kNNs) of each point. These algorithmsare primarily designed to run in main memory. However; rapid advances in scanningtechnologies have made available point-cloud models that are too large to fit in the mainmemory of a computer. This calls for more efficient methods of computing the kNNs of alarge collection of points many of which are already in close proximity. A fast kNN algorithmis presented that makes use of the locality of successive points whose k nearest neighborsare sought to reduce significantly the time needed to compute the neighborhood needed …,Computers & Graphics,2007,130
STEWARD: architecture of a spatio-textual search engine,Michael D Lieberman; Hanan Samet; Jagan Sankaranarayanan; Jon Sperling,Abstract STEWARD (" Spatio-Textual Extraction on the Web Aiding Retrieval ofDocuments"); a system for extracting; querying; and visualizing textual references togeographic locations in unstructured text documents; is presented. Methods for retrievingand processing web documents; extracting and disambiguating georeferences; andidentifying geographic focus are described. A brief overview of STEWARD's queryingcapabilities; as well as the design of an intuitive user interface; are provided. Finally; severalapplication scenarios and future extensions to STEWARD are discussed.,Proceedings of the 15th annual ACM international symposium on Advances in geographic information systems,2007,126
A fast similarity join algorithm using graphics processing units,Michael D Lieberman; Jagan Sankaranarayanan; Hanan Samet,A similarity join operation AB takes two sets of points A; B and a value¿ R; and outputs pairsof points pA; qB; such that the distance D (p; q)¿. Similarity joins find use in a variety of fields;such as clustering; text mining; and multimedia databases. A novel similarity join algorithmcalled LSS is presented that executes on a Graphics Processing Unit (GPU); exploiting itsparallelism and high data throughput. As GPUs only allow simple data operations such asthe sorting and searching of arrays; LSS uses these two operations to cast a similarity joinoperation as a GPU sort-and-search problem. It first creates; on the fly; a set of space-fillingcurves on one of its input datasets; using a parallel GPU sort routine. Next; LSS processeseach point p of the other dataset in parallel. For each p; it searches an interval of one of thespace-filling curves guaranteed to contain all the pairs in which p participates. Using …,Data Engineering; 2008. ICDE 2008. IEEE 24th International Conference on,2008,124
Geotagging with local lexicons to build indexes for textually-specified spatial data,Michael D Lieberman; Hanan Samet; Jagan Sankaranarayanan,The successful execution of location-based and feature-based queries on spatial databasesrequires the construction of spatial indexes on the spatial attributes. This is not simple whenthe data is unstructured as is the case when the data is a collection of documents such asnews articles; which is the domain of discourse; where the spatial attribute consists of textthat can be (but is not required to be) interpreted as the names of locations. In other words;spatial data is specified using text (known as a toponym) instead of geometry; which meansthat there is some ambiguity involved. The process of identifying and disambiguatingreferences to geographic locations is known as geotagging and involves using acombination of internal document structure and external knowledge; including a document-independent model of the audience's vocabulary of geographic locations; termed its …,Data Engineering (ICDE); 2010 IEEE 26th International Conference on,2010,108
Efficient query processing on spatial networks,Jagan Sankaranarayanan; Houman Alborzi; Hanan Samet,Abstract A framework for determining the shortest path and the distance between every pairof vertices on a spatial network is presented. The framework; termed SILC; uses pathcoherence between the shortest path and the spatial positions of vertices on the spatialnetwork; thereby; resulting in an encoding that is compact in representation and fast in pathand distance retrievals. Using this framework; a wide variety of spatial queries such asincremental nearest neighbor searches and spatial distance joins can be shown to work ondatasets of locations residing on a spatial network of sufficiently large size. The suggestedframework is suitable for both main memory and disk-resident datasets.,Proceedings of the 13th annual ACM international workshop on Geographic information systems,2005,107
Path oracles for spatial networks,Jagan Sankaranarayanan; Hanan Samet; Houman Alborzi,Abstract The advent of location-based services has led to an increased demand forperforming operations on spatial networks in real time. The challenge lies in being able tocast operations on spatial networks in terms of relational operators so that they can beperformed in the context of a database. A linear-sized construct termed a path oracle isintroduced that compactly encodes the n 2 shortest paths between every pair of vertices in aspatial network having n vertices thereby reducing each of the paths to a single tuple in arelational database and enables finding shortest paths by repeated application of a singleSQL SELECT operator. The construction of the path oracle is based on the observedcoherence between the spatial positions of both source and destination vertices and theshortest paths between them which facilitates the aggregation of source and destination …,Proceedings of the VLDB Endowment,2009,94
Identification of live news events using Twitter,Alan Jackoway; Hanan Samet; Jagan Sankaranarayanan,Abstract Twitter presents a source of information that cannot easily be obtained anywhereelse. However; though many posts on Twitter reveal up-to-the-minute information aboutevents in the world or interesting sentiments; far more posts are of no interest to the generalaudience. A method to determine which Twitter users are posting reliable information andwhich posts are interesting is presented. Using this information a search through a large;online news corpus is conducted to discover future events before they occur along withinformation about the location of the event. These events can be identified with a highdegree of accuracy by verifying that an event found in one news article is found in othersimilar news articles; since any event interesting to a general audience will likely have morethan one news story written about it. Twitter posts near the time of the event can then be …,Proceedings of the 3rd ACM SIGSPATIAL International Workshop on Location-Based Social Networks,2011,71
