Supervised Hashing with Kernels,W Liu; J Wang; R Ji; YG Jiang; SF Chang,Recent years have witnessed the growing popularity of hashing in large-scale visionproblems. It has been shown that the hashing quality could be boosted by leveragingsupervised information into hash function learning. However; the existing supervisedmethods either lack adequate performance or often incur cumbersome model training. In thispaper; we propose a novel kernel-based supervised hashing model which requires a limitedamount of supervised information; ie; similar and dissimilar data pairs; and a feasibletraining cost in achieving high quality hashing. The idea is to map the data to compact binarycodes whose Hamming distances are minimized on similar pairs and simultaneouslymaximized on dissimilar pairs. Our approach is distinct from prior works by utilizing theequivalence between optimizing the code inner products and the Hamming distances …,Proceedings of IEEE Conference on Computer Vision and Pattern Recognition (CVPR),2012,707
Hashing with Graphs,W. Liu; J. Wang; S. Kumar; S. Chang,Abstract Hashing is becoming increasingly popular for efficient nearest neighbor search inmassive databases. However; learning short codes that yield good search performance isstill a challenge. Moreover; in many cases realworld data lives on a low-dimensionalmanifold; which should be taken into account to capture meaningful nearest neighbors. Inthis paper; we propose a novel graph-based hashing method which automatically discoversthe neighborhood structure inherent in the data to learn appropriate compact codes. Tomake such an approach computationally feasible; we utilize Anchor Graphs to obtaintractable low-rank adjacency matrices. Our formulation allows constant time hashing of anew data point by extrapolating graph Laplacian eigenvectors to eigenfunctions. Finally; wedescribe a hierarchical threshold learning procedure in which each eigenfunction yields …,Proceedings of International Conference on Machine Learning (ICML),2011,600
Large graph construction for scalable semi-supervised learning,Wei Liu; Junfeng He; Shih-Fu Chang,*,Proceedings of International Conference on Machine Learning (ICML),2010,316
Learning distance metrics with contextual constraints for image retrieval,Steven CH Hoi; Wei Liu; Michael R Lyu; Wei-Ying Ma,Relevant Component Analysis (RCA) has been proposed for learning distance metrics withcontextual constraints for image retrieval. However; RCA has two important disadvantages.One is the lack of exploiting negative constraints which can also be informative; and theother is its incapability of capturing complex nonlinear relationships between data instanceswith the contextual information. In this paper; we propose two algorithms to overcome thesetwo disadvantages; ie; Discriminative Component Analysis (DCA) and Kernel DCA.Compared with other complicated methods for distance metric learning; our algorithms arerather simple to understand and very easy to solve. We evaluate the performance of ouralgorithms on image retrieval in which experimental results show that our algorithms areeffective and promising in learning good quality distance metrics for image retrieval.,Proceedings of IEEE Computer Society Conference on Computer Vision and Pattern Recognition (CVPR),2006,288
Supervised Discrete Hashing,Fumin Shen; Chunhua Shen; Wei Liu; Heng Tao Shen,Recently; learning based hashing techniques have attracted broad research interests due tothe resulting efficient storage and retrieval of images; videos; documents; etc. However; amajor difficulty of learning to hash lies in handling the discrete constraints imposed on theneeded hash codes. In general; the discrete constraints imposed on the binary codes thatthe target hash functions generate lead to mixed-integer optimization problems—which isgenerally NP hard. To simplify the optimization involved in a binary code learningprocedure; most of the aforementioned methods choose to first solve a relaxed problemthrough directly discarding the discrete constraints; and then threshold the continuousoutputs to be binary. This greatly simplifies the optimization but; unfortunately; theapproximated solution is typically of low quality and often makes the final hash functions …,Proceedings of IEEE Conference on Computer Vision and Pattern Recognition (CVPR),2015,275
Semi-supervised distance metric learning for collaborative image retrieval,Steven CH Hoi; Wei Liu; Shih-Fu Chang,*,Proceedings of IEEE Conference on Computer Vision and Pattern Recognition (CVPR),2008,226
Trajectory-Based Modeling of Human Actions with Motion Reference Points,Yu-Gang Jiang; Qi Dai; Xiangyang Xue; Wei Liu; Chong-Wah Ngo,Abstract Human action recognition in videos is a challenging problem with wideapplications. State-of-the-art approaches often adopt the popular bag-of-featuresrepresentation based on isolated local patches or temporal patch trajectories; where motionpatterns like object relationships are mostly discarded. This paper proposes a simplerepresentation specifically aimed at the modeling of such motion relationships. We adoptglobal and local reference points to characterize motion information; so that the finalrepresentation can be robust to camera movement. Our approach operates on top of visualcodewords derived from local patch trajectories; and therefore does not require accurateforeground-background separation; which is typically a necessary step to model objectrelationships. Through an extensive experimental evaluation; we show that the proposed …,The 12th European Conference on Computer Vision (ECCV),2012,188
Discrete Graph Hashing,Wei Liu; Cun Mu; Sanjiv Kumar; Shih-Fu Chang,Abstract Hashing has emerged as a popular technique for fast nearest neighbor search ingigantic databases. In particular; learning based hashing has received considerableattention due to its appealing storage and search efficiency. However; the performance ofmost unsupervised learning based hashing methods deteriorates rapidly as the hash codelength increases. We argue that the degraded performance is due to inferior optimizationprocedures used to achieve discrete binary codes. This paper presents a graph-basedunsupervised hashing model to preserve the neighborhood structure of massive data in adiscrete code space. We cast the graph hashing problem into a discrete optimizationframework which directly learns the binary codes. A tractable alternating maximizationalgorithm is then proposed to explicitly deal with the discrete constraints; yielding high …,Advances in Neural Information Processing Systems (NIPS),2014,158
Learning to hash for indexing big data—a survey,Jun Wang; Wei Liu; Sanjiv Kumar; Shih-Fu Chang,The explosive growth in Big Data has attracted much attention in designing efficient indexingand search methods recently. In many critical applications such as large-scale search andpattern matching; finding the nearest neighbors to a query is a fundamental researchproblem. However; the straightforward solution using exhaustive comparison is infeasibledue to the prohibitive computational complexity and memory requirement. In response;approximate nearest neighbor (ANN) search based on hashing techniques has becomepopular due to its promising performance in both efficiency and accuracy. Prior randomizedhashing methods; eg; locality-sensitive hashing (LSH); explore data-independent hashfunctions with random projections or permutations. Although having elegant theoreticguarantees on the search quality in certain metric spaces; performance of randomized …,Proceedings of the IEEE,2016,140
Scalable similarity search with optimized kernel hashing,Junfeng He; Wei Liu; Shih-Fu Chang,Abstract Scalable similarity search is the core of many large scale learning or data miningapplications. Recently; many research results demonstrate that one promising approach iscreating compact and efficient hash codes that preserve data similarity. By efficient; we referto the low correlation (and thus low redundancy) among generated codes. However; mostexisting hash methods are designed only for vector data. In this paper; we develop a newhashing algorithm to create efficient codes for large scale data of general formats with anykernel function; including kernels on vectors; graphs; sequences; sets and so on. Startingwith the idea analogous to spectral hashing; novel formulations and solutions are proposedsuch that a kernel based hash function can be explicitly represented and optimized; anddirectly applied to compute compact hash codes for new samples of general formats …,Proceedings of the 16th ACM SIGKDD International Conference on Knowledge Discovery and Data Mining (KDD),2010,111
