Hexastore: sextuple indexing for semantic web data management,Cathrin Weiss; Panagiotis Karras; Abraham Bernstein,Abstract Despite the intense interest towards realizing the Semantic Web vision; mostexisting RDF data management schemes are constrained in terms of efficiency andscalability. Still; the growing popularity of the RDF format arguably calls for an effort to offsetthese drawbacks. Viewed from a relational-database perspective; these constraints arederived from the very nature of the RDF data model; which is based on a triple format.Recent research has attempted to address these constraints using a vertical-partitioningapproach; in which separate two-column tables are constructed for each property. However;as we show; this approach suffers from similar scalability drawbacks on queries that are notbound by RDF property value. In this paper; we propose an RDF storage scheme that usesthe triple nature of RDF as an asset. This scheme enhances the vertical partitioning idea …,Proceedings of the VLDB Endowment,2008,593
Fast data anonymization with low information loss,Gabriel Ghinita; Panagiotis Karras; Panos Kalnis; Nikos Mamoulis,Abstract Recent research studied the problem of publishing microdata without revealingsensitive information; leading to the privacy preserving paradigms of k-anonymity and l-diversity. k-anonymity protects against the identification of an individual's record. l-diversity;in addition; safeguards against the association of an individual with specific sensitiveinformation. However; existing approaches suffer from at least one of the followingdrawbacks:(i) The information loss metrics are counter-intuitive and fail to capture datainaccuracies inflicted for the sake of privacy.(ii) l-diversity is solved by techniques developedfor the simpler k-anonymity problem; which introduces unnecessary inaccuracies.(iii) Theanonymization process is inefficient in terms of computation and I/O cost. In this paper wepropose a framework for efficient privacy preservation that addresses these deficiencies …,Proceedings of the 33rd international conference on Very large data bases,2007,269
One-pass wavelet synopses for maximum-error metrics,Panagiotis Karras; Nikos Mamoulis,Abstract We study the problem of computing wavelet-based synopses for massive data setsin static and streaming environments. A compact representation of a data set is obtainedafter a thresholding process is applied on the coefficients of its wavelet decomposition.Existing polynomial-time thresholding schemes that minimize maximum error metrics aredisadvantaged by impracticable time and space complexities and are not applicable in adata stream context. This is a cardinal issue; as the problem at hand in its most practicallyinteresting form involves the time-efficient approximation of huge amounts of data;potentially in a streaming environment. In this paper we fill this gap by developing efficientand practicable wavelet thresholding algorithms for maximum-error metrics; for both a staticand a streaming case. Our algorithms achieve near-optimal accuracy and superior …,Proceedings of the 31st international conference on Very large data bases,2005,80
A framework for efficient data anonymization under privacy and accuracy constraints,Gabriel Ghinita; Panagiotis Karras; Panos Kalnis; Nikos Mamoulis,Abstract Recent research studied the problem of publishing microdata without revealingsensitive information; leading to the privacy-preserving paradigms of k-anonymity and l-diversity. k-anonymity protects against the identification of an individual's record. l-diversity;in addition; safeguards against the association of an individual with specific sensitiveinformation. However; existing approaches suffer from at least one of the followingdrawbacks:(i) l-diversification is solved by techniques developed for the simpler k-anonymization problem; causing unnecessary information loss.(ii) The anonymizationprocess is inefficient in terms of computational and I/O cost.(iii) Previous research focusedexclusively on the privacy-constrained problem and ignored the equally important accuracy-constrained (or dual) anonymization problem. In this article; we propose a framework for …,ACM Transactions on Database Systems (TODS),2009,77
ρ-uncertainty: inference-proof transaction anonymization,Jianneng Cao; Panagiotis Karras; Chedy Raïssi; Kian-Lee Tan,Abstract The publication of transaction data; such as market basket data; medical records;and query logs; serves the public benefit. Mining such data allows for the derivation ofassociation rules that connect certain items to others with measurable confidence. Still; thistype of data analysis poses a privacy threat; an adversary having partial information on aperson's behavior may confidently associate that person to an item deemed to be sensitive.Ideally; an anonymization of such data should lead to an inference-proof version thatprevents the association of individuals to sensitive items; while otherwise allowing for truthfulassociations to be derived. Original approaches to this problem were based on valueperturbation; damaging data integrity. Recently; value generalization has been proposed asan alternative; still; approaches based on it have assumed either that all items are equally …,Proceedings of the VLDB Endowment,2010,73
SABRE: a Sensitive Attribute Bucketization and REdistribution framework for t-closeness,Jianneng Cao; Panagiotis Karras; Panos Kalnis; Kian-Lee Tan,Abstract Today; the publication of microdata poses a privacy threat: anonymous personalrecords can be re-identified using third data sources. Past research has tried to develop aconcept of privacy guarantee that an anonymized data set should satisfy before publication;culminating in the notion of t-closeness. To satisfy t-closeness; the records in a data set needto be grouped into Equivalence Classes (ECs); such that each EC contains records ofindistinguishable quasi-identifier values; and its local distribution of sensitive attribute (SA)values conforms to the global table distribution of SA values. However; despite this progress;previous research has not offered an anonymization algorithm tailored for t-closeness. In thispaper; we cover this gap with SABRE; a SA Bucketization and REdistribution framework for t-closeness. SABRE first greedily partitions a table into buckets of similar SA values and …,The VLDB Journal—The International Journal on Very Large Data Bases,2011,65
Stochastic database cracking: Towards robust adaptive indexing in main-memory column-stores,Felix Halim; Stratos Idreos; Panagiotis Karras; Roland HC Yap,Abstract Modern business applications and scientific databases call for inherently dynamicdata storage environments. Such environments are characterized by two challengingfeatures:(a) they have little idle system time to devote on physical design; and (b) there islittle; if any; a priori workload knowledge; while the query and data workload keeps changingdynamically. In such environments; traditional approaches to index building andmaintenance cannot apply. Database cracking has been proposed as a solution that allowson-the-fly physical data reorganization; as a collateral effect of query processing. Crackingaims to continuously and automatically adapt indexes to the workload at hand; withouthuman intervention. Indexes are built incrementally; adaptively; and on demand.Nevertheless; as we show; existing adaptive indexing methods fail to deliver workload …,Proceedings of the VLDB Endowment,2012,64
H 2 RDF+: High-performance distributed joins over large-scale RDF graphs,Nikolaos Papailiou; Ioannis Konstantinou; Dimitrios Tsoumakos; Panagiotis Karras; Nectarios Koziris,The proliferation of data in RDF format calls for efficient and scalable solutions for theirmanagement. While scalability in the era of big data is a hard requirement; modern systemsfail to adapt based on the complexity of the query. Current approaches do not scale wellwhen faced with substantially complex; non-selective joins; resulting in exponential growthof execution times. In this work we present H 2 RDF+; an RDF store that efficiently performsdistributed Merge and Sort-Merge joins over a multiple index scheme. H 2 RDF+ is highlyscalable; utilizing distributed MapReduce processing and HBase indexes. Utilizingaggressive byte-level compression and result grouping over fast scans; it can process bothcomplex and selective join queries in a highly efficient manner. Furthermore; it adaptivelychooses for either single-or multi-machine execution based on join complexity estimated …,Big Data; 2013 IEEE International Conference on,2013,57
Publishing microdata with a robust privacy guarantee,Jianneng Cao; Panagiotis Karras,Abstract Today; the publication of microdata poses a privacy threat. Vast research hasstriven to define the privacy condition that microdata should satisfy before it is released; anddevise algorithms to anonymize the data so as to achieve this condition. Yet; no methodproposed to date explicitly bounds the percentage of information an adversary gains afterseeing the published data for each sensitive value therein. This paper introduces β-likeness;an appropriately robust privacy model for microdata anonymization; along with twoanonymization schemes designed therefore; the one based on generalization; and the otherbased on perturbation. Our model postulates that an adversary's confidence on thelikelihood of a certain sensitive-attribute (SA) value should not increase; in relativedifference terms; by more than a predefined threshold. Our techniques aim to satisfy a …,Proceedings of the VLDB Endowment,2012,49
Fast random graph generation,Sadegh Nobari; Xuesong Lu; Panagiotis Karras; Stéphane Bressan,Abstract Today; several database applications call for the generation of random graphs. Afundamental; versatile random graph model adopted for that purpose is the Erdős-Rényi Γ v;p model. This model can be used for directed; undirected; and multipartite graphs; with andwithout self-loops; it induces algorithms for both graph generation and sampling; hence isuseful not only in applications necessitating the generation of random structures but also forsimulation; sampling and in randomized algorithms. However; the commonly advocatedalgorithm for random graph generation under this model performs poorly when generatinglarge graphs; and fails to make use of the parallel processing capabilities of modernhardware. In this paper; we propose PPreZER; an alternative; data parallel algorithm forrandom graph generation under the Erdős-Rényi model; designed and implemented in a …,Proceedings of the 14th international conference on extending database technology,2011,48
Exploiting duality in summarization with deterministic guarantees,Panagiotis Karras; Dimitris Sacharidis; Nikos Mamoulis,Abstract Summarization is an important task in data mining. A major challenge over the pastyears has been the efficient construction of fixed-space synopses that provide adeterministic quality guarantee; often expressed in terms of a maximum-error metric.Histograms and several hierarchical techniques have been proposed for this problem.However; their time and/or space complexities remain impractically high and depend notonly on the data set size n; but also on the space budget B. These handicaps stem from arequirement to tabulate all allocations of synopsis space to different regions of the data. Inthis paper we develop an alternative methodology that dispels these deficiencies; thanks toa fruitful application of the solution to the dual problem: given a maximum allowed error;determine the minimum-space synopsis that achieves it. Compared to the state-of-the-art …,Proceedings of the 13th ACM SIGKDD international conference on Knowledge discovery and data mining,2007,42
Scalable parallel minimum spanning forest computation,Sadegh Nobari; Thanh-Tung Cao; Panagiotis Karras; Stéphane Bressan,Abstract The proliferation of data in graph form calls for the development of scalable graphalgorithms that exploit parallel processing environments. One such problem is thecomputation of a graph's minimum spanning forest (MSF). Past research has proposedseveral parallel algorithms for this problem; yet none of them scales to large; high-densitygraphs. In this paper we propose a novel; scalable; parallel MSF algorithm for undirectedweighted graphs. Our algorithm leverages Prim's algorithm in a parallel fashion;concurrently expanding several subsets of the computed MSF. Our effort focuses onminimizing the communication among different processors without constraining the localgrowth of a processor's computed subtree. In effect; we achieve a scalability that previousapproaches lacked. We implement our algorithm in CUDA; running on a GPU and study …,ACM SIGPLAN Notices,2012,37
TOUCH: in-memory spatial join by hierarchical data-oriented partitioning,Sadegh Nobari; Farhan Tauheed; Thomas Heinis; Panagiotis Karras; Stéphane Bressan; Anastasia Ailamaki,Abstract Efficient spatial joins are pivotal for many applications and particularly important forgeographical information systems or for the simulation sciences where scientists work withspatial models. Past research has primarily focused on disk-based spatial joins; efficient in-memory approaches; however; are important for two reasons: a) main memory has grown solarge that many datasets fit in it and b) the in-memory join is a very time-consuming part of alldisk-based spatial joins. In this paper we develop TOUCH; a novel in-memory spatial joinalgorithm that uses hierarchical data-oriented space partitioning; thereby keeping both itsmemory footprint and the number of comparisons low. Our results show that TOUCHoutperforms known in-memory spatial-join algorithms as well as in-memory implementationsof disk-based join approaches. In particular; it has a one order of magnitude advantage …,Proceedings of the 2013 ACM SIGMOD International Conference on Management of Data,2013,35
H 2 RDF+: an efficient data management system for big RDF graphs,Nikolaos Papailiou; Dimitrios Tsoumakos; Ioannis Konstantinou; Panagiotis Karras; Nectarios Koziris,Abstract The proliferation of data in RDF format has resulted in the emergence of a plethoraof specialized management systems. While the ability to adapt to the complexity of aSPARQL query--given their inherent diversity--is crucial; current approaches do not scalewell when faced with substantially complex; non-selective joins; resulting in exponentialgrowth of execution times. In this demonstration we present H2 RDF+; an RDF store thatefficiently performs distributed Merge and Sort-Merge joins using a multiple-index schemeover HBase indexes. Through a greedy planner that incorporates our cost-model; itadaptively commands for either single or multi-machine query execution based on joincomplexity. In this paper; we present its key scientific contributions and allow participants tointeract with an H2RDF+ deployment over a Cloud infrastructure. Using a web-based GUI …,Proceedings of the 2014 ACM SIGMOD international conference on Management of data,2014,31
Anonymizing set-valued data by nonreciprocal recoding,Mingqiang Xue; Panagiotis Karras; Chedy Raïssi; Jaideep Vaidya; Kian-Lee Tan,Abstract Today there is a strong interest in publishing set-valued data in a privacy-preserving manner. Such data associate individuals to sets of values (eg; preferences;shopping items; symptoms; query logs). In addition; an individual can be associated with asensitive label (eg; marital status; religious or political conviction). Anonymizing such dataimplies ensuring that an adversary should not be able to (1) identify an individual's record;and (2) infer a sensitive label; if such exists. Existing research on this problem eitherperturbs the data; publishes them in disjoint groups disassociated from their sensitive labels;or generalizes their values by assuming the availability of a generalization hierarchy. In thispaper; we propose a novel alternative. Our publication method also puts data in ageneralized form; but does not require that published records form disjoint groups and …,Proceedings of the 18th ACM SIGKDD international conference on Knowledge discovery and data mining,2012,31
Sensitive label privacy protection on social network data,Yi Song; Panagiotis Karras; Qian Xiao; Stéphane Bressan,Abstract This paper is motivated by the recognition of the need for a finer grain and morepersonalized privacy in data publication of social networks. We propose a privacy protectionscheme that not only prevents the disclosure of identity of users but also the disclosure ofselected features in users' profiles. An individual user can select which features of her profileshe wishes to conceal. The social networks are modeled as graphs in which users arenodes and features are labels. Labels are denoted either as sensitive or as non-sensitive.We treat node labels both as background knowledge an adversary may possess; and assensitive information that has to be protected. We present privacy protection algorithms thatallow for graph data to be published in a form such that an adversary who possessesinformation about a node's neighborhood cannot safely infer its identity and its sensitive …,International Conference on Scientific and Statistical Database Management,2012,30
Collaborative search log sanitization: Toward differential privacy and boosted utility,Yuan Hong; Jaideep Vaidya; Haibing Lu; Panagiotis Karras; Sanjay Goel,Severe privacy leakage in the AOL search log incident has attracted considerable worldwideattention. However; all the web users' daily search intents and behavior are collected in suchdata; which can be invaluable for researchers; data analysts and law enforcement personnelto conduct social behavior study [14]; criminal investigation [5] and epidemics detection [10].Thus; an important and challenging research problem is how to sanitize search logs withstrong privacy guarantee and sufficiently retained utility. Existing approaches in search logsanitization are capable of only protecting the privacy under a rigorous standard [24] ormaintaining good output utility [25]. To the best of our knowledge; there is little work that hasperfectly resolved such tradeoff in the context of search logs; meeting a high standard ofboth requirements. In this paper; we propose a sanitization framework to tackle the above …,IEEE Transactions on Dependable and Secure Computing,2015,27
The Haar+ tree: a refined synopsis data structure,Panagiotis Karras; Nikos Mamoulis,We introduce the Haar+ tree: a refined; wavelet-inspired data structure for synopsisconstruction. The advantages of this structure are twofold: First; it achieves higher synopsisquality at the task of summarizing data sets with sharp discontinuities than state-of-the-arthistogram and Haar wavelet techniques. Second; thanks to its search space delimitationcapacity; Haar+ synopsis construction operates in time linear to the size of the data set forany monotonic distributive error metric. Through experimentation; we demonstrate thesuperiority of Haar+ synopses over histogram and Haar wavelet methods in bothconstruction time and achieved quality for representative error metrics.,Data Engineering; 2007. ICDE 2007. IEEE 23rd International Conference on,2007,25
