BigBench: towards an industry standard benchmark for big data analytics,Ahmad Ghazal; Tilmann Rabl; Minqing Hu; Francois Raab; Meikel Poess; Alain Crolotte; Hans-Arno Jacobsen,Abstract There is a tremendous interest in big data by academia; industry and a large userbase. Several commercial and open source providers unleashed a variety of products tosupport big data storage and processing. As these products mature; there is a need toevaluate and compare the performance of these systems. In this paper; we presentBigBench; an end-to-end big data benchmark proposal. The underlying business model ofBigBench is a product retailer. The proposal covers a data model and synthetic datagenerator that addresses the variety; velocity and volume aspects of big data systemscontaining structured; semi-structured and unstructured data. The structured part of theBigBench data model is adopted from the TPC-DS benchmark; which is enriched with semi-structured and unstructured data components. The semi-structured part captures …,Proceedings of the 2013 ACM SIGMOD international conference on Management of data,2013,226
Solving big data challenges for enterprise application performance management,Tilmann Rabl; Sergio Gómez-Villamor; Mohammad Sadoghi; Victor Muntés-Mulero; Hans-Arno Jacobsen; Serge Mankovskii,Abstract As the complexity of enterprise systems increases; the need for monitoring andanalyzing such systems also grows. A number of companies have built sophisticatedmonitoring tools that go far beyond simple resource utilization reports. For example; basedon instrumentation and specialized APIs; it is now possible to monitor single methodinvocations and trace individual transactions across geographically distributed systems. Thishigh-level of detail enables more precise forms of analysis and prediction but comes at theprice of high data rates (ie; big data). To maximize the benefit of data monitoring; the datahas to be stored for an extended period of time for ulterior analysis. This new wave of bigdata analytics imposes new challenges especially for the application performancemonitoring systems. The monitoring data has to be stored in a system that can sustain the …,Proceedings of the VLDB Endowment,2012,209
A data generator for cloud-scale benchmarking,Tilmann Rabl; Michael Frank; Hatem Mousselly Sergieh; Harald Kosch,Abstract In many fields of research and business data sizes are breaking the petabytebarrier. This imposes new problems and research possibilities for the database community.Usually; data of this size is stored in large clusters or clouds. Although clouds have becomevery popular in recent years; there is only little work on benchmarking cloud applications. Inthis paper we present a data generator for cloud sized applications. Its architecture makesthe data generator easy to extend and to configure. A key feature is the high degree ofparallelism that allows linear scaling for arbitrary numbers of nodes. We show howdistributions; relationships and dependencies in data can be computed in parallel with linearspeed up.,Technology Conference on Performance Evaluation and Benchmarking,2010,62
Benchmarking big data systems and the bigdata top100 list,Chaitanya Baru; Milind Bhandarkar; Raghunath Nambiar; Meikel Poess; Tilmann Rabl,Abstract “Big data” has become a major force of innovation across enterprises of all sizes.New platforms with increasingly more features for managing big datasets are beingannounced almost on a weekly basis. Yet; there is currently a lack of any means ofcomparability among such platforms. While the performance of traditional database systemsis well understood and measured by long-established institutions such as the TransactionProcessing Performance Council (TCP); there is neither a clear definition of the performanceof big data systems nor a generally agreed upon metric for comparing these systems. In thisarticle; we describe a community-based effort for defining a big data benchmark. Over thepast year; a Big Data Benchmarking Community has become established in order to fill thisvoid. The effort focuses on defining an end-to-end application-layer benchmark for …,Big Data,2013,54
Setting the direction for big data benchmark standards,Chaitanya Baru; Milind Bhandarkar; Raghunath Nambiar; Meikel Poess; Tilmann Rabl,Abstract The Workshop on Big Data Benchmarking (WBDB2012); held on May 8-9; 2012 inSan Jose; CA; served as an incubator for several promising approaches to define a big databenchmark standard for industry. Through an open forum for discussions on a number ofissues related to big data benchmarking—including definitions of big data terms; benchmarkprocesses and auditing—the attendees were able to extend their own view of big databenchmarking as well as communicate their own ideas; which ultimately led to the formationof small working groups to continue collaborative work in this area. In this paper; wesummarize the discussions and outcomes from this first workshop; which was attended byabout 60 invitees representing 45 different organizations; including industry and academia.Workshop attendees were selected based on their experience and expertise in the areas …,Technology Conference on Performance Evaluation and Benchmarking,2012,46
TPC-DI: The First Industry Benchmark for Data Integration,Meikel Poess; Tilmann Rabl; Hans-Arno Jacobsen; Brian Caufield,Abstract Historically; the process of synchronizing a decision support system with data fromoperational systems has been referred to as Extract; Transform; Load (ETL) and the toolssupporting such process have been referred to as ETL tools. Recently; ETL was replaced bythe more comprehensive acronym; data integration (DI). DI describes the process ofextracting and combining data from a variety of data source formats; transforming that datainto a unified data model representation and loading it into a data store. This is done in thecontext of a variety of scenarios; such as data acquisition for business intelligence; analyticsand data warehousing; but also synchronization of data between operational applications;data migrations and conversions; master data management; enterprise data sharing anddelivery of data services in a service-oriented architecture context; amongst others. With …,Proceedings of the VLDB Endowment,2014,26
Variations of the star schema benchmark to test the effects of data skew on query performance,Tilmann Rabl; Meikel Poess; Hans-Arno Jacobsen; Patrick O'Neil; Elizabeth O'Neil,Abstract The Star Schema Benchmark (SSB); now in its third revision; has been widely usedto evaluate the performance of database management systems when executing star schemaqueries. SSB; based on the well known industry standard benchmark TPC-H; shares someof its drawbacks; most notably; its uniform data distributions. Today's systems rely heavily onsophisticated cost-based query optimizers to generate the most efficient query executionplans. A benchmark that evaluates optimizer's capability to generate optimal execution plansunder all circumstances must provide the rich data set details on which optimizers rely(uniform and non-uniform distributions; data sparsity; etc.). This is also true for otherdatabase system parts; such as indices and operators; and ultimately holds for an end-to-end benchmark as well. SSB's data generator; based on TPC-H's dbgen; is not easy to …,Proceedings of the 4th ACM/SPEC International Conference on Performance Engineering,2013,26
Discussion of BigBench: a proposed industry standard performance benchmark for big data,Chaitanya Baru; Milind Bhandarkar; Carlo Curino; Manuel Danisch; Michael Frank; Bhaskar Gowda; Hans-Arno Jacobsen; Huang Jie; Dileep Kumar; Raghunath Nambiar; Meikel Poess; Francois Raab; Tilmann Rabl; Nishkam Ravi; Kai Sachs; Saptak Sen; Lan Yi; Choonhan Youn,Abstract Enterprises perceive a huge opportunity in mining information that can be found inbig data. New storage systems and processing paradigms are allowing for ever larger datasets to be collected and analyzed. The high demand for data analytics and rapiddevelopment in technologies has led to a sizable ecosystem of big data processing systems.However; the lack of established; standardized benchmarks makes it difficult for users tochoose the appropriate systems that suit their requirements. To address this problem; wehave developed the BigBench benchmark specification. BigBench is the first end-to-end bigdata analytics benchmark suite. In this paper; we present the BigBench benchmark andanalyze the workload from technical as well as business point of view. We characterize thequeries in the workload along different dimensions; according to their functional …,Technology Conference on Performance Evaluation and Benchmarking,2014,20
Efficient update data generation for DBMS benchmarks,Michael Frank; Meikel Poess; Tilmann Rabl,Abstract It is without doubt that industry standard benchmarks have been proven to becrucial to the innovation and productivity of the computing industry. They are important to thefair and standardized assessment of performance across different vendors; different systemversions from the same vendor and across different architectures. Good benchmarks areeven meant to drive industry and technology forward. Since at some point; after allreasonable advances have been made using a particular benchmark even goodbenchmarks become obsolete over time. This is why standard consortia periodicallyoverhaul their existing benchmarks or develop new benchmarks. An extremely time andresource consuming task in the creation of new benchmarks is the development ofbenchmark generators; especially because benchmarks tend to become more and more …,Proceedings of the 3rd ACM/SPEC International Conference on Performance Engineering,2012,19
Landmark-assisted location and tracking in outdoor mobile network,Marco Anisetti; Claudio A Ardagna; Valerio Bellandi; Ernesto Damiani; Mario Döller; Florian Stegmaier; Tilmann Rabl; Harald Kosch; Lionel Brunie,Abstract Modern mobile devices integrating sensors; like accelerometers and cameras; arepaving the way to the definition of high-quality and accurate geolocation solutions based onthe informations acquired by these sensors; and data collected and managed by GSM/3Gnetworks. In this paper; we present a technique that provides geolocation and mobilityprediction of mobile devices; mixing the location information acquired with the GSM/3Ginfrastructure and the results of a landmark matching achieved thanks to the cameraintegrated on the mobile devices. Our geolocation approach is based on an advanced Time-Forwarding algorithm and on database correlation technique over Received Signal StrengthIndication (RSSI) data; and integrates information produced by a landmark recognitioninfrastructure; to enhance algorithm performances in those areas with poor signal and low …,Multimedia Tools and Applications,2012,18
