Database architecture optimized for the new bottleneck: Memory access,Peter A Boncz; Stefan Manegold; Martin L Kersten,Abstract In the past decade; advances in speed of commodity CPUs have far out-pacedadvances in memory latency. Main-memory access is therefore increasingly a performancebottleneck for many computer applications; including database systems. In this article; weuse a simple scan test to show the severe impact of this bottleneck. The insights gained aretranslated into guidelines for database architecture; in terms of both data structures andalgorithms. We discuss how vertically fragmented data structures optimize cacheperformance on sequential data access. We then focus on equi-join; typically a random-access operation; and introduce radix algorithms for partitioned hash-join. The performanceof these algorithms is quantified using a detailed analytical model that incorporates memoryaccess cost. Experiments that validate this model were performed on the Monet database …,VLDB,1999,411
MonetDB/XQuery: a fast XQuery processor powered by a relational engine,Peter Boncz; Torsten Grust; Maurice Van Keulen; Stefan Manegold; Jan Rittinger; Jens Teubner,Abstract Relational XQuery systems try to re-use mature relational data managementinfrastructures to create fast and scalable XML database technology. This paper describesthe main features; key contributions; and lessons learned while implementing such asystem. Its architecture consists of (i) a range-based encoding of XML documents intorelational tables;(ii) a compilation technique that translates XQuery into a basic relationalalgebra;(iii) a restricted (order) property-aware peephole relational query optimizationstrategy; and (iv) a mapping from XML update statements into relational updates. Thus; thissystem implements all essential XML database functionalities (rather than a single feature)such that we can learn from the full consequences of our architectural decisions. Whileimplementing this system; we had to extend the state-of-the-art with a number of new …,Proceedings of the 2006 ACM SIGMOD international conference on Management of data,2006,360
Database Cracking.,Stratos Idreos; Martin L Kersten; Stefan Manegold,ABSTRACT Database indices provide a non-discriminative navigational infrastructure tolocalize tuples of interest. Their maintenance cost is taken during database updates. In thispaper; we study the complementary approach; addressing index maintenance as part ofquery processing using continuous physical reorganization; ie; cracking the database intomanageable pieces. The motivation is that by automatically organizing data the way usersrequest it; we can achieve fast access and the much desired self-organized behavior. Wepresent the first mature cracking architecture and report on our implementation of cracking inthe context of a full fledged relational system. It led to a minor enhancement to its relationalalgebra kernel; such that cracking could be piggy-backed without incurring too muchprocessing overhead. Furthermore; we illustrate the ripple effect of dynamic …,CIDR,2007,242
Column-store support for RDF data management: not all swans are white,Lefteris Sidirourgos; Romulo Goncalves; Martin Kersten; Niels Nes; Stefan Manegold,Abstract This paper reports on the results of an independent evaluation of the techniquespresented in the VLDB 2007 paper" Scalable Semantic Web Data Management UsingVertical Partitioning"; authored by D. Abadi; A. Marcus; SR Madden; and K. Hollenbach [1].We revisit the proposed benchmark and examine both the data and query space coverage.The benchmark is extended to cover a larger portion of the query space in a canonical way.Repeatability of the experiments is assessed using the code base obtained from the authors.Inspired by the proposed vertically-partitioned storage solution for RDF data and theperformance figures using a column-store; we conduct a complementary analysis of state-of-the-art RDF storage solutions. To this end; we employ MonetDB/SQL; a fully-functional opensource column-store; and a well-known--for its performance--commercial row-store DBMS …,Proceedings of the VLDB Endowment,2008,223
Breaking the memory wall in MonetDB,Peter A Boncz; Martin L Kersten; Stefan Manegold,Abstract In the past decades; advances in speed of commodity CPUs have far outpacedadvances in RAM latency. Main-memory access has therefore become a performancebottleneck for many computer applications; a phenomenon that is widely known as the"memory wall." In this paper; we report how research around the MonetDB database systemhas led to a redesign of database architecture in order to take advantage of modernhardware; and in particular to avoid hitting the memory wall. This encompasses (i) aredesign of the query execution model to better exploit pipelined CPU architectures andCPU instruction caches;(ii) the use of columnar rather than row-wise data storage to betterexploit CPU data caches;(iii) the design of new cache-conscious query processingalgorithms; and (iv) the design and automatic calibration of memory cost models to …,Communications of the ACM,2008,217
MonetDB: Two decades of research in column-oriented database architectures,Stratos Idreos Fabian Groffen Niels Nes; Stefan Manegold Sjoerd Mullender Martin Kersten,Abstract MonetDB is a state-of-the-art open-source column-store database managementsystem targeting applications in need for analytics over large collections of data. MonetDB isactively used nowadays in health care; in telecommunications as well as in scientificdatabases and in data management research; accumulating on average more than 10;000downloads on a monthly basis. This paper gives a brief overview of the MonetDB technologyas it developed over the past two decades and the main research highlights which drive thecurrent MonetDB design and form the basis for its future evolution.,Data Engineering,2012,172
Optimizing main-memory join on modern hardware,Stefan Manegold; Peter Boncz; Martin Kersten,In the past decade; the exponential growth in commodity CPU's speed has far outpacedadvances in memory latency. A second trend is that CPU performance advances are notonly brought by increased clock rates; but also by increasing parallelism inside the CPU.Current database systems have not yet adapted to these trends and show poor utilization ofboth CPU and memory resources on current hardware. In this paper; we show how theseresources can be optimized for large joins and translate these insights into guidelines forfuture database architectures; encompassing data structures; algorithms; cost modeling andimplementation. In particular; we discuss how vertically fragmented data structures optimizecache performance on sequential data access. On the algorithmic side; we refine thepartitioned hash-join with a new partitioning algorithm called" radix-cluster"; which is …,IEEE Transactions on Knowledge and Data Engineering,2002,167
Database architecture evolution: Mammals flourished long before dinosaurs became extinct,Stefan Manegold; Martin L Kersten; Peter Boncz,Abstract The holy grail for database architecture research is to find a solution that is Scalable& Speedy; to run on anything from small ARM processors up to globally distributed computeclusters; Stable & Secure; to service a broad user community; Small & Simple; to becomprehensible to a small team of programmers; Self-managing; to let it run out-of-the-boxwithout hassle.,Proceedings of the VLDB Endowment,2009,152
Self-organizing tuple reconstruction in column-stores,Stratos Idreos; Martin L Kersten; Stefan Manegold,Abstract Column-stores gained popularity as a promising physical design alternative. Eachattribute of a relation is physically stored as a separate column allowing queries to load onlythe required attributes. The overhead incurred is on-the-fly tuple reconstruction for multi-attribute queries. Each tuple reconstruction is a join of two columns based on tuple IDs;making it a significant cost component. The ultimate physical design is to have multiplepresorted copies of each base table such that tuples are already appropriately organized inmultiple different orders across the various columns. This requires the ability to predict theworkload; idle time to prepare; and infrequent updates. In this paper; we propose a noveldesign; partial sideways cracking; that minimizes the tuple reconstruction cost in a self-organizing way. It achieves performance similar to using presorted data; but without …,Proceedings of the 2009 ACM SIGMOD International Conference on Management of data,2009,151
Optimizing database architecture for the new bottleneck: memory access,Stefan Manegold; Peter A Boncz; Martin L Kersten,Abstract In the past decade; advances in the speed of commodity CPUs have far out-pacedadvances in memory latency. Main-memory access is therefore increasingly a performancebottleneck for many computer applications; including database systems. In this article; weuse a simple scan test to show the severe impact of this bottleneck. The insights gained aretranslated into guidelines for database architecture; in terms of both data structures andalgorithms. We discuss how vertically fragmented data structures optimize cacheperformance on sequential data access. We then focus on equi-join; typically a random-access operation; and introduce radix algorithms for partitioned hash-join. The performanceof these algorithms is quantified using a detailed analytical model that incorporates memoryaccess cost. Experiments that validate this model were performed on the Monet database …,The VLDB Journal—The International Journal on Very Large Data Bases,2000,146
Generic database cost models for hierarchical memory systems,Stefan Manegold; Peter Boncz; Martin L Kersten,This chapter proposes a generic technique to create accurate cost functions for databaseoperations. Accurate prediction of operator execution time is a prerequisite for databasequery optimization. Although extensively studied for conventional disk-based DBMSs; costmodeling in main memory DBMSs is still an open issue. Recent database research hasdemonstrated that memory access is more and more becoming a significant—if not themajor—cost component of database operations. If used properly; fast but small cachememories—usually organized in cascading hierarchy between CPU and main memory—can help to reduce memory access costs. However; they make the cost estimation problemmore complex. Database cost models provide the foundation for query optimizers to derivean efficient execution plan. Such models consist of two parts; a logical and a physical …,*,2002,140
