The Design of the Borealis Stream Processing Engine.,Daniel J Abadi; Yanif Ahmad; Magdalena Balazinska; Ugur Cetintemel; Mitch Cherniack; Jeong-Hyon Hwang; Wolfgang Lindner; Anurag Maskey; Alex Rasin; Esther Ryvkina; Nesime Tatbul; Ying Xing; Stanley B Zdonik,Abstract Borealis is a second-generation distributed stream processing engine that is beingdeveloped at Brandeis University; Brown University; and MIT. Borealis inherits core streamprocessing functionality from Aurora [14] and distribution functionality from Medusa [51].Borealis modifies and extends both systems in non-trivial and critical ways to provideadvanced capabilities that are commonly required by newly-emerging stream processingapplications. In this paper; we outline the basic design and functionality of Borealis. Throughsample real-world applications; we motivate the need for dynamically revising query resultsand modifying query specifications. We then describe how Borealis addresses thesechallenges through an innovative set of features; including revision records; time travel; andcontrol lines. Finally; we present a highly flexible and scalable QoS-based optimization …,Cidr,2005,1512
Network-aware query processing for stream-based applications,Yanif Ahmad; Uğur Çetintemel,Abstract This paper investigates the benefits of network awareness when processingqueries in widely-distributed environments such as the Internet. We present algorithms thatleverage knowledge of network characteristics (eg; topology; bandwidth; etc.) when decidingon the network locations where the query operators are executed. Using a detailedemulation study based on realistic network models; we analyse and experimentally evaluatethe proposed approaches for distributed stream processing. Our results quantify thesignificant benefits of the network-aware approaches and reveal the fundamental trade-offbetween bandwidth efficiency and result latency that arises in networked query processing.,Proceedings of the Thirtieth international conference on Very large data bases-Volume 30,2004,157
A type system for statically detecting spreadsheet errors,Yanif Ahmad; Tudor Antoniu; Sharon Goldwater; Shriram Krishnamurthi,We describe a methodology for detecting user errors in spreadsheets; using the notion ofunits as our basic elements of checking. We define the concept of a header and discuss twotypes of relationships between headers; namely is-a and has-a relationships. With these; wedevelop a set of rules to assign units to cells in the spreadsheet. We check for errors byensuring that every cell has a well-formed unit. We describe an implementation of thesystem that allows the user to check Microsoft Excel spreadsheets. We have run our systemon practical examples; and even found errors in published spreadsheets.,Automated Software Engineering; 2003. Proceedings. 18th IEEE International Conference on,2003,95
Distributed operation in the borealis stream processing engine,Yanif Ahmad; Bradley Berg; Uǧur Cetintemel; Mark Humphrey; Jeong-Hyon Hwang; Anjali Jhingran; Anurag Maskey; Olga Papaemmanouil; Alexander Rasin; Nesime Tatbul; Wenjuan Xing; Ying Xing; Stan Zdonik,Abstract Borealis is a distributed stream processing engine that is being developed atBrandeis University; Brown University; and MIT. Borealis inherits core stream processingfunctionality from Aurora and inter-node communication functionality from Medusa. Wepropose to demonstrate some of the key aspects of distributed operation in Borealis; using amulti-player network game as the underlying application. The demonstration will illustratethe dynamic resource management; query optimization and high availability mechanismsemployed by Borealis; using visual performance-monitoring tools as well as the gamingexperience.,Proceedings of the 2005 ACM SIGMOD international conference on Management of data,2005,90
Dbtoaster: Higher-order delta processing for dynamic; frequently fresh views,Yanif Ahmad; Oliver Kennedy; Christoph Koch; Milos Nikolic,Abstract Applications ranging from algorithmic trading to scientific data analysis requirerealtime analytics based on views over databases that change at very high rates. Suchviews have to be kept fresh at low maintenance cost and latencies. At the same time; theseviews have to support classical SQL; rather than window semantics; to enable applicationsthat combine current with aged or historical data. In this paper; we present viewlettransforms; a recursive finite differencing technique applied to queries. The viewlet transformmaterializes a query and a set of its higher-order deltas as views. These views support eachother's incremental maintenance; leading to a reduced overall view maintenance cost. Theviewlet transform of a query admits efficient evaluation; the elimination of certain expensivequery operations; and aggressive parallelization. We develop viewlet transforms into a …,Proceedings of the VLDB Endowment,2012,65
DBToaster: A SQL compiler for high-performance delta processing in main-memory databases,Yanif Ahmad; Christoph Koch,Abstract We present DBToaster; a novel query compilation framework for producing highperformance compiled query executors that incrementally and continuously answer standingaggregate queries using in-memory views. DBToaster targets applications that requireefficient main-memory processing of standing queries (views) fed by high-volume datastreams; recursively compiling view maintenance (VM) queries into simple C++ functions forevaluating database updates (deltas). While today's VM algorithms consider the impact ofsingle deltas on view queries to produce maintenance queries; we recursively considerdeltas of maintenance queries and compile to thoroughly transform queries into code.Recursive compilation successively elides certain scans and joins; and eliminatessignificant query plan interpreter overheads. In this demonstration; we walk through our …,Proceedings of the VLDB Endowment,2009,39
COLR-Tree: Communication-efficient spatio-temporal indexing for a sensor data web portal,Yanif Ahmad; Suman Nath,We present COLR-Tree; an abstraction layer designed to support efficient spatio-temporalqueries on live data gathered from a large collection of sensors. We use COLR-Tree in apublicly-available sensor web portal to separate the concerns of sensor data managementfrom the web portal application. COLR-Tree uses two techniques to optimize end-to-endlatencies of users' queries by minimizing expensive data collection from sensors. First; ituses a novel technique to effectively cache aggregate results computed over sensor datawith different expiry times. Second; it incorporates an efficient one-pass sampling algorithmwith its range lookup to utilize cached data and compensate for occasional unavailability ofsensors. We evaluate our implementation of COLR-Tree on SQL Server 2005 with a real;large workload from Windows Live Local. Our experiments demonstrate that COLR-Tree …,Data Engineering; 2008. ICDE 2008. IEEE 24th International Conference on,2008,35
Extensible optimization in overlay dissemination trees,Olga Papaemmanouil; Yanif Ahmad; Uğur Çetintemel; John Jannotti; Yenel Yildirim,Abstract We introduce XPORT; a profile-driven distributed data dissemination system thatsupports an extensible set of data types; profile types; and optimization metrics. XPORTefficiently implements a generic tree-based overlay network; which can be customized perapplication using a small number of methods that encapsulate application-specific datafiltering; profile aggregation; and optimization logic. The clean separation between the"plumbing" and" application" enables the system to uniformly support disparatedissemination-based applications. We first provide an overview of the basic XPORT modeland architecture. We then describe in detail an extensible optimization framework; based ona two-level aggregation model; that facilitates easy specification of a wide range ofcommonly used performance goals. We discuss distributed tree transformation protocols …,Proceedings of the 2006 ACM SIGMOD international conference on Management of data,2006,29
DBToaster: higher-order delta processing for dynamic; frequently fresh views,Christoph Koch; Yanif Ahmad; Oliver Kennedy; Milos Nikolic; Andres Nötzli; Daniel Lupei; Amir Shaikhha,Abstract Applications ranging from algorithmic trading to scientific data analysis require real-time analytics based on views over databases receiving thousands of updates each second.Such views have to be kept fresh at millisecond latencies. At the same time; these viewshave to support classical SQL; rather than window semantics; to enable applications thatcombine current with aged or historical data. In this article; we present the DBToastersystem; which keeps materialized views of standard SQL queries continuously fresh as datachanges very rapidly. This is achieved by a combination of aggressive compilationtechniques and DBToaster's original recursive finite differencing technique whichmaterializes a query and a set of its higher-order deltas as views. These views support eachother's incremental maintenance; leading to a reduced overall view maintenance cost …,The VLDB Journal,2014,27
Communication efficient spatial search in a sensor data web portal,*,Techniques for collecting and displaying sensor data captured by a spatially representativesample of sensors requested in a search query are described. The sensors are representedin an index structure (eg; a data tree). In response to a query; the index structure isleveraged to identify a subset of sensors that exhibits a similar spatial distribution to theoriginal full set of sensors. Sensor data is then collected from the subset of sensors byprobing the sensors or retrieving recently cached data located by the index and returned tosatisfy the query. In this manner; the number of sensors to be probed is reduced; therebyreducing latency involved with polling a large number of sensors and making the searchprocess more efficient.,*,2009,23
