Evaluation of antioxidant properties of pomegranate peel extract in comparison with pomegranate pulp extract,Yunfeng Li; Changjiang Guo; Jijun Yang; Jingyu Wei; Jing Xu; Shuang Cheng,Abstract Pomegranate is an important source of bioactive compounds and has been usedfor folk medicine for many centuries. Pomegranate juice has been demonstrated to be highin antioxidant activity and is effective in the prevention of atherosclerosis. In a previousstudy; we found that pomegranate peel had the highest antioxidant activity among the peel;pulp and seed fractions of 28 kinds of fruits commonly consumed in China as determined byFRAP (ferric reducing antioxidant power) assay. In this study; we extracted antioxidants frompomegranate peel; using a mixture of ethanol; methanol and acetone; and the antioxidantproperties of the extract were further investigated as compared with the pulp extract. Thecontents of total phenolics; flavonoids; proathocyanidins and ascorbic acid were alsomeasured. The results showed that pomegranate peel extract had markedly higher …,Food chemistry,2006,685
Antioxidant activities of peel; pulp and seed fractions of common fruits as determined by FRAP assay,Changjiang Guo; Jijun Yang; Jingyu Wei; Yunfeng Li; Jing Xu; Yugang Jiang,Abstract The antioxidant activities of peel; pulp and seed fractions of 28 fruits commonlyconsumed in China were determined using the ferric reducing/antioxidant power assay(FRAP assay). The contribution of vitamin C to the antioxidant activity of fruit pulps was alsocalculated. The results showed that hawthorn pulp had the highest FRAP value among allfruit pulps and followed by date; guava; kiwifruit; purple mulberry; strawberry; whitepomegranate; lukan and honey tangerine pulps and etc. Most of fruit peel and seed fractionswere stronger than the pulp fractions in antioxidant activity based on their FRAP values. Thecontribution of vitamin C to the FRAP value of fruit pulps varied greatly from fruit to fruit ascalculated. We concluded that peel and seed fractions of some fruits; such as pomegranatepeel; grape seed; hawthorn peel; longan and lychee seeds possessed relatively high …,Nutrition Research,2003,670
Gene movement by Helitron transposons contributes to the haplotype variability of maize,Jinsheng Lai; Yubin Li; Joachim Messing; Hugo K Dooner,Abstract Different maize inbred lines are polymorphic for the presence or absence of genicsequences at various allelic chromosomal locations. In the bz genomic region; located in 9S;sequences homologous to four different genes from rice and Arabidopsis are present in lineMcC but absent from line B73. It is shown here that this apparent intraspecific violation ofgenetic colinearity arises from the movement of genes or gene fragments by Helitrons; arecently discovered class of eukaryotic transposons. Two Helitrons; HelA and HelB; accountfor all of the genic differences distinguishing the two bz locus haplotypes. HelA is 5.9 kb longand contains sequences for three of the four genes found only in the McC bz genomicregion. A nearly identical copy of HelA was isolated from a 5S chromosomal location in B73.Both the 9S and 5S sites appear to be polymorphic in maize; suggesting that these …,Proceedings of the National Academy of Sciences of the United States of America,2005,235
Genome-wide association identifies a susceptibility locus for coronary artery disease in the Chinese Han population,Fan Wang; Cheng-Qi Xu; Qing He; Jian-Ping Cai; Xiu-Chun Li; Dan Wang; Xin Xiong; Yu-Hua Liao; Qiu-Tang Zeng; Yan-Zong Yang; Xiang Cheng; Cong Li; Rong Yang; Chu-Chu Wang; Gang Wu; Qiu-Lun Lu; Ying Bai; Yu-Feng Huang; Dan Yin; Qing Yang; Xiao-Jing Wang; Da-Peng Dai; Rong-Feng Zhang; Jing Wan; Jiang-Hua Ren; Si-Si Li; Yuan-Yuan Zhao; Fen-Fen Fu; Yuan Huang; Qing-Xian Li; Sheng-Wei Shi; Nan Lin; Zhen-Wei Pan; Yue Li; Bo Yu; Yan-Xia Wu; Yu-He Ke; Jian Lei; Nan Wang; Chun-Yan Luo; Li-Ying Ji; Lian-Jun Gao; Lei Li; Hui Liu; Er-Wen Huang; Jin Cui; Na Jia; Xiang Ren; Hui Li; Tie Ke; Xian-Qin Zhang; Jing-Yu Liu; Mu-Gen Liu; Hao Xia; Bo Yang; Li-Song Shi; Yun-Long Xia; Xin Tu; Qing K Wang,Abstract Coronary artery disease (CAD) causes more than 700;000 deaths each year inChina. Previous genome-wide association studies (GWAS) in populations of Europeanancestry identified several genetic loci for CAD; but no such study has yet been reported inthe Chinese population. Here we report a three-stage GWAS in the Chinese Han population.We identified a new association between rs6903956 in a putative gene denoted asC6orf105 on chromosome 6p24. 1 and CAD (P= 5.00× 10− 3; stage 2 validation; P= 3.00×10− 3; P= 1.19× 10− 8 and P= 4.00× 10− 3 in three independent stage 3 replicationpopulations; P= 4.87× 10− 12; odds ratio= 1.51 in the combined population). The minor riskallele A of rs6903956 is associated with decreased C6orf105 mRNA expression. We reportthe first GWAS for CAD in the Chinese Han population and identify a SNP; rs6903956; in …,Nature genetics,2011,187
A simple package for front tracking,Jian Du; Brian Fix; James Glimm; Xicheng Jia; Xiaolin Li; Yuanhua Li; Lingling Wu,Abstract A general purpose software package for the geometry and dynamics of an interfacehas been extracted from the FronTier code developed by the authors and colleagues; and isnow publicly available. The purpose of this paper is twofold. We describe significantimprovements to the Front Tracking package; especially in the 3D handling of topologicalbifurcations. We also assess the performance of the package; in comparison with publiclydistributed interface codes (the level set method); with published performance results (VOFand other methods) and with previous versions of front tracking. The major new algorithmpresented here is Locally Grid Based tracking; which combines the best features of twoprevious 3D tracking algorithms. It combines the robustness of grid-based tracking with theaccuracy of grid free tracking; and thus it is a significant improvement to both of these …,Journal of Computational Physics,2006,169
Reversible kallmann syndrome; delayed puberty; and isolated anosmia occurring in a single family with a mutation in the fibroblast growth factor receptor 1 gene,Nelly Pitteloud; James S Acierno Jr; Astrid U Meysing; Andrew A Dwyer; Frances J Hayes; William F Crowley Jr,Kallmann syndrome (KS) is a clinically and genetically heterogeneous disorder. Recently;loss-of-function mutations in the fibroblast growth factor receptor 1 (FGFR1) gene have beenshown to cause autosomal dominant KS. To date; the detailed reproductive phenotype of KSassociated with mutations in the FGFR1 has yet to be described. We report a kindredcomprising a male proband with KS and spontaneous reversibility; whose mother haddelayed puberty and whose maternal grandfather isolated anosmia. The proband presentedat age 18 yr with KS and was subsequently treated with testosterone (T) therapy. Upondiscontinuation of T therapy; he recovered from his hypogonadotropic hypogonadism; asevidenced by a normal LH secretion pattern; sustained normal serum T levels; and activespermatogenesis. The three members of this single family harbor the same FGFR1 …,The Journal of Clinical Endocrinology & Metabolism,2005,164
Rapid prototyping and manufacturing technology: principle; representative technics; applications; and development trends,Yongnian Yan; Shengjie Li; Renji Zhang; Feng Lin; Rendong Wu; Qingping Lu; Zhuo Xiong; Xiaohong Wang,Abstract The rapid prototyping and manufacturing technology (RPM); is an integration ofmany different disciplines. It is based on an advanced dispersed-accumulated formingprinciple and originated from 1980s. It generates an entity by first forming a series of layersaccording to the dispersed section information of the digital model; and then piling theformed layers sequentially together. It is capable of forming parts with complicated structuresand non-homogeneous materials. Traditional RPM techniques are mainly used asprototypes in product invention process; such as stereolithography; three-dimensionalprinting; laminated object manufacturing; and fused deposition modeling. Later; with theprogress of material and enabling technology; many new RPM techniques emerged out andhave been already applied in the fields such as rapid tooling/moulding; direct formed …,Tsinghua Science & Technology,2009,162
The effect of innate immunity on autoimmune diabetes and the expression of Toll-like receptors on pancreatic islets,Li Wen; Jian Peng; Zhenjun Li; F Susan Wong,Viral infections have previously been implicated as a trigger of autoimmune diabetes. In thisstudy; we compared a viral mimic with other microbial components derived from bacteria intriggering diabetes development in C57BL/6-rat insulin promoter-B7. 1 mice that do notnormally develop diabetes. It is striking that only the viral mimic induced the development ofdiabetes in our model system. Further mechanistic studies suggest that diabetes is induced;in part; by the combination of direct recognition of this virus-like stimulus by pancreatic isletsthrough the expression of the innate immune receptor; Toll-like receptor 3. In addition; thefunctions of APCs are up-regulated; and this could stimulate islet Ag-reactive T cells that willattack β cells leading to autoimmune diabetes.,The Journal of Immunology,2004,152
Optimization of frequent itemset mining on multiple-core processor,Li Liu; Eric Li; Yimin Zhang; Zhizhong Tang,Abstract Multi-core processors are proliferated across different domains in recent years. Inthis paper; we study the performance of frequent pattern mining on a modern multi-coremachine. A detailed study shows that; even with the best implementation; current FP-treebased algorithms still under-utilize a multi-core system due to poor data locality andinsufficient parallelism expression. We propose two techniques: a cache-conscious FP-array(frequent pattern array) and a lock-free dataset tiling parallelization mechanism to addressthis problem. The FP-array efficiently improves the data locality performance; and makes useof the benefits from hardware and software prefetching. The result yields an overall 4.0speedup compared with the state-of-the-art implementation. Furthermore; to unlock thepower of multi-core processor; a lock-free parallelization approach is proposed to …,Proceedings of the 33rd international conference on Very large data bases,2007,134
Implementation of H. 264 decoder on general-purpose processors with media instructions,Xiaosong Zhou; Eric Q Li; Yen-Kuang Chen,As emerging video coding standards; eg H. 264; aim at high-quality video contents at low bit-rates; the encoding and decoding processes require much more computation than mostexisting standards do. This paper analyzes software implementation of a real-time H. 264decoder on general-purpose processors with media instructions. Specifically; we discusshow to optimize the speed of H. 264 decoders on Intel Pentium 4 processors. This paper firstanalyzes the reference implementation to identify the time-consuming modules. Our studyshows that a number of components; eg; motion compensation and inverse integertransform; are the most time-consuming modules in the H. 264 decoder. Second; we presenta list of performance optimization methods using media instructions to improve the efficiencyof these modules. After appropriate optimizations; the decoder speed improved by more …,Image and Video Communications and Processing 2003,2003,129
