MonetDB/X100: Hyper-Pipelining Query Execution.,Peter A Boncz; Marcin Zukowski; Niels Nes,Abstract Database systems tend to achieve only low IPC (instructions-per-cycle) efficiencyon modern CPUs in compute-intensive application areas like decision support; OLAP andmultimedia retrieval. This paper starts with an in-depth investigation to the reason why thishappens; focusing on the TPC-H benchmark. Our analysis of various relational systems andMonetDB leads us to a new set of guidelines for designing a query processor. The secondpart of the paper describes the architecture of our new X100 query engine for the MonetDBsystem that follows these guidelines. On the surface; it resembles a classical Volcano-styleengine; but the crucial difference to base all execution on the concept of vector processingmakes it highly CPU efficient. We evaluate the power of MonetDB/X100 on the 100GBversion of TPC-H; showing its raw execution power to be between one and two orders of …,Cidr,2005,523
Database architecture optimized for the new bottleneck: Memory access,Peter A Boncz; Stefan Manegold; Martin L Kersten,Abstract In the past decade; advances in speed of commodity CPUs have far out-pacedadvances in memory latency. Main-memory access is therefore increasingly a performancebottleneck for many computer applications; including database systems. In this article; weuse a simple scan test to show the severe impact of this bottleneck. The insights gained aretranslated into guidelines for database architecture; in terms of both data structures andalgorithms. We discuss how vertically fragmented data structures optimize cacheperformance on sequential data access. We then focus on equi-join; typically a random-access operation; and introduce radix algorithms for partitioned hash-join. The performanceof these algorithms is quantified using a detailed analytical model that incorporates memoryaccess cost. Experiments that validate this model were performed on the Monet database …,VLDB,1999,410
Super-scalar RAM-CPU cache compression,Marcin Zukowski; Sandor Heman; Niels Nes; Peter Boncz,High-performance data-intensive query processing tasks like OLAP; data mining or scientificdata analysis can be severely I/O bound; even when high-end RAID storage systems areused. Compression can alleviate this bottleneck only if encoding and decoding speedssignificantly exceed RAID I/O bandwidth. For this purpose; we propose three new versatilecompression schemes (PDICT; PFOR; and PFOR-DELTA) that are specifically designed toextract maximum IPC from modern CPUs. We compare these algorithms with compressiontechniques used in (commercial) database and information retrieval systems. Ourexperiments on the MonetDB/X100 database system; using both DSM and PAX diskstorage; show that these techniques strongly accelerate TPC-H performance to the point thatthe I/O bottleneck is eliminated.,Data Engineering; 2006. ICDE'06. Proceedings of the 22nd International Conference on,2006,406
MonetDB/XQuery: a fast XQuery processor powered by a relational engine,Peter Boncz; Torsten Grust; Maurice Van Keulen; Stefan Manegold; Jan Rittinger; Jens Teubner,Abstract Relational XQuery systems try to re-use mature relational data managementinfrastructures to create fast and scalable XML database technology. This paper describesthe main features; key contributions; and lessons learned while implementing such asystem. Its architecture consists of (i) a range-based encoding of XML documents intorelational tables;(ii) a compilation technique that translates XQuery into a basic relationalalgebra;(iii) a restricted (order) property-aware peephole relational query optimizationstrategy; and (iv) a mapping from XML update statements into relational updates. Thus; thissystem implements all essential XML database functionalities (rather than a single feature)such that we can learn from the full consequences of our architectural decisions. Whileimplementing this system; we had to extend the state-of-the-art with a number of new …,Proceedings of the 2006 ACM SIGMOD international conference on Management of data,2006,360
Column-oriented database systems,Daniel J Abadi; Peter A Boncz; Stavros Harizopoulos,Abstract Column-oriented database systems (column-stores) have attracted a lot of attentionin the past few years. Column-stores; in a nutshell; store each database table columnseparately; with attribute values belonging to the same column stored contiguously;compressed; and densely packed; as opposed to traditional database systems that storeentire records (rows) one after the other. Reading a subset of a table's columns becomesfaster; at the potential expense of excessive disk-head seeking from column to column forscattered reads or updates. After several dozens of research papers and at least a dozen ofnew column-store start-ups; several questions remain. Are these a new breed of systems orsimply old wine in new bottles? How easily can a major row-based system achieve column-store performance? Are column-stores the answer to effortlessly support large-scale data …,Proceedings of the VLDB Endowment,2009,242
Breaking the memory wall in MonetDB,Peter A Boncz; Martin L Kersten; Stefan Manegold,Abstract In the past decades; advances in speed of commodity CPUs have far outpacedadvances in RAM latency. Main-memory access has therefore become a performancebottleneck for many computer applications; a phenomenon that is widely known as the"memory wall." In this paper; we report how research around the MonetDB database systemhas led to a redesign of database architecture in order to take advantage of modernhardware; and in particular to avoid hitting the memory wall. This encompasses (i) aredesign of the query execution model to better exploit pipelined CPU architectures andCPU instruction caches;(ii) the use of columnar rather than row-wise data storage to betterexploit CPU data caches;(iii) the design of new cache-conscious query processingalgorithms; and (iv) the design and automatic calibration of memory cost models to …,Communications of the ACM,2008,217
Monet: A next-generation DBMS kernel for query-intensive applications,Peter Alexander Boncz,3.11 Monet Goals 21 3.22 Relational Performance Problems 22 3.2. 11 Problem 1: Column-Access to Row-Storage 23 3.2. 22 Problem 2: Commodity Hardware Has Changed 24 3.33Monet Architecture 27 3.3. 11 idea 1: provide DBMS back-end functionality 27 3.3. 22 idea 2:you can do everything with just binary tables 29 3.3. 33 idea 3: do not re-invent the OS 333.3. 44 idea 4: optimize main-memory query execution 34 3.44 Conclusion 38,*,2002,200
The meaningful use of big data: four perspectives--four challenges,Christian Bizer; Peter Boncz; Michael L Brodie; Orri Erling,Abstract Twenty-five Semantic Web and Database researchers met at the 2011 STISemantic Summit in Riga; Latvia July 6-8; 2011 [1] to discuss the opportunities andchallenges posed by Big Data for the Semantic Web; Semantic Technologies; and Databasecommunities. The unanimous conclusion was that the greatest shared challenge was notonly engineering Big Data; but also doing so meaningfully. The following are fourexpressions of that challenge from different perspectives.,Acm Sigmod Record,2012,197
Optimizing main-memory join on modern hardware,Stefan Manegold; Peter Boncz; Martin Kersten,In the past decade; the exponential growth in commodity CPU's speed has far outpacedadvances in memory latency. A second trend is that CPU performance advances are notonly brought by increased clock rates; but also by increasing parallelism inside the CPU.Current database systems have not yet adapted to these trends and show poor utilization ofboth CPU and memory resources on current hardware. In this paper; we show how theseresources can be optimized for large joins and translate these insights into guidelines forfuture database architectures; encompassing data structures; algorithms; cost modeling andimplementation. In particular; we discuss how vertically fragmented data structures optimizecache performance on sequential data access. On the algorithmic side; we refine thepartitioned hash-join with a new partitioning algorithm called" radix-cluster"; which is …,IEEE Transactions on Knowledge and Data Engineering,2002,167
MIL primitives for querying a fragmented world,Peter A Boncz; Martin L Kersten,Abstract. In query-intensive database application areas; like decision support and datamining; systems that use vertical fragmentation have a significant performance advantage. Inorder to support relational or object oriented applications on top of such a fragmented datamodel; a flexible yet powerful intermediate language is needed. This problem has beensuccessfully tackled in Monet; a modern extensible database kernel developed by ourgroup. We focus on the design choices made in the Monet interpreter language (MIL); itsalgebraic query language; and outline how its concept of tactical optimization enhances andsimplifies the optimization of complex queries. Finally; we summarize the experience gainedin Monet by creating a highly efficient implementation of MIL.,The VLDB Journal,1999,167
Database architecture evolution: Mammals flourished long before dinosaurs became extinct,Stefan Manegold; Martin L Kersten; Peter Boncz,Abstract The holy grail for database architecture research is to find a solution that is Scalable& Speedy; to run on anything from small ARM processors up to globally distributed computeclusters; Stable & Secure; to service a broad user community; Small & Simple; to becomprehensible to a small team of programmers; Self-managing; to let it run out-of-the-boxwithout hassle.,Proceedings of the VLDB Endowment,2009,152
