On-chip quantum simulation with superconducting circuits,Andrew A Houck; Hakan E Türeci; Jens Koch,Abstract Using a well-controlled quantum system to simulate complex quantum matter is anidea that has been around for 30 years and put into practice in systems of ultracold atoms formore than a decade. Much recent excitement has focused on a new implementation ofquantum simulators using superconducting circuits; where conventional microchipfabrication can be used to take design concepts to experimental reality; quickly and flexibly.Because the quantum 'particles' in these simulators are circuit excitations rather thanphysical particles subject to conservation laws; superconducting simulators provide acomplement to ultracold atoms by naturally accessing non-equilibrium physics. Here; wereview the recent wealth of theoretical explorations and experimental prospects of realizingthese new devices.,*,2012,583
Strong interactions in multimode random lasers,Hakan E Türeci; Li Ge; Stefan Rotter; A Douglas Stone,Unlike conventional lasers; diffusive random lasers (DRLs) have no resonator to trap lightand no high-Q resonances to support lasing. Because of this lack of sharp resonances; theDRL has presented a challenge to conventional laser theory. We present a theory able totreat the DRL rigorously and provide results on the lasing spectra; internal fields; and outputintensities of DRLs. Typically DRLs are highly multimode lasers; emitting light at a number ofwavelengths. We show that the modal interactions through the gain medium in such lasersare extremely strong and lead to a uniformly spaced frequency spectrum; in agreement withrecent experimental observations.,Science,2008,340
Unidirectional lasing from InGaN multiple-quantum-well spiral-shaped micropillars,GD Chern; HE Tureci; A Douglas Stone; RK Chang; M Kneissl; NM Johnson,We report unidirectional emission from lasing in In 0.09 Ga 0.91 N/In 0.01 Ga 0.99 N multiple-quantum-well spiral micropillars. Our imaging technique shows that the maximum emissioncomes from the notch of the spiral microcavities at an angle about 40° from the normal of thenotch. At room temperature; the spiral microcavity lases near 400 nm when optically pumpedwith 266 or 355 nm light. A reduction in the lasing threshold and an improvement inunidirectionality occurs when the microcavity is selectively pumped near its boundary.,Applied Physics Letters,2003,270
Pump-induced exceptional points in lasers,Matthias Liertzer; Li Ge; A Cerjan; AD Stone; HE Türeci; S Rotter,Abstract We demonstrate that the above-threshold behavior of a laser can be stronglyaffected by exceptional points which are induced by pumping the laser nonuniformly. Atthese singularities; the eigenstates of the non-Hermitian operator which describes the lasingmodes coalesce. In their vicinity; the laser may turn off even when the overall pump powerdeposited in the system is increased. Such signatures of a pump-induced exceptional pointcan be experimentally probed with coupled ridge or microdisk lasers.,Physical Review Letters,2012,246
Fermionized photons in an array of driven dissipative nonlinear cavities,Iacopo Carusotto; Dario Gerace; HE Tureci; Simone De Liberato; Cristiano Ciuti; A Imamoǧlu,Abstract We theoretically investigate the optical response of a one-dimensional array ofstrongly nonlinear optical microcavities. When the optical nonlinearity is much larger thanboth losses and intercavity tunnel coupling; the nonequilibrium steady state of the system isreminiscent of a strongly correlated Tonks-Girardeau gas of impenetrable bosons.Signatures of strong correlations are identified in the transmission spectrum of the system;as well as in the intensity correlations of the transmitted light. Possible experimentalimplementations in state-of-the-art solid-state devices are discussed.,Physical review letters,2009,213
Reversing the pump dependence of a laser at an exceptional point,M Brandstetter; M Liertzer; C Deutsch; P Klang; J Schöberl; HE Türeci; G Strasser; K Unterrainer; S Rotter,Abstract When two resonant modes in a system with gain or loss coalesce in both theirresonance position and their width; a so-called exceptional point occurs; which acts as asource of non-trivial physics in a diverse range of systems. Lasers provide a natural settingto study such non-Hermitian degeneracies; as they feature resonant modes and a gainmaterial as their basic constituents. Here we show that exceptional points can beconveniently induced in a photonic molecule laser by a suitable variation of the appliedpump. Using a pair of coupled microdisk quantum cascade lasers; we demonstrate that inthe vicinity of these exceptional points the coupled laser shows a characteristic reversal of itspump dependence; including a strongly decreasing intensity of the emitted laser light forincreasing pump power.,Nature communications,2014,183
Dramatic shape sensitivity of directional emission patterns from similarly deformed cylindrical polymer lasers,Harald GL Schwefel; Nathan B Rex; Hakan E Tureci; Richard K Chang; A Douglas Stone; Tahar Ben-Messaoud; Joseph Zyss,Recent experiments on similarly shaped polymer microcavity lasers show a dramaticdifference in the far-field emission patterns. We show; for different deformations of theellipse; quadrupole and hexadecapole; that the large differences in the far-field emissionpatterns are explained by the differing ray dynamics corresponding to each shape.Analyzing the differences in the appropriate phase space for ray motion; it is shown that thediffering geometries of the unstable manifolds of periodic orbits are the decisive factors indetermining the far-field pattern. Surprisingly; we find that strongly chaotic ray dynamics iscompatible with highly directional emission in the far field.,JOSA B,2004,182
The quantum-optical Josephson interferometer,Dario Gerace; Hakan E Türeci; Atac Imamoglu; Vittorio Giovannetti; Rosario Fazio,Abstract The photon-blockade effect; where nonlinearities at the single-photon level alter thequantum statistics of light emitted from a cavity 1; has been observed in cavity quantumelectrodynamics experiments with atomic 2; 3 and solid-state systems 4; 5; 6; 7; 8. Motivatedby the success of single-cavity quantum electrodynamics experiments; the focus hasrecently shifted to the exploration of the rich physics promised by strongly correlatedquantum-optical systems in multicavity and extended photonic media 9; 10; 11; 12; 13; 14.Even though most cavity quantum electrodynamics structures are inherently dissipative;most of the early work on strongly correlated photonic systems has assumed cavitystructures where losses are essentially negligible. Here we investigate a dissipativequantum-optical system that consists of two coherently driven linear optical cavities …,Nature Physics,2009,161
Self-consistent multimode lasing theory for complex or random lasing media,Hakan E Türeci; A Douglas Stone; B Collier,Abstract A semiclassical theory of single and multimode lasing is derived for open complexor random media using a self-consistent linear response formulation. Unlike standardapproaches which use closed cavity solutions to describe the lasing modes; we introduce anappropriate discrete basis of functions which describe also the intensity and angularemission pattern outside the cavity. This constant flux (CF) basis is dictated by the Greenfunction which arises when formulating the steady state Maxwell-Bloch equations as a self-consistent linear response problem. This basis is similar to the quasibound state basis whichis familiar in resonator theory and it obeys biorthogonality relations with a set of dualfunctions. Within a single-pole approximation for the Green function the lasing modes areproportional to these CF states and their intensities and lasing frequencies are …,Physical Review A,2006,153
Modes of random lasers,Jonathan Andreasen; AA Asatryan; LC Botten; MA Byrne; Hui Cao; Li Ge; Laurent Labonté; Patrick Sebbah; AD Stone; HE Türeci; Christian Vanneste,In conventional lasers; the optical cavity that confines the photons also determines essentialcharacteristics of the lasing modes such as wavelength; emission pattern; directivity; andpolarization. In random lasers; which do not have mirrors or a well-defined cavity; light isconfined within the gain medium by means of multiple scattering. The sharp peaks in theemission spectra of semiconductor powders; first observed in 1999; has therefore lead to anintense debate about the nature of the lasing modes in these so-called lasers with resonantfeedback. We review numerical and theoretical studies aimed at clarifying the nature of thelasing modes in disordered scattering systems with gain. The past decade has witnessedthe emergence of the idea that even the low-Q resonances of such open systems could playa role similar to the cavity modes of a conventional laser and produce sharp lasing peaks …,Advances in Optics and Photonics,2011,139
