Multiobjective evolutionary algorithms: A survey of the state of the art,Aimin Zhou; Bo-Yang Qu; Hui Li; Shi-Zheng Zhao; Ponnuthurai Nagaratnam Suganthan; Qingfu Zhang,Abstract A multiobjective optimization problem involves several conflicting objectives andhas a set of Pareto optimal solutions. By evolving a population of solutions; multiobjectiveevolutionary algorithms (MOEAs) are able to approximate the Pareto optimal set in a singlerun. MOEAs have attracted a lot of research effort during the last 20 years; and they are stillone of the hottest research areas in the field of evolutionary computation. This paper surveysthe development of MOEAs primarily during the last eight years. It covers algorithmicframeworks such as decomposition-based MOEAs (MOEA/Ds); memetic MOEAs;coevolutionary MOEAs; selection and offspring reproduction operators; MOEAs with specificsearch methods; MOEAs for multimodal problems; constraint handling and MOEAs;computationally expensive multiobjective optimization problems (MOPs); dynamic MOPs …,Swarm and Evolutionary Computation,2011,979
Multiobjective optimization test instances for the CEC 2009 special session and competition,Qingfu Zhang; Aimin Zhou; Shizheng Zhao; Ponnuthurai Nagaratnam Suganthan; Wudong Liu; Santosh Tiwari,I. INTRODUCTION Due largely to the nature of multiobjective evolutionary algorithms(MOEAs); their behaviors and performances are mainly studied experimentally. In the past20 years; Several continuous multiobjective optimization problem (MOP) test suites havebeen proposed the evolutionary computation community [1]-[9]; which have played ancrucial role in developing and studying MOEAs. However; more test instances are needed toresemble complicated real-life problems and thus stimulate the MOEA research. This reportsuggest a set of unconstrained (bound constrained) MOP test instances and a set of generalconstrained test instances for the CEC09 algorithm contest. It also provides performanceassessment guidelines.,University of Essex; Colchester; UK and Nanyang technological University; Singapore; special session on performance assessment of multi-objective optimization algorithms; technical report,2008,518
RM-MEDA: A regularity model-based multiobjective estimation of distribution algorithm,Qingfu Zhang; Aimin Zhou; Yaochu Jin,Under mild conditions; it can be induced from the Karush-Kuhn-Tucker condition that thePareto set; in the decision space; of a continuous multiobjective optimization problem is apiecewise continuous (m-1)-D manifold; where m is the number of objectives. Based on thisregularity property; we propose a regularity model-based multiobjective estimation ofdistribution algorithm (RM-MEDA) for continuous multiobjective optimization problems withvariable linkages. At each generation; the proposed algorithm models a promising area inthe decision space by a probability distribution whose centroid is a (m-1)-D piecewisecontinuous manifold. The local principal component analysis algorithm is used for buildingsuch a model. New trial solutions are sampled from the model thus built. A nondominatedsorting-based selection is used for choosing solutions for the next generation. Systematic …,IEEE Transactions on Evolutionary Computation,2008,439
Combining model-based and genetics-based offspring generation for multi-objective optimization using a convergence criterion,Aimin Zhou; Yaochu Jin; Qingfu Zhang; Bernhard Sendhoff; Edward Tsang,In our previous work conducted by Aimin Zhou et. al.;(2005); it has been shown that theperformance of multi-objective evolutionary algorithms can be greatly enhanced if theregularity in the distribution of Pareto-optimal solutions is used. This paper suggests a newhybrid multi-objective evolutionary algorithm by introducing a convergence based criterionto determine when the model-based method and when the genetics-based method shouldbe used to generate offspring in each generation. The basic idea is that the genetics-basedmethod; ie; crossover and mutation; should be used when the population is far away fromthe Pareto front and no obvious regularity in population distribution can be observed. Whenthe population moves towards the Pareto front; the distribution of the individuals will showincreasing regularity and in this case; the model-based method should be used to …,Evolutionary Computation; 2006. CEC 2006. IEEE Congress on,2006,129
Prediction-based population re-initialization for evolutionary dynamic multi-objective optimization,Aimin Zhou; Yaochu Jin; Qingfu Zhang; Bernhard Sendhoff; Edward Tsang,Abstract Optimization in changing environment is a challenging task; especially whenmultiple objectives are to be optimized simultaneously. The basic idea to address dynamicoptimization problems is to utilize history information to guide future search. In this paper;two strategies for population re-initialization are introduced when a change in theenvironment is detected. The first strategy is to predict the new location of individuals fromthe location changes that have occurred in the history. The current population is thenpartially or completely replaced by the new individuals generated based on prediction. Thesecond strategy is to perturb the current population with a Gaussian noise whose variance isestimated according to previous changes. The prediction based population re-initializationstrategies; together with the random re-initialization method; are then compared on two bi …,International Conference on Evolutionary Multi-Criterion Optimization,2007,103
Approximating the set of Pareto-optimal solutions in both the decision and objective spaces by an estimation of distribution algorithm,Aimin Zhou; Qingfu Zhang; Yaochu Jin,Most existing multiobjective evolutionary algorithms aim at approximating the Pareto front(PF); which is the distribution of the Pareto-optimal solutions in the objective space. In manyreal-life applications; however; a good approximation to the Pareto set (PS); which is thedistribution of the Pareto-optimal solutions in the decision space; is also required by adecision maker. This paper considers a class of multiobjective optimization problems(MOPs); in which the dimensionalities of the PS and the PF manifolds are different so that agood approximation to the PF might not approximate the PS very well. It proposes aprobabilistic model-based multiobjective evolutionary algorithm; called MMEA; forapproximating the PS and the PF simultaneously for an MOP in this class. In the modelingphase of MMEA; the population is clustered into a number of subpopulations based on …,IEEE transactions on evolutionary computation,2009,90
A population prediction strategy for evolutionary dynamic multiobjective optimization,A. Zhou; Y. Jin; Q. Zhang,This paper investigates how to use prediction strategies to improve the performance ofmultiobjective evolutionary optimization algorithms in dealing with dynamic environments.Prediction-based methods have been applied to predict some isolated points in bothdynamic single objective optimization and dynamic multiobjective optimization. We extendthis idea to predict a whole population by considering the properties of continuous dynamicmultiobjective optimization problems. In our approach; called population prediction strategy(PPS); a Pareto set is divided into two parts: a center point and a manifold. A sequence ofcenter points is maintained to predict the next center; and the previous manifolds are used toestimate the next manifold. Thus; PPS could initialize a whole population by combining thepredicted center and estimated manifold when a change is detected. We systematically …,IEEE Transactions on Cybernetics,2014,74
A model-based evolutionary algorithm for bi-objective optimization,Aimin Zhou; Qingfu Zhang; Yaochu Jin; Edward Tsang; Tatsuya Okabe,The Pareto optimal solutions to a multi-objective optimization problem often distribute veryregularly in both the decision space and the objective space. Most existing evolutionaryalgorithms do not explicitly take advantage of such a regularity. This paper proposed amodel-based evolutionary algorithm (M-MOEA) for bi-objective optimization problems.Inspired by the ideas from estimation of distribution algorithms; M-MOEA uses a probabilitymodel to capture the regularity of the distribution of the Pareto optimal solutions. The localprincipal component analysis (local PCA) and the least-squares method are employed forbuilding the model. New solutions are sampled from the model thus built. At alternategenerations; M-MOEA uses crossover and mutation to produce new solutions. The selectionin M-MOEA is the same as in non-dominated sorting genetic algorithm-II (NSGA-II) …,Evolutionary Computation; 2005. The 2005 IEEE Congress on,2005,68
A fast particle swarm optimization algorithm with cauchy mutation and natural selection strategy,Changhe Li; Yong Liu; Aimin Zhou; Lishan Kang; Hui Wang,Abstract The standard Particle Swarm Optimization (PSO) algorithm is a novel evolutionaryalgorithm in which each particle studies its own previous best solution and the group'sprevious best to optimize problems. One problem exists in PSO is its tendency of trappinginto local optima. In this paper; a fast particle swarm optimization (FPSO) algorithm isproposed by combining PSO and the Cauchy mutation and an evolutionary selectionstrategy. The idea is to introduce the Cauchy mutation into PSO in the hope of preventingPSO from trapping into a local optimum through long jumps made by the Cauchy mutation.FPSO has been compared with another improved PSO called AMPSO [12] on a set ofbenchmark functions. The results show that FPSO is much faster than AMPSO on all the testfunctions.,International Symposium on Intelligence Computation and Applications,2007,59
Solving dynamic TSP with evolutionary approach in real time,Aimin Zhou; Lishan Kang; Zhenyu Yan,Many real world optimization problems are time-dependent and some of them can bemodeled by the dynamic TSPs (DTSPs). A DTSP is harder than a general TSP; which is aNP-hard problem; because the city number and the cost matrix of a DTSP are time varying.Although DTSP is a very common and important model in real world systems; few literatureshave discussed this related issues. There are many open questions about DTSP urgentlyneeded to be answered. We first give a mathematical model and the optimization objectivefor DTSP. Then we discuss why evolutionary algorithms (EAs) are effective for solvingDTSPs and give some key points for designing efficient DTSP EAs. By defining threedynamic operators; we proposed an evolutionary algorithm for DTSPs. The experimentsshow the new algorithm is suitable for solving DTSPs. At the end; we also give some …,Evolutionary Computation; 2003. CEC'03. The 2003 Congress on,2003,47
