From region encoding to extended dewey: On efficient processing of XML twig pattern matching,Jiaheng Lu; Tok Wang Ling; Chee-Yong Chan; Ting Chen,Abstract Finding all the occurrences of a twig pattern in an XML database is a core operationfor efficient evaluation of XML queries. A number of algorithms have been proposed toprocess a twig query based on region encoding labeling scheme. While region encodingsupports efficient determination of structural relationship between two elements; we observethat the information within a single label is very limited. In this paper; we propose a newlabeling scheme; called extended Dewey. This is a powerful labeling scheme; since from thelabel of an element alone; we can derive all the elements names along the path from theroot to the element. Based on extended Dewey; we design a novel holistic twig joinalgorithm; called TJFast. Unlike all previous algorithms based on region encoding; toanswer a twig query; TJFast only needs to access the labels of the leaf query nodes …,Proceedings of the 31st international conference on Very large data bases,2005,379
Efficient merging and filtering algorithms for approximate string searches,Chen Li; Jiaheng Lu; Yiming Lu,We study the following problem: how to efficiently find in a collection of strings those similarto a given query string? Various similarity functions can be used; such as edit distance;Jaccard similarity; and cosine similarity. This problem is of great interests to a variety ofapplications that need a high real-time performance; such as data cleaning; queryrelaxation; and spellchecking. Several algorithms have been proposed based on the idea ofmerging inverted lists of grams generated from the strings. In this paper we make twocontributions. First; we develop several algorithms that can greatly improve the performanceof existing algorithms. Second; we study how to integrate existing filtering techniques withthese algorithms; and show that they should be used together judiciously; since the way todo the integration can greatly affect the performance. We have conducted experiments on …,Data Engineering; 2008. ICDE 2008. IEEE 24th International Conference on,2008,281
On boosting holism in XML twig pattern matching using structural indexing techniques,Ting Chen; Jiaheng Lu; Tok Wang Ling,Abstract Searching for all occurrences of a twig pattern in an XML document is an importantoperation in XML query processing. Recently a holistic method TwigStack.[2] has beenproposed. The method avoids generating large intermediate results which do not contributeto the final answer and is CPU and I/O optimal when twig patterns only have ancestor-descendant relationships. Another important direction of XML query processing is to buildstructural indexes [3][8][13][15] over XML documents to avoid unnecessary scanning ofsource documents. We regard XML structural indexing as a technique to partition XMLdocuments and call it streaming scheme in our paper. In this paper we develop a method toperform holistic twig pattern matching on XML documents partitioned using variousstreaming schemes. Our method avoids unnecessary scanning of irrelevant portion of …,Proceedings of the 2005 ACM SIGMOD international conference on Management of data,2005,253
Effective xml keyword search with relevance oriented ranking,Zhifeng Bao; Tok Wang Ling; Bo Chen; Jiaheng Lu,Inspired by the great success of information retrieval (IR) style keyword search on the web;keyword search on XML has emerged recently. The difference between text database andXML database results in three new challenges:(1) Identify the user search intention; ieidentify the XML node types that user wants to search for and search via.(2) Resolvekeyword ambiguity problems: a keyword can appear as both a tag name and a text value ofsome node; a keyword can appear as the text values of different XML node types and carrydifferent meanings.(3) As the search results are sub-trees of the XML document; new scoringfunction is needed to estimate its relevance to a given query. However; existing methodscannot resolve these challenges; thus return low result quality in term of query relevance. Inthis paper; we propose an IR-style approach which basically utilizes the statistics of …,Data Engineering; 2009. ICDE'09. IEEE 25th International Conference on,2009,221
Efficient processing of XML twig patterns with parent child edges: a look-ahead approach,Jiaheng Lu; Ting Chen; Tok Wang Ling,Abstract With the growing importance of semi-structure data in information exchange; muchresearch has been done to provide an effective mechanism to match a twig query in an XMLdatabase. A number of algorithms have been proposed recently to process a twig queryholistically. Those algorithms are quite efficient for quires with only ancestor-descendantedges. But for queries with mixed ancestor-descendant and parent-child edges; the previousapproaches still may produce large intermediate results; even when the input and outputsize are more manageable. To overcome this limitation; in this paper; we propose a novelholistic twig join algorithm; namely< i> TwigStackList</i>. Our main technique is to look-ahead read some elements in input data steams and cache limited number of them to< i>lists</i> in the main memory. The number of elements in any list is bounded by the length …,Proceedings of the thirteenth ACM international conference on Information and knowledge management,2004,200
Reverse spatial and textual k nearest neighbor search,Jiaheng Lu; Ying Lu; Gao Cong,Abstract Geographic objects associated with descriptive texts are becoming prevalent. Thisgives prominence to spatial keyword queries that take into account both the locations andtextual descriptions of content. Specifically; the relevance of an object to a query ismeasured by spatial-textual similarity that is based on both spatial proximity and textualsimilarity. In this paper; we define Reverse Spatial Textual k Nearest Neighbor (RSTkNN)query; ie; finding objects that take the query object as one of their k most spatial-textualsimilar objects. Existing works on reverse kNN queries focus solely on spatial locations butignore text relevance. To answer RSTkNN queries efficiently; we propose a hybrid index treecalled IUR-tree (Intersection-Union R-Tree) that effectively combines location proximity withtextual similarity. Based on the IUR-tree; we design a branch-and-bound search algorithm …,Proceedings of the 2011 ACM SIGMOD International Conference on Management of data,2011,134
Big data challenge: a data management perspective,Jinchuan Chen; Yueguo Chen; Xiaoyong Du; Cuiping Li; Jiaheng Lu; Suyun Zhao; Xuan Zhou,Abstract There is a trend that; virtually everyone; ranging from big Web companies totraditional enterprisers to physical science researchers to social scientists; is either alreadyexperiencing or anticipating unprecedented growth in the amount of data available in theirworld; as well as new opportunities and great untapped value. This paper reviews big datachallenges from a data management respective. In particular; we discuss big data diversity;big data reduction; big data integration and cleaning; big data indexing and query; andfinally big data analysis and mining. Our survey gives a brief overview about big-data-oriented research and problems.,Frontiers of Computer Science,2013,120
Space-constrained gram-based indexing for efficient approximate string search,Alexander Behm; Shengyue Ji; Chen Li; Jiaheng Lu,Answering approximate queries on string collections is important in applications such asdata cleaning; query relaxation; and spell checking; where inconsistencies and errors existin user queries as well as data. Many existing algorithms use gram-based inverted-listindexing structures to answer approximate string queries. These indexing structures are"notoriously" large compared to the size of their original string collection. In this paper; westudy how to reduce the size of such an indexing structure to a given amount of space; whileretaining ef¿ cient query processing. We¿ rst study how to adopt existing inverted-listcompression techniques to solve our problem. Then; we propose two novel approaches forachieving the goal: one is based on discarding gram lists; and one is based on combiningcorrelated lists. They are both orthogonal to existing compression techniques; exploit a …,Data Engineering; 2009. ICDE'09. IEEE 25th International Conference on,2009,113
An efficient multi-dimensional index for cloud data management,Xiangyu Zhang; Jing Ai; Zhongyuan Wang; Jiaheng Lu; Xiaofeng Meng,Abstract Recently; the cloud computing platform is getting more and more attentions as anew trend of data management. Currently there are several cloud computing products thatcan provide various services. However; currently the cloud platforms only support simplekeyword-based queries and can't answer complex queries efficiently due to lack of efficientindex techniques. In this paper we propose an efficient approach to build multi-dimensionalindex for Cloud computing system. We use the combination of R-tree and KD-tree toorganize data records and offer fast query processing and efficient index maintenance. Ourapproach can process typical multi-dimensional queries including point queries and rangequeries efficiently. Besides; frequent change of data on big amount of machines makes theindex maintenance a challenging problem; and to cope with this problem we proposed a …,Proceedings of the first international workshop on Cloud data management,2009,104
Hadoop 实战,陆嘉恒,*,*,2012,79
TwigStackList¬: a holistic twig join algorithm for twig query with not-predicates on XML data,Tian Yu; Tok Wang Ling; Jiaheng Lu,Abstract As business and enterprises generate and exchange XML data more often; there isan increasing need for searching and querying XML data. A lot of researches have beendone to match XML twig queries. However; as far as we know; very little work has examinedthe efficient processing of XML twig queries with not-predicates. In this paper; we propose anovel holistic twig join algorithm; called TwigStackList¬; which is designed for efficientmatching an XML twig pattern with negation. We show that TwigStackList¬ can identify alarge query class to guarantee the I/O optimality. Finally; we run extensive experiments thatvalidate our algorithm and show the efficiency and effectiveness of TwigStackList¬.,International Conference on Database Systems for Advanced Applications,2006,67
Towards an effective XML keyword search,Zhifeng Bao; Jiaheng Lu; Tok Wang Ling; Bo Chen,Inspired by the great success of information retrieval (IR) style keyword search on the web;keyword search on XML has emerged recently. The difference between text database andXML database results in three new challenges: 1) Identify the user search intention; ie;identify the XML node types that user wants to search for and search via. 2) Resolvekeyword ambiguity problems: a keyword can appear as both a tag name and a text value ofsome node; a keyword can appear as the text values of different XML node types and carrydifferent meanings; a keyword can appear as the tag name of different XML node types withdifferent meanings. 3) As the search results are subtrees of the XML document; new scoringfunction is needed to estimate its relevance to a given query. However; existing methodscannot resolve these challenges; thus return low result quality in term of query relevance …,IEEE Transactions on Knowledge and Data Engineering,2010,66
